sentence_id,technique,text,feature_id,props_a20,props_a21,props_a22,annotator_consistency,props_gpt4_majority,res_1.0_1,gpt_props_1.0_1,res_1.0_2,gpt_props_1.0_2,res_1.0_3,gpt_props_1.0_3,gpt3.5_1.0_consistency,res_0.2_1,gpt_props_0.2_1,res_0.2_2,gpt_props_0.2_2,res_0.2_3,gpt_props_0.2_3,gpt3.5_0.2_consistency,gpt3.5_0.2_majority,humans isCorrect,gpt isCorrect,comments,ground truth,res_0.0_V3_2,property_0.0_V3_2
43,[0],"As a former trial lawyer, I can tell you that while neither notes nor memories are infallible, in a contest between contemporaneous notes and later verbal testimony about those notes, the content of the written notes usually prevails.",Predication,"['stative', 'active']","['stative', 'active']","['stative', 'active']",True,[],"{
  ""Properties"": [
    ""active"",
    ""compound""
  ],
  ""Explanation"": ""The sentence contains active verbs such as 'are' and 'is', and also multiple verbs about one subject, making it a compound predication.""
}","['active', 'compound']","{
  ""Properties"": [""active""],
  ""Explanation"": ""The text contains active verbs such as 'are', 'notes', 'are', 'infallible', 'content', and 'prevails'. These verbs indicate action or occurrence by the subject.""
}",['active'],"{
  ""Properties"": [""active"", ""stative""],
  ""Explanation"": ""The text contains active verbs (are, is) and stative verbs (are, is) to describe the state of something or someone.""
}","['active', 'stative']",False,"{
  ""Properties"": [""active""],
  ""Explanation"": ""The text contains active verbs such as 'are', 'is', 'are', and 'prevails'. These active verbs indicate actions performed by the subjects in the sentence.""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains active verbs such as 'are' and 'prevails'.""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains active verbs such as 'are', 'are', 'prevails'. These active verbs indicate actions performed by the subject, meeting the criteria for the active property.""
}",['active'],1,['active'],1.0,0.0,GPT is mixing up the properties and definitions,"['stative', 'active']","[{'Answer': 'no', 'Explanation': 'The given sentence does not use active predication. Active predication typically involves a subject performing an action and taking a direct object. In the provided sentence, the subject I is not directly performing an action with a direct object. Instead, the sentence is expressing a statement about the speakers experience and opinion as a former trial lawyer. Therefore, it does not fit the criteria for active predication.', 'Property': 'active'}, {'Answer': 'no', 'Explanation': 'The given sentence does not use stative predication. Stative predication typically expresses a state or condition, such as be or know. The sentence provided does not express a state or condition but rather presents a complex statement about the reliability of contemporaneous notes versus later verbal testimony. It does not fit the criteria of stative predication.', 'Property': 'stative'}, {'Answer': 'no', 'Explanation': 'The given sentence does not use compound predication. Compound predication involves multiple predications of verbs about one subject. In the provided sentence, there is only one main predication the content of the written notes usually prevails with a subordinate clause while neither notes nor memories are infallible providing additional information. Therefore, it does not exhibit compound predication.', 'Property': 'compound'}]",[]
83,[1],"A dark, impenetrable and “irreversible” winter of persecution of the faithful by their own shepherds will fall.",Predication,['active'],['active'],['active'],True,[],"{
  ""Properties"": [],
  ""Explanation"": ""The example text does not contain any active, stative, or compound predicates. Instead, it is a complex sentence expressing a prediction about a future event without specifying any particular action or state.""
}",[],"{
  ""Properties"": [""stative""],
  ""Explanation"": ""The sentence contains the stative verb 'irreversible' which describes a state rather than an action.""
}",['stative'],"{
  ""Properties"": [""stative"", ""compound""],
  ""Explanation"": ""The phrase 'will fall' contains a stative verb ('fall') indicating a state or condition. The sentence also contains a compound verb structure with 'will fall' and 'will fall', involving multiple verbs about one subject.""
}","['stative', 'compound']",False,"{
  ""Properties"": [""stative""],
  ""Explanation"": ""The sentence contains the stative verb 'will fall', indicating a state or condition that will occur in the future.""
}",['stative'],"{
  ""Properties"": [""stative""],
  ""Explanation"": ""The sentence contains a stative verb 'will fall' to describe a future state of being.""
}",['stative'],"{
  ""Properties"": [""stative""],
  ""Explanation"": ""The sentence contains a stative verb 'will fall' which describes a state of being rather than an action.""
}",['stative'],1,['stative'],1.0,0.0,GPT is mixing up the properties and definitions,['active'],"[{'Answer': 'no', 'Explanation': 'The given sentence does not use active predication. In active predication, the subject typically performs the action and can take a direct object. In the provided sentence, A dark, impenetrable and “irreversible” winter of persecution of the faithful by their own shepherds will fall, the subject winter is not performing an action with a direct object. Instead, the sentence is using a passive construction where the action is being done to the subject (persecution of the faithful by their own shepherds). Therefore, it does not fit the criteria for active predication.', 'Property': 'active'}, {'Answer': 'no', 'Explanation': 'The sentence does not use stative predication. The sentence describes a future event (will fall), which indicates an activity or event rather than a state or condition. Additionally, the use of will fall suggests an action that will occur in the future, making it an example of dynamic predication rather than stative predication.', 'Property': 'stative'}, {'Answer': 'no', 'Explanation': 'The sentence provided does not use compound predication. Compound predication involves multiple predications of verbs about one subject. In the given sentence, A dark, impenetrable and “irreversible” winter of persecution of the faithful by their own shepherds will fall, there is only one predication of the verb will fall about the subject A dark, impenetrable and “irreversible” winter of persecution of the faithful by their own shepherds. There are multiple adjectives describing winter, but they do not create multiple predications of verbs about the subject.', 'Property': 'compound'}]",[]
118,[1],"In any case, note well: the letter to me from the UK Home Office said that I was banned for saying that “[Islam] is a religion and is a belief system that mandates warfare against unbelievers…”",Predication,"['stative', 'active']","['stative', 'active']","['stative', 'active']",True,[],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'said' in the clause 'the letter to me from the UK Home Office said'.""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The example text contains active verbs such as 'said' and 'saying', indicating the use of active voice.""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The example contains active verbs, such as 'said', which indicate the action being performed by the subject.""
}",['active'],True,"{
  ""Properties"": [""stative""],
  ""Explanation"": ""The sentence contains a stative verb 'is' in the phrase '[Islam] is a religion and is a belief system'. This indicates a state of being rather than an action.""
}",['stative'],"{
  ""Properties"": [""stative""],
  ""Explanation"": ""The sentence contains the stative verb 'is' in the phrase '[Islam] is a religion and is a belief system'. This indicates a state of being rather than an action, fulfilling the stative property.""
}",['stative'],"{
  ""Properties"": [""stative""],
  ""Explanation"": ""The sentence contains the stative verb 'is' in the phrase '[Islam] is a religion and is a belief system'. This indicates a state of being rather than an action.""
}",['stative'],1,['stative'],1.0,0.0,GPT is mixing up the properties and definitions,"['stative', 'active']","[{'Answer': 'no', 'Explanation': 'The given sentence does not use active predication. In the sentence, the subject the letter to me from the UK Home Office is not performing the action. Instead, it is the source of the communication. The main action is conveyed by the verb said, and the direct object is that I was banned for saying that... Therefore, the sentence does not fit the definition of active predication.', 'Property': 'active'}, {'Answer': 'no', 'Explanation': 'The given sentence does not use stative predication. Stative predication typically expresses a state or condition, such as be or know. In the provided sentence, the verb saying is not a stative verb; it indicates an action rather than a state or condition. Therefore, the sentence does not use stative predication.', 'Property': 'stative'}, {'Answer': 'no', 'Explanation': 'The given sentence does not use compound predication. Compound predication involves multiple predications of verbs about one subject. In the provided sentence, there is only one main predication the letter to me from the UK Home Office said with the rest of the sentence serving as the content of what the letter said. There are no multiple predications of verbs about one subject, so it does not fit the definition of compound predication.', 'Property': 'compound'}]",[]
243,[2 6],Women everywhere should be furious.,Predication,['stative'],['stative'],['stative'],True,[],"{
  ""Properties"": [
    ""stative""
  ],
  ""Explanation"": ""The sentence uses the stative verb 'should be' to express a state of being, rather than an action.""
}",['stative'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'should be furious.'""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'should be furious.' It is directly calling on women to feel a certain way.""
}",['active'],False,"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'should be furious' which expresses an action.""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'should be furious.'""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'should be furious.'""
}",['active'],1,['active'],1.0,0.0,GPT is mixing up the properties and definitions,['stative'],"[{'Answer': 'no', 'Explanation': 'The sentence Women everywhere should be furious does not use active predication. In active predication, the subject typically performs the action and can take a direct object. In this sentence, Women everywhere is the subject, but they are not performing a specific action with a direct object. Instead, the sentence expresses a state of being (should be furious), which does not align with the characteristics of active predication.', 'Property': 'active'}, {'Answer': 'yes', 'Explanation': 'The sentence Women everywhere should be furious uses stative predication. The verb be in this sentence expresses a state or condition (furious) rather than an action or event. Therefore, it falls under the category of stative predication.', 'Property': 'stative'}, {'Answer': 'no', 'Explanation': 'The sentence Women everywhere should be furious does not use compound predication. It contains a single predication should be furious about the subject Women everywhere. There is only one main verb should be furious used to describe the action of the subject, making it a simple predication rather than a compound predication.', 'Property': 'compound'}]",['stative']
249,[2],"Although the claims are intriguing, it is important to remember that after virtually every terror attack and mass shooting, friends and neighbors express shock that the culprit would be capable of carrying out such horrors, with some outright denying it to be possible.",Predication,"['stative', 'active']","['stative', 'active']","['stative', 'active']",True,[],"{
  ""Properties"": [""active"", ""stative""],
  ""Explanation"": ""The text contains active verbs (express, carrying) and stative verbs (are, is, denying).""
}","['active', 'stative']","{
  ""Properties"": [""active"", ""compound""],
  ""Explanation"": ""The text contains active verbs such as 'are', 'is', 'remember', 'express', 'denying' which indicate active voice. Additionally, it also has compound verbs 'is important', 'would be capable', and 'carrying out', where multiple verbs are connected to one subject.""
}","['active', 'compound']","{
  ""Properties"": [""active"", ""stative"", ""compound""],
  ""Explanation"": ""The example contains active verbs ('are', 'is', 'remember', 'express', 'carrying', 'denying'), stative verb ('is'), and compound verbs ('is important', 'would be capable', 'carrying out').""
}","['active', 'stative', 'compound']",False,"{
  ""Properties"": [""active"", ""stative"", ""compound""],
  ""Explanation"": ""The text contains active verbs (are, express, denying), stative verbs (are), and compound verbs (would be, carrying out).""
}","['active', 'stative', 'compound']","{
  ""Properties"": [""active"", ""stative""],
  ""Explanation"": ""The text contains both active verbs (express, carrying out) and stative verbs (are, is, denying).""
}","['active', 'stative']","{
  ""Properties"": [""active"", ""compound""],
  ""Explanation"": ""The text contains active verbs such as 'are', 'is', 'remember', 'express', 'denying' and also has a compound structure with multiple verbs 'are', 'express', 'denying' about one subject.""
}","['active', 'compound']",0,"['active', 'stative', 'compound']",1.0,0.0,GPT is mixing up the properties and definitions,"['stative', 'active']","[{'Answer': 'no', 'Explanation': 'The given sentence does not use active predication. In active predication, the subject typically performs the action and can take a direct object. However, in the provided sentence, the subject friends and neighbors are not performing the action but rather expressing shock and denying, making it a passive construction. Therefore, the sentence does not use active predication.', 'Property': 'active'}, {'Answer': 'no', 'Explanation': 'The given sentence does not use stative predication. The sentence describes an ongoing or continuous action (friends and neighbors express shock) and the denial of possibility (some outright denying it to be possible), which are not expressions of a state or condition. Therefore, it does not fit the definition of stative predication.', 'Property': 'stative'}, {'Answer': 'yes', 'Explanation': 'The sentence uses compound predication because it contains multiple predications of verbs (express, deny) about one subject (friends and neighbors). This structure reflects the use of compound predication, as it conveys multiple actions related to the same subject within the sentence.', 'Property': 'compound'}]",['compound']
263,[3],"While Obama pardoned drug dealers and locked up ranchers, Trump pardons ranchers and locks up drug dealers.",Predication,['active'],['active'],['active'],True,[],"{
  ""Properties"": [""compound""],
  ""Explanation"": ""The sentence contains compound predication, as it expresses two contrasting actions (pardoning and locking up) related to two different subjects (drug dealers and ranchers) in a parallel structure.""
}",['compound'],"{
  ""Properties"": [""active"", ""compound""],
  ""Explanation"": ""The sentence contains active verbs 'pardoned' and 'locked up', as well as a compound structure with multiple verbs about one subject (Obama and Trump) in the same sentence.""
}","['active', 'compound']","{
  ""Properties"": [""active"", ""compound""],
  ""Explanation"": ""The sentence contains active verbs ('pardoned', 'locked up') and also features a compound structure with multiple verbs related to the same subject.""
}","['active', 'compound']",False,"{
  ""Properties"": [""active"", ""compound""],
  ""Explanation"": ""The sentence contains active verbs ('pardoned', 'locked up') and also has a compound structure with multiple verbs ('pardoned', 'locked up') about one subject ('Obama', 'Trump').""
}","['active', 'compound']","{
  ""Properties"": [""compound""],
  ""Explanation"": ""The sentence contains a compound structure with multiple verbs ('pardons', 'locked up') about one subject ('Obama' and 'Trump').""
}",['compound'],"{
  ""Properties"": [""active"", ""compound""],
  ""Explanation"": ""The sentence contains active verbs ('pardoned', 'locked up') and also has a compound structure with multiple verbs ('pardoned', 'locked up') about one subject ('Obama', 'Trump').""
}","['active', 'compound']",0,"['active', 'compound']",1.0,0.0,GPT is misinterpreting a property,['active'],"[{'Answer': 'yes', 'Explanation': 'The given sentence uses active predication. In the sentence, Obama and Trump are the subjects performing the actions of pardoning and locking up, and the actions are directly connected to the objects drug dealers and ranchers. Therefore, the sentence fits the definition of active predication, where the subject performs the action and can take a direct object.', 'Property': 'active'}, {'Answer': 'no', 'Explanation': 'The sentence provided does not use stative predication. It is a comparison of actions performed by Obama and Trump, using active verbs pardons and locks up to describe ongoing actions, rather than expressing a state or condition. Stative predication typically involves verbs like be or know that express a state or condition, which is not the case in the given sentence.', 'Property': 'stative'}, {'Answer': 'yes', 'Explanation': 'The given sentence uses compound predication. It contains multiple predications of verbs (pardons and locks up) about one subject (Trump). This structure aligns with the definition of compound predication, where multiple predications of verbs are used about one subject.', 'Property': 'compound'}]","['active', 'compound']"
265,[3],"No Catholic, whether or not he consults a priest, can declare for himself that his marriage in the Church was invalid, especially when—indeed because—he lacks canonical proof of invalidity.",Predication,"['stative', 'active']","['stative', 'active']","['stative', 'active']",True,[],"{
  ""Properties"": [""stative"", ""compound""],
  ""Explanation"": ""The sentence includes a stative verb 'was' and a compound structure with multiple verbs ('can declare,' 'lacks').""
}","['stative', 'compound']","{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'consults' and uses an active voice construction.""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The text contains active verbs such as 'declare,' 'consults,' 'can' and 'lacks,' indicating the use of active voice.""
}",['active'],False,"{
  ""Properties"": [""stative""],
  ""Explanation"": ""The sentence contains a stative verb 'was' to express a state of being (invalid).""
}",['stative'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'consults' and 'declare' which indicate action being performed by the subject.""
}",['active'],"{
  ""Properties"": [""active"", ""stative""],
  ""Explanation"": ""The text contains active verbs (consults, can declare) and a stative verb (is).""
}","['active', 'stative']",0,['stative'],1.0,0.0,,"['stative', 'active']","[{'Answer': 'yes', 'Explanation': 'The given sentence uses active predication. The subject No Catholic is performing the action of declaring, and the sentence also includes a direct object that his marriage in the Church was invalid. Therefore, it fits the definition of active predication where the subject performs the action and can take a direct object.', 'Property': 'active'}, {'Answer': 'yes', 'Explanation': 'The given sentence uses stative predication. The phrase he lacks expresses a state or condition rather than an activity or event, indicating a lack of canonical proof of invalidity. This aligns with the definition of stative predication, which expresses a state or condition rather than an action or event.', 'Property': 'stative'}, {'Answer': 'no', 'Explanation': 'The given sentence does not use compound predication. Compound predication involves multiple predications of verbs about one subject. In the provided sentence, there is only one main predication can declare with additional subordinate clauses (whether or not he consults a priest, especially when—indeed because—he lacks canonical proof of invalidity). These clauses do not create multiple predications of verbs about one subject, so the sentence does not exhibit compound predication.', 'Property': 'compound'}]","['active', 'stative']"
282,[3 9],"And if Trumpism is not the future of the GOP, it is hard to see what a promising GOP agenda might look like.",Predication,['stative'],['stative'],['stative'],True,"['stative', 'active']","{
  ""Properties"": [""stative""],
  ""Explanation"": ""The sentence contains a stative verb 'is' indicating a state of being.""
}",['stative'],"{
  ""Properties"": [""stative""],
  ""Explanation"": ""The sentence contains the stative verb 'is' as part of the phrase 'is not'. This indicates a state of being or a condition rather than an action.""
}",['stative'],"{
  ""Properties"": [""stative""],
  ""Explanation"": ""The sentence contains a stative verb 'is', indicating a state of being rather than action.""
}",['stative'],True,"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'is' and 'look'.""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'is' which is used to express a state of being.""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'is' and 'look' which indicates action being performed by the subject.""
}",['active'],1,['active'],1.0,0.0,GPT is mixing up the properties and definitions,['stative'],"[{'Answer': 'no', 'Explanation': 'The sentence provided does not use active predication. In the sentence, Trumpism is the subject, but it is not performing an action. Instead, it is being described or discussed. The verb is is a linking verb, and the future of the GOP is a subject complement, not a direct object. Therefore, the sentence does not exhibit active predication.', 'Property': 'active'}, {'Answer': 'no', 'Explanation': 'The sentence does not use stative predication. The verb is in Trumpism is not the future of the GOP is not expressing a state or condition, but rather a negation of a potential future state. It is not describing a static condition, but rather a hypothetical future outcome, making it more dynamic in nature.', 'Property': 'stative'}, {'Answer': 'no', 'Explanation': 'The sentence does not use compound predication. Compound predication involves multiple predications of verbs about one subject. In the given sentence, is not and might look like are not predications of verbs about one subject. Instead, is not and might look like are separate predications about the future of the GOP and a promising GOP agenda, respectively.', 'Property': 'compound'}]",[]
313,[3],"“The Prologue set this choice before us, the world or Our Lord, as mutually exclusive alternatives; we cannot remain neutral, but must belong wholly to the one or wholly to the other.”",Predication,"['stative', 'active']","['stative', 'active']","['stative', 'active']",True,"['stative', 'active']","{
  ""Properties"": [""active""],
  ""Explanation"": ""The text contains active verbs like 'set' and 'belong', which indicates action or movement.""
}",['active'],"{
  ""Properties"": [""active"", ""stative""],
  ""Explanation"": ""The text contains both active ('set') and stative ('cannot remain') verbs.""
}","['active', 'stative']","{
  ""Properties"": [""stative""],
  ""Explanation"": ""The sentence contains a stative verb 'remain' which indicates a state of being.""
}",['stative'],False,"{
  ""Properties"": [""active""],
  ""Explanation"": ""The text contains active verbs such as 'set' and 'belong', which indicate actions being performed by the subjects.""
}",['active'],"{
  ""Properties"": [""active"", ""stative""],
  ""Explanation"": ""The text contains both active verbs (set, belong) and stative verbs (remain, belong) indicating action and state of being.""
}","['active', 'stative']","{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains active verbs 'set' and 'belong' which indicate action being performed by the subject.""
}",['active'],0,['active'],1.0,0.0,,"['stative', 'active']","[{'Answer': 'no', 'Explanation': 'The given sentence does not use active predication. In the sentence, The Prologue set this choice before us, the world or Our Lord, as mutually exclusive alternatives; we cannot remain neutral, but must belong wholly to the one or wholly to the other, the subject The Prologue is not performing an action in the traditional sense. Instead, it is being described as the entity that set this choice before us. This sentence is better categorized as a passive construction, as the focus is on what was done to the subject rather than what the subject did.', 'Property': 'active'}, {'Answer': 'no', 'Explanation': 'The given sentence does not use stative predication. Stative predication typically expresses a state or condition rather than an activity or event. The sentence provided describes a situation and presents a choice, rather than expressing a state or condition. It does not use be or know to express a state, but rather presents a scenario and a decision that needs to be made.', 'Property': 'stative'}, {'Answer': 'no', 'Explanation': 'The given sentence does not use compound predication. Compound predication involves multiple predications of verbs about one subject. In the provided sentence, there are multiple clauses (The Prologue set this choice before us and we cannot remain neutral, but must belong wholly to the one or wholly to the other), but each clause has its own subject and predicate. The verbs set and belong are not predications of the same subject, so this does not fit the definition of compound predication.', 'Property': 'compound'}]",[]
319,[3],It’s not coming back.,Predication,['active'],['active'],['active'],True,['active'],"{
  ""Properties"": [
    ""stative""
  ],
  ""Explanation"": ""The sentence contains a stative verb 'coming' that expresses a state of being, rather than an action.""
}",['stative'],"{
  ""Properties"": [""stative""],
  ""Explanation"": ""The sentence contains a stative verb 'coming' indicating a state of absence or non-existence.""
}",['stative'],"{
  ""Properties"": [""stative""],
  ""Explanation"": ""The sentence uses a stative verb 'coming' to describe a state of being for the subject. It does not involve an action in progress.""
}",['stative'],True,"{
  ""Properties"": [""stative""],
  ""Explanation"": ""The sentence contains a stative verb 'coming' which expresses a state rather than an action.""
}",['stative'],"{
  ""Properties"": [""stative""],
  ""Explanation"": ""The sentence contains a stative verb 'coming' which describes a state rather than an action.""
}",['stative'],"{
  ""Properties"": [""stative""],
  ""Explanation"": ""The sentence contains a stative verb 'coming' which describes a state rather than an action.""
}",['stative'],1,['stative'],1.0,0.0,,['active'],"[{'Answer': 'no', 'Explanation': 'The sentence It’s not coming back does not use active predication. In this sentence, It is the subject, but it is not performing an action. Instead, the verb coming is in the progressive tense, and back is functioning as an adverb rather than a direct object. Therefore, this sentence does not fit the definition of active predication, as the subject is not performing an action and there is no direct object.', 'Property': 'active'}, {'Answer': 'yes', 'Explanation': 'The sentence It’s not coming back uses stative predication. The verb is in this sentence expresses a state of being, indicating a condition rather than an action or event. The state of not coming back is being described, which aligns with the concept of stative predication.', 'Property': 'stative'}, {'Answer': 'no', 'Explanation': 'The sentence It’s not coming back does not use compound predication. Compound predication involves multiple predications of verbs about one subject, as in the example The telegram was late but contained exciting news. In the given sentence, It’s not coming back, there is only one predication of the verb coming back about the subject it. Therefore, it does not meet the criteria for compound predication.', 'Property': 'compound'}]",['stative']
