sentence_id,technique,text,feature_id,props_a20,props_a21,props_a22,res1,gpt_props1,res2,gpt_props2,res3,gpt_props3,props_a_majority,props_gpt_majority,ann_gpt_agreemnt,props_gpt4_majority
4,[0 8 9],"Muhammad advises the same thing, according to the tradition of the Muslim doctors: wherefore the great Temur always strove to exterminate the infidels, as much to acquire that glory, as to signalise himself by the greatness of his conquests.”",Predication,['active'],['active'],"['compound', 'active']","{
  ""Properties"": [""active"", ""compound""],
  ""Explanation"": ""The text contains active verbs (advises, strove to exterminate) and compound verbs (strove, to acquire, signalise himself).""
}","['active', 'compound']","{
  ""Properties"": [""active"", ""compound""],
  ""Explanation"": ""The sentence contains active verbs (advises, strove) and a compound structure with multiple verbs about one subject (advises, strove).""
}","['active', 'compound']","{
  ""Properties"": [""active"", ""compound""],
  ""Explanation"": ""The sentence contains active verbs ('advises', 'strode') and also has a compound structure with multiple verbs ('advises', 'strode') about the same subject (Muhammad).""
}","['active', 'compound']",['active'],"['active', 'compound']",0,[]
11,[0 8],"We are simply asked to take the pope’s word for it, but given that it follows his astoundingly brazen lie that there was no evidence for Ricca’s homosexual activity in the first place, we can take the assurance for what it seems to be worth.",Predication,"['stative', 'active']",['stative'],['compound'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The example text contains active verbs such as 'asked', 'take', 'follows', and 'seems'. These verbs indicate action being performed by the subjects.""
}",['active'],"``` 
{
  ""Properties"": [""active"", ""stative"", ""compound""],
  ""Explanation"": ""The text contains active verbs (asked, take, follows, seems), stative verb (is), and compound verbs (was, contained).""
}
```","['active', 'stative', 'compound']","{
  ""Properties"": [""active"", ""stative"", ""compound""],
  ""Explanation"": ""This example text contains active verbs (e.g. 'asked', 'take', 'follows'), stative verbs (e.g. 'is', 'seems'), and compound verbs (e.g. 'was', 'contained').""
}","['active', 'stative', 'compound']","['stative', 'active']","['active', 'stative', 'compound']",0,[]
14,[0],Conservative Ben Shapiro told Fox news the verdict was “horrifying.,Predication,"['stative', 'active']",['active'],"['stative', 'active']","{
  ""Properties"": [""active"", ""compound""],
  ""Explanation"": ""The sentence contains an active verb 'told' and a compound verb 'was horrifying.'""
}","['active', 'compound']","{
  ""Properties"": [""active"", ""compound""],
  ""Explanation"": ""The sentence contains an active verb 'told' and a compound verb 'was horrifying.'""
}","['active', 'compound']","{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'told' which represents a dynamic action performed by the subject."" 
}",['active'],"['stative', 'active']","['active', 'compound']",0,[]
16,[0],"According to Breitbart, “Sellner, who described the detention centre as looking akin to a typical American prison, said he was told by authorities that his speaking at Hyde Park could cause violence and disrupt community cohesion.”",Predication,"['stative', 'compound']","['stative', 'active']",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The example text uses active verbs such as 'described', 'said', 'told', indicating the action performed by the subject.""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The example text contains active verbs such as 'described', 'said', 'told', and 'could cause'. This indicates the use of active predication.""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The text contains active verbs such as 'described', 'said', 'cause' indicating action performed by the subject.""
}",['active'],"['stative', 'compound']",['active'],-1,[]
23,[0],"“This is a clear violation of the Senate Ethics rules which safeguard against the appearance or actuality of elected officials ‘cashing in’ on their official position for political purposes,” said Kendra Arnold, executive director of FACT.",Predication,"['stative', 'active']",['stative'],"['stative', 'active']",timeout,[],"{
  ""Properties"": [""active"", ""stative""],
  ""Explanation"": ""The sentence contains both active ('safeguard') and stative ('is') verbs.""
}","['active', 'stative']","{
  ""Properties"": [""active"", ""compound""],
  ""Explanation"": ""The sentence contains active verbs (safeguard, ‘cashing in’) and a compound structure (‘cashing in’ on their official position for political purposes).""
}","['active', 'compound']","['stative', 'active']","['active', 'stative']",0,[]
32,[0 6],Cardinal Raymond Burke’s statement declares: “The declarations made by a prelate of the authority of Archbishop Carlo Maria Viganò must be totally taken to heart by those responsible in the Church.”,Predication,"['compound', 'active']","['stative', 'active']","['stative', 'active']","{
  ""Properties"": [""active""],
  ""Explanation"": ""The statement uses active verbs such as 'declares' and 'must be taken'.""
}",['active'],timeout,[],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The example text contains the active verb 'declares', indicating an action performed by the subject Cardinal Raymond Burke.""
}",['active'],"['stative', 'active']",['active'],0,[]
43,[0],"As a former trial lawyer, I can tell you that while neither notes nor memories are infallible, in a contest between contemporaneous notes and later verbal testimony about those notes, the content of the written notes usually prevails.",Predication,"['stative', 'active']","['stative', 'active']","['stative', 'active']","{
  ""Properties"": [""active"", ""compound""],
  ""Explanation"": ""The text contains active verbs ('are', 'is', 'infallible', 'prevails') and compound verbs ('can tell', 'are infallible', 'verbal testimony').""
}","['active', 'compound']","{
  ""Properties"": [""active"", ""stative"", ""compound""],
  ""Explanation"": ""The text includes active verbs (e.g. 'I can tell', 'are infallible', 'prevails'), stative verbs (e.g. 'are', 'is'), and compound verbs (e.g. 'can tell', 'are infallible').""
}","['active', 'stative', 'compound']","{
  ""Properties"": [
    ""active"",
    ""compound""
  ],
  ""Explanation"": ""The example text contains active verbs (e.g. 'I can tell', 'are infallible', 'prevails') and compound verbs ('can tell', 'are infallible', 'prevails').""
}","['active', 'compound']","['stative', 'active']","['active', 'compound']",0,[]
47,[0],"“I don’t regard Louis Farrakhan as an aberration or anything, I regard him as an outstanding human being who commands a following of individuals who are learned and articulate and he plays a big role in the lives of thousands and thousands and thousands and thousands of people,” he emphasized later.",Predication,['active'],"['stative', 'active']",['active'],,[],,[],,[],['active'],"['stative', 'active']",0,"['stative', 'active']"
50,[0],"John Hancock, the first signer of the Declaration of Independence, said,",Predication,['active'],['active'],['active'],timeout,[],"{
  ""Properties"": [""active"", ""compound""],
  ""Explanation"": ""The text contains an active verb 'said' and a compound verb structure with 'said' and 'first signer'.""
}","['active', 'compound']","{
    ""Properties"": [""active"", ""compound""],
    ""Explanation"": ""The sentence contains an active verb 'said' and a compound structure with 'John Hancock' as the subject and 'said' as the active verb.""
}","['active', 'compound']",['active'],"['active', 'compound']",0,[]
54,[0],"She said Thursday regarding Ms. Ford: ""I believe her because she is telling the truth and you know it by her story.""",Predication,"['stative', 'active']",['active'],['active'],timeout,[],"{
  ""Properties"": [""active"", ""stative""],
  ""Explanation"": ""The text contains active verbs like 'said' and stative verbs like 'is telling' and 'is'.""
}","['active', 'stative']","{
  ""Properties"": [""active"", ""stative"", ""compound""],
  ""Explanation"": ""The text contains active verbs (said, believe, telling), stative verbs (is), and compound verbs (is telling).""
}","['active', 'stative', 'compound']",['active'],"['active', 'stative']",0,[]
