sentence_id,technique,text,feature_id,props_a20,props_a21,props_a22,annotator_consistency,props_gpt4_majority,res_1.0_1,gpt_props_1.0_1,res_1.0_2,gpt_props_1.0_2,res_1.0_3,gpt_props_1.0_3,gpt3.5_1.0_consistency,res_0.2_1,gpt_props_0.2_1,res_0.2_2,gpt_props_0.2_2,res_0.2_3,gpt_props_0.2_3,gpt3.5_0.2_consistency,gpt3.5_0.2_majority,humans isCorrect,gpt isCorrect,comments,ground truth,res_gpt3.5_0.0_V3_2,property_gpt3.5_0.0_V3_2
4,[0 8 9],"Muhammad advises the same thing, according to the tradition of the Muslim doctors: wherefore the great Temur always strove to exterminate the infidels, as much to acquire that glory, as to signalise himself by the greatness of his conquests.”",Phrases_built_on_nouns,[],[],[],True,[],"{
  ""Properties"": [
    ""appositives"",
    ""summative modifier""
  ],
  ""Explanation"": ""The phrase 'according to the tradition of the Muslim doctors' acts as an appositive, renaming and providing additional information about 'the same thing.' Additionally, the phrase 'as much to acquire that glory, as to signalise himself by the greatness of his conquests' acts as a summative modifier, summarizing the reasons why Temur strove to exterminate the infidels.""
}","['appositives', 'summative_modifier']","{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'according to the tradition of the Muslim doctors' functions as an appositive, renaming and providing additional information about 'the same thing.'""
}",['appositives'],"{
  ""Properties"": [
    ""appositives"",
    ""summative modifier""
  ],
  ""Explanation"": ""The phrase 'according to the tradition of the Muslim doctors' is an appositive that renames and further describes the noun 'the same thing'. The phrase 'as much to acquire that glory, as to signalise himself by the greatness of his conquests' is a summative modifier that summarizes the preceding clause.""
}","['appositives', 'summative_modifier']",False,"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'according to the tradition of the Muslim doctors' is an appositive, as it renames and provides additional information about 'the same thing.'""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'according to the tradition of the Muslim doctors' is an appositive, as it renames and further describes the noun 'the same thing.'""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'according to the tradition of the Muslim doctors' is an appositive built on the noun 'thing', renaming and providing additional information about it.""
}",['appositives'],1,['appositives'],1.0,0.0,,[],"[{'Answer': 'no', 'Explanation': 'The sentence provided does not contain a phrase built on a noun that can be categorized as an appositive. An appositive typically renames or restates a noun, providing additional information about it. In the given sentence, according to the tradition of the Muslim doctors is a prepositional phrase providing additional information about the action of advising, but it does not rename or restate a noun in the sentence as an appositive would.', 'Property': 'appositives'}, {'Answer': 'no', 'Explanation': 'The sentence provided does not contain any absolute constructions. An absolute construction typically consists of a noun and a participle, and it functions as a modifier for the entire clause. In the given sentence, there are no phrases built on nouns that can be categorized as absolute constructions. Instead, the sentence contains a complex structure with multiple clauses and phrases, but none of them fit the criteria for an absolute construction.', 'Property': 'absolute construction'}, {'Answer': 'no', 'Explanation': 'The sentence provided does not contain a resumptive modifier. A resumptive modifier is a type of noun phrase where the modifier repeats the noun it is modifying. In the given sentence, there is no repetition of a noun to modify another noun, so it does not contain a resumptive modifier.', 'Property': 'resumptive modifier'}, {'Answer': 'no', 'Explanation': 'The sentence provided does not contain a phrase built on a noun that can be categorized as a summative modifier. The sentence does not contain a noun summarizing or generalizing a preceding clause or phrase. Instead, it includes a complex structure with multiple clauses and does not fit the definition of a summative modifier as described in the context provided.', 'Property': 'summative modifier'}]",[]
11,[0 8],"We are simply asked to take the pope’s word for it, but given that it follows his astoundingly brazen lie that there was no evidence for Ricca’s homosexual activity in the first place, we can take the assurance for what it seems to be worth.",Phrases_built_on_nouns,[],[],[],True,[],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'his astoundingly brazen lie' is an appositive, renaming the noun 'word'.""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'his astoundingly brazen lie' renames the noun 'word' and modifies it with additional information.""
}",['appositives'],"{
  ""Properties"": [""resumptive modifier"", ""summative modifier""],
  ""Explanation"": ""The phrase 'his astoundingly brazen lie' is a resumptive modifier, as it repeats and modifies the noun 'lie'. The phrase 'what it seems to be worth' is a summative modifier, summarizing the preceding clause.""
}","['resumptive_modifier', 'summative_modifier']",False,"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'his astoundingly brazen lie' is an appositive, renaming the noun 'word'.""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'his astoundingly brazen lie' is an appositive, renaming the noun 'word'.""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'his astoundingly brazen lie' is an appositive that renames the noun 'word'.""
}",['appositives'],1,['appositives'],1.0,0.0,,[],"[{'Answer': 'no', 'Explanation': 'The sentence provided does not contain any phrases built on nouns categorized as appositives. An appositive phrase typically renames or clarifies a noun, but the sentence does not contain such a construction. Instead, it includes a complex structure with clauses and phrases, but not an appositive construction.', 'Property': 'appositives'}, {'Answer': 'no', 'Explanation': 'The sentence provided does not contain any absolute constructions. An absolute construction typically consists of a noun and a participle, and it functions as a modifier for the entire clause. In the given sentence, there are no phrases built on nouns that fit the criteria of an absolute construction. Instead, the sentence contains complex clauses and phrases, but none that can be categorized as absolute constructions.', 'Property': 'absolute construction'}, {'Answer': 'no', 'Explanation': 'The provided sentence does not contain a resumptive modifier. A resumptive modifier is a type of noun phrase where the modifier repeats the noun it modifies. In the given sentence, there are no instances of a noun being repeated to modify another noun. Instead, the sentence contains complex noun phrases and clauses, but not resumptive modifiers.', 'Property': 'resumptive modifier'}, {'Answer': 'yes', 'Explanation': 'The sentence contains a phrase built on a noun that can be categorized as a summative modifier. The phrase his astoundingly brazen lie summarizes or generalizes the preceding clause, functioning as a summative modifier.', 'Property': 'summative modifier'}]",['summative_modifier']
14,[0],Conservative Ben Shapiro told Fox news the verdict was “horrifying.,Phrases_built_on_nouns,[],[],[],True,[],"{
  ""Properties"": [""resumptive modifier""],
  ""Explanation"": ""The phrase 'Conservative Ben Shapiro' is a resumptive modifier, as it repeats and refers back to the noun it modifies, 'Ben Shapiro'.""
}",['resumptive_modifier'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'Conservative Ben Shapiro' is an appositive as it renames the noun 'Ben Shapiro'.""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'Conservative Ben Shapiro' is an appositive modifying the noun 'Shapiro.'""
}",['appositives'],False,"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'Conservative Ben Shapiro' is an appositive, renaming the noun 'Ben Shapiro'.""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'Conservative Ben Shapiro' is an appositive, renaming the noun 'Ben Shapiro'.""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'Conservative Ben Shapiro' is an appositive, renaming the noun 'Ben Shapiro' with additional information.""
}",['appositives'],1,['appositives'],1.0,0.0,,[],"[{'Answer': 'no', 'Explanation': 'The sentence Conservative Ben Shapiro told Fox news the verdict was “horrifying does not contain an appositive phrase. An appositive phrase typically renames the noun it follows, providing additional information about it. In this sentence, Conservative Ben Shapiro is not renaming or providing additional information about any other noun, so it does not function as an appositive phrase.', 'Property': 'appositives'}, {'Answer': 'no', 'Explanation': 'The sentence Conservative Ben Shapiro told Fox news the verdict was “horrifying does not contain any phrases built on nouns that can be categorized as absolute constructions. An absolute construction typically involves a noun and a participle, and the sentence provided does not contain such a construction. Therefore, the answer is no.', 'Property': 'absolute construction'}, {'Answer': 'no', 'Explanation': 'The sentence provided does not contain a resumptive modifier. A resumptive modifier is a type of noun phrase where the modifier repeats the noun it is modifying. In the given sentence, Conservative Ben Shapiro is a noun phrase, but it does not repeat the noun it modifies. Therefore, it does not fit the definition of a resumptive modifier.', 'Property': 'resumptive modifier'}, {'Answer': 'no', 'Explanation': 'The sentence Conservative Ben Shapiro told Fox news the verdict was “horrifying does not contain a phrase built on a noun that can be categorized as a summative modifier. The phrase Conservative Ben Shapiro is a noun phrase, but it does not summarize or generalize the preceding clause or phrase. Instead, it provides additional information about the subject Ben Shapiro.', 'Property': 'summative modifier'}]",[]
16,[0],"According to Breitbart, “Sellner, who described the detention centre as looking akin to a typical American prison, said he was told by authorities that his speaking at Hyde Park could cause violence and disrupt community cohesion.”",Phrases_built_on_nouns,[],[],[],True,[],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'Sellner, who described the detention centre as looking akin to a typical American prison' is an appositive because it renames the noun 'Sellner'.""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'who described the detention centre as looking akin to a typical American prison' is an appositive because it renames 'Sellner'.""
}",['appositives'],"{
  ""Properties"": [
    ""appositives""
  ],
  ""Explanation"": ""The phrase 'who described the detention centre as looking akin to a typical American prison' is an appositive as it renames 'Sellner' by providing additional information about him.""
}",['appositives'],True,"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'Sellner, who described the detention centre as looking akin to a typical American prison' is an appositive, as it renames 'Sellner' and provides additional information about him.""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'who described the detention centre as looking akin to a typical American prison' is an appositive, as it renames the noun 'Sellner' by providing additional information about him.""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'Sellner, who described the detention centre as looking akin to a typical American prison' is an appositive, as it renames 'Sellner' and provides additional information about him.""
}",['appositives'],1,['appositives'],1.0,0.0,,[],"[{'Answer': 'no', 'Explanation': 'The sentence provided does not contain a phrase built on a noun that can be categorized as an appositive. An appositive renames or explains a noun, typically appearing right after the noun it renames. In the given sentence, who described the detention centre as looking akin to a typical American prison is a relative clause modifying Sellner, not an appositive phrase.', 'Property': 'appositives'}, {'Answer': 'no', 'Explanation': 'The sentence provided does not contain an absolute construction. An absolute construction typically involves a noun and a participle, and it functions as a modifier for the entire clause. In the given sentence, there are no phrases built on nouns that fit the criteria of an absolute construction. Instead, the sentence contains a participial phrase who described the detention centre as looking akin to a typical American prison, but this phrase does not function as an absolute construction related to the noun Sellner.', 'Property': 'absolute construction'}, {'Answer': 'no', 'Explanation': 'The sentence provided does not contain a resumptive modifier. A resumptive modifier is a type of noun phrase where the modifier repeats the noun it modifies. In the given sentence, there are no instances of a noun being repeated to modify another noun. Instead, the sentence contains a description by Sellner about the detention center, but it does not use a resumptive modifier construction.', 'Property': 'resumptive modifier'}, {'Answer': 'no', 'Explanation': 'The sentence provided does not contain a summative modifier. A summative modifier typically summarizes or generalizes a preceding clause or phrase. In the given sentence, looking akin to a typical American prison is a participial phrase modifying detention centre, but it does not serve as a summative modifier summarizing or generalizing a preceding clause or phrase.', 'Property': 'summative modifier'}]",[]
47,[0],"“I don’t regard Louis Farrakhan as an aberration or anything, I regard him as an outstanding human being who commands a following of individuals who are learned and articulate and he plays a big role in the lives of thousands and thousands and thousands and thousands of people,” he emphasized later.",Phrases_built_on_nouns,[],[],[],True,[],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'an outstanding human being' renames and further describes 'Louis Farrakhan', making it an appositive construction.""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'Louis Farrakhan, an outstanding human being...' is an appositive that renames or describes Louis Farrakhan.""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'Louis Farrakhan' renames 'an outstanding human being,' thereby functioning as an appositive.""
}",['appositives'],True,"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'Louis Farrakhan, an outstanding human being' is an appositive, renaming the noun 'Louis Farrakhan' with additional information.""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'an outstanding human being' renames and further describes Louis Farrakhan, making it an appositive.""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'an outstanding human being who commands a following of individuals who are learned and articulate' is an appositive, as it renames 'Louis Farrakhan' and provides additional information about him.""
}",['appositives'],1,['appositives'],1.0,0.0,,[],"[{'Answer': 'no', 'Explanation': 'The sentence provided does not contain any phrases built on nouns categorized as appositives. An appositive renames or explains a noun, typically appearing right after the noun it renames. In the given sentence, there are no such phrases that rename or explain a preceding noun in the manner of an appositive.', 'Property': 'appositives'}, {'Answer': 'no', 'Explanation': 'The provided sentence does not contain any phrases built on nouns that can be categorized as absolute constructions. An absolute construction typically consists of a noun and a participle, and it functions as a modifier for the entire sentence. In the given sentence, there are no such constructions that fit this description.', 'Property': 'absolute construction'}, {'Answer': 'no', 'Explanation': 'The provided sentence does not contain a resumptive modifier. A resumptive modifier is a type of noun phrase where the modifier repeats the noun it modifies. In the given sentence, there are no instances of a resumptive modifier. The sentence primarily consists of a series of coordinated phrases and clauses, but it does not contain the specific structure of a resumptive modifier as described.', 'Property': 'resumptive modifier'}, {'Answer': 'no', 'Explanation': 'The sentence provided does not contain a summative modifier built on a noun. The sentence describes Louis Farrakhan without summarizing or generalizing a preceding clause or phrase using a noun-based construction. Instead, it provides a detailed description of Louis Farrakhans characteristics and influence.', 'Property': 'summative modifier'}]",[]
54,[0],"She said Thursday regarding Ms. Ford: ""I believe her because she is telling the truth and you know it by her story.""",Phrases_built_on_nouns,[],[],[],True,[],"{
  ""Properties"": [""summative modifier""],
  ""Explanation"": ""The phrase 'Ms. Ford: \""I believe her because she is telling the truth and you know it by her story\""' summarizes or generalizes the preceding clause.""
}",['summative_modifier'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'Ms. Ford' is an appositive that renames the noun 'Thursday', providing additional information about the topic of the sentence.""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'Ms. Ford' acts as an appositive, renaming the noun 'Thursday'.""
}",['appositives'],False,"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'Ms. Ford' renames the noun 'Thursday', serving as an appositive.""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'Ms. Ford' is an appositive, renaming the noun 'Thursday'.""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'Ms. Ford' is an appositive, renaming the noun 'Thursday'.""
}",['appositives'],1,['appositives'],1.0,0.0,,[],"[{'Answer': 'no', 'Explanation': 'The sentence does not contain any phrases built on nouns categorized as appositives. An appositive renames or explains a noun, typically appearing right after the noun it renames. In the given sentence, Thursday and Ms. Ford are not used in a way that renames or explains a preceding noun, so they do not function as appositives.', 'Property': 'appositives'}, {'Answer': 'no', 'Explanation': 'The sentence provided does not contain any absolute constructions. An absolute construction typically consists of a noun and a participle, functioning as a modifier for the entire sentence or for a noun within the sentence. In the given sentence, She said Thursday regarding Ms. Ford does not form an absolute construction as it does not meet the criteria of having a noun and a participle working together as a modifier.', 'Property': 'absolute construction'}, {'Answer': 'no', 'Explanation': 'The sentence provided does not contain a resumptive modifier. A resumptive modifier is a type of noun phrase that repeats the noun it modifies, such as a letter in the example given. In the provided sentence, Thursday regarding Ms. Ford is not a resumptive modifier as it does not repeat the noun it modifies. Instead, it functions as a prepositional phrase providing additional information about the time of the statement.', 'Property': 'resumptive modifier'}, {'Answer': 'no', 'Explanation': 'The sentence She said Thursday regarding Ms. Ford: I believe her because she is telling the truth and you know it by her story. does not contain any phrases built on nouns that can be categorized as summative modifiers. The sentence does not contain a noun summarizing or generalizing a preceding clause or phrase, which is a characteristic of summative modifiers. Instead, it consists of a direct statement without a summarizing or generalizing noun phrase.', 'Property': 'summative modifier'}]",[]
68,[0],"I have read the Cardinal's exposition in both Italian and English, and I only find mention of the help of the sacraments in certain cases.",Phrases_built_on_nouns,[],[],[],True,[],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'the help of the sacraments' renames and explains the earlier mention of 'the Cardinal's exposition.'""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'the help of the sacraments' is a noun phrase that renames or further describes the Cardinal's exposition.""
}",['appositives'],"{
  ""Properties"": [""resumptive modifier""],
  ""Explanation"": ""The phrase 'the help of the sacraments' repeats the noun 'mention' it modifies, making it a resumptive modifier.""
}",['resumptive_modifier'],False,"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'the help of the sacraments' is an appositive, renaming the noun 'mention'.""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'the help of the sacraments' is an appositive, as it renames or further describes 'mention'.""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'the help of the sacraments' is an appositive, renaming the noun 'mention'.""
}",['appositives'],1,['appositives'],1.0,0.0,GPT explanation males no sense,[],"[{'Answer': 'no', 'Explanation': 'The sentence provided does not contain an appositive phrase. An appositive phrase typically renames or explains a noun, but in the given sentence, the Cardinals exposition is not followed by a renaming phrase. Instead, it is followed by a prepositional phrase in both Italian and English and then by an independent clause and I only find mention of the help of the sacraments in certain cases. Therefore, the sentence does not contain an appositive phrase.', 'Property': 'appositives'}, {'Answer': 'no', 'Explanation': 'The sentence provided does not contain an absolute construction. An absolute construction typically involves a noun and a participle, and it functions as a modifier for the entire clause. In the given sentence, I have read the Cardinals exposition in both Italian and English, and I only find mention of the help of the sacraments in certain cases, there is no such construction present. The sentence does not contain a phrase built on a noun functioning as an absolute construction.', 'Property': 'absolute construction'}, {'Answer': 'no', 'Explanation': 'The sentence provided does not contain a resumptive modifier. A resumptive modifier is a type of noun phrase where the modifier repeats the noun it is modifying. In the given sentence, the Cardinals exposition is a noun phrase, but it does not repeat the noun it modifies. Therefore, it does not fit the definition of a resumptive modifier.', 'Property': 'resumptive modifier'}, {'Answer': 'no', 'Explanation': 'The sentence provided does not contain a summative modifier. The phrase of the help of the sacraments in certain cases is not summarizing or generalizing a preceding clause or phrase. Instead, it is specifying a particular aspect, and therefore does not fit the definition of a summative modifier.', 'Property': 'summative modifier'}]",[]
73,[0],"Meanwhile, according to a Breitbart report by Allum Bokhari, “By inserting negative search suggestions under the name of a candidate, search engines like Google can shift the opinions of undecided voters by up to 43.4 percent, according to new research by a team at the American Institute for Behavioral Research and Technology and reported exclusively by Breitbart News.”",Phrases_built_on_nouns,[],[],['appositives'],False,[],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'a Breitbart report by Allum Bokhari' is an appositive, as it renames the noun 'Breitbart report' by providing additional information about it.""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'a Breitbart report by Allum Bokhari' is an appositive, it renames the noun 'Breitbart report' with additional information about the source and author.""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'a Breitbart report by Allum Bokhari' is an appositive that renames the noun 'Breitbart report'.""
}",['appositives'],True,"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'a Breitbart report by Allum Bokhari' is an appositive, renaming the noun 'report'.""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'a Breitbart report by Allum Bokhari' is an appositive, as it renames the noun 'report' and provides additional information about it.""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'a Breitbart report by Allum Bokhari' is an appositive, renaming the noun 'Breitbart report'.""
}",['appositives'],1,['appositives'],0.0,0.0,,[],"[{'Answer': 'no', 'Explanation': 'The sentence provided does not contain any phrases built on nouns categorized as appositives. An appositive renames or explains a noun, typically appearing right after the noun it renames. In the given sentence, there are no such constructions where a noun is renamed or explained by another noun or noun phrase.', 'Property': 'appositives'}, {'Answer': 'no', 'Explanation': 'The sentence provided does not contain any phrases built on nouns that can be categorized as absolute constructions. An absolute construction typically involves a noun and a participle, and it functions as a modifier for the entire clause. In the given sentence, there are no such constructions present. Instead, the sentence contains a complex noun phrase and a relative clause, but not an absolute construction.', 'Property': 'absolute construction'}, {'Answer': 'no', 'Explanation': 'The sentence provided does not contain a resumptive modifier. A resumptive modifier is a type of noun phrase where the modifier repeats the noun it is modifying. In the given sentence, there are no instances of a resumptive modifier. The sentence contains a complex noun phrase a Breitbart report by Allum Bokhari but it does not repeat the noun it modifies, so it does not fit the definition of a resumptive modifier.', 'Property': 'resumptive modifier'}, {'Answer': 'yes', 'Explanation': 'The phrase according to a Breitbart report by Allum Bokhari functions as a summative modifier in the sentence. It summarizes the source of the information and modifies the verb reported. This phrase is built on the noun report and serves to generalize the source of the information.', 'Property': 'summative modifier'}]",['summative_modifier']
80,[1],"Also, as this is an unprecedented moment in papal history, perhaps the unprecedented step of recalling Benedict XVI to the Chair of St. Peter should also be considered sooner rather than later, before this crisis gets any more out-of-control than it already is.",Phrases_built_on_nouns,[],[],[],True,[],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'an unprecedented moment in papal history' renames and further describes the noun 'this' in the sentence.""
}",['appositives'],"{
  ""Properties"": [""summative modifier""],
  ""Explanation"": ""The phrase 'an unprecedented moment in papal history' summarizes or generalizes the preceding clause about the current situation, making use of a summative modifier.""
}",['summative_modifier'],"{
  ""Properties"": [
    ""appositives""
  ],
  ""Explanation"": ""The phrase 'an unprecedented moment in papal history' is an appositive, renaming and further explaining the noun 'this' in the sentence.""
}",['appositives'],False,"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'an unprecedented moment in papal history' is an appositive, as it renames the noun 'moment' and provides additional information about it.""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'an unprecedented moment in papal history' is an appositive, renaming the noun 'moment'.""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'an unprecedented moment in papal history' is an appositive, renaming the noun 'moment'.""
}",['appositives'],1,['appositives'],1.0,0.0,,[],"[{'Answer': 'no', 'Explanation': 'The sentence does not contain any phrases built on nouns that can be categorized as appositives. An appositive renames or explains a noun, typically appearing right after the noun it renames. In the given sentence, there are no instances of a noun being renamed or explained by a phrase built on a noun.', 'Property': 'appositives'}, {'Answer': 'no', 'Explanation': 'The sentence provided does not contain any absolute constructions. An absolute construction typically consists of a noun and a participle (often ending in -ing or -ed) and provides additional information about the main clause. In the given sentence, there are no phrases that fit this description. Instead, the sentence contains complex structures and subordinate clauses, but not absolute constructions.', 'Property': 'absolute construction'}, {'Answer': 'no', 'Explanation': 'The sentence does not contain a resumptive modifier. A resumptive modifier is a type of noun phrase where the modifier repeats the noun it is modifying. In the given sentence, unprecedented moment and unprecedented step are not examples of resumptive modifiers. The phrase unprecedented moment is a noun phrase, but it does not repeat the noun it modifies. Similarly, unprecedented step is also a noun phrase, but it does not repeat the noun it modifies. Therefore, the sentence does not contain any phrases built on nouns that can be categorized as resumptive modifiers.', 'Property': 'resumptive modifier'}, {'Answer': 'yes', 'Explanation': 'The sentence contains a phrase built on a noun that can be categorized as a summative modifier. The phrase an unprecedented moment in papal history serves as a summative modifier, summarizing or generalizing the preceding clause or phrase, and providing additional context to the main clause.', 'Property': 'summative modifier'}]",['summative_modifier']
83,[1],"A dark, impenetrable and “irreversible” winter of persecution of the faithful by their own shepherds will fall.",Phrases_built_on_nouns,[],[],[],True,[],"{
  ""Properties"": [""summative modifier""],
  ""Explanation"": ""The phrase 'a dark, impenetrable and “irreversible” winter of persecution' summarizes or generalizes the preceding clause 'persecution of the faithful by their own shepherds'.""
}",['summative_modifier'],"{
  ""Properties"": [""summative modifier""],
  ""Explanation"": ""The phrase 'a dark, impenetrable and “irreversible” winter of persecution' summarizes or generalizes the preceding clause 'persecution of the faithful by their own shepherds.'""
}",['summative_modifier'],"{
  ""Properties"": [""summative modifier""],
  ""Explanation"": ""The phrase 'A dark, impenetrable and 'irreversible' winter of persecution of the faithful by their own shepherds' summarizes or generalizes the preceding clause 'will fall.'""
}",['summative_modifier'],True,"{
  ""Properties"": [""summative modifier""],
  ""Explanation"": ""The phrase 'a dark, impenetrable and “irreversible” winter of persecution' summarizes or generalizes the preceding clause 'persecution of the faithful by their own shepherds'.""
}",['summative_modifier'],"{
  ""Properties"": [""summative modifier""],
  ""Explanation"": ""The phrase 'a dark, impenetrable and “irreversible” winter of persecution' summarizes or generalizes the preceding clause 'persecution of the faithful by their own shepherds.'""
}",['summative_modifier'],"{
  ""Properties"": [""summative modifier""],
  ""Explanation"": ""The phrase 'a dark, impenetrable and “irreversible” winter of persecution' summarizes or generalizes the preceding clause, making it a summative modifier.""
}",['summative_modifier'],1,['summative_modifier'],1.0,0.0,,[],"[{'Answer': 'no', 'Explanation': 'The sentence provided does not contain an appositive phrase. An appositive phrase typically renames or clarifies a noun, but in the given sentence, there is no renaming of a noun using a phrase built on nouns. Instead, the sentence contains a descriptive phrase (a dark, impenetrable and “irreversible” winter of persecution) modifying the noun winter.', 'Property': 'appositives'}, {'Answer': 'no', 'Explanation': 'The sentence provided does not contain an absolute construction. An absolute construction typically involves a noun and a participle, and it functions as a modifier for the entire clause. In the given sentence, A dark, impenetrable and “irreversible” winter of persecution of the faithful by their own shepherds will fall, there are no phrases built on nouns that can be categorized as absolute constructions. The phrases dark, impenetrable and irreversible are adjectives modifying the noun winter, and they do not form an absolute construction.', 'Property': 'absolute construction'}, {'Answer': 'no', 'Explanation': 'The sentence provided does not contain a resumptive modifier. A resumptive modifier is a type of noun phrase that repeats the noun it modifies, such as The letter from the president, a letter without precedent. In the given sentence, A dark, impenetrable and “irreversible” winter of persecution of the faithful by their own shepherds will fall, there are no instances of a resumptive modifier. The phrases dark, impenetrable and irreversible are adjectival phrases modifying winter, but they do not repeat the noun winter as required for a resumptive modifier.', 'Property': 'resumptive modifier'}, {'Answer': 'no', 'Explanation': 'The sentence provided does not contain a summative modifier built on a noun. The phrase A dark, impenetrable and “irreversible” winter of persecution of the faithful is a noun phrase, but it does not summarize or generalize a preceding clause or phrase. Instead, it provides a detailed description of the upcoming winter of persecution. Therefore, it does not fit the definition of a summative modifier.', 'Property': 'summative modifier'}]",[]
