sentence_id,technique,text,feature_id,props_a20,props_a21,props_a22,annotator_consistency,props_gpt4_majority,res_1.0_1,gpt_props_1.0_1,res_1.0_2,gpt_props_1.0_2,res_1.0_3,gpt_props_1.0_3,gpt3.5_1.0_consistency,res_0.2_1,gpt_props_0.2_1,res_0.2_2,gpt_props_0.2_2,res_0.2_3,gpt_props_0.2_3,gpt3.5_0.2_consistency,gpt3.5_0.2_majority,humans isCorrect,gpt isCorrect,comments,ground truth,propertygpt-4o-mini,resgpt-4o-mini_0.0_V4,propertygpt-4o-mini_0.0_V4
14,[0],Conservative Ben Shapiro told Fox news the verdict was “horrifying.,Tense,['past'],['past'],['past'],True,[],"{
  ""Properties"": [""present""],
  ""Explanation"": ""The use of 'told' indicates the past tense, but the verb 'was' is in the present tense, emphasizing the immediacy of the verdict as well as its impact on the speaker."" 
}",['present'],"{
  ""Properties"": [""past""],
  ""Explanation"": ""The sentence uses the past tense 'was' to express something that already happened.""
}",['past'],"{
  ""Properties"": [""past""],
  ""Explanation"": ""The use of the past tense 'was' indicates that the action of 'told' already happened.""
}",['past'],0,"{
  ""Properties"": [""present""],
  ""Explanation"": ""The use of 'told' indicates the present tense, which is often used in news headlines for immediacy effect.""
}",['present'],"{
  ""Properties"": [""past""],
  ""Explanation"": ""The use of 'was' indicates that the action has already happened, placing it in the past tense.""
}",['past'],"{
  ""Properties"": [""present""],
  ""Explanation"": ""The use of the present tense in the quote 'the verdict was “horrifying' emphasizes the immediacy and impact of the statement.""
}",['present'],0,['present'],1.0,0.0,,['past'],present,"{
  ""Answer"": ""no"",
  ""Explanation"": ""The sentence 'Conservative Ben Shapiro told Fox news the verdict was “horrifying.' is in the past tense. The verb 'told' indicates that the action occurred in the past, and 'was' is also a past tense verb. Therefore, the sentence does not contain present tense.""
}",[]
14,[0],Conservative Ben Shapiro told Fox news the verdict was “horrifying.,Tense,['past'],['past'],['past'],True,[],"{
  ""Properties"": [""present""],
  ""Explanation"": ""The use of 'told' indicates the past tense, but the verb 'was' is in the present tense, emphasizing the immediacy of the verdict as well as its impact on the speaker."" 
}",['present'],"{
  ""Properties"": [""past""],
  ""Explanation"": ""The sentence uses the past tense 'was' to express something that already happened.""
}",['past'],"{
  ""Properties"": [""past""],
  ""Explanation"": ""The use of the past tense 'was' indicates that the action of 'told' already happened.""
}",['past'],0,"{
  ""Properties"": [""present""],
  ""Explanation"": ""The use of 'told' indicates the present tense, which is often used in news headlines for immediacy effect.""
}",['present'],"{
  ""Properties"": [""past""],
  ""Explanation"": ""The use of 'was' indicates that the action has already happened, placing it in the past tense.""
}",['past'],"{
  ""Properties"": [""present""],
  ""Explanation"": ""The use of the present tense in the quote 'the verdict was “horrifying' emphasizes the immediacy and impact of the statement.""
}",['present'],0,['present'],1.0,0.0,,['past'],past,"{
  ""Answer"": ""yes"",
  ""Explanation"": ""The sentence contains the verb 'told,' which is the past tense form of 'tell.' This indicates that the action of telling occurred in the past, thus confirming that the sentence contains past tense.""
}",['past']
14,[0],Conservative Ben Shapiro told Fox news the verdict was “horrifying.,Tense,['past'],['past'],['past'],True,[],"{
  ""Properties"": [""present""],
  ""Explanation"": ""The use of 'told' indicates the past tense, but the verb 'was' is in the present tense, emphasizing the immediacy of the verdict as well as its impact on the speaker."" 
}",['present'],"{
  ""Properties"": [""past""],
  ""Explanation"": ""The sentence uses the past tense 'was' to express something that already happened.""
}",['past'],"{
  ""Properties"": [""past""],
  ""Explanation"": ""The use of the past tense 'was' indicates that the action of 'told' already happened.""
}",['past'],0,"{
  ""Properties"": [""present""],
  ""Explanation"": ""The use of 'told' indicates the present tense, which is often used in news headlines for immediacy effect.""
}",['present'],"{
  ""Properties"": [""past""],
  ""Explanation"": ""The use of 'was' indicates that the action has already happened, placing it in the past tense.""
}",['past'],"{
  ""Properties"": [""present""],
  ""Explanation"": ""The use of the present tense in the quote 'the verdict was “horrifying' emphasizes the immediacy and impact of the statement.""
}",['present'],0,['present'],1.0,0.0,,['past'],future,"{
  ""Answer"": ""no"",
  ""Explanation"": ""The sentence provided does not contain any verbs in the future tense. The verb 'told' is in the past tense, and the phrase 'was horrifying' also uses the past tense. There are no indications of an action that is set to occur in the future.""
}",[]
14,[0],Conservative Ben Shapiro told Fox news the verdict was “horrifying.,Tense,['past'],['past'],['past'],True,[],"{
  ""Properties"": [""present""],
  ""Explanation"": ""The use of 'told' indicates the past tense, but the verb 'was' is in the present tense, emphasizing the immediacy of the verdict as well as its impact on the speaker."" 
}",['present'],"{
  ""Properties"": [""past""],
  ""Explanation"": ""The sentence uses the past tense 'was' to express something that already happened.""
}",['past'],"{
  ""Properties"": [""past""],
  ""Explanation"": ""The use of the past tense 'was' indicates that the action of 'told' already happened.""
}",['past'],0,"{
  ""Properties"": [""present""],
  ""Explanation"": ""The use of 'told' indicates the present tense, which is often used in news headlines for immediacy effect.""
}",['present'],"{
  ""Properties"": [""past""],
  ""Explanation"": ""The use of 'was' indicates that the action has already happened, placing it in the past tense.""
}",['past'],"{
  ""Properties"": [""present""],
  ""Explanation"": ""The use of the present tense in the quote 'the verdict was “horrifying' emphasizes the immediacy and impact of the statement.""
}",['present'],0,['present'],1.0,0.0,,['past'],progression,"{
  ""Answer"": ""no"",
  ""Explanation"": ""The sentence provided does not contain progression tense. It maintains a consistent tense throughout, using the past tense 'was' to describe Ben Shapiro's statement about the verdict. There is no shift in tense within the sentence that would indicate a progression tense for effect.""
}",[]
16,[0],"According to Breitbart, “Sellner, who described the detention centre as looking akin to a typical American prison, said he was told by authorities that his speaking at Hyde Park could cause violence and disrupt community cohesion.”",Tense,['past'],['past'],['past'],True,[],"{
  ""Properties"": [""present"", ""past""],
  ""Explanation"": ""The text uses the past tense 'described' and 'was told' to express actions that have already happened. It also uses the present tense 'could cause' to emphasize a potential action in the future.""
}","['present', 'past']","{
  ""Properties"": [""past""],
  ""Explanation"": ""The text uses the past tense to describe actions that have already taken place, such as 'he was told' and 'could cause.'""
}",['past'],"{
  ""Properties"": [""present"", ""past""],
  ""Explanation"": ""The sentence contains the use of the past tense ('was told') to indicate that the action of being told by the authorities occurred in the past. It also includes the present tense ('could cause') to emphasize the potential immediate impact of his speaking at Hyde Park.""
}","['present', 'past']",0,"{
  ""Properties"": [""present"", ""past""],
  ""Explanation"": ""The text uses the present tense in 'described' and 'said' to emphasize the immediacy of the actions, and the past tense in 'was told' to indicate that the action already happened.""
}","['present', 'past']","{
  ""Properties"": [""present"", ""past""],
  ""Explanation"": ""The text uses the present tense 'described' for immediacy effect and the past tense 'was told' to express something that already happened.""
}","['present', 'past']","{
  ""Properties"": [""present"", ""past""],
  ""Explanation"": ""The text uses the present tense in 'described' and 'said' to emphasize the immediacy of Sellner's actions, and the past tense in 'was told' to indicate that this action already happened.""
}","['present', 'past']",1,"['present', 'past']",1.0,0.0,GPT misinterprets the definition,['past'],present,"{
  ""Answer"": ""no"",
  ""Explanation"": ""The sentence provided primarily uses past tense verbs, such as 'described' and 'was told.' While it does contain a present tense clause ('could cause' and 'disrupt'), the overall structure and main actions are conveyed in the past tense, indicating that the events being reported have already occurred.""
}",[]
16,[0],"According to Breitbart, “Sellner, who described the detention centre as looking akin to a typical American prison, said he was told by authorities that his speaking at Hyde Park could cause violence and disrupt community cohesion.”",Tense,['past'],['past'],['past'],True,[],"{
  ""Properties"": [""present"", ""past""],
  ""Explanation"": ""The text uses the past tense 'described' and 'was told' to express actions that have already happened. It also uses the present tense 'could cause' to emphasize a potential action in the future.""
}","['present', 'past']","{
  ""Properties"": [""past""],
  ""Explanation"": ""The text uses the past tense to describe actions that have already taken place, such as 'he was told' and 'could cause.'""
}",['past'],"{
  ""Properties"": [""present"", ""past""],
  ""Explanation"": ""The sentence contains the use of the past tense ('was told') to indicate that the action of being told by the authorities occurred in the past. It also includes the present tense ('could cause') to emphasize the potential immediate impact of his speaking at Hyde Park.""
}","['present', 'past']",0,"{
  ""Properties"": [""present"", ""past""],
  ""Explanation"": ""The text uses the present tense in 'described' and 'said' to emphasize the immediacy of the actions, and the past tense in 'was told' to indicate that the action already happened.""
}","['present', 'past']","{
  ""Properties"": [""present"", ""past""],
  ""Explanation"": ""The text uses the present tense 'described' for immediacy effect and the past tense 'was told' to express something that already happened.""
}","['present', 'past']","{
  ""Properties"": [""present"", ""past""],
  ""Explanation"": ""The text uses the present tense in 'described' and 'said' to emphasize the immediacy of Sellner's actions, and the past tense in 'was told' to indicate that this action already happened.""
}","['present', 'past']",1,"['present', 'past']",1.0,0.0,GPT misinterprets the definition,['past'],past,"{
  ""Answer"": ""yes"",
  ""Explanation"": ""The sentence contains past tense verbs such as 'described' and 'said', which indicate actions that have already occurred. The phrase 'he was told' also uses the past tense, further confirming that the sentence discusses events that happened in the past.""
}",['past']
16,[0],"According to Breitbart, “Sellner, who described the detention centre as looking akin to a typical American prison, said he was told by authorities that his speaking at Hyde Park could cause violence and disrupt community cohesion.”",Tense,['past'],['past'],['past'],True,[],"{
  ""Properties"": [""present"", ""past""],
  ""Explanation"": ""The text uses the past tense 'described' and 'was told' to express actions that have already happened. It also uses the present tense 'could cause' to emphasize a potential action in the future.""
}","['present', 'past']","{
  ""Properties"": [""past""],
  ""Explanation"": ""The text uses the past tense to describe actions that have already taken place, such as 'he was told' and 'could cause.'""
}",['past'],"{
  ""Properties"": [""present"", ""past""],
  ""Explanation"": ""The sentence contains the use of the past tense ('was told') to indicate that the action of being told by the authorities occurred in the past. It also includes the present tense ('could cause') to emphasize the potential immediate impact of his speaking at Hyde Park.""
}","['present', 'past']",0,"{
  ""Properties"": [""present"", ""past""],
  ""Explanation"": ""The text uses the present tense in 'described' and 'said' to emphasize the immediacy of the actions, and the past tense in 'was told' to indicate that the action already happened.""
}","['present', 'past']","{
  ""Properties"": [""present"", ""past""],
  ""Explanation"": ""The text uses the present tense 'described' for immediacy effect and the past tense 'was told' to express something that already happened.""
}","['present', 'past']","{
  ""Properties"": [""present"", ""past""],
  ""Explanation"": ""The text uses the present tense in 'described' and 'said' to emphasize the immediacy of Sellner's actions, and the past tense in 'was told' to indicate that this action already happened.""
}","['present', 'past']",1,"['present', 'past']",1.0,0.0,GPT misinterprets the definition,['past'],future,"{
  ""Answer"": ""no"",
  ""Explanation"": ""The sentence provided does not contain any verbs in the future tense. It discusses past events and statements made by Sellner, using past tense verbs such as 'described' and 'was told.' The phrase 'could cause' is conditional and does not indicate a future action; it suggests a possibility rather than a definite future occurrence.""
}",[]
16,[0],"According to Breitbart, “Sellner, who described the detention centre as looking akin to a typical American prison, said he was told by authorities that his speaking at Hyde Park could cause violence and disrupt community cohesion.”",Tense,['past'],['past'],['past'],True,[],"{
  ""Properties"": [""present"", ""past""],
  ""Explanation"": ""The text uses the past tense 'described' and 'was told' to express actions that have already happened. It also uses the present tense 'could cause' to emphasize a potential action in the future.""
}","['present', 'past']","{
  ""Properties"": [""past""],
  ""Explanation"": ""The text uses the past tense to describe actions that have already taken place, such as 'he was told' and 'could cause.'""
}",['past'],"{
  ""Properties"": [""present"", ""past""],
  ""Explanation"": ""The sentence contains the use of the past tense ('was told') to indicate that the action of being told by the authorities occurred in the past. It also includes the present tense ('could cause') to emphasize the potential immediate impact of his speaking at Hyde Park.""
}","['present', 'past']",0,"{
  ""Properties"": [""present"", ""past""],
  ""Explanation"": ""The text uses the present tense in 'described' and 'said' to emphasize the immediacy of the actions, and the past tense in 'was told' to indicate that the action already happened.""
}","['present', 'past']","{
  ""Properties"": [""present"", ""past""],
  ""Explanation"": ""The text uses the present tense 'described' for immediacy effect and the past tense 'was told' to express something that already happened.""
}","['present', 'past']","{
  ""Properties"": [""present"", ""past""],
  ""Explanation"": ""The text uses the present tense in 'described' and 'said' to emphasize the immediacy of Sellner's actions, and the past tense in 'was told' to indicate that this action already happened.""
}","['present', 'past']",1,"['present', 'past']",1.0,0.0,GPT misinterprets the definition,['past'],progression,"{
  ""Answer"": ""no"",
  ""Explanation"": ""The sentence provided does not contain progression tense as defined in the context. It maintains a consistent past tense throughout, with 'described,' 'said,' and 'was told' all in the past tense. There is no shift in tense within the sentence for effect, which is the hallmark of progression tense.""
}",[]
68,[0],"I have read the Cardinal's exposition in both Italian and English, and I only find mention of the help of the sacraments in certain cases.",Tense,['present'],['present'],['present'],True,[],"{
  ""Properties"": [""past""],
  ""Explanation"": ""The text uses the past tense ('have read', 'find mention', 'exposition', 'find mention') to indicate that these actions have already occurred.""
}",['past'],"{
  ""Properties"": [""present"", ""past""],
  ""Explanation"": ""The use of 'have read', 'find mention', and 'only find' indicate the presence of both present and past tense in the text.""
}","['present', 'past']","{
  ""Properties"": [""past""],
  ""Explanation"": ""The use of past tense 'have read' and 'find mention' indicates that the actions have already happened.""
}",['past'],0,"{
  ""Properties"": [""past""],
  ""Explanation"": ""The use of 'find' and 'mention' indicates that the text is discussing something that has already happened, so the past tense is used.""
}",['past'],"{
  ""Properties"": [""past""],
  ""Explanation"": ""The use of 'find' and 'mention' indicate that the text is discussing something that has already happened, hence the use of the past tense.""
}",['past'],"{
  ""Properties"": [""past""],
  ""Explanation"": ""The use of 'find' and 'mention' indicates that the text is discussing something that has already happened, hence the use of the past tense.""
}",['past'],1,['past'],0.0,0.0,GPT misinterprets the definition,"['present', 'past']",present,"{
  ""Answer"": ""no"",
  ""Explanation"": ""The sentence provided uses the present perfect tense ('I have read'), which indicates an action that was completed at some point in the past but is relevant to the present. The main verb 'find' is in the present tense, but the overall structure of the sentence does not solely express an action taking place right now, as it also includes a completed action. Therefore, the sentence does not contain present tense in the context of expressing something that takes place right now.""
}",[]
68,[0],"I have read the Cardinal's exposition in both Italian and English, and I only find mention of the help of the sacraments in certain cases.",Tense,['present'],['present'],['present'],True,[],"{
  ""Properties"": [""past""],
  ""Explanation"": ""The text uses the past tense ('have read', 'find mention', 'exposition', 'find mention') to indicate that these actions have already occurred.""
}",['past'],"{
  ""Properties"": [""present"", ""past""],
  ""Explanation"": ""The use of 'have read', 'find mention', and 'only find' indicate the presence of both present and past tense in the text.""
}","['present', 'past']","{
  ""Properties"": [""past""],
  ""Explanation"": ""The use of past tense 'have read' and 'find mention' indicates that the actions have already happened.""
}",['past'],0,"{
  ""Properties"": [""past""],
  ""Explanation"": ""The use of 'find' and 'mention' indicates that the text is discussing something that has already happened, so the past tense is used.""
}",['past'],"{
  ""Properties"": [""past""],
  ""Explanation"": ""The use of 'find' and 'mention' indicate that the text is discussing something that has already happened, hence the use of the past tense.""
}",['past'],"{
  ""Properties"": [""past""],
  ""Explanation"": ""The use of 'find' and 'mention' indicates that the text is discussing something that has already happened, hence the use of the past tense.""
}",['past'],1,['past'],0.0,0.0,GPT misinterprets the definition,"['present', 'past']",past,"{
  ""Answer"": ""no"",
  ""Explanation"": ""The sentence provided uses the present perfect tense ('I have read'), which indicates an action that occurred at an unspecified time before now. It does not contain a verb in the simple past tense, which would express an action that was completed in the past. The phrase 'I have read' does not fit the definition of past tense as it relates to actions that have relevance to the present.""
}",[]
