sentence_id,technique,text,feature_id,props_a20,props_a21,props_a22,res1,gpt_props1,res2,gpt_props2,res3,gpt_props3,props_a_majority,props_gpt_majority,ann_gpt_agreemnt,props_gpt4_majority
4,[0 8 9],"Muhammad advises the same thing, according to the tradition of the Muslim doctors: wherefore the great Temur always strove to exterminate the infidels, as much to acquire that glory, as to signalise himself by the greatness of his conquests.”",Phrases_built_on_verbs,[],[],['inifinitive_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The participal phrase 'wherefore the great Temur always strove to exterminate the infidels' modifies the verb 'strive' and describes the reason or motive for his actions.""
}",['participal_phrases'],"{
  ""Properties"": [
    ""participal phrases"",
    ""infinite phrases""
  ],
  ""Explanation"": ""The text contains participal phrases 'to acquire that glory' and 'to signalise himself' as well as an infinitive phrase 'to exterminate the infidels'. These phrases modify the actions of the main verb 'stroved'.""
}","['participal_phrases', 'inifinitive_phrases']","{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The phrase 'having boiled the water' is an example of a participal phrase used in the text, modifying the subject 'I'.""
}",['participal_phrases'],[],['participal_phrases'],-1,[]
11,[0 8],"We are simply asked to take the pope’s word for it, but given that it follows his astoundingly brazen lie that there was no evidence for Ricca’s homosexual activity in the first place, we can take the assurance for what it seems to be worth.",Phrases_built_on_verbs,"['inifinitive_phrases', 'participal_phrases']",[],['inifinitive_phrases'],"{
  ""Properties"": [],
  ""Explanation"": ""The example text does not contain any participial or infinitive phrases built on verbs.""
}",[],"``` 
        {
          ""Properties"": [""participal phrases""],
          ""Explanation"": ""The example text contains a participal phrase 'following his astoundingly brazen lie'.""
        }
```",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The example text contains a participal phrase 'given that it follows his astoundingly brazen lie', which changes the relation of the action to an agent.""
}",['participal_phrases'],"['inifinitive_phrases', 'participal_phrases']",['participal_phrases'],0,[]
14,[0],Conservative Ben Shapiro told Fox news the verdict was “horrifying.,Phrases_built_on_verbs,[],[],[],"``` 
{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The phrase 'horrifying' functions as an adjective to describe the verdict, and is headed by the participle 'horrifying'.""
}
```",['participal_phrases'],"{
  ""Properties"": [""participial phrases""],
  ""Explanation"": ""The phrase 'Conservative Ben Shapiro told' contains a participial phrase 'Conservative Ben Shapiro' being the one who told Fox news the verdict was 'horrifying'.""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The example text contains a participal phrase 'Conservative Ben Shapiro told', where 'told' functions as a participle rather than a verb.""
}",['participal_phrases'],[],['participal_phrases'],-1,[]
16,[0],"According to Breitbart, “Sellner, who described the detention centre as looking akin to a typical American prison, said he was told by authorities that his speaking at Hyde Park could cause violence and disrupt community cohesion.”",Phrases_built_on_verbs,[],[],[],"{
  ""Properties"": [
    ""participal phrases"",
    ""inifinitive phrases""
  ],
  ""Explanation"": ""The example text contains both participal and infinitive phrases. 'looking akin to a typical American prison' is a participal phrase and 'to cause violence and disrupt community cohesion' is an infinitive phrase.""
}","['participal_phrases', 'inifinitive_phrases']","{
  ""Properties"": [
    ""participal phrases""
  ],
  ""Explanation"": ""The text contains the participial phrase 'who described the detention centre as looking akin to a typical American prison'. This phrase describes the subject (Sellner) and changes the relationship of the action (described) to the agent.""
}",['participal_phrases'],"{
  ""Properties"": [""participial phrases""],
  ""Explanation"": ""The example text contains a participial phrase 'described the detention centre as looking akin to a typical American prison'. This phrase modifies 'Sellner' and provides additional information about his actions.""
}",['participal_phrases'],[],['participal_phrases'],-1,[]
23,[0],"“This is a clear violation of the Senate Ethics rules which safeguard against the appearance or actuality of elected officials ‘cashing in’ on their official position for political purposes,” said Kendra Arnold, executive director of FACT.",Phrases_built_on_verbs,[],[],[],"```json
{
  ""Properties"": [
    ""participal phrases""
  ],
  ""Explanation"": ""The example text contains a participal phrase 'elected officials ‘cashing in’ on their official position', which describes the action of the elected officials.""
}
```",['participal_phrases'],timeout,[],"```json
{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The phrase 'safeguard against the appearance or actuality of elected officials ‘cashing in’ on their official position for political purposes' is a participal phrase modifying 'Senate Ethics rules.'""
}
```",['participal_phrases'],[],['participal_phrases'],-1,[]
32,[0 6],Cardinal Raymond Burke’s statement declares: “The declarations made by a prelate of the authority of Archbishop Carlo Maria Viganò must be totally taken to heart by those responsible in the Church.”,Phrases_built_on_verbs,[],[],[],"{
  ""Properties"": [
    ""participal phrases""
  ],
  ""Explanation"": ""The example text contains a participal phrase 'made by a prelate', which modifies the noun 'declarations'.""
}",['participal_phrases'],"```JSON
{
    ""Properties"": [""participal phrases""],
    ""Explanation"": ""The phrase 'made by a prelate' is a participal phrase modifying the noun 'declarations', indicating who made the declarations.""
}
```",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The participal phrase 'made by a prelate' modifies the noun 'declarations' in the sentence.""
}",['participal_phrases'],[],['participal_phrases'],-1,[]
43,[0],"As a former trial lawyer, I can tell you that while neither notes nor memories are infallible, in a contest between contemporaneous notes and later verbal testimony about those notes, the content of the written notes usually prevails.",Phrases_built_on_verbs,['participal_phrases'],['participal_phrases'],[],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The example text contains a participal phrase 'As a former trial lawyer'. This phrase modifies the subject 'I' and functions as an adjective.""
}",['participal_phrases'],"{
    ""Properties"": [""participal phrases""],
    ""Explanation"": ""The example text contains a participal phrase 'being something' as 'a former trial lawyer'.""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The example text contains a participal phrase 'having done something' - 'having boiled the water'""
}",['participal_phrases'],['participal_phrases'],['participal_phrases'],1,[]
47,[0],"“I don’t regard Louis Farrakhan as an aberration or anything, I regard him as an outstanding human being who commands a following of individuals who are learned and articulate and he plays a big role in the lives of thousands and thousands and thousands and thousands of people,” he emphasized later.",Phrases_built_on_verbs,[],[],[],"```{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The phrase 'being learned and articulate' functions as an adjective and is headed by the participle 'being'.""
}```",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The example text contains a participal phrase 'being learned and articulate'. It functions as an adjective phrase describing the individuals who follow Louis Farrakhan.""
}",['participal_phrases'],"```json
        {
            ""Properties"": [""participal phrases""],
            ""Explanation"": ""The phrase 'having boiled the water' is an example of a participal phrase used in the text.""
        }
```",['participal_phrases'],[],['participal_phrases'],-1,[]
50,[0],"John Hancock, the first signer of the Declaration of Independence, said,",Phrases_built_on_verbs,[],[],[],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The phrase 'the first signer of the Declaration of Independence' is a participial phrase describing John Hancock.""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The phrase 'the first signer of the Declaration of Independence' is a participial phrase describing John Hancock.""
}",['participal_phrases'],"{
    ""Properties"": [""participal phrases""],
    ""Explanation"": ""The phrase 'the first signer of the Declaration of Independence' is a participle phrase modifying 'John Hancock'.""
}",['participal_phrases'],[],['participal_phrases'],-1,[]
54,[0],"She said Thursday regarding Ms. Ford: ""I believe her because she is telling the truth and you know it by her story.""",Phrases_built_on_verbs,[],[],[],"{
  ""Properties"": [],
  ""Explanation"": ""The example text does not contain any participial or infinitive phrases built on verbs.""
}",[],timeout,[],timeout,[],[],[],1,[]
68,[0],"I have read the Cardinal's exposition in both Italian and English, and I only find mention of the help of the sacraments in certain cases.",Phrases_built_on_verbs,[],[],[],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The example text contains a participal phrase 'having read' which modifies the subject 'I'.""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The sentence contains the phrase 'having read the Cardinal's exposition in both Italian and English', which is a participal phrase.""
}",['participal_phrases'],timeout,[],[],['participal_phrases'],-1,[]
73,[0],"Meanwhile, according to a Breitbart report by Allum Bokhari, “By inserting negative search suggestions under the name of a candidate, search engines like Google can shift the opinions of undecided voters by up to 43.4 percent, according to new research by a team at the American Institute for Behavioral Research and Technology and reported exclusively by Breitbart News.”",Phrases_built_on_verbs,['participal_phrases'],['participal_phrases'],['participal_phrases'],"``` 
{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The phrase 'By inserting negative search suggestions' is a participal phrase describing the action taken by someone.""
}
```",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The participial phrase 'reported exclusively by Breitbart News' modifies the verb 'research.'""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The example text contains a participial phrase 'according to a Breitbart report by Allum Bokhari'.""
}",['participal_phrases'],['participal_phrases'],['participal_phrases'],1,[]
80,[1],"Also, as this is an unprecedented moment in papal history, perhaps the unprecedented step of recalling Benedict XVI to the Chair of St. Peter should also be considered sooner rather than later, before this crisis gets any more out-of-control than it already is.",Phrases_built_on_verbs,['participal_phrases'],['participal_phrases'],[],"```json
{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The example text contains a participal phrase 'recalling Benedict XVI to the Chair of St. Peter' which describes the action being performed.""
}
```",['participal_phrases'],"``` 
{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The phrase 'before this crisis gets any more out-of-control than it already is' contains a participal phrase ('gets any more out-of-control') which expresses the action in a way that changes its relation to the agent.""
}
```",['participal_phrases'],timeout,[],['participal_phrases'],['participal_phrases'],1,[]
83,[1],"A dark, impenetrable and “irreversible” winter of persecution of the faithful by their own shepherds will fall.",Phrases_built_on_verbs,[],[],[],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The phrase 'persecution of the faithful' functions as an adjective, modifying the noun 'winter'. This participial phrase is 'of the faithful by their own shepherds'.""
}",['participal_phrases'],timeout,[],"```json
{
  ""Properties"": [
    ""participal phrases""
  ],
  ""Explanation"": ""The phrase 'persecution of the faithful by their own shepherds' is a participal phrase (present participle) functioning as an adjective modifying 'winter'.""
}
```",['participal_phrases'],[],['participal_phrases'],-1,[]
117,[ 1 12],"And so Chris Bryant, “a senior Labour backbencher, has written to May urging her to go further, and issue an official ban on Donald Trump from entering the UK on the grounds he is condoning fascism and his presence is ‘not conducive to the public good’, a senior Labour MP has said.”",Phrases_built_on_verbs,[],['participal_phrases'],['participal_phrases'],"{
  ""Properties"": [""participial phrases""],
  ""Explanation"": ""The participle phrase 'urging her to go further' modifies the noun 'Chris Bryant' by describing his action.""
}",['participal_phrases'],"{
  ""Properties"": [""participial phrases""],
  ""Explanation"": ""The sentence contains a participial phrase 'condoning fascism and his presence is not conducive to the public good' which modifies the grounds for urging the official ban on Donald Trump.""
}",['participal_phrases'],timeout,[],['participal_phrases'],['participal_phrases'],1,[]
118,[1],"In any case, note well: the letter to me from the UK Home Office said that I was banned for saying that “[Islam] is a religion and is a belief system that mandates warfare against unbelievers…”",Phrases_built_on_verbs,[],[],[],"``` 
{
  ""Properties"": [""participial phrases""],
  ""Explanation"": ""The phrase 'saying that' functions as a participial phrase, modifying the noun 'letter'.""
}
```",['participal_phrases'],"```json
{
  ""Properties"": [""participial phrases""],
  ""Explanation"": ""The phrase 'saying that' is a participial phrase, modifying the noun 'letter'.""
}
```",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The phrase 'saying that \""[Islam] is a religion and is a belief system that mandates warfare against unbelievers\""' is a participial phrase acting as an adjective to modify 'the letter'.""
}",['participal_phrases'],[],['participal_phrases'],-1,[]
127,[1],"I have seen a veritable chorus of Catholics on social media declaring that if Paul VI is canonised, their loss of faith in the Church as an institution will be complete.",Phrases_built_on_verbs,[],['participal_phrases'],[],"```json
{
  ""Properties"": [""participal phrases"", ""inifinitive phrases""],
  ""Explanation"": ""The participle phrase 'declaring that if Paul VI is canonised' and the infinitive phrase 'to be complete' are both present in the example text.""
}
```","['participal_phrases', 'inifinitive_phrases']","{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The phrase 'declaring that if Paul VI is canonised' is a participial phrase because it starts with the present participle 'declaring'.""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The example text contains a participal phrase 'declaring that if Paul VI is canonised'. This phrase modifies the noun 'Catholics' and acts as an adjective by describing the state of the Catholics."" 
}",['participal_phrases'],[],['participal_phrases'],-1,[]
143,[9 1 8],"Sagacious gun owners have always known that the ultimate goal of gun control extremists such as Chuck Schumer, Nancy Pelosi, Dianne Feinstein, et al., has always been gun confiscation.",Phrases_built_on_verbs,[],[],[],"{
    ""Properties"": [""participial phrases""],
    ""Explanation"": ""The phrase 'such as Chuck Schumer, Nancy Pelosi, Dianne Feinstein, et al.' can be considered a participial phrase as it is providing additional information about the noun 'extremists'.""
}",['participal_phrases'],"``` 
{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The example text contains a participial phrase 'such as Chuck Schumer, Nancy Pelosi, Dianne Feinstein, et al.,' which modifies the noun 'extremists'.""
}
```",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The phrase 'such as Chuck Schumer, Nancy Pelosi, Dianne Feinstein, et al.,' serves as a participal phrase modifying 'gun control extremists'.""
}",['participal_phrases'],[],['participal_phrases'],-1,[]
159,[1],This is a very real threat – one that is largely immune to attack from the air.,Phrases_built_on_verbs,[],[],[],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The phrase 'largely immune to attack from the air' is a participal phrase as it describes the threat and is headed by the participle 'immune'.""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The phrase 'largely immune to attack from the air' is a participal phrase modifying the noun 'threat'.""
}",['participal_phrases'],timeout,[],[],['participal_phrases'],-1,[]
188,[1],They would be immediate targets should the US and South Korea attack the north.,Phrases_built_on_verbs,[],[],[],"{
    ""Properties"": [""participal phrases""],
    ""Explanation"": ""The phrase 'should the US and South Korea attack the north' functions as a participal phrase modifying the noun 'targets'.""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The phrase 'should the US and South Korea attack the north' is a participial phrase functioning as the apodosis in a conditional sentence.""
}",['participal_phrases'],"``` 
{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The phrase 'should the US and South Korea attack the north' is a participial phrase, using the participle 'attack' to show a possible action.""
}
```",['participal_phrases'],[],['participal_phrases'],-1,[]
194,[9 1],"Think of this, the meekest man alive was sent to the face of the Pharaoh to tell him to obey or else.",Phrases_built_on_verbs,[],[],[],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The example text contains a participial phrase 'the meekest man alive was sent to the face of the Pharaoh', which modifies the noun 'man'.""
}",['participal_phrases'],timeout,[],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The participal phrase 'being sent to the face of the Pharaoh' modifies 'the meekest man alive'.""
}",['participal_phrases'],[],['participal_phrases'],-1,[]
199,[1],"“When Kavanaugh is on the Supreme Court, undermining our #4thAmendment right against unreasonable searches and seizures, it will be too late for others to join me.”",Phrases_built_on_verbs,['participal_phrases'],['participal_phrases'],[],"{
  ""Properties"": [""participial phrases""],
  ""Explanation"": ""The phrase 'undermining our #4thAmendment right against unreasonable searches and seizures' is a participal phrase describing the action of Kavanaugh."" 
}",['participal_phrases'],"```json
{
  ""Properties"": [""participial phrases""],
  ""Explanation"": ""The phrase 'undermining our #4thAmendment right against unreasonable searches and seizures' is a participial phrase modifying the subject 'Kavanaugh.'""
}
```",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The phrase 'undermining our #4thAmendment right against unreasonable searches and seizures' is a participal phrase, expressing the action of undermining as a present participle.""
}",['participal_phrases'],['participal_phrases'],['participal_phrases'],1,[]
202,[1],"A gird failure would almost immediately fling the United States into a state of panic, and it’s always good to be prepared just in case.",Phrases_built_on_verbs,[],['inifinitive_phrases'],[],"``` 
{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The phrase 'being prepared' is a participial phrase that modifies the subject 'it'.""
}
```",['participal_phrases'],"```json
        {
            ""Properties"": [""participal phrases""],
            ""Explanation"": ""The phrase 'being prepared just in case' modifies the subject 'it's always good' and is headed by the present participle 'prepared'.""
        }
```",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The participal phrase 'being prepared' is used in the example text to modify the subject 'it's always good'.""
}",['participal_phrases'],[],['participal_phrases'],-1,[]
204,[1],"It has become a superdogma in the Catholic Church: if you don’t believe that Islam is a Religion of Peace, you will be ruthlessly harassed and silenced by the U.S. Conference of Catholic Bishops and the hierarchy elsewhere as well.",Phrases_built_on_verbs,[],[],[],"``` 
{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The example text contains a participial phrase 'if you don’t believe that Islam is a Religion of Peace'. This phrase modifies the superdogma and presents the action as a condition.""
}
```",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The phrase 'being something' is used in the example text to describe the action of belief in the Catholic Church.""
}",['participal_phrases'],"```json
    {
        ""Properties"": [""participal phrases""],
        ""Explanation"": ""The phrase 'if you don’t believe that Islam is a Religion of Peace' is a participal phrase modifying the noun 'superdogma'.""
    }
```",['participal_phrases'],[],['participal_phrases'],-1,[]
214,[1],"""One woman (was) screaming through my door that I should be killed and I should die,"" he told reporters at Friday's news conference.",Phrases_built_on_verbs,['participal_phrases'],[],[],"{
  ""Properties"": [""participial phrases""],
  ""Explanation"": ""The participial phrase 'screaming through my door' modifies the subject 'woman'.""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The example text contains a participal phrase 'screaming through my door', which modifies the noun 'woman'.""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases"", ""inifinitive phrases""],
  ""Explanation"": ""The text contains participal phrase 'screaming through my door' and infinitive phrase 'to be killed and to die'.""
}","['participal_phrases', 'inifinitive_phrases']",[],['participal_phrases'],-1,[]
219,[1],"While Iran told the U.N. nuclear watchdog agency on Tuesday that it plans only to increase enrichment within limits set by 2015 deal, the announcement came with threats from a top Iranian official that the activities could be quickly expanded.",Phrases_built_on_verbs,['inifinitive_phrases'],[],[],,[],,[],,[],[],['participal_phrases'],-1,['participal_phrases']
