sentence_id,technique,text,feature_id,props_a20,props_a21,props_a22,annotator_consistency,props_gpt4_majority,res_1.0_1,gpt_props_1.0_1,res_1.0_2,gpt_props_1.0_2,res_1.0_3,gpt_props_1.0_3,gpt3.5_1.0_consistency,res_0.2_1,gpt_props_0.2_1,res_0.2_2,gpt_props_0.2_2,res_0.2_3,gpt_props_0.2_3,gpt3.5_0.2_consistency,gpt3.5_0.2_majority,humans isCorrect,gpt isCorrect,comments,ground truth,propertygpt-4o,resgpt-4o_0.0_V4,propertygpt-4o_0.0_V4
320,[ 3 16],There will be no turning back.,Aspect,['simple'],['simple'],['simple'],True,['simple'],"{
    ""Properties"": [""future""],
    ""Explanation"": ""The use of 'will' indicates a future action, so the aspect property 'future' is present.""
}",[''],"{
  ""Properties"": [""future""]
  ,""Explanation"": ""The use of 'will' indicates a future action, indicating the usage of the future aspect.""
}",[''],"{
  ""Properties"": [""future""],
  ""Explanation"": ""The phrase 'will be' indicates a future action, suggesting a prediction or a promise. This usage does not fall into any of the specified aspect properties.""
}",[''],1,"{
  ""Properties"": [""future""],
  ""Explanation"": ""The use of 'will be' indicates a future action, suggesting that the turning back has not yet occurred.""
}",[''],"{
  ""Properties"": [""future""]
}",[''],"{
  ""Properties"": [""future""],
  ""Explanation"": ""The use of 'will be' indicates a future action, suggesting that the action of 'turning back' has not yet occurred.""
}",[''],1,[''],1,0,gpt inserted its own property,['simple'],simple,"{
  ""Answer"": ""no"",
  ""Explanation"": ""The sentence 'There will be no turning back.' does not utilize the simple aspect. Instead, it uses the future tense with a modal verb 'will,' which indicates a future action or state. The simple aspect typically involves the present or past tense without additional auxiliary verbs, as seen in the examples 'Rover eats bones.' and 'Rover ate a bone.'""
}",[]
320,[ 3 16],There will be no turning back.,Aspect,['simple'],['simple'],['simple'],True,['simple'],"{
    ""Properties"": [""future""],
    ""Explanation"": ""The use of 'will' indicates a future action, so the aspect property 'future' is present.""
}",[''],"{
  ""Properties"": [""future""]
  ,""Explanation"": ""The use of 'will' indicates a future action, indicating the usage of the future aspect.""
}",[''],"{
  ""Properties"": [""future""],
  ""Explanation"": ""The phrase 'will be' indicates a future action, suggesting a prediction or a promise. This usage does not fall into any of the specified aspect properties.""
}",[''],1,"{
  ""Properties"": [""future""],
  ""Explanation"": ""The use of 'will be' indicates a future action, suggesting that the turning back has not yet occurred.""
}",[''],"{
  ""Properties"": [""future""]
}",[''],"{
  ""Properties"": [""future""],
  ""Explanation"": ""The use of 'will be' indicates a future action, suggesting that the action of 'turning back' has not yet occurred.""
}",[''],1,[''],1,0,gpt inserted its own property,['simple'],perfect,"{
  ""Answer"": ""no"",
  ""Explanation"": ""The sentence 'There will be no turning back' does not utilize the perfect aspect. The perfect aspect is used to express a completed action, typically formed with a form of 'have' plus the past participle of the verb (e.g., 'has eaten'). In this sentence, there is no form of 'have' and no past participle; instead, it uses the future tense with 'will be.'""
}",[]
320,[ 3 16],There will be no turning back.,Aspect,['simple'],['simple'],['simple'],True,['simple'],"{
    ""Properties"": [""future""],
    ""Explanation"": ""The use of 'will' indicates a future action, so the aspect property 'future' is present.""
}",[''],"{
  ""Properties"": [""future""]
  ,""Explanation"": ""The use of 'will' indicates a future action, indicating the usage of the future aspect.""
}",[''],"{
  ""Properties"": [""future""],
  ""Explanation"": ""The phrase 'will be' indicates a future action, suggesting a prediction or a promise. This usage does not fall into any of the specified aspect properties.""
}",[''],1,"{
  ""Properties"": [""future""],
  ""Explanation"": ""The use of 'will be' indicates a future action, suggesting that the turning back has not yet occurred.""
}",[''],"{
  ""Properties"": [""future""]
}",[''],"{
  ""Properties"": [""future""],
  ""Explanation"": ""The use of 'will be' indicates a future action, suggesting that the action of 'turning back' has not yet occurred.""
}",[''],1,[''],1,0,gpt inserted its own property,['simple'],progressive,"{
  ""Answer"": ""no"",
  ""Explanation"": ""The sentence 'There will be no turning back' does not utilize the progressive aspect. The progressive aspect is used to express ongoing, habitual, or incomplete actions, typically formed with a form of 'to be' followed by a present participle (verb ending in -ing). In this sentence, 'turning' is a gerund (a noun form of a verb) rather than a present participle, and it does not indicate an ongoing action.""
}",[]
320,[ 3 16],There will be no turning back.,Aspect,['simple'],['simple'],['simple'],True,['simple'],"{
    ""Properties"": [""future""],
    ""Explanation"": ""The use of 'will' indicates a future action, so the aspect property 'future' is present.""
}",[''],"{
  ""Properties"": [""future""]
  ,""Explanation"": ""The use of 'will' indicates a future action, indicating the usage of the future aspect.""
}",[''],"{
  ""Properties"": [""future""],
  ""Explanation"": ""The phrase 'will be' indicates a future action, suggesting a prediction or a promise. This usage does not fall into any of the specified aspect properties.""
}",[''],1,"{
  ""Properties"": [""future""],
  ""Explanation"": ""The use of 'will be' indicates a future action, suggesting that the turning back has not yet occurred.""
}",[''],"{
  ""Properties"": [""future""]
}",[''],"{
  ""Properties"": [""future""],
  ""Explanation"": ""The use of 'will be' indicates a future action, suggesting that the action of 'turning back' has not yet occurred.""
}",[''],1,[''],1,0,gpt inserted its own property,['simple'],perfect progressive,"{
  ""Answer"": ""no"",
  ""Explanation"": ""The sentence 'There will be no turning back' does not utilize the perfect progressive aspect. The perfect progressive aspect combines the perfect aspect (indicating a completed action) and the progressive aspect (indicating an ongoing action) to express an action that was ongoing and has relevance to the present or another point in time. An example of the perfect progressive aspect is 'Rover has been eating a bone.' The given sentence does not fit this structure; instead, it is a simple future tense construction.""
}",[]
375,[4],"Despite the fact that it was instituted by God Himself, growing numbers of Catholics actually consider it immoral.",Aspect,['simple'],['simple'],['simple'],True,['simple'],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence expresses a simple fact about growing numbers of Catholics considering something immoral.""
}",['simple'],"{
  ""Properties"": [""simple""]
}",['simple'],"{
  ""Properties"": [""progressive""],
  ""Explanation"": ""The use of 'growing' indicates an ongoing or increasing action, suggesting a progressive aspect.""
}",['progressive'],0,"{
  ""Properties"": [""progressive""],
  ""Explanation"": ""The use of 'growing' indicates an ongoing or increasing action, suggesting a progressive aspect.""
}",['progressive'],"{
  ""Properties"": [""progressive""],
  ""Explanation"": ""The use of 'growing' indicates an ongoing or increasing action, suggesting the progressive aspect.""
}",['progressive'],"{
  ""Properties"": [""progressive""],
  ""Explanation"": ""The use of 'growing' indicates an ongoing or increasing action, suggesting the progressive aspect.""
}",['progressive'],1,['progressive'],1,0,gtp mistook adjective for verb (growing),['simple'],simple,"{
  ""Answer"": ""no"",
  ""Explanation"": ""The sentence 'Despite the fact that it was instituted by God Himself, growing numbers of Catholics actually consider it immoral.' does not utilize the simple aspect. The phrase 'was instituted' is in the past simple tense, but the phrase 'growing numbers of Catholics actually consider it immoral' uses the present simple tense. The presence of the past participle 'instituted' and the continuous form 'growing' indicates that the sentence is not purely in the simple aspect.""
}",[]
375,[4],"Despite the fact that it was instituted by God Himself, growing numbers of Catholics actually consider it immoral.",Aspect,['simple'],['simple'],['simple'],True,['simple'],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence expresses a simple fact about growing numbers of Catholics considering something immoral.""
}",['simple'],"{
  ""Properties"": [""simple""]
}",['simple'],"{
  ""Properties"": [""progressive""],
  ""Explanation"": ""The use of 'growing' indicates an ongoing or increasing action, suggesting a progressive aspect.""
}",['progressive'],0,"{
  ""Properties"": [""progressive""],
  ""Explanation"": ""The use of 'growing' indicates an ongoing or increasing action, suggesting a progressive aspect.""
}",['progressive'],"{
  ""Properties"": [""progressive""],
  ""Explanation"": ""The use of 'growing' indicates an ongoing or increasing action, suggesting the progressive aspect.""
}",['progressive'],"{
  ""Properties"": [""progressive""],
  ""Explanation"": ""The use of 'growing' indicates an ongoing or increasing action, suggesting the progressive aspect.""
}",['progressive'],1,['progressive'],1,0,gtp mistook adjective for verb (growing),['simple'],perfect,"{
  ""Answer"": ""no"",
  ""Explanation"": ""The sentence 'Despite the fact that it was instituted by God Himself, growing numbers of Catholics actually consider it immoral.' does not utilize the perfect aspect. The perfect aspect is used to express a completed action, typically formed with 'have' followed by a past participle (e.g., 'has eaten'). In this sentence, there is no use of 'have' followed by a past participle to indicate a completed action.""
}",[]
375,[4],"Despite the fact that it was instituted by God Himself, growing numbers of Catholics actually consider it immoral.",Aspect,['simple'],['simple'],['simple'],True,['simple'],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence expresses a simple fact about growing numbers of Catholics considering something immoral.""
}",['simple'],"{
  ""Properties"": [""simple""]
}",['simple'],"{
  ""Properties"": [""progressive""],
  ""Explanation"": ""The use of 'growing' indicates an ongoing or increasing action, suggesting a progressive aspect.""
}",['progressive'],0,"{
  ""Properties"": [""progressive""],
  ""Explanation"": ""The use of 'growing' indicates an ongoing or increasing action, suggesting a progressive aspect.""
}",['progressive'],"{
  ""Properties"": [""progressive""],
  ""Explanation"": ""The use of 'growing' indicates an ongoing or increasing action, suggesting the progressive aspect.""
}",['progressive'],"{
  ""Properties"": [""progressive""],
  ""Explanation"": ""The use of 'growing' indicates an ongoing or increasing action, suggesting the progressive aspect.""
}",['progressive'],1,['progressive'],1,0,gtp mistook adjective for verb (growing),['simple'],progressive,"{
  ""Answer"": ""no"",
  ""Explanation"": ""The sentence 'Despite the fact that it was instituted by God Himself, growing numbers of Catholics actually consider it immoral.' does not utilize the progressive aspect. The progressive aspect is used to express ongoing, habitual, or incomplete actions, typically formed with a form of 'to be' and a present participle (e.g., 'is eating'). In this sentence, 'consider' is in the simple present tense, not the progressive aspect.""
}",[]
375,[4],"Despite the fact that it was instituted by God Himself, growing numbers of Catholics actually consider it immoral.",Aspect,['simple'],['simple'],['simple'],True,['simple'],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence expresses a simple fact about growing numbers of Catholics considering something immoral.""
}",['simple'],"{
  ""Properties"": [""simple""]
}",['simple'],"{
  ""Properties"": [""progressive""],
  ""Explanation"": ""The use of 'growing' indicates an ongoing or increasing action, suggesting a progressive aspect.""
}",['progressive'],0,"{
  ""Properties"": [""progressive""],
  ""Explanation"": ""The use of 'growing' indicates an ongoing or increasing action, suggesting a progressive aspect.""
}",['progressive'],"{
  ""Properties"": [""progressive""],
  ""Explanation"": ""The use of 'growing' indicates an ongoing or increasing action, suggesting the progressive aspect.""
}",['progressive'],"{
  ""Properties"": [""progressive""],
  ""Explanation"": ""The use of 'growing' indicates an ongoing or increasing action, suggesting the progressive aspect.""
}",['progressive'],1,['progressive'],1,0,gtp mistook adjective for verb (growing),['simple'],perfect progressive,"{
  ""Answer"": ""no"",
  ""Explanation"": ""The sentence 'Despite the fact that it was instituted by God Himself, growing numbers of Catholics actually consider it immoral.' does not utilize the perfect progressive aspect. The perfect progressive aspect combines the perfect aspect (have/has/had) with the progressive aspect (been + present participle) to indicate an ongoing action that was completed at some point. An example of the perfect progressive aspect is 'Rover has been eating a bone.' The given sentence does not contain this structure.""
}",[]
595,[9 5],The four page email begins with Murillo claiming she and others at Google were engaged in non-partisan activities not designed to help any one candidate or another—only to undercut her own commentary in later passages in the emails by openly admitting the entire effort to boost Latino turnout using Google products with official company resources was to elect Clinton over Trump.,Aspect,['simple'],['simple'],['simple'],True,['simple'],"{
  ""Properties"": [""simple"", ""perfect"", ""progressive""],
  ""Explanation"": ""The sentence includes the use of 'were engaged' (progressive) and 'was to elect' (simple) indicating ongoing and completed actions.""
}","['simple', 'perfect', 'progressive']","{
  ""Properties"": [""simple"", ""perfect""],
  ""Explanation"": ""The sentence 'Murillo claiming she and others at Google were engaged' uses the simple aspect to express a simple fact. The phrase 'had been engaged' uses the perfect aspect to express a completed action.""
}","['simple', 'perfect']","{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence expresses a simple fact about the past events recounted in the email.""
}",['simple'],0,"{
  ""Properties"": [""simple"", ""perfect"", ""progressive""],
  ""Explanation"": ""The sentence contains a simple fact ('Murillo claiming'), a completed action ('admitting'), and an ongoing action ('were engaged').""
}","['simple', 'perfect', 'progressive']","{
  ""Properties"": [""simple"", ""perfect"", ""progressive""],
  ""Explanation"": ""The sentence contains simple aspect to express a simple fact ('Murillo claiming...') and perfect aspect to express a completed action ('was engaged'). It also contains progressive aspect to express an ongoing action ('using Google products').""
}","['simple', 'perfect', 'progressive']","{
  ""Properties"": [""simple"", ""progressive""],
  ""Explanation"": ""The sentence 'Murillo claiming she and others at Google were engaged' uses the simple aspect to express a simple fact. The phrase 'using Google products with official company resources was to elect Clinton over Trump' uses the progressive aspect to express an ongoing action.""
}","['simple', 'progressive']",0,"['simple', 'perfect', 'progressive']",0,0,the correct answer is simple  (email begins with) and progressinve (admitting),"['simple', 'progressive']",simple,"{
  ""Answer"": ""yes"",
  ""Explanation"": ""The sentence 'The four page email begins with Murillo claiming she and others at Google were engaged in non-partisan activities not designed to help any one candidate or another' utilizes the simple aspect. The verb 'begins' is in the simple present tense, which expresses a simple fact or action.""
}",['simple']
595,[9 5],The four page email begins with Murillo claiming she and others at Google were engaged in non-partisan activities not designed to help any one candidate or another—only to undercut her own commentary in later passages in the emails by openly admitting the entire effort to boost Latino turnout using Google products with official company resources was to elect Clinton over Trump.,Aspect,['simple'],['simple'],['simple'],True,['simple'],"{
  ""Properties"": [""simple"", ""perfect"", ""progressive""],
  ""Explanation"": ""The sentence includes the use of 'were engaged' (progressive) and 'was to elect' (simple) indicating ongoing and completed actions.""
}","['simple', 'perfect', 'progressive']","{
  ""Properties"": [""simple"", ""perfect""],
  ""Explanation"": ""The sentence 'Murillo claiming she and others at Google were engaged' uses the simple aspect to express a simple fact. The phrase 'had been engaged' uses the perfect aspect to express a completed action.""
}","['simple', 'perfect']","{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence expresses a simple fact about the past events recounted in the email.""
}",['simple'],0,"{
  ""Properties"": [""simple"", ""perfect"", ""progressive""],
  ""Explanation"": ""The sentence contains a simple fact ('Murillo claiming'), a completed action ('admitting'), and an ongoing action ('were engaged').""
}","['simple', 'perfect', 'progressive']","{
  ""Properties"": [""simple"", ""perfect"", ""progressive""],
  ""Explanation"": ""The sentence contains simple aspect to express a simple fact ('Murillo claiming...') and perfect aspect to express a completed action ('was engaged'). It also contains progressive aspect to express an ongoing action ('using Google products').""
}","['simple', 'perfect', 'progressive']","{
  ""Properties"": [""simple"", ""progressive""],
  ""Explanation"": ""The sentence 'Murillo claiming she and others at Google were engaged' uses the simple aspect to express a simple fact. The phrase 'using Google products with official company resources was to elect Clinton over Trump' uses the progressive aspect to express an ongoing action.""
}","['simple', 'progressive']",0,"['simple', 'perfect', 'progressive']",0,0,the correct answer is simple  (email begins with) and progressinve (admitting),"['simple', 'progressive']",perfect,"{
  ""Answer"": ""no"",
  ""Explanation"": ""The sentence provided does not utilize the perfect aspect. The perfect aspect is used to express a completed action, typically formed with 'has/have/had' followed by a past participle (e.g., 'has eaten'). In the given sentence, there is no such construction indicating a completed action. Instead, the sentence describes ongoing or past actions without the perfect aspect.""
}",[]
595,[9 5],The four page email begins with Murillo claiming she and others at Google were engaged in non-partisan activities not designed to help any one candidate or another—only to undercut her own commentary in later passages in the emails by openly admitting the entire effort to boost Latino turnout using Google products with official company resources was to elect Clinton over Trump.,Aspect,['simple'],['simple'],['simple'],True,['simple'],"{
  ""Properties"": [""simple"", ""perfect"", ""progressive""],
  ""Explanation"": ""The sentence includes the use of 'were engaged' (progressive) and 'was to elect' (simple) indicating ongoing and completed actions.""
}","['simple', 'perfect', 'progressive']","{
  ""Properties"": [""simple"", ""perfect""],
  ""Explanation"": ""The sentence 'Murillo claiming she and others at Google were engaged' uses the simple aspect to express a simple fact. The phrase 'had been engaged' uses the perfect aspect to express a completed action.""
}","['simple', 'perfect']","{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence expresses a simple fact about the past events recounted in the email.""
}",['simple'],0,"{
  ""Properties"": [""simple"", ""perfect"", ""progressive""],
  ""Explanation"": ""The sentence contains a simple fact ('Murillo claiming'), a completed action ('admitting'), and an ongoing action ('were engaged').""
}","['simple', 'perfect', 'progressive']","{
  ""Properties"": [""simple"", ""perfect"", ""progressive""],
  ""Explanation"": ""The sentence contains simple aspect to express a simple fact ('Murillo claiming...') and perfect aspect to express a completed action ('was engaged'). It also contains progressive aspect to express an ongoing action ('using Google products').""
}","['simple', 'perfect', 'progressive']","{
  ""Properties"": [""simple"", ""progressive""],
  ""Explanation"": ""The sentence 'Murillo claiming she and others at Google were engaged' uses the simple aspect to express a simple fact. The phrase 'using Google products with official company resources was to elect Clinton over Trump' uses the progressive aspect to express an ongoing action.""
}","['simple', 'progressive']",0,"['simple', 'perfect', 'progressive']",0,0,the correct answer is simple  (email begins with) and progressinve (admitting),"['simple', 'progressive']",progressive,"{
  ""Answer"": ""no"",
  ""Explanation"": ""The sentence 'The four page email begins with Murillo claiming she and others at Google were engaged in non-partisan activities not designed to help any one candidate or another—only to undercut her own commentary in later passages in the emails by openly admitting the entire effort to boost Latino turnout using Google products with official company resources was to elect Clinton over Trump.' does not utilize the progressive aspect. The verbs 'begins,' 'claiming,' 'were engaged,' 'designed,' 'undercut,' 'admitting,' 'was,' and 'to elect' are not in the progressive form, which would require a form of 'to be' followed by a present participle (e.g., 'is eating').""
}",[]
