sentence_id,technique,text,feature_id,props_a20,props_a21,props_a22,annotator_consistency,props_gpt4_majority,res_1.0_1,gpt_props_1.0_1,res_1.0_2,gpt_props_1.0_2,res_1.0_3,gpt_props_1.0_3,gpt3.5_1.0_consistency,res_0.2_1,gpt_props_0.2_1,res_0.2_2,gpt_props_0.2_2,res_0.2_3,gpt_props_0.2_3,gpt3.5_0.2_consistency,gpt3.5_0.2_majority,humans isCorrect,gpt isCorrect,comments,ground truth,property_FT_gpt3.5,res_FT_gpt3.5_0.0_V3_2,property_FT_gpt3.5_0.0_V3_2
320,[ 3 16],There will be no turning back.,Aspect,['simple'],['simple'],['simple'],True,['simple'],"{
    ""Properties"": [""future""],
    ""Explanation"": ""The use of 'will' indicates a future action, so the aspect property 'future' is present.""
}",[''],"{
  ""Properties"": [""future""]
  ,""Explanation"": ""The use of 'will' indicates a future action, indicating the usage of the future aspect.""
}",[''],"{
  ""Properties"": [""future""],
  ""Explanation"": ""The phrase 'will be' indicates a future action, suggesting a prediction or a promise. This usage does not fall into any of the specified aspect properties.""
}",[''],1,"{
  ""Properties"": [""future""],
  ""Explanation"": ""The use of 'will be' indicates a future action, suggesting that the turning back has not yet occurred.""
}",[''],"{
  ""Properties"": [""future""]
}",[''],"{
  ""Properties"": [""future""],
  ""Explanation"": ""The use of 'will be' indicates a future action, suggesting that the action of 'turning back' has not yet occurred.""
}",[''],1,[''],1,0,gpt inserted its own property,['simple'],simple,"{""Answer"": ""yes"", ""Explanation"": ""The sentence 'There will be no turning back.' utilizes the simple aspect. The simple aspect is used to indicate a fact or a state without specifying whether the action is completed or ongoing. In this case, the sentence states a future fact or state of being without any additional complexity or duration, which aligns with the simple aspect.""}",['simple']
320,[ 3 16],There will be no turning back.,Aspect,['simple'],['simple'],['simple'],True,['simple'],"{
    ""Properties"": [""future""],
    ""Explanation"": ""The use of 'will' indicates a future action, so the aspect property 'future' is present.""
}",[''],"{
  ""Properties"": [""future""]
  ,""Explanation"": ""The use of 'will' indicates a future action, indicating the usage of the future aspect.""
}",[''],"{
  ""Properties"": [""future""],
  ""Explanation"": ""The phrase 'will be' indicates a future action, suggesting a prediction or a promise. This usage does not fall into any of the specified aspect properties.""
}",[''],1,"{
  ""Properties"": [""future""],
  ""Explanation"": ""The use of 'will be' indicates a future action, suggesting that the turning back has not yet occurred.""
}",[''],"{
  ""Properties"": [""future""]
}",[''],"{
  ""Properties"": [""future""],
  ""Explanation"": ""The use of 'will be' indicates a future action, suggesting that the action of 'turning back' has not yet occurred.""
}",[''],1,[''],1,0,gpt inserted its own property,['simple'],perfect,"{""Answer"": ""no"", ""Explanation"": ""The sentence 'There will be no turning back' does not utilize the perfect aspect. The perfect aspect is used to indicate a completed action, often with a focus on its relevance to the present or to another point in time. In the provided sentence, the phrase 'will be' is a future tense construction, indicating that something is going to happen in the future, but it does not specify that the action will be completed at that future time. Therefore, it does not express the perfect aspect.""}",[]
320,[ 3 16],There will be no turning back.,Aspect,['simple'],['simple'],['simple'],True,['simple'],"{
    ""Properties"": [""future""],
    ""Explanation"": ""The use of 'will' indicates a future action, so the aspect property 'future' is present.""
}",[''],"{
  ""Properties"": [""future""]
  ,""Explanation"": ""The use of 'will' indicates a future action, indicating the usage of the future aspect.""
}",[''],"{
  ""Properties"": [""future""],
  ""Explanation"": ""The phrase 'will be' indicates a future action, suggesting a prediction or a promise. This usage does not fall into any of the specified aspect properties.""
}",[''],1,"{
  ""Properties"": [""future""],
  ""Explanation"": ""The use of 'will be' indicates a future action, suggesting that the turning back has not yet occurred.""
}",[''],"{
  ""Properties"": [""future""]
}",[''],"{
  ""Properties"": [""future""],
  ""Explanation"": ""The use of 'will be' indicates a future action, suggesting that the action of 'turning back' has not yet occurred.""
}",[''],1,[''],1,0,gpt inserted its own property,['simple'],progressive,"{""Answer"": ""no"", ""Explanation"": ""The sentence 'There will be no turning back' does not utilize the progressive aspect. The progressive aspect is characterized by the use of a form of the verb 'to be' (such as 'is', 'am', 'are', 'was', 'were', 'be', 'being', or 'been') followed by the present participle of a verb (the -ing form), indicating an ongoing, habitual, or incomplete action. In the given sentence, 'will be' is a future tense construction, where 'will' is the modal auxiliary verb indicating future, and 'be' is the base form of the verb 'to be'. The phrase 'no turning back' is a noun phrase, not a verb form, and it does not indicate an ongoing or incomplete action, but rather a state or condition.""}",[]
320,[ 3 16],There will be no turning back.,Aspect,['simple'],['simple'],['simple'],True,['simple'],"{
    ""Properties"": [""future""],
    ""Explanation"": ""The use of 'will' indicates a future action, so the aspect property 'future' is present.""
}",[''],"{
  ""Properties"": [""future""]
  ,""Explanation"": ""The use of 'will' indicates a future action, indicating the usage of the future aspect.""
}",[''],"{
  ""Properties"": [""future""],
  ""Explanation"": ""The phrase 'will be' indicates a future action, suggesting a prediction or a promise. This usage does not fall into any of the specified aspect properties.""
}",[''],1,"{
  ""Properties"": [""future""],
  ""Explanation"": ""The use of 'will be' indicates a future action, suggesting that the turning back has not yet occurred.""
}",[''],"{
  ""Properties"": [""future""]
}",[''],"{
  ""Properties"": [""future""],
  ""Explanation"": ""The use of 'will be' indicates a future action, suggesting that the action of 'turning back' has not yet occurred.""
}",[''],1,[''],1,0,gpt inserted its own property,['simple'],perfect progressive,"{""Answer"": ""no"", ""Explanation"": ""The sentence 'There will be no turning back' does not utilize the perfect progressive aspect. The perfect progressive aspect is formed with the auxiliary verb 'have' (in its various forms) followed by 'been' and the present participle of the main verb, indicating a continuous action that started in the past and is still ongoing or has just been completed. In the provided sentence, 'will be' is the future tense of the verb 'to be' and 'turning' is a present participle, but it does not follow the structure of the perfect progressive aspect. Instead, it simply indicates a future state of being with no reference to the ongoing nature of an action.""}",[]
375,[4],"Despite the fact that it was instituted by God Himself, growing numbers of Catholics actually consider it immoral.",Aspect,['simple'],['simple'],['simple'],True,['simple'],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence expresses a simple fact about growing numbers of Catholics considering something immoral.""
}",['simple'],"{
  ""Properties"": [""simple""]
}",['simple'],"{
  ""Properties"": [""progressive""],
  ""Explanation"": ""The use of 'growing' indicates an ongoing or increasing action, suggesting a progressive aspect.""
}",['progressive'],0,"{
  ""Properties"": [""progressive""],
  ""Explanation"": ""The use of 'growing' indicates an ongoing or increasing action, suggesting a progressive aspect.""
}",['progressive'],"{
  ""Properties"": [""progressive""],
  ""Explanation"": ""The use of 'growing' indicates an ongoing or increasing action, suggesting the progressive aspect.""
}",['progressive'],"{
  ""Properties"": [""progressive""],
  ""Explanation"": ""The use of 'growing' indicates an ongoing or increasing action, suggesting the progressive aspect.""
}",['progressive'],1,['progressive'],1,0,gtp mistook adjective for verb (growing),['simple'],simple,"{""Answer"": ""no"", ""Explanation"": ""The sentence 'Despite the fact that it was instituted by God Himself, growing numbers of Catholics actually consider it immoral.' does not utilize the simple aspect. The simple aspect typically refers to actions that are not continuous or ongoing, but rather are single, completed events or general truths. In the provided sentence, the action 'growing numbers of Catholics actually consider it immoral' is ongoing and not a single, completed event. It is a process that is still happening, indicating a continuous or progressive aspect rather than a simple one.""}",[]
375,[4],"Despite the fact that it was instituted by God Himself, growing numbers of Catholics actually consider it immoral.",Aspect,['simple'],['simple'],['simple'],True,['simple'],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence expresses a simple fact about growing numbers of Catholics considering something immoral.""
}",['simple'],"{
  ""Properties"": [""simple""]
}",['simple'],"{
  ""Properties"": [""progressive""],
  ""Explanation"": ""The use of 'growing' indicates an ongoing or increasing action, suggesting a progressive aspect.""
}",['progressive'],0,"{
  ""Properties"": [""progressive""],
  ""Explanation"": ""The use of 'growing' indicates an ongoing or increasing action, suggesting a progressive aspect.""
}",['progressive'],"{
  ""Properties"": [""progressive""],
  ""Explanation"": ""The use of 'growing' indicates an ongoing or increasing action, suggesting the progressive aspect.""
}",['progressive'],"{
  ""Properties"": [""progressive""],
  ""Explanation"": ""The use of 'growing' indicates an ongoing or increasing action, suggesting the progressive aspect.""
}",['progressive'],1,['progressive'],1,0,gtp mistook adjective for verb (growing),['simple'],perfect,"{""Answer"": ""no"", ""Explanation"": ""The sentence 'Despite the fact that it was instituted by God Himself, growing numbers of Catholics actually consider it immoral' does not utilize the perfect aspect. The perfect aspect is characterized by the use of auxiliary verbs such as 'has,' 'have,' or 'had' followed by the past participle of a verb to indicate a completed action. In the given sentence, there are no auxiliary verbs used in conjunction with a past participle to express a completed action; instead, it describes an ongoing or continuous situation in the past without emphasizing its completion.""}",[]
375,[4],"Despite the fact that it was instituted by God Himself, growing numbers of Catholics actually consider it immoral.",Aspect,['simple'],['simple'],['simple'],True,['simple'],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence expresses a simple fact about growing numbers of Catholics considering something immoral.""
}",['simple'],"{
  ""Properties"": [""simple""]
}",['simple'],"{
  ""Properties"": [""progressive""],
  ""Explanation"": ""The use of 'growing' indicates an ongoing or increasing action, suggesting a progressive aspect.""
}",['progressive'],0,"{
  ""Properties"": [""progressive""],
  ""Explanation"": ""The use of 'growing' indicates an ongoing or increasing action, suggesting a progressive aspect.""
}",['progressive'],"{
  ""Properties"": [""progressive""],
  ""Explanation"": ""The use of 'growing' indicates an ongoing or increasing action, suggesting the progressive aspect.""
}",['progressive'],"{
  ""Properties"": [""progressive""],
  ""Explanation"": ""The use of 'growing' indicates an ongoing or increasing action, suggesting the progressive aspect.""
}",['progressive'],1,['progressive'],1,0,gtp mistook adjective for verb (growing),['simple'],progressive,"{""Answer"": ""yes"", ""Explanation"": ""The sentence 'growing numbers of Catholics actually consider it immoral' utilizes the progressive aspect. The verb 'growing' is the present participle form of the verb 'grow,' which is used to indicate an ongoing action. In this case, it describes the continuous increase in the numbers of Catholics who hold a particular belief, making it an ongoing or progressive action.""}",['progressive']
375,[4],"Despite the fact that it was instituted by God Himself, growing numbers of Catholics actually consider it immoral.",Aspect,['simple'],['simple'],['simple'],True,['simple'],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence expresses a simple fact about growing numbers of Catholics considering something immoral.""
}",['simple'],"{
  ""Properties"": [""simple""]
}",['simple'],"{
  ""Properties"": [""progressive""],
  ""Explanation"": ""The use of 'growing' indicates an ongoing or increasing action, suggesting a progressive aspect.""
}",['progressive'],0,"{
  ""Properties"": [""progressive""],
  ""Explanation"": ""The use of 'growing' indicates an ongoing or increasing action, suggesting a progressive aspect.""
}",['progressive'],"{
  ""Properties"": [""progressive""],
  ""Explanation"": ""The use of 'growing' indicates an ongoing or increasing action, suggesting the progressive aspect.""
}",['progressive'],"{
  ""Properties"": [""progressive""],
  ""Explanation"": ""The use of 'growing' indicates an ongoing or increasing action, suggesting the progressive aspect.""
}",['progressive'],1,['progressive'],1,0,gtp mistook adjective for verb (growing),['simple'],perfect progressive,"{""Answer"": ""no"", ""Explanation"": ""The sentence 'Despite the fact that it was instituted by God Himself, growing numbers of Catholics actually consider it immoral' does not utilize the perfect progressive aspect. The perfect progressive aspect is formed with the auxiliary verb 'have' (or its conjugations) followed by 'been' and the present participle of the main verb, indicating a continuous action that started in the past and is still ongoing or has just been completed. In the provided sentence, 'growing' is a present participle, but it is not preceded by a form of 'have been,' which is necessary for the perfect progressive aspect. Instead, the sentence describes a situation that is ongoing in the present without indicating a continuous action that started in the past and is still in progress.""}",[]
595,[9 5],The four page email begins with Murillo claiming she and others at Google were engaged in non-partisan activities not designed to help any one candidate or another—only to undercut her own commentary in later passages in the emails by openly admitting the entire effort to boost Latino turnout using Google products with official company resources was to elect Clinton over Trump.,Aspect,['simple'],['simple'],['simple'],True,['simple'],"{
  ""Properties"": [""simple"", ""perfect"", ""progressive""],
  ""Explanation"": ""The sentence includes the use of 'were engaged' (progressive) and 'was to elect' (simple) indicating ongoing and completed actions.""
}","['simple', 'perfect', 'progressive']","{
  ""Properties"": [""simple"", ""perfect""],
  ""Explanation"": ""The sentence 'Murillo claiming she and others at Google were engaged' uses the simple aspect to express a simple fact. The phrase 'had been engaged' uses the perfect aspect to express a completed action.""
}","['simple', 'perfect']","{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence expresses a simple fact about the past events recounted in the email.""
}",['simple'],0,"{
  ""Properties"": [""simple"", ""perfect"", ""progressive""],
  ""Explanation"": ""The sentence contains a simple fact ('Murillo claiming'), a completed action ('admitting'), and an ongoing action ('were engaged').""
}","['simple', 'perfect', 'progressive']","{
  ""Properties"": [""simple"", ""perfect"", ""progressive""],
  ""Explanation"": ""The sentence contains simple aspect to express a simple fact ('Murillo claiming...') and perfect aspect to express a completed action ('was engaged'). It also contains progressive aspect to express an ongoing action ('using Google products').""
}","['simple', 'perfect', 'progressive']","{
  ""Properties"": [""simple"", ""progressive""],
  ""Explanation"": ""The sentence 'Murillo claiming she and others at Google were engaged' uses the simple aspect to express a simple fact. The phrase 'using Google products with official company resources was to elect Clinton over Trump' uses the progressive aspect to express an ongoing action.""
}","['simple', 'progressive']",0,"['simple', 'perfect', 'progressive']",0,0,the correct answer is simple  (email begins with) and progressinve (admitting),"['simple', 'progressive']",simple,"{""Answer"": ""no"", ""Explanation"": ""The sentence provided does not utilize the simple aspect. The simple aspect is used to express actions that are not ongoing or continuous, but rather are single, completed events or general truths. In the sentence, the action described is a complex situation involving multiple actions ('claiming', 'were engaged', 'designed', 'to undercut', 'admitting', 'was to elect') that are not presented as single, completed events. Instead, they form a sequence of actions and intentions, which is more indicative of the progressive or continuous aspect, rather than the simple aspect.""}",[]
595,[9 5],The four page email begins with Murillo claiming she and others at Google were engaged in non-partisan activities not designed to help any one candidate or another—only to undercut her own commentary in later passages in the emails by openly admitting the entire effort to boost Latino turnout using Google products with official company resources was to elect Clinton over Trump.,Aspect,['simple'],['simple'],['simple'],True,['simple'],"{
  ""Properties"": [""simple"", ""perfect"", ""progressive""],
  ""Explanation"": ""The sentence includes the use of 'were engaged' (progressive) and 'was to elect' (simple) indicating ongoing and completed actions.""
}","['simple', 'perfect', 'progressive']","{
  ""Properties"": [""simple"", ""perfect""],
  ""Explanation"": ""The sentence 'Murillo claiming she and others at Google were engaged' uses the simple aspect to express a simple fact. The phrase 'had been engaged' uses the perfect aspect to express a completed action.""
}","['simple', 'perfect']","{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence expresses a simple fact about the past events recounted in the email.""
}",['simple'],0,"{
  ""Properties"": [""simple"", ""perfect"", ""progressive""],
  ""Explanation"": ""The sentence contains a simple fact ('Murillo claiming'), a completed action ('admitting'), and an ongoing action ('were engaged').""
}","['simple', 'perfect', 'progressive']","{
  ""Properties"": [""simple"", ""perfect"", ""progressive""],
  ""Explanation"": ""The sentence contains simple aspect to express a simple fact ('Murillo claiming...') and perfect aspect to express a completed action ('was engaged'). It also contains progressive aspect to express an ongoing action ('using Google products').""
}","['simple', 'perfect', 'progressive']","{
  ""Properties"": [""simple"", ""progressive""],
  ""Explanation"": ""The sentence 'Murillo claiming she and others at Google were engaged' uses the simple aspect to express a simple fact. The phrase 'using Google products with official company resources was to elect Clinton over Trump' uses the progressive aspect to express an ongoing action.""
}","['simple', 'progressive']",0,"['simple', 'perfect', 'progressive']",0,0,the correct answer is simple  (email begins with) and progressinve (admitting),"['simple', 'progressive']",perfect,"{""Answer"": ""no"", ""Explanation"": ""The sentence provided does not utilize the perfect aspect. The perfect aspect is formed with the auxiliary verb 'have' (or 'has' in the third person singular) followed by the past participle of the main verb. In the sentence, there is no use of 'have' or 'has' followed by a past participle to indicate a completed action. The sentence describes a continuous or ongoing action in the past, rather than a completed one, which is characteristic of the perfect aspect.""}",[]
