sentence_id,technique,text,feature_id,props_a20,props_a21,props_a22,annotator_consistency,props_gpt4_majority,res_1.0_1,gpt_props_1.0_1,res_1.0_2,gpt_props_1.0_2,res_1.0_3,gpt_props_1.0_3,gpt3.5_1.0_consistency,res_0.2_1,gpt_props_0.2_1,res_0.2_2,gpt_props_0.2_2,res_0.2_3,gpt_props_0.2_3,gpt3.5_0.2_consistency,gpt3.5_0.2_majority,humans isCorrect,gpt isCorrect,comments,ground truth,resgpt-4o-mini_0.0_V4,propertygpt-4o-mini_0.0_V4
43,[0],"As a former trial lawyer, I can tell you that while neither notes nor memories are infallible, in a contest between contemporaneous notes and later verbal testimony about those notes, the content of the written notes usually prevails.",Predication,"['stative', 'active']","['stative', 'active']","['stative', 'active']",True,[],"{
  ""Properties"": [
    ""active"",
    ""compound""
  ],
  ""Explanation"": ""The sentence contains active verbs such as 'are' and 'is', and also multiple verbs about one subject, making it a compound predication.""
}","['active', 'compound']","{
  ""Properties"": [""active""],
  ""Explanation"": ""The text contains active verbs such as 'are', 'notes', 'are', 'infallible', 'content', and 'prevails'. These verbs indicate action or occurrence by the subject.""
}",['active'],"{
  ""Properties"": [""active"", ""stative""],
  ""Explanation"": ""The text contains active verbs (are, is) and stative verbs (are, is) to describe the state of something or someone.""
}","['active', 'stative']",False,"{
  ""Properties"": [""active""],
  ""Explanation"": ""The text contains active verbs such as 'are', 'is', 'are', and 'prevails'. These active verbs indicate actions performed by the subjects in the sentence.""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains active verbs such as 'are' and 'prevails'.""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains active verbs such as 'are', 'are', 'prevails'. These active verbs indicate actions performed by the subject, meeting the criteria for the active property.""
}",['active'],1,['active'],1.0,0.0,GPT is mixing up the properties and definitions,"['stative', 'active']","[{'Answer': 'no', 'Explanation': 'The sentence provided does not contain active voice verbs. Instead, it primarily uses passive constructions and focuses on the state of being rather than actions performed by a subject. The verbs are and prevails do not indicate an active action performed by the subject; rather, they describe a condition or outcome.', 'Property': 'active'}, {'Answer': 'no', 'Explanation': 'The sentence provided does not contain stative voice verbs. It discusses the relationship between notes and memories, but the verbs used do not fit the criteria for stative voice. There are no instances of be as a helping verb, and the main verbs do not indicate a state of being or receiving an action in the manner described for stative voice.', 'Property': 'stative'}, {'Answer': 'no', 'Explanation': 'The provided sentence does not exhibit compound predication voice, as it does not use both active and passive voice regarding a single subject. Instead, it presents a complex idea about the reliability of notes versus verbal testimony without switching between active and passive constructions for the same subject.', 'Property': 'compound'}]",[]
83,[1],"A dark, impenetrable and “irreversible” winter of persecution of the faithful by their own shepherds will fall.",Predication,['active'],['active'],['active'],True,[],"{
  ""Properties"": [],
  ""Explanation"": ""The example text does not contain any active, stative, or compound predicates. Instead, it is a complex sentence expressing a prediction about a future event without specifying any particular action or state.""
}",[],"{
  ""Properties"": [""stative""],
  ""Explanation"": ""The sentence contains the stative verb 'irreversible' which describes a state rather than an action.""
}",['stative'],"{
  ""Properties"": [""stative"", ""compound""],
  ""Explanation"": ""The phrase 'will fall' contains a stative verb ('fall') indicating a state or condition. The sentence also contains a compound verb structure with 'will fall' and 'will fall', involving multiple verbs about one subject.""
}","['stative', 'compound']",False,"{
  ""Properties"": [""stative""],
  ""Explanation"": ""The sentence contains the stative verb 'will fall', indicating a state or condition that will occur in the future.""
}",['stative'],"{
  ""Properties"": [""stative""],
  ""Explanation"": ""The sentence contains a stative verb 'will fall' to describe a future state of being.""
}",['stative'],"{
  ""Properties"": [""stative""],
  ""Explanation"": ""The sentence contains a stative verb 'will fall' which describes a state of being rather than an action.""
}",['stative'],1,['stative'],1.0,0.0,GPT is mixing up the properties and definitions,['active'],"[{'Answer': 'no', 'Explanation': 'The sentence describes a situation where a dark, impenetrable and “irreversible” winter of persecution is the subject, but it does not perform an action. Instead, it is the object of the action (persecution) being described. The verb will fall does not indicate an active action performed by the subject; rather, it suggests a state or condition that will occur. Therefore, the sentence does not contain active voice.', 'Property': 'active'}, {'Answer': 'no', 'Explanation': 'The sentence does not contain stative voice because it does not use be as a helping verb, nor does it have a main verb that is in a passive construction. The main verb will fall indicates an action that will occur, rather than a state of being or a condition that is being received by the subject.', 'Property': 'stative'}, {'Answer': 'no', 'Explanation': 'The sentence provided does not contain both active and passive voice regarding a single subject. It describes a situation in a straightforward manner without switching between active and passive constructions. The phrase will fall indicates a future action but does not imply that the subject (winter) is being acted upon in a passive sense, nor does it include an active voice construction about the same subject.', 'Property': 'compound'}]",[]
118,[1],"In any case, note well: the letter to me from the UK Home Office said that I was banned for saying that “[Islam] is a religion and is a belief system that mandates warfare against unbelievers…”",Predication,"['stative', 'active']","['stative', 'active']","['stative', 'active']",True,[],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'said' in the clause 'the letter to me from the UK Home Office said'.""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The example text contains active verbs such as 'said' and 'saying', indicating the use of active voice.""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The example contains active verbs, such as 'said', which indicate the action being performed by the subject.""
}",['active'],True,"{
  ""Properties"": [""stative""],
  ""Explanation"": ""The sentence contains a stative verb 'is' in the phrase '[Islam] is a religion and is a belief system'. This indicates a state of being rather than an action.""
}",['stative'],"{
  ""Properties"": [""stative""],
  ""Explanation"": ""The sentence contains the stative verb 'is' in the phrase '[Islam] is a religion and is a belief system'. This indicates a state of being rather than an action, fulfilling the stative property.""
}",['stative'],"{
  ""Properties"": [""stative""],
  ""Explanation"": ""The sentence contains the stative verb 'is' in the phrase '[Islam] is a religion and is a belief system'. This indicates a state of being rather than an action.""
}",['stative'],1,['stative'],1.0,0.0,GPT is mixing up the properties and definitions,"['stative', 'active']","[{'Answer': 'no', 'Explanation': 'The sentence provided does not contain active voice verbs. The main clause the letter to me from the UK Home Office said has the letter as the subject, but the action described (said) does not indicate that the subject is performing an action in the active sense. Instead, it reports what the letter communicated, which is a passive construction regarding the content of the letter. The phrase I was banned also indicates a passive voice, as the subject I is receiving the action rather than performing it.', 'Property': 'active'}, {'Answer': 'no', 'Explanation': 'The sentence does not contain stative voice verbs. The main verb said is an action verb, and the sentence does not use be as a helping verb in conjunction with a main verb that does not end in ing. Instead, it describes an action performed by the subject (the letter) rather than a state of being or receiving an action.', 'Property': 'stative'}, {'Answer': 'no', 'Explanation': 'The provided sentence does not exhibit compound predication voice, as it does not use both active and passive voice regarding a single subject. Instead, it primarily presents information in a straightforward manner without the duality of voice that characterizes compound predication.', 'Property': 'compound'}]",[]
243,[2 6],Women everywhere should be furious.,Predication,['stative'],['stative'],['stative'],True,[],"{
  ""Properties"": [
    ""stative""
  ],
  ""Explanation"": ""The sentence uses the stative verb 'should be' to express a state of being, rather than an action.""
}",['stative'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'should be furious.'""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'should be furious.' It is directly calling on women to feel a certain way.""
}",['active'],False,"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'should be furious' which expresses an action.""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'should be furious.'""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'should be furious.'""
}",['active'],1,['active'],1.0,0.0,GPT is mixing up the properties and definitions,['stative'],"[{'Answer': 'no', 'Explanation': 'The sentence Women everywhere should be furious does not contain an active voice verb because it does not describe an action being performed by the subject (Women). Instead, it expresses a state of being or an emotional response (should be furious), which does not involve an action performed by the subject.', 'Property': 'active'}, {'Answer': 'no', 'Explanation': 'The sentence Women everywhere should be furious does not contain a stative voice verb. The main verb be is used in a modal construction (should be), but it does not indicate that the subject (women) is receiving an action. Instead, it expresses a state of being or condition (being furious) rather than an action being performed on the subject.', 'Property': 'stative'}, {'Answer': 'no', 'Explanation': 'The sentence Women everywhere should be furious does not contain both active and passive voice about a single subject. It is a straightforward statement in the active voice, expressing a sentiment about women. There is no passive construction present, which is necessary for a sentence to be classified as having compound predication voice.', 'Property': 'compound'}]",[]
249,[2],"Although the claims are intriguing, it is important to remember that after virtually every terror attack and mass shooting, friends and neighbors express shock that the culprit would be capable of carrying out such horrors, with some outright denying it to be possible.",Predication,"['stative', 'active']","['stative', 'active']","['stative', 'active']",True,[],"{
  ""Properties"": [""active"", ""stative""],
  ""Explanation"": ""The text contains active verbs (express, carrying) and stative verbs (are, is, denying).""
}","['active', 'stative']","{
  ""Properties"": [""active"", ""compound""],
  ""Explanation"": ""The text contains active verbs such as 'are', 'is', 'remember', 'express', 'denying' which indicate active voice. Additionally, it also has compound verbs 'is important', 'would be capable', and 'carrying out', where multiple verbs are connected to one subject.""
}","['active', 'compound']","{
  ""Properties"": [""active"", ""stative"", ""compound""],
  ""Explanation"": ""The example contains active verbs ('are', 'is', 'remember', 'express', 'carrying', 'denying'), stative verb ('is'), and compound verbs ('is important', 'would be capable', 'carrying out').""
}","['active', 'stative', 'compound']",False,"{
  ""Properties"": [""active"", ""stative"", ""compound""],
  ""Explanation"": ""The text contains active verbs (are, express, denying), stative verbs (are), and compound verbs (would be, carrying out).""
}","['active', 'stative', 'compound']","{
  ""Properties"": [""active"", ""stative""],
  ""Explanation"": ""The text contains both active verbs (express, carrying out) and stative verbs (are, is, denying).""
}","['active', 'stative']","{
  ""Properties"": [""active"", ""compound""],
  ""Explanation"": ""The text contains active verbs such as 'are', 'is', 'remember', 'express', 'denying' and also has a compound structure with multiple verbs 'are', 'express', 'denying' about one subject.""
}","['active', 'compound']",0,"['active', 'stative', 'compound']",1.0,0.0,GPT is mixing up the properties and definitions,"['stative', 'active']","[{'Answer': 'no', 'Explanation': 'The sentence primarily uses passive constructions and does not focus on a subject performing an action in an active voice. Phrases like friends and neighbors express shock do contain active voice, but the overall structure of the sentence is complex and includes passive elements, making it not predominantly active voice.', 'Property': 'active'}, {'Answer': 'no', 'Explanation': 'The sentence does not contain stative voice verbs. The verbs are and express do not fit the criteria for stative voice as defined, since are is part of a linking verb construction and express is an action verb. Additionally, the main verbs do not involve a subject receiving an action in a stative manner.', 'Property': 'stative'}, {'Answer': 'no', 'Explanation': 'The provided sentence does not exhibit compound predication voice, as it does not use both active and passive voice about a single subject. Instead, it primarily maintains an active voice throughout, discussing the actions and reactions of friends and neighbors without incorporating a passive construction related to the same subject.', 'Property': 'compound'}]",[]
263,[3],"While Obama pardoned drug dealers and locked up ranchers, Trump pardons ranchers and locks up drug dealers.",Predication,['active'],['active'],['active'],True,[],"{
  ""Properties"": [""compound""],
  ""Explanation"": ""The sentence contains compound predication, as it expresses two contrasting actions (pardoning and locking up) related to two different subjects (drug dealers and ranchers) in a parallel structure.""
}",['compound'],"{
  ""Properties"": [""active"", ""compound""],
  ""Explanation"": ""The sentence contains active verbs 'pardoned' and 'locked up', as well as a compound structure with multiple verbs about one subject (Obama and Trump) in the same sentence.""
}","['active', 'compound']","{
  ""Properties"": [""active"", ""compound""],
  ""Explanation"": ""The sentence contains active verbs ('pardoned', 'locked up') and also features a compound structure with multiple verbs related to the same subject.""
}","['active', 'compound']",False,"{
  ""Properties"": [""active"", ""compound""],
  ""Explanation"": ""The sentence contains active verbs ('pardoned', 'locked up') and also has a compound structure with multiple verbs ('pardoned', 'locked up') about one subject ('Obama', 'Trump').""
}","['active', 'compound']","{
  ""Properties"": [""compound""],
  ""Explanation"": ""The sentence contains a compound structure with multiple verbs ('pardons', 'locked up') about one subject ('Obama' and 'Trump').""
}",['compound'],"{
  ""Properties"": [""active"", ""compound""],
  ""Explanation"": ""The sentence contains active verbs ('pardoned', 'locked up') and also has a compound structure with multiple verbs ('pardoned', 'locked up') about one subject ('Obama', 'Trump').""
}","['active', 'compound']",0,"['active', 'compound']",1.0,0.0,GPT is misinterpreting a property,['active'],"[{'Answer': 'yes', 'Explanation': 'The sentence contains active voice because the subjects (Obama and Trump) are performing the actions (pardoning and locking up). In both clauses, the subjects are directly engaged in the actions, which is characteristic of active voice.', 'Property': 'active'}, {'Answer': 'no', 'Explanation': 'The sentence does not contain stative voice verbs. Instead, it features active voice verbs where the subjects (Obama and Trump) are performing actions (pardoning and locking up). Stative voice requires the subject to receive the action, typically using be as a helping verb, which is not present in this sentence.', 'Property': 'stative'}, {'Answer': 'no', 'Explanation': 'The sentence provided does not exhibit compound predication voice as defined. Instead, it presents two contrasting actions performed by two different subjects (Obama and Trump) without using both active and passive voice about a single subject. The actions are in active voice throughout, and there is no passive construction involved.', 'Property': 'compound'}]",['active']
265,[3],"No Catholic, whether or not he consults a priest, can declare for himself that his marriage in the Church was invalid, especially when—indeed because—he lacks canonical proof of invalidity.",Predication,"['stative', 'active']","['stative', 'active']","['stative', 'active']",True,[],"{
  ""Properties"": [""stative"", ""compound""],
  ""Explanation"": ""The sentence includes a stative verb 'was' and a compound structure with multiple verbs ('can declare,' 'lacks').""
}","['stative', 'compound']","{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'consults' and uses an active voice construction.""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The text contains active verbs such as 'declare,' 'consults,' 'can' and 'lacks,' indicating the use of active voice.""
}",['active'],False,"{
  ""Properties"": [""stative""],
  ""Explanation"": ""The sentence contains a stative verb 'was' to express a state of being (invalid).""
}",['stative'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'consults' and 'declare' which indicate action being performed by the subject.""
}",['active'],"{
  ""Properties"": [""active"", ""stative""],
  ""Explanation"": ""The text contains active verbs (consults, can declare) and a stative verb (is).""
}","['active', 'stative']",0,['stative'],1.0,0.0,,"['stative', 'active']","[{'Answer': 'no', 'Explanation': 'The sentence provided does not contain active voice verbs. Instead, it primarily discusses the inability of a Catholic to declare the invalidity of a marriage without canonical proof. The subject No Catholic is not performing an action but is rather the focus of a statement about a condition or limitation. The verbs in the sentence (can declare, was invalid, lacks) do not illustrate an active action performed by the subject in the way that active voice typically does.', 'Property': 'active'}, {'Answer': 'no', 'Explanation': 'The sentence does not contain stative voice verbs as defined in the provided context. The verbs present do not use be as a helping verb, nor do they fit the criteria of having the subject receiving the action. Instead, the sentence discusses the ability of a Catholic to declare the validity of his marriage, which involves active decision-making rather than a stative condition.', 'Property': 'stative'}, {'Answer': 'no', 'Explanation': 'The sentence provided does not exhibit compound predication voice, as it does not use both active and passive voice regarding a single subject. Instead, it presents a single assertion about a Catholics ability to declare the invalidity of his marriage without involving a contrasting active or passive construction.', 'Property': 'compound'}]",[]
282,[3 9],"And if Trumpism is not the future of the GOP, it is hard to see what a promising GOP agenda might look like.",Predication,['stative'],['stative'],['stative'],True,"['stative', 'active']","{
  ""Properties"": [""stative""],
  ""Explanation"": ""The sentence contains a stative verb 'is' indicating a state of being.""
}",['stative'],"{
  ""Properties"": [""stative""],
  ""Explanation"": ""The sentence contains the stative verb 'is' as part of the phrase 'is not'. This indicates a state of being or a condition rather than an action.""
}",['stative'],"{
  ""Properties"": [""stative""],
  ""Explanation"": ""The sentence contains a stative verb 'is', indicating a state of being rather than action.""
}",['stative'],True,"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'is' and 'look'.""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'is' which is used to express a state of being.""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'is' and 'look' which indicates action being performed by the subject.""
}",['active'],1,['active'],1.0,0.0,GPT is mixing up the properties and definitions,['stative'],"[{'Answer': 'no', 'Explanation': 'The sentence does not contain active voice because the subject it is not performing an action. Instead, it is the subject of the clause that describes a state of being or condition (is hard to see), rather than an action being performed by the subject. The focus is on the state of the GOP agenda rather than an active action taken by a subject.', 'Property': 'active'}, {'Answer': 'no', 'Explanation': 'The sentence does not contain stative voice verbs. The main verbs is and might look do not fit the criteria for stative voice as defined. Is serves as a linking verb, but might look is not a stative verb; it indicates a potential action or state rather than a passive reception of an action.', 'Property': 'stative'}, {'Answer': 'no', 'Explanation': 'The sentence provided does not exhibit compound predication voice, as it does not use both active and passive voice regarding a single subject. Instead, it presents a straightforward statement about Trumpism and the GOP agenda without the duality of voice that characterizes compound predication.', 'Property': 'compound'}]",[]
313,[3],"“The Prologue set this choice before us, the world or Our Lord, as mutually exclusive alternatives; we cannot remain neutral, but must belong wholly to the one or wholly to the other.”",Predication,"['stative', 'active']","['stative', 'active']","['stative', 'active']",True,"['stative', 'active']","{
  ""Properties"": [""active""],
  ""Explanation"": ""The text contains active verbs like 'set' and 'belong', which indicates action or movement.""
}",['active'],"{
  ""Properties"": [""active"", ""stative""],
  ""Explanation"": ""The text contains both active ('set') and stative ('cannot remain') verbs.""
}","['active', 'stative']","{
  ""Properties"": [""stative""],
  ""Explanation"": ""The sentence contains a stative verb 'remain' which indicates a state of being.""
}",['stative'],False,"{
  ""Properties"": [""active""],
  ""Explanation"": ""The text contains active verbs such as 'set' and 'belong', which indicate actions being performed by the subjects.""
}",['active'],"{
  ""Properties"": [""active"", ""stative""],
  ""Explanation"": ""The text contains both active verbs (set, belong) and stative verbs (remain, belong) indicating action and state of being.""
}","['active', 'stative']","{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains active verbs 'set' and 'belong' which indicate action being performed by the subject.""
}",['active'],0,['active'],1.0,0.0,,"['stative', 'active']","[{'Answer': 'no', 'Explanation': 'The sentence provided does not contain active voice verbs. In active voice, the subject performs the action of the verb. In this sentence, The Prologue is the subject, but the verbs set and must belong do not clearly indicate an action being performed in a straightforward manner. The structure is more complex and involves a philosophical statement rather than a direct action, making it less representative of active voice.', 'Property': 'active'}, {'Answer': 'no', 'Explanation': 'The sentence does not contain stative voice verbs. Instead, it uses active voice with the main verb set, which indicates an action performed by the subject The Prologue. Additionally, there are no instances of be as a helping verb, and the main verbs do not fit the criteria for stative voice verbs as described.', 'Property': 'stative'}, {'Answer': 'no', 'Explanation': 'The sentence provided does not exhibit compound predication voice, as it does not use both active and passive voice regarding a single subject. Instead, it presents a series of statements that express a choice between two alternatives without employing a passive construction. The focus is on the active choice presented to the subject rather than a combination of active and passive voice.', 'Property': 'compound'}]",[]
319,[3],It’s not coming back.,Predication,['active'],['active'],['active'],True,['active'],"{
  ""Properties"": [
    ""stative""
  ],
  ""Explanation"": ""The sentence contains a stative verb 'coming' that expresses a state of being, rather than an action.""
}",['stative'],"{
  ""Properties"": [""stative""],
  ""Explanation"": ""The sentence contains a stative verb 'coming' indicating a state of absence or non-existence.""
}",['stative'],"{
  ""Properties"": [""stative""],
  ""Explanation"": ""The sentence uses a stative verb 'coming' to describe a state of being for the subject. It does not involve an action in progress.""
}",['stative'],True,"{
  ""Properties"": [""stative""],
  ""Explanation"": ""The sentence contains a stative verb 'coming' which expresses a state rather than an action.""
}",['stative'],"{
  ""Properties"": [""stative""],
  ""Explanation"": ""The sentence contains a stative verb 'coming' which describes a state rather than an action.""
}",['stative'],"{
  ""Properties"": [""stative""],
  ""Explanation"": ""The sentence contains a stative verb 'coming' which describes a state rather than an action.""
}",['stative'],1,['stative'],1.0,0.0,,['active'],"[{'Answer': 'no', 'Explanation': 'The sentence It’s not coming back does not contain an active voice verb because the subject It is not performing an action; rather, it is the recipient of the action implied by coming back. In active voice, the subject should be the doer of the action, which is not the case here.', 'Property': 'active'}, {'Answer': 'no', 'Explanation': 'The sentence It’s not coming back does not contain a stative voice verb. The main verb coming is in the present participle form, ending in ing, which contradicts the definition of stative voice verbs that require the main verb to not end in ing. Additionally, the sentence does not follow the structure of a stative verb phrase that includes be as a helping verb with a main verb that indicates a state rather than an action.', 'Property': 'stative'}, {'Answer': 'no', 'Explanation': 'The sentence It’s not coming back does not exhibit compound predication voice because it only uses a single voice (active) and does not combine both active and passive constructions about a single subject. In compound predication voice, there would need to be a clear instance of both active and passive voice referring to the same subject, which is not present in this sentence.', 'Property': 'compound'}]",[]
