sentence_id,technique,text,feature_id,props_a20,props_a21,props_a22,annotator_consistency,props_gpt4_majority,res_1.0_1,gpt_props_1.0_1,res_1.0_2,gpt_props_1.0_2,res_1.0_3,gpt_props_1.0_3,gpt3.5_1.0_consistency,res_0.2_1,gpt_props_0.2_1,res_0.2_2,gpt_props_0.2_2,res_0.2_3,gpt_props_0.2_3,gpt3.5_0.2_consistency,gpt3.5_0.2_majority,humans isCorrect,gpt isCorrect,comments,ground truth,resgpt-4o_0.0_V4,propertygpt-4o_0.0_V4
14,[0],Conservative Ben Shapiro told Fox news the verdict was “horrifying.,Tense,['past'],['past'],['past'],True,[],"{
  ""Properties"": [""present""],
  ""Explanation"": ""The use of 'told' indicates the past tense, but the verb 'was' is in the present tense, emphasizing the immediacy of the verdict as well as its impact on the speaker."" 
}",['present'],"{
  ""Properties"": [""past""],
  ""Explanation"": ""The sentence uses the past tense 'was' to express something that already happened.""
}",['past'],"{
  ""Properties"": [""past""],
  ""Explanation"": ""The use of the past tense 'was' indicates that the action of 'told' already happened.""
}",['past'],0,"{
  ""Properties"": [""present""],
  ""Explanation"": ""The use of 'told' indicates the present tense, which is often used in news headlines for immediacy effect.""
}",['present'],"{
  ""Properties"": [""past""],
  ""Explanation"": ""The use of 'was' indicates that the action has already happened, placing it in the past tense.""
}",['past'],"{
  ""Properties"": [""present""],
  ""Explanation"": ""The use of the present tense in the quote 'the verdict was “horrifying' emphasizes the immediacy and impact of the statement.""
}",['present'],0,['present'],1.0,0.0,,['past'],"[{'Answer': 'no', 'Explanation': 'The sentence Conservative Ben Shapiro told Fox news the verdict was “horrifying. is in the past tense. The verb told indicates that the action took place in the past, not in the present.', 'Property': 'present'}, {'Answer': 'yes', 'Explanation': 'The sentence contains the past tense verb told, which indicates that the action of telling already happened. This aligns with the definition of past tense as a verb tense expressing something that already occurred.', 'Property': 'past'}, {'Answer': 'no', 'Explanation': 'The sentence Conservative Ben Shapiro told Fox news the verdict was “horrifying. does not contain a future tense verb. The verb told is in the past tense, and was is also in the past tense. There is no indication of an action that has yet to happen.', 'Property': 'future'}, {'Answer': 'no', 'Explanation': 'The sentence Conservative Ben Shapiro told Fox news the verdict was “horrifying. does not contain progression tense. The entire sentence is in the past tense, as indicated by the verb told. There is no change in tense within the sentence.', 'Property': 'progression'}]",['past']
16,[0],"According to Breitbart, “Sellner, who described the detention centre as looking akin to a typical American prison, said he was told by authorities that his speaking at Hyde Park could cause violence and disrupt community cohesion.”",Tense,['past'],['past'],['past'],True,[],"{
  ""Properties"": [""present"", ""past""],
  ""Explanation"": ""The text uses the past tense 'described' and 'was told' to express actions that have already happened. It also uses the present tense 'could cause' to emphasize a potential action in the future.""
}","['present', 'past']","{
  ""Properties"": [""past""],
  ""Explanation"": ""The text uses the past tense to describe actions that have already taken place, such as 'he was told' and 'could cause.'""
}",['past'],"{
  ""Properties"": [""present"", ""past""],
  ""Explanation"": ""The sentence contains the use of the past tense ('was told') to indicate that the action of being told by the authorities occurred in the past. It also includes the present tense ('could cause') to emphasize the potential immediate impact of his speaking at Hyde Park.""
}","['present', 'past']",0,"{
  ""Properties"": [""present"", ""past""],
  ""Explanation"": ""The text uses the present tense in 'described' and 'said' to emphasize the immediacy of the actions, and the past tense in 'was told' to indicate that the action already happened.""
}","['present', 'past']","{
  ""Properties"": [""present"", ""past""],
  ""Explanation"": ""The text uses the present tense 'described' for immediacy effect and the past tense 'was told' to express something that already happened.""
}","['present', 'past']","{
  ""Properties"": [""present"", ""past""],
  ""Explanation"": ""The text uses the present tense in 'described' and 'said' to emphasize the immediacy of Sellner's actions, and the past tense in 'was told' to indicate that this action already happened.""
}","['present', 'past']",1,"['present', 'past']",1.0,0.0,GPT misinterprets the definition,['past'],"[{'Answer': 'yes', 'Explanation': 'The sentence contains the present tense verb said, which is used to report speech. Although said is in the past tense, the reporting of speech itself is considered a present action in the context of the sentence. Additionally, the verb could is in the present conditional tense, indicating a potential action in the present or future.', 'Property': 'present'}, {'Answer': 'yes', 'Explanation': 'The sentence contains the past tense verb said, which indicates that Sellners statement about the detention center and the authorities warning occurred in the past.', 'Property': 'past'}, {'Answer': 'no', 'Explanation': 'The sentence provided does not contain any verbs in the future tense. The verbs described, said, and was told are all in the past tense. The sentence is reporting past events and statements rather than expressing something that has yet to happen.', 'Property': 'future'}, {'Answer': 'no', 'Explanation': 'The sentence does not contain progression tense. The entire sentence is consistently in the past tense, describing events that have already occurred. There is no shift to a different tense for effect.', 'Property': 'progression'}]","['present', 'past']"
68,[0],"I have read the Cardinal's exposition in both Italian and English, and I only find mention of the help of the sacraments in certain cases.",Tense,['present'],['present'],['present'],True,[],"{
  ""Properties"": [""past""],
  ""Explanation"": ""The text uses the past tense ('have read', 'find mention', 'exposition', 'find mention') to indicate that these actions have already occurred.""
}",['past'],"{
  ""Properties"": [""present"", ""past""],
  ""Explanation"": ""The use of 'have read', 'find mention', and 'only find' indicate the presence of both present and past tense in the text.""
}","['present', 'past']","{
  ""Properties"": [""past""],
  ""Explanation"": ""The use of past tense 'have read' and 'find mention' indicates that the actions have already happened.""
}",['past'],0,"{
  ""Properties"": [""past""],
  ""Explanation"": ""The use of 'find' and 'mention' indicates that the text is discussing something that has already happened, so the past tense is used.""
}",['past'],"{
  ""Properties"": [""past""],
  ""Explanation"": ""The use of 'find' and 'mention' indicate that the text is discussing something that has already happened, hence the use of the past tense.""
}",['past'],"{
  ""Properties"": [""past""],
  ""Explanation"": ""The use of 'find' and 'mention' indicates that the text is discussing something that has already happened, hence the use of the past tense.""
}",['past'],1,['past'],0.0,0.0,GPT misinterprets the definition,"['present', 'past']","[{'Answer': 'no', 'Explanation': 'The sentence I have read the Cardinals exposition in both Italian and English, and I only find mention of the help of the sacraments in certain cases. contains the present perfect tense (have read) and the simple present tense (find). However, the primary action have read is in the present perfect tense, which indicates an action that has been completed at some point in the past but is relevant to the present. Therefore, it does not strictly express something that takes place right now, which is the definition of the present tense.', 'Property': 'present'}, {'Answer': 'no', 'Explanation': 'The sentence I have read the Cardinals exposition in both Italian and English, and I only find mention of the help of the sacraments in certain cases. does not contain a verb in the past tense. The verb have read is in the present perfect tense, and find is in the present tense.', 'Property': 'past'}, {'Answer': 'no', 'Explanation': 'The sentence I have read the Cardinals exposition in both Italian and English, and I only find mention of the help of the sacraments in certain cases. does not contain future tense. The verbs have read and find are in the present perfect and simple present tenses, respectively. There is no indication of an action that has yet to happen.', 'Property': 'future'}, {'Answer': 'no', 'Explanation': 'The sentence I have read the Cardinals exposition in both Italian and English, and I only find mention of the help of the sacraments in certain cases. does not contain progression tense. The tense remains consistent throughout the sentence, with both clauses using the present perfect tense (have read and find). Progression tense involves changing tenses within a sentence for effect, which is not the case here.', 'Property': 'progression'}]",[]
80,[1],"Also, as this is an unprecedented moment in papal history, perhaps the unprecedented step of recalling Benedict XVI to the Chair of St. Peter should also be considered sooner rather than later, before this crisis gets any more out-of-control than it already is.",Tense,['present'],['present'],['present'],True,[],"{
  ""Properties"": [""present"", ""future""],
  ""Explanation"": ""The use of 'is' in 'before this crisis gets any more out-of-control than it already is' signifies present tense, and 'should also be considered' suggests a future action.""
}","['present', 'future']","{
  ""Properties"": [""future""],
  ""Explanation"": ""The use of 'should... be considered' and 'before this crisis gets' indicate the use of future tense to express something that has yet to happen.""
}",['future'],"{
  ""Properties"": [""future""],
  ""Explanation"": ""The use of 'should' and 'before' indicate a future action or possibility.""
}",['future'],0,"{
  ""Properties"": [""present"", ""future""],
  ""Explanation"": ""The use of 'is' in 'than it already is' indicates present tense, while 'should also be considered' and 'gets' indicate future tense.""
}","['present', 'future']","{
  ""Properties"": [""present"", ""future""],
  ""Explanation"": ""The use of 'is' in 'before this crisis gets any more out-of-control than it already is' indicates present tense, while 'should also be considered' indicates future tense.""
}","['present', 'future']","{
  ""Properties"": [""future""],
  ""Explanation"": ""The use of 'should also be considered' and 'before this crisis gets' indicates a future tense, expressing something that has yet to happen.""
}",['future'],0,"['present', 'future']",1.0,0.0,,['present'],"[{'Answer': 'yes', 'Explanation': 'The sentence contains the present tense in the phrase this crisis gets any more out-of-control. The verb gets is in the present tense, indicating an action that is happening right now.', 'Property': 'present'}, {'Answer': 'no', 'Explanation': 'The sentence provided does not contain any verbs in the past tense. The verbs is, should be considered, and gets are in the present tense or future tense. Therefore, the sentence does not express any action that has already happened.', 'Property': 'past'}, {'Answer': 'no', 'Explanation': 'The sentence does not contain a verb in the future tense. It discusses a suggestion (should also be considered) and a condition (before this crisis gets any more out-of-control), but it does not use a verb form that explicitly indicates future tense, such as will or shall.', 'Property': 'future'}, {'Answer': 'no', 'Explanation': 'The sentence does not contain progression tense. The entire sentence is written in the present tense, discussing a current situation and potential future actions. There is no shift in tense within the sentence.', 'Property': 'progression'}]",['present']
117,[ 1 12],"And so Chris Bryant, “a senior Labour backbencher, has written to May urging her to go further, and issue an official ban on Donald Trump from entering the UK on the grounds he is condoning fascism and his presence is ‘not conducive to the public good’, a senior Labour MP has said.”",Tense,['present'],['present'],['present'],True,[],"{
  ""Properties"": [""present"", ""progression""],
  ""Explanation"": ""The use of present tense ('has written', 'is condoning', 'has said') provides immediacy and emphasizes the actions being taken, while the progression of tenses from 'has written' to 'has said' in the same sentence is used for a rhetorical effect.""
}","['present', 'progression']","{
  ""Properties"": [""present"", ""progression""],
  ""Explanation"": ""The use of 'has written' and 'urging' indicates the present tense, creating immediacy. Additionally, the shift from 'has written' to 'has said' in the same sentence creates a tense progression for effect.""
}","['present', 'progression']","{
  ""Properties"": [
    ""present""
  ],
  ""Explanation"": ""The use of 'has written', 'urging', and 'has said' indicates the use of present tense for immediacy and emphasis.""
}",['present'],0,"{
  ""Properties"": [""present"", ""progression""],
  ""Explanation"": ""The use of 'has written' and 'urging' indicates the present tense, which is often used in news for immediacy effect. Additionally, the change from 'has written' to 'has said' in the middle of the sentence creates a progression effect.""
}","['present', 'progression']","{
  ""Properties"": [""present"", ""progression""],
  ""Explanation"": ""The use of 'has written', 'urging', and 'has said' indicates the use of present tense for immediacy effect. Additionally, the change from 'has written' (present perfect) to 'has said' (present perfect) in the middle of the sentence creates a progression for rhetorical effect.""
}","['present', 'progression']","{
  ""Properties"": [""present"", ""progression""],
  ""Explanation"": ""The use of 'has written' and 'urging' indicates the present tense, while the shift from 'has written' to 'has said' creates a tense progression for effect.""
}","['present', 'progression']",1,"['present', 'progression']",0.0,0.0,,"['present', 'past']","[{'Answer': 'yes', 'Explanation': 'The sentence contains present tense verbs. Specifically, has written and is condoning are in the present perfect and present continuous tenses, respectively, which are forms of the present tense.', 'Property': 'present'}, {'Answer': 'no', 'Explanation': 'The sentence provided does not contain any verbs in the past tense. The verbs has written, urging, issue, is condoning, is, and has said are either in the present perfect tense, present continuous tense, or simple present tense.', 'Property': 'past'}, {'Answer': 'no', 'Explanation': 'The sentence provided does not contain a future tense verb. The verbs has written and has said are in the present perfect tense, which indicates actions that have been completed at some point in the past but are relevant to the present. There is no verb in the sentence that expresses an action that has yet to happen.', 'Property': 'future'}, {'Answer': 'no', 'Explanation': 'The sentence does not contain progression tense. The tense remains consistent throughout the sentence, using the present perfect tense (has written, has said) and the present continuous tense (is condoning). There is no shift in tense for effect.', 'Property': 'progression'}]",['present']
249,[2],"Although the claims are intriguing, it is important to remember that after virtually every terror attack and mass shooting, friends and neighbors express shock that the culprit would be capable of carrying out such horrors, with some outright denying it to be possible.",Tense,['present'],['present'],['present'],True,[],"{
  ""Properties"": [""present"", ""progression""],
  ""Explanation"": ""The sentence begins with 'claims are', using present tense for immediacy effect. Then it switches to past tense with 'important to remember' and 'after virtually every terror attack', creating a progression in tense for effect.""
}","['present', 'progression']","{
  ""Properties"": [""present"", ""progression""],
  ""Explanation"": ""The use of 'are intriguing', 'is important', and 'remember' indicate the present tense, while 'would be capable' and 'outright denying' create a progression by changing the tense in the middle of the sentence for effect.""
}","['present', 'progression']","{
  ""Properties"": [""present"", ""progression""],
  ""Explanation"": ""The text uses the present tense in 'are intriguing', 'is important', and 'remember' for immediacy and emphasis. It also switches from present tense to past tense in 'express shock' and 'would be capable' for a progression effect.""
}","['present', 'progression']",1,"{
  ""Properties"": [""present"", ""progression""]
}

 	","['present', 'progression']","{
  ""Properties"": [""present"", ""progression""],
  ""Explanation"": ""The text uses the present tense to emphasize the ongoing nature of the situation, and it also employs tense progression by switching from present to past tense in the middle of the sentence for effect.""
}","['present', 'progression']","{
  ""Properties"": [""present"", ""progression""],
  ""Explanation"": ""The text uses the present tense to emphasize the ongoing nature of the situation, and also switches to the present tense in the middle of the sentence ('express' and 'deny') for effect.""
}","['present', 'progression']",1,"['present', 'progression']",1.0,0.0,,['present'],"[{'Answer': 'yes', 'Explanation': 'The sentence contains present tense verbs such as are and is. These verbs indicate actions or states that are occurring in the present time.', 'Property': 'present'}, {'Answer': 'no', 'Explanation': 'The sentence provided does not contain any verbs in the past tense. The verbs are, is, express, and denying are in the present tense or present participle form. Therefore, the sentence does not include any past tense verbs.', 'Property': 'past'}, {'Answer': 'no', 'Explanation': 'The sentence provided does not contain any verbs in the future tense. It uses present tense verbs such as are, is, express, and denying. The sentence discusses general reactions and behaviors that occur after events, but it does not describe any actions that will happen in the future.', 'Property': 'future'}, {'Answer': 'no', 'Explanation': 'The sentence does not contain progression tense. It maintains a consistent tense throughout, using the present tense (are intriguing, is important, express shock, denying). There is no shift to a different tense within the sentence.', 'Property': 'progression'}]",['present']
263,[3],"While Obama pardoned drug dealers and locked up ranchers, Trump pardons ranchers and locks up drug dealers.",Tense,"['past', 'present']","['past', 'present']","['past', 'present']",True,[],"{
  ""Properties"": [""present""],
  ""Explanation"": ""The use of 'pardons' and 'locks up' in the same sentence creates a contrast by using different tenses to highlight the actions of the two presidents. The present tense is used to emphasize the immediacy and current relevance of the actions being described.""
}",['present'],"{
  ""Properties"": [""present"", ""past""],
  ""Explanation"": ""The statement uses present tense to describe the current actions of Trump and past tense to describe the actions of Obama, indicating a shift in perspective between the two administrations.""
}","['present', 'past']","{
  ""Properties"": [""present"", ""past""],
  ""Explanation"": ""The text uses both present tense ('pardons', 'locks up') and past tense ('pardoned', 'locked up') to compare the actions of Obama and Trump, highlighting the contrast between their approaches.""
}","['present', 'past']",0,"{
  ""Properties"": [""present"", ""past""],
  ""Explanation"": ""The sentence uses both present tense ('pardons', 'locks up') and past tense ('pardoned', 'locked up') to contrast the actions of Obama and Trump, indicating a mix of present and past actions.""
}","['present', 'past']","{
  ""Properties"": [""present"", ""past""],
  ""Explanation"": ""The sentence uses both present and past tense to compare the actions of Obama and Trump, indicating a shift in actions over time.""
}","['present', 'past']","{
  ""Properties"": [""present"", ""past""],
  ""Explanation"": ""The sentence uses both present and past tense to compare the actions of Obama and Trump, emphasizing the contrast between their actions.""
}","['present', 'past']",1,"['present', 'past']",1.0,1.0,,"['past', 'present']","[{'Answer': 'yes', 'Explanation': 'The sentence contains present tense. The phrase Trump pardons ranchers and locks up drug dealers uses the present tense verbs pardons and locks up to describe actions taking place right now.', 'Property': 'present'}, {'Answer': 'yes', 'Explanation': 'The sentence contains both past and present tense. The phrase While Obama pardoned drug dealers and locked up ranchers uses the past tense verbs pardoned and locked up, indicating actions that have already happened. The second part of the sentence, Trump pardons ranchers and locks up drug dealers, uses the present tense verbs pardons and locks up, indicating actions that are currently happening.', 'Property': 'past'}, {'Answer': 'no', 'Explanation': 'The sentence While Obama pardoned drug dealers and locked up ranchers, Trump pardons ranchers and locks up drug dealers. does not contain future tense. The verbs pardoned and locked are in the past tense, and the verbs pardons and locks are in the present tense. There is no verb in the future tense, which would typically be formed with will or shall followed by the base form of the verb.', 'Property': 'future'}, {'Answer': 'yes', 'Explanation': 'The sentence While Obama pardoned drug dealers and locked up ranchers, Trump pardons ranchers and locks up drug dealers. contains progression tense. The first clause uses the past tense pardoned and locked up to describe Obamas actions, while the second clause shifts to the present tense pardons and locks up to describe Trumps actions. This change in tense within the same sentence is an example of progression tense.', 'Property': 'progression'}]","['present', 'past', 'progression']"
387,[4],"On the one hand, it could refuse to grant Trump what he wanted and let the records be released, which it knew would point to the CIA’s guilt in the assassination.",Tense,['past'],['past'],['past'],True,['past'],"{
  ""Properties"": [""past""],
  ""Explanation"": ""The example uses the past tense 'refuse' and 'let' to express actions that have already happened.""
}",['past'],"{
  ""Properties"": [""present"", ""progression""],
  ""Explanation"": ""The use of 'could refuse' (present tense) and 'let' (infinitive form) for the immediate effect and to emphasize potential actions. Also, the changing tense in the middle of the sentence ('could refuse' to 'let') creates a progression for rhetorical effect.""
}","['present', 'progression']","{
  ""Properties"": [
    ""past"",
    ""progression""
  ],
  ""Explanation"": ""The use of 'could' indicates a past possibility, and the shift from 'could' to 'knew' in the same sentence demonstrates tense progression for rhetorical effect.""
}","['past', 'progression']",0,"{
  ""Properties"": [""past"", ""progression""],
  ""Explanation"": ""The text uses the past tense 'refused' to express something that already happened, and then changes to the present tense 'let' for effect, creating a sense of progression.""
}","['past', 'progression']","{
  ""Properties"": [""past"", ""progression""],
  ""Explanation"": ""The sentence uses the past tense 'refused' and 'let' to express actions that have already happened. Additionally, it changes tense in the middle of the sentence from 'could refuse' (past) to 'would point' (future) for effect.""
}","['past', 'progression']","{
  ""Properties"": [""past"", ""progression""],
  ""Explanation"": ""The text uses the past tense 'refused' and 'released' to indicate actions that have already happened. Additionally, it switches to the past tense 'pointed' in the middle of the sentence for effect, creating a sense of progression.""
}","['past', 'progression']",1,"['past', 'progression']",1.0,0.0,,['past'],"[{'Answer': 'no', 'Explanation': 'The sentence provided does not contain present tense. The verbs could refuse, grant, wanted, be released, and knew are all in the past or conditional tense. The sentence is discussing hypothetical or past actions rather than actions taking place right now.', 'Property': 'present'}, {'Answer': 'no', 'Explanation': 'The sentence provided does not contain a verb in the past tense. The verbs could refuse, grant, wanted, be released, and knew are either in the present tense, modal form, or infinitive form. The verb wanted is in the past tense, but it is part of a subordinate clause and does not indicate the main action of the sentence.', 'Property': 'past'}, {'Answer': 'no', 'Explanation': 'The sentence provided does not contain a future tense verb. Instead, it uses the modal verb could, which indicates possibility rather than a definite future action. The verbs refuse, grant, let, be released, and knew are not in the future tense.', 'Property': 'future'}, {'Answer': 'no', 'Explanation': 'The sentence does not contain progression tense. The entire sentence is in the past tense (could refuse, wanted, knew, would point). There is no shift to a different tense within the sentence.', 'Property': 'progression'}]",[]
405,[5 4 8 8 9],"So, according to Faggioli, the same Pope who sacks conservative bishops and cardinals according to his pleasure and has just removed a cardinal from the College of Cardinals in an unprecedented disciplinary act under fire from the media, is somehow powerless to dismiss Modernist bishops who have created an obscene “gay culture” in the Church and replace them with orthodox, normal heterosexual males.",Tense,['present'],['present'],['present'],True,"['past', 'present']","{
  ""Properties"": [""past""],
  ""Explanation"": ""The example uses the past tense to describe actions that have already occurred, such as 'sacks', 'has just removed', and 'have created'.""
}",['past'],"{
  ""Properties"": [""present"", ""past""],
  ""Explanation"": ""The text uses present tense 'sacks', 'has just removed' for immediacy effect and past tense 'removed' for expressing something that already happened.""
}","['present', 'past']","{
  ""Properties"": [""present"", ""progression""],
  ""Explanation"": ""The text uses the present tense to emphasize the actions of the Pope, and there is a change in tense from past to present for rhetorical effect.""
}","['present', 'progression']",0,"{
  ""Properties"": [""present"", ""past""],
  ""Explanation"": ""The text uses the present tense to describe ongoing actions ('sacks', 'has just removed') and the past tense to describe actions that have already happened ('removed', 'created').""
}","['present', 'past']","{
  ""Properties"": [""present"", ""progression""],
  ""Explanation"": ""The text uses the present tense to emphasize the ongoing actions and situations, and also switches to the past tense ('has just removed') in the middle of the sentence for effect.""
}","['present', 'progression']","{
  ""Properties"": [""present"", ""progression""],
  ""Explanation"": ""The use of present tense in 'sacks', 'has just removed' and 'is' creates immediacy and emphasizes the ongoing nature of the actions. Additionally, the change from past tense 'removed' to present tense 'is' in the middle of the sentence creates a progression effect for rhetorical emphasis.""
}","['present', 'progression']",0,"['present', 'progression']",0.0,0.0,,"['past', 'present']","[{'Answer': 'yes', 'Explanation': 'The sentence contains present tense verbs. Specifically, the verbs sacks and is are in the present tense. Sacks refers to the Popes current actions, and is indicates the current state of being powerless.', 'Property': 'present'}, {'Answer': 'yes', 'Explanation': 'The sentence contains the phrase has just removed, which is in the present perfect tense. The present perfect tense is used to describe actions that have been completed at some point in the past but are relevant to the present. Although it is not strictly the simple past tense, it does express an action that has already happened, which aligns with the broader definition of past tense.', 'Property': 'past'}, {'Answer': 'no', 'Explanation': 'The sentence provided does not contain any verbs in the future tense. It describes actions and states using the present tense (sacks, has just removed, is somehow powerless) and does not indicate any actions that are yet to happen.', 'Property': 'future'}, {'Answer': 'no', 'Explanation': 'The sentence does not contain progression tense. It maintains a consistent tense throughout, specifically the present tense. The verbs sacks, has just removed, is, have created, and replace are all in the present tense, indicating that the actions are either ongoing or have immediate relevance. There is no shift to a different tense for effect within the sentence.', 'Property': 'progression'}]","['present', 'past']"
514,[5 7],"Instead of preaching out against sin, they advocate for that which God clearly condemns, thereby making war against God (Micah 3:5), which at length destroys our government, our country and our families.",Tense,['present'],['present'],['present'],True,"['past', 'present']","{
  ""Properties"": [""present"", ""progression""],
  ""Explanation"": ""The use of 'advocate' and 'condemns' in the present tense emphasizes the ongoing nature of the action. Additionally, the switch from 'advocate' to 'condemns' in the middle of the sentence creates a tense progression for effect.""
}","['present', 'progression']","{
  ""Properties"": [""present"", ""progression"", ""future""],
  ""Explanation"": ""The passage uses the present tense ('advocate', 'condemns') for immediacy effect and uses a change in tense from present to future ('destroys') for progression and effect.""
}","['present', 'progression', 'future']","{
  ""Properties"": [""present"", ""progression""],
  ""Explanation"": ""The use of 'advocate' and 'destroys' in the same sentence creates a progression in tense, with 'advocate' in present tense and 'destroys' in future tense.""
}","['present', 'progression']",0,"{
  ""Properties"": [""present"", ""progression""],
  ""Explanation"": ""The use of 'advocate' and 'condemns' in the present tense creates immediacy and emphasis. The change in tense from 'advocate' to 'condemns' in the middle of the sentence adds a progression effect.""
}","['present', 'progression']","{
  ""Properties"": [""present"", ""progression""],
  ""Explanation"": ""The use of 'advocate' and 'condemns' in the present tense emphasizes the ongoing nature of the action. Additionally, the shift from 'advocate' (present) to 'destroys' (future) creates a sense of progression in the sentence.""
}","['present', 'progression']","{
  ""Properties"": [""present"", ""progression""],
  ""Explanation"": ""The use of 'preaching' and 'advocate' in the present tense emphasizes the ongoing nature of the actions. Additionally, the change from 'preaching' (past tense) to 'advocate' (present tense) in the middle of the sentence creates a sense of progression.""
}","['present', 'progression']",1,"['present', 'progression']",1.0,0.0,,['present'],"[{'Answer': 'yes', 'Explanation': 'The sentence contains present tense verbs such as advocate and condemns. These verbs express actions that are taking place right now.', 'Property': 'present'}, {'Answer': 'no', 'Explanation': 'The sentence provided does not contain any verbs in the past tense. The verbs preaching, advocate, condemns, making, and destroys are either in the present tense or present participle form. Therefore, the sentence does not express any action that has already happened.', 'Property': 'past'}, {'Answer': 'no', 'Explanation': 'The sentence provided does not contain any verbs in the future tense. It describes actions and consequences in the present tense (advocate, condemns, making, destroys). There are no indications of actions that are yet to happen.', 'Property': 'future'}, {'Answer': 'no', 'Explanation': 'The sentence does not contain progression tense. It maintains a consistent tense throughout, using the present tense to describe the actions and their consequences. There is no shift in tense for effect within the sentence.', 'Property': 'progression'}]",['present']
