sentence_id,technique,text,feature_id,props_a20,props_a21,props_a22,annotator_consistency,props_gpt4_majority,res_1.0_1,gpt_props_1.0_1,res_1.0_2,gpt_props_1.0_2,res_1.0_3,gpt_props_1.0_3,gpt3.5_1.0_consistency,res_0.2_1,gpt_props_0.2_1,res_0.2_2,gpt_props_0.2_2,res_0.2_3,gpt_props_0.2_3,gpt3.5_0.2_consistency,gpt3.5_0.2_majority,humans isCorrect,gpt isCorrect,comments,ground truth,res_FT_Maj_gpt-4o-mini_0.0_V4,property_FT_Maj_gpt-4o-mini_0.0_V4
320,[ 3 16],There will be no turning back.,Aspect,['simple'],['simple'],['simple'],True,['simple'],"{
    ""Properties"": [""future""],
    ""Explanation"": ""The use of 'will' indicates a future action, so the aspect property 'future' is present.""
}",[''],"{
  ""Properties"": [""future""]
  ,""Explanation"": ""The use of 'will' indicates a future action, indicating the usage of the future aspect.""
}",[''],"{
  ""Properties"": [""future""],
  ""Explanation"": ""The phrase 'will be' indicates a future action, suggesting a prediction or a promise. This usage does not fall into any of the specified aspect properties.""
}",[''],1,"{
  ""Properties"": [""future""],
  ""Explanation"": ""The use of 'will be' indicates a future action, suggesting that the turning back has not yet occurred.""
}",[''],"{
  ""Properties"": [""future""]
}",[''],"{
  ""Properties"": [""future""],
  ""Explanation"": ""The use of 'will be' indicates a future action, suggesting that the action of 'turning back' has not yet occurred.""
}",[''],1,[''],1,0,gpt inserted its own property,['simple'],"[{'Answer': 'yes', 'Property': 'simple'}, {'Answer': 'no', 'Property': 'perfect'}, {'Answer': 'no', 'Property': 'progressive'}, {'Answer': 'no', 'Property': 'perfect progressive'}]",['simple']
375,[4],"Despite the fact that it was instituted by God Himself, growing numbers of Catholics actually consider it immoral.",Aspect,['simple'],['simple'],['simple'],True,['simple'],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence expresses a simple fact about growing numbers of Catholics considering something immoral.""
}",['simple'],"{
  ""Properties"": [""simple""]
}",['simple'],"{
  ""Properties"": [""progressive""],
  ""Explanation"": ""The use of 'growing' indicates an ongoing or increasing action, suggesting a progressive aspect.""
}",['progressive'],0,"{
  ""Properties"": [""progressive""],
  ""Explanation"": ""The use of 'growing' indicates an ongoing or increasing action, suggesting a progressive aspect.""
}",['progressive'],"{
  ""Properties"": [""progressive""],
  ""Explanation"": ""The use of 'growing' indicates an ongoing or increasing action, suggesting the progressive aspect.""
}",['progressive'],"{
  ""Properties"": [""progressive""],
  ""Explanation"": ""The use of 'growing' indicates an ongoing or increasing action, suggesting the progressive aspect.""
}",['progressive'],1,['progressive'],1,0,gtp mistook adjective for verb (growing),['simple'],"[{'Answer': 'yes', 'Property': 'simple'}, {'Answer': 'no', 'Property': 'perfect'}, {'Answer': 'no', 'Property': 'progressive'}, {'Answer': 'no', 'Property': 'perfect progressive'}]",['simple']
595,[9 5],The four page email begins with Murillo claiming she and others at Google were engaged in non-partisan activities not designed to help any one candidate or another—only to undercut her own commentary in later passages in the emails by openly admitting the entire effort to boost Latino turnout using Google products with official company resources was to elect Clinton over Trump.,Aspect,['simple'],['simple'],['simple'],True,['simple'],"{
  ""Properties"": [""simple"", ""perfect"", ""progressive""],
  ""Explanation"": ""The sentence includes the use of 'were engaged' (progressive) and 'was to elect' (simple) indicating ongoing and completed actions.""
}","['simple', 'perfect', 'progressive']","{
  ""Properties"": [""simple"", ""perfect""],
  ""Explanation"": ""The sentence 'Murillo claiming she and others at Google were engaged' uses the simple aspect to express a simple fact. The phrase 'had been engaged' uses the perfect aspect to express a completed action.""
}","['simple', 'perfect']","{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence expresses a simple fact about the past events recounted in the email.""
}",['simple'],0,"{
  ""Properties"": [""simple"", ""perfect"", ""progressive""],
  ""Explanation"": ""The sentence contains a simple fact ('Murillo claiming'), a completed action ('admitting'), and an ongoing action ('were engaged').""
}","['simple', 'perfect', 'progressive']","{
  ""Properties"": [""simple"", ""perfect"", ""progressive""],
  ""Explanation"": ""The sentence contains simple aspect to express a simple fact ('Murillo claiming...') and perfect aspect to express a completed action ('was engaged'). It also contains progressive aspect to express an ongoing action ('using Google products').""
}","['simple', 'perfect', 'progressive']","{
  ""Properties"": [""simple"", ""progressive""],
  ""Explanation"": ""The sentence 'Murillo claiming she and others at Google were engaged' uses the simple aspect to express a simple fact. The phrase 'using Google products with official company resources was to elect Clinton over Trump' uses the progressive aspect to express an ongoing action.""
}","['simple', 'progressive']",0,"['simple', 'perfect', 'progressive']",0,0,the correct answer is simple  (email begins with) and progressinve (admitting),"['simple', 'progressive']","[{'Answer': 'yes', 'Property': 'simple'}, {'Answer': 'no', 'Property': 'perfect'}, {'Answer': 'no', 'Property': 'progressive'}, {'Answer': 'no', 'Property': 'perfect progressive'}]",['simple']
866,[6],A West Virginia school has come under fire for instructing junior high students to write the Islamic profession of faith ostensibly to practice calligraphy.,Aspect,['perfect'],['perfect'],['perfect'],True,['simple'],"{
  ""Properties"": [""simple"", ""progressive""],
  ""Explanation"": ""The sentence contains both simple aspect, expressing a simple fact ('a West Virginia school has come under fire'), and progressive aspect, expressing an ongoing or incomplete action ('instructing junior high students to write the Islamic profession of faith').""
}","['simple', 'progressive']","{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence expresses a simple fact about the action of the school instructing junior high students to write the Islamic profession of faith.""
}",['simple'],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence expresses a simple fact without indicating the completion, ongoing nature, or duration of the action.""
}",['simple'],0,"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence expresses a simple fact about the school coming under fire for instructing students to write the Islamic profession of faith.""
}",['simple'],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence expresses a simple fact without indicating completion, ongoing action, or habitual action.""
}",['simple'],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence expresses a simple fact about the school coming under fire for instructing students to write the Islamic profession of faith.""
}",['simple'],1,['simple'],1,0,Seems to be relying on the definition provided in a looser way,['perfect'],"[{'Answer': 'yes', 'Property': 'simple'}, {'Answer': 'yes', 'Property': 'perfect'}, {'Answer': 'no', 'Property': 'progressive'}, {'Answer': 'no', 'Property': 'perfect progressive'}]","['simple', 'perfect']"
929,[13  6],"Beyond pressuring our allies, consider these specific steps President Trump has taken against Russia: Where President Obama refused to provide serious weapons to the Ukrainians to help them defend themselves (his response was weakness on a pathetic scale), President Trump has approved the sale of offensive weapons to enable the Ukrainians to increase the cost of Russian aggression.",Aspect,"['simple', 'perfect']","['simple', 'perfect']","['simple', 'perfect']",True,['simple'],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The text uses the simple aspect to express a basic fact about President Trump's actions against Russia.""
}",['simple'],"{
  ""Properties"": [""simple"", ""perfect""],
  ""Explanation"": ""The text uses the simple aspect to describe specific actions or facts, such as 'President Trump has approved the sale of offensive weapons.' It also uses the perfect aspect to express completed actions, as in 'President Obama refused to provide serious weapons.'""
}","['simple', 'perfect']","{
  ""Properties"": [""simple""],
  ""Explanation"": ""The example uses the simple aspect to express a simple fact about specific steps President Trump has taken against Russia.""
}",['simple'],0,"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The text uses the simple aspect to express a simple fact about President Trump's actions against Russia.""
}",['simple'],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The text expresses a simple fact about President Trump's actions against Russia, without indicating completion, ongoingness, or progressiveness.""
}",['simple'],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The text expresses a simple fact about President Trump's actions against Russia, without indicating completion, ongoingness, or habitualness.""
}",['simple'],1,['simple'],1,0,Seems to be relying on the definition provided in a looser way,"['simple', 'perfect']","[{'Answer': 'yes', 'Property': 'simple'}, {'Answer': 'yes', 'Property': 'perfect'}, {'Answer': 'no', 'Property': 'progressive'}, {'Answer': 'no', 'Property': 'perfect progressive'}]","['simple', 'perfect']"
994,[8 6],"“I’ve never understood how chaos, anarchy and illegal border crossings are viewed as something good in a country like Germany, which we view as the best example of discipline and the rule of law,” he said.",Aspect,"['simple', 'perfect']","['simple', 'perfect']","['simple', 'perfect']",True,['perfect'],"{
  ""Properties"": [""simple"", ""perfect""],
  ""Explanation"": ""The sentence expresses a simple fact and also refers to a completed action ('I've never understood').""
}","['simple', 'perfect']","{
  ""Properties"": [""simple"", ""perfect""],
  ""Explanation"": ""The text uses the simple aspect to express a simple fact ('I’ve never understood') and the perfect aspect to express a completed action ('have viewed').""
}","['simple', 'perfect']","{
  ""Properties"": [""perfect""],
  ""Explanation"": ""The use of 'I've never understood' indicates a completed action in the past, emphasizing the speaker's current state of not understanding.""
}",['perfect'],0,"{
  ""Properties"": [""perfect""],
  ""Explanation"": ""The use of 'I've never understood' indicates a completed action of not understanding up to the present moment.""
}",['perfect'],"{
  ""Properties"": [""perfect""],
  ""Explanation"": ""The use of 'I've never understood' indicates a completed action in the past, suggesting the perfect aspect.""
}",['perfect'],"{
  ""Properties"": [""perfect""],
  ""Explanation"": ""The use of 'I've never understood' indicates a completed action in the past, suggesting the speaker's ongoing lack of understanding up to the present moment.""
}",['perfect'],1,['perfect'],1,1,,"['simple', 'perfect']","[{'Answer': 'yes', 'Property': 'simple'}, {'Answer': 'yes', 'Property': 'perfect'}, {'Answer': 'no', 'Property': 'progressive'}, {'Answer': 'no', 'Property': 'perfect progressive'}]","['simple', 'perfect']"
1350,[7],"As far as the labor market is concerned, “America First” has not translated to Americans First.",Aspect,"['simple', 'perfect']","['simple', 'perfect']","['simple', 'perfect']",True,['simple'],"{
  ""Properties"": [""perfect progressive""],
  ""Explanation"": ""The sentence uses the perfect progressive aspect to express an ongoing action (the translation of 'America First' to 'Americans First').""
}",['perfect_progressive'],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence expresses a simple fact without indicating the completion, ongoing nature, or habitual aspect of the action.""
}",['simple'],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence expresses a simple fact about the present situation in the labor market.""
}",['simple'],0,"{
  ""Properties"": [""perfect progressive""],
  ""Explanation"": ""The use of 'has not translated' indicates a continuous or ongoing action that has not yet been completed, suggesting the use of perfect progressive aspect.""
}",['perfect_progressive'],"{
  ""Properties"": [""perfect progressive""],
  ""Explanation"": ""The use of 'has not translated' indicates an ongoing action that has not yet been completed, suggesting the use of perfect progressive aspect.""
}",['perfect_progressive'],"{
  ""Properties"": [""perfect""],
  ""Explanation"": ""The use of 'has not translated' indicates a completed action in the past.""
}",['perfect'],0,['perfect_progressive'],1,0,Seems to be relying on the definition provided in a looser way,"['simple', 'perfect']","[{'Answer': 'yes', 'Property': 'simple'}, {'Answer': 'yes', 'Property': 'perfect'}, {'Answer': 'no', 'Property': 'progressive'}, {'Answer': 'no', 'Property': 'perfect progressive'}]","['simple', 'perfect']"
1589,[8 6],"In the tragic comedy of denial that every Islamic terrorism investigation inevitably becomes, the authorities are still hunting around for his motiv Yonathan Halimi, Sarah Lucy’s son, describes the killer’s family as being known for its anti-Semitism.",Aspect,"['progressive', 'simple']","['progressive', 'simple']","['progressive', 'simple']",True,['simple'],"{
  ""Properties"": [""simple"", ""progressive""],
  ""Explanation"": ""The text uses the simple aspect to express a simple fact about the ongoing investigation ('authorities are still hunting') and the progressive aspect to denote an ongoing or incomplete action ('describes').""
}","['simple', 'progressive']","{
  ""Properties"": [""progressive""],
  ""Explanation"": ""The use of 'are still hunting' indicates an ongoing or incomplete action, which aligns with the progressive aspect.""
}",['progressive'],"{
  ""Properties"": [""simple"", ""progressive""],
  ""Explanation"": ""The text contains a simple statement about ongoing or incomplete actions.""
}","['simple', 'progressive']",0,"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence expresses a simple fact about the killer's family being known for its anti-Semitism.""
}",['simple'],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence expresses a simple fact about the ongoing investigation and the description of the killer's family.""
}",['simple'],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence 'Yonathan Halimi, Sarah Lucy’s son, describes the killer’s family as being known for its anti-Semitism.' expresses a simple fact without indicating completion, ongoingness, or a habitual action.""
}",['simple'],1,['simple'],1,0,gpt missed the part of  sentence,"['progressive', 'simple']","[{'Answer': 'yes', 'Property': 'simple'}, {'Answer': 'no', 'Property': 'perfect'}, {'Answer': 'yes', 'Property': 'progressive'}, {'Answer': 'no', 'Property': 'perfect progressive'}]","['simple', 'progressive']"
2629,[ 8 13],ADVANTAGE AMERICANS,Aspect,,,,True,,"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The text uses simple aspect, expressing a simple fact or statement.""
}",['simple'],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The text uses the simple aspect to express a simple fact, without indicating completion, ongoingness, or habitual action.""
}",['simple'],"{
  ""Properties"": [],
  ""Explanation"": ""There are no explicit aspects used in the text. The text simply presents a phrase without indicating any specific aspect of the action.""
}",[],1,"{
  ""Properties"": [],
  ""Explanation"": ""The text does not contain any verb forms or actions, so there are no aspects of aspect used in this text.""
}",[],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The text expresses a simple fact without indicating completion, ongoingness, or habitual action.""
}",['simple'],"{
  ""Properties"": [],
  ""Explanation"": ""The text does not contain any verb forms or constructions that indicate aspect."" 
}",[],1,[],1,1,,[],"[{'Answer': 'yes', 'Property': 'simple'}, {'Answer': 'no', 'Property': 'perfect'}, {'Answer': 'no', 'Property': 'progressive'}, {'Answer': 'no', 'Property': 'perfect progressive'}]",['simple']
2871,[8],"While it earlier made attempts to balance its shoddier side with some interesting reporting, it is now solidly main stream in the worst sense.",Aspect,['simple'],['simple'],['simple'],True,"['progressive', 'simple']","{
  ""Properties"": [""progressive""],
  ""Explanation"": ""The use of 'is now' indicates an ongoing change in the state of being solidly mainstream, suggesting a progressive aspect.""
}",['progressive'],"{
  ""Properties"": [""progressive""],
  ""Explanation"": ""The use of 'is now' indicates a current ongoing state, suggesting a progressive aspect.""
}",['progressive'],"{
  ""Properties"": [""perfect progressive""],
  ""Explanation"": ""The use of 'is now' and 'main stream' indicates a completed ongoing action, suggesting the perfect progressive aspect.""
}",['perfect_progressive'],0,"{
  ""Properties"": [""progressive""],
  ""Explanation"": ""The use of 'is now' indicates an ongoing or current state, suggesting a progressive aspect.""
}",['progressive'],"{
  ""Properties"": [""progressive""],
  ""Explanation"": ""The use of 'is now' indicates an ongoing or current state, suggesting a progressive aspect.""
}",['progressive'],"{
  ""Properties"": [""progressive""],
  ""Explanation"": ""The use of 'is now' indicates a current ongoing state, suggesting a progressive aspect.""
}",['progressive'],1,['progressive'],1,0,Seems to be relying on the definition provided in a looser way,['simple'],"[{'Answer': 'yes', 'Property': 'simple'}, {'Answer': 'no', 'Property': 'perfect'}, {'Answer': 'no', 'Property': 'progressive'}, {'Answer': 'no', 'Property': 'perfect progressive'}]",['simple']
