sentence_id,technique,text,feature_id,props_a20,props_a21,props_a22,annotator_consistency,props_gpt4_majority,res_1.0_1,gpt_props_1.0_1,res_1.0_2,gpt_props_1.0_2,res_1.0_3,gpt_props_1.0_3,gpt3.5_1.0_consistency,res_0.2_1,gpt_props_0.2_1,res_0.2_2,gpt_props_0.2_2,res_0.2_3,gpt_props_0.2_3,gpt3.5_0.2_consistency,gpt3.5_0.2_majority,humans isCorrect,gpt isCorrect,comments,ground truth
4,[0 8 9],"Muhammad advises the same thing, according to the tradition of the Muslim doctors: wherefore the great Temur always strove to exterminate the infidels, as much to acquire that glory, as to signalise himself by the greatness of his conquests.”",Series,[],[],[],TRUE,[],"{
  ""Properties"": [""polysyndeton""],
  ""Explanation"": ""The use of the conjunction 'as much' in the sentence indicates the presence of polysyndeton, where conjunctions are used between every item.""
}",['polysyndenton'],"{
  ""Properties"": [""polysyndeton""],
  ""Explanation"": ""The use of the conjunction 'as' between 'the glory,' and 'the greatness of his conquests' creates a polysyndeton.""
}",['polysyndenton'],"{
  ""Properties"": [""polysyndenton""],
  ""Explanation"": ""The use of the conjunction 'as' to connect the different motivations ('to acquire that glory' and 'to signalise himself') indicates the presence of polysyndeton in the text.""
}",['polysyndenton'],TRUE,"{
  ""Properties"": [""polysyndenton""],
  ""Explanation"": ""The use of the conjunction 'as' between 'to acquire that glory' and 'to signalise himself' indicates the presence of polysyndenton.""
}",['polysyndenton'],"{
  ""Properties"": [""polysyndenton""],
  ""Explanation"": ""The text uses the polysyndenton property by using the conjunction 'as' between the listed reasons for Temur's actions.""
}",['polysyndenton'],"{
  ""Properties"": [""polysyndenton""],
  ""Explanation"": ""The use of the conjunction 'as' between 'acquire that glory' and 'to signalise himself' suggests the presence of polysyndenton.""
}",['polysyndenton'],1,['polysyndenton'],1,0,GPT misinterprets the feature,[]
11,[0 8],"We are simply asked to take the pope’s word for it, but given that it follows his astoundingly brazen lie that there was no evidence for Ricca’s homosexual activity in the first place, we can take the assurance for what it seems to be worth.",Series,[],[],[],TRUE,[],"{
  ""Properties"": [""polysyndenton""],
  ""Explanation"": ""The sentence uses the conjunction 'but' to join clauses and lists the pope’s lie, homosexual activity, and assurance with conjunctions.""
}",['polysyndenton'],"{
  ""Properties"": [""gradatio""],
  ""Explanation"": ""The use of 'first place' suggests a gradatio, listing items in a series with an overlapping relationship, implying a chain of causality.""
}",['gradatio'],"{
  ""Properties"": [""polysyndenton""],
  ""Explanation"": ""The sentence contains the use of the polysyndenton, with 'but' and 'that' functioning as conjunctions between the listed clauses, indicating the presence of this specific rhetorical device.""
}",['polysyndenton'],FALSE,"{
  ""Properties"": [""polysyndenton""],
  ""Explanation"": ""The use of the conjunction 'but' between 'it follows his astoundingly brazen lie' and 'we can take the assurance for what it seems to be worth' demonstrates the polysyndenton property.""
}",['polysyndenton'],"{
  ""Properties"": [""polysyndenton""],
  ""Explanation"": ""The sentence uses the conjunction 'but' to connect the two clauses, indicating polysyndeton.""
}",['polysyndenton'],"{
  ""Properties"": [""asyndenton""],
  ""Explanation"": ""The sentence uses asyndenton by listing items without any conjunctions.""
}",['asyndenton'],0,['polysyndenton'],1,0,,[]
14,[0],Conservative Ben Shapiro told Fox news the verdict was “horrifying.,Series,[],[],[],TRUE,[],"{
  ""Properties"": [""asyndeton""],
  ""Explanation"": ""The use of 'and' before 'horrifying' is absent so it falls under the category of asyndeton.""
}",['asyndenton'],"{
  ""Properties"": [""asyndeton""],
  ""Explanation"": ""The use of 'and' is omitted when listing the adjectives 'horrifying.'""
}",['asyndenton'],"{
  ""Properties"": [""asyndeton""],
  ""Explanation"": ""The use of 'and' is omitted when listing the adjectives 'horrifying'.""
}",['asyndenton'],TRUE,"{
  ""Properties"": [""asyndenton""],
  ""Explanation"": ""The use of 'and' is omitted when listing the adjectives 'horrifying'.""
}",['asyndenton'],"{
  ""Properties"": [""asyndenton""],
  ""Explanation"": ""The sentence uses asyndenton by listing the actions 'told', 'horrifying' without any conjunctions.""
}",['asyndenton'],"{
  ""Properties"": [""asyndenton""],
  ""Explanation"": ""The use of 'and' is omitted when listing the adjectives 'horrifying'.""
}",['asyndenton'],1,['asyndenton'],1,0,,[]
16,[0],"According to Breitbart, “Sellner, who described the detention centre as looking akin to a typical American prison, said he was told by authorities that his speaking at Hyde Park could cause violence and disrupt community cohesion.”",Series,[],[],[],TRUE,[],"{
  ""Properties"": [""asyndenton""],
  ""Explanation"": ""The text uses the 'asyndenton' property, as it lists actions ('cause violence' and 'disrupt community cohesion') without using conjunctions.""
}",['asyndenton'],"{
  ""Properties"": [""polysyndenton""],
  ""Explanation"": ""The use of 'and' between 'violence' and 'disrupt' suggests polysyndenton, a listing technique where conjunctions are used between every item.""
}",['polysyndenton'],"{
  ""Properties"": [""asyndenton""],
  ""Explanation"": ""The sentence uses the asyndenton property by listing 'cause violence' and 'disrupt community cohesion' without using any conjunctions.""
}",['asyndenton'],FALSE,"{
  ""Properties"": [""asyndenton""],
  ""Explanation"": ""The sentence uses asyndenton by listing the reasons for being told by authorities that his speaking at Hyde Park could cause violence and disrupt community cohesion without using any conjunctions.""
}",['asyndenton'],"{
  ""Properties"": [""asyndenton""],
  ""Explanation"": ""The sentence uses asyndenton by listing the reasons without any conjunctions, creating a sense of urgency and directness.""
}",['asyndenton'],"{
  ""Properties"": [""asyndenton""],
  ""Explanation"": ""The sentence uses asyndenton by listing the reasons without any conjunctions, creating a sense of urgency and directness.""
}",['asyndenton'],1,['asyndenton'],1,0,,[]
23,[0],"“This is a clear violation of the Senate Ethics rules which safeguard against the appearance or actuality of elected officials ‘cashing in’ on their official position for political purposes,” said Kendra Arnold, executive director of FACT.",Series,[],[],[],TRUE,[],"{
  ""Properties"": [""polysyndenton""],
  ""Explanation"": ""The sentence uses the polysyndenton property by using the conjunction 'and' between the items 'appearance,' 'actuality,' and 'elected officials.'""
}",['polysyndenton'],"{
  ""Properties"": [""asyndenton""],
  ""Explanation"": ""The text uses asyndenton by listing the items 'violation of the Senate Ethics rules' and 'the appearance or actuality of elected officials ‘cashing in’ on their official position for political purposes' without using any conjunctions.""
}",['asyndenton'],"{
    ""Properties"": [""polysyndenton""],
    ""Explanation"": ""The use of the conjunction 'which' to connect the phrases 'appearance' and 'actuality' indicates polysyndeton, using conjunctions between every item.""
}",['polysyndenton'],FALSE,"{
  ""Properties"": [""polysyndeton""],
  ""Explanation"": ""The use of the conjunction 'which' between 'appearance' and 'actuality' suggests a polysyndeton structure.""
}",['polysyndenton'],"{
  ""Properties"": [""polysyndeton""],
  ""Explanation"": ""The use of the conjunction 'which' between 'the appearance' and 'actuality' suggests polysyndeton in the sentence.""
}",['polysyndenton'],"{
  ""Properties"": [""polysyndeton""],
  ""Explanation"": ""The use of the conjunction 'or' between 'appearance' and 'actuality' qualifies as polysyndeton.""
}",['polysyndenton'],1,['polysyndenton'],1,0,,[]
32,[0 6],Cardinal Raymond Burke’s statement declares: “The declarations made by a prelate of the authority of Archbishop Carlo Maria Viganò must be totally taken to heart by those responsible in the Church.”,Series,[],[],[],TRUE,[],"{
  ""Properties"": [
    ""polysyndenton""
  ],
  ""Explanation"": ""The use of the conjunction 'and' in the phrase 'those responsible in the Church' suggests the presence of polysyndenton.""
}",['polysyndenton'],"{
  ""Properties"": [""bracketing""],
  ""Explanation"": ""The statement implicitly lumps together 'those responsible in the Church' as a single category without explicitly listing them.""
}",['bracketing'],"{
  ""Properties"": [""bracketing""],
  ""Explanation"": ""The use of 'prelate of the authority of Archbishop Carlo Maria Viganò' implicitly lumps together Archbishop Viganò and other prelates, indicating they should be taken seriously by those responsible in the Church.""
}",['bracketing'],FALSE,"{
  ""Properties"": [""polysyndenton""],
  ""Explanation"": ""The use of the conjunction 'and' between 'truth' and 'love' suggests the presence of polysyndenton in the text.""
}",['polysyndenton'],"{
  ""Properties"": [""polysyndenton""],
  ""Explanation"": ""The use of the conjunction 'by' between 'prelate' and 'authority' suggests the use of polysyndenton in the sentence.""
}",['polysyndenton'],"{
  ""Properties"": [""polysyndenton""],
  ""Explanation"": ""The use of the conjunction 'and' between 'authority' and 'Archbishop' suggests polysyndenton in the statement.""
}",['polysyndenton'],1,['polysyndenton'],1,0,,[]
43,[0],"As a former trial lawyer, I can tell you that while neither notes nor memories are infallible, in a contest between contemporaneous notes and later verbal testimony about those notes, the content of the written notes usually prevails.",Series,[],[],[],TRUE,[],"{
  ""Properties"": [""asyndeton""],
  ""Explanation"": ""The sentence 'neither notes nor memories' uses asyndeton by omitting conjunctions between the listed items.""
}",['asyndenton'],"{
  ""Properties"": [""asyndenton""],
  ""Explanation"": ""The sentence uses asyndenton by listing 'neither notes nor memories' and 'contemporaneous notes and later verbal testimony' without any conjunctions.""
}",['asyndenton'],"{
  ""Properties"": [""asyndenton""],
  ""Explanation"": ""The text uses asyndeton to list the contrasting elements of 'neither notes nor memories', reinforcing the idea of their fallibility.""
}",['asyndenton'],TRUE,"{
  ""Properties"": [""asyndenton""],
  ""Explanation"": ""The sentence uses asyndenton by listing 'neither notes nor memories' and 'contemporaneous notes and later verbal testimony' without any conjunctions.""
}",['asyndenton'],"{
  ""Properties"": [""asyndenton""],
  ""Explanation"": ""The sentence uses asyndenton by listing two contrasting elements ('neither notes nor memories') without any conjunctions.""
}",['asyndenton'],"{
  ""Properties"": [""asyndenton""],
  ""Explanation"": ""The sentence 'neither notes nor memories are infallible, in a contest between contemporaneous notes and later verbal testimony about those notes, the content of the written notes usually prevails' uses asyndenton by listing items without using any conjunctions.""
}",['asyndenton'],1,['asyndenton'],1,0,,[]
47,[0],"“I don’t regard Louis Farrakhan as an aberration or anything, I regard him as an outstanding human being who commands a following of individuals who are learned and articulate and he plays a big role in the lives of thousands and thousands and thousands and thousands of people,” he emphasized later.",Series,['polysyndenton'],['polysyndenton'],['polysyndenton'],TRUE,[],"{
  ""Properties"": [""gradatio""],
  ""Explanation"": ""The use of repetition of 'thousands' suggests a gradatio as it lists items with overlapping, suggesting a chain of causality.""
}",['gradatio'],"{
  ""Properties"": [
    ""polysyndenton""
  ],
  ""Explanation"": ""The use of 'and' between each description ('thousands and thousands and thousands and thousands') qualifies the text as an example of polysyndenton.""
}",['polysyndenton'],"{
  ""Properties"": [""gradatio""],
  ""Explanation"": ""The use of 'thousands and thousands and thousands and thousands' suggests gradatio, a list of items with overlapping, implying a chain of causality.""
}",['gradatio'],FALSE,"{
  ""Properties"": [""gradatio""],
  ""Explanation"": ""The use of 'thousands and thousands and thousands and thousands' suggests a gradatio, a list of items with overlapping, suggesting a chain of causality.""
}",['gradatio'],"{
  ""Properties"": [""gradatio""],
  ""Explanation"": ""The use of 'thousands and thousands and thousands and thousands' suggests a gradatio, a list of items with overlapping, suggesting a chain of causality.""
}",['gradatio'],"{
  ""Properties"": [""gradatio""],
  ""Explanation"": ""The use of 'thousands and thousands and thousands and thousands' suggests a gradatio, a list of items with overlapping, suggesting a chain of causality.""
}",['gradatio'],1,['gradatio'],1,0,GPT explanation is not logical,['polysyndenton']
54,[0],"She said Thursday regarding Ms. Ford: ""I believe her because she is telling the truth and you know it by her story.""",Series,[],[],[],TRUE,[],"{
  ""Properties"": [""polysyndenton""],
  ""Explanation"": ""The use of 'and' between 'truth' and 'you know it' creates a polysyndeton, indicating a strong connection between the two ideas.""
}",['polysyndenton'],"{
  ""Properties"": [""polysyndenton""],
  ""Explanation"": ""The use of the conjunction 'and' between 'the truth' and 'you know it' qualifies as polysyndenton.""
}",['polysyndenton'],"{
  ""Properties"": [""polysyndenton""],
  ""Explanation"": ""The use of the conjunction 'and' between 'the truth' and 'you know it by her story' qualifies this as polysyndenton.""
}",['polysyndenton'],TRUE,"{
  ""Properties"": [""polysyndenton""],
  ""Explanation"": ""The use of the conjunction 'and' between 'truth', 'you know it', and 'her story' qualifies as polysyndenton.""
}",['polysyndenton'],"{
  ""Properties"": [""polysyndenton""],
  ""Explanation"": ""The use of 'and' between 'the truth', 'love', 'courage', and 'honesty' creates a polysyndeton, indicating a strong emphasis on each individual quality.""
}",['polysyndenton'],"{
  ""Properties"": [""polysyndeton""],
  ""Explanation"": ""The use of the conjunction 'and' between 'the truth', 'you know it', and 'her story' creates a polysyndeton in the sentence.""
}",['polysyndenton'],1,['polysyndenton'],1,0,,[]
68,[0],"I have read the Cardinal's exposition in both Italian and English, and I only find mention of the help of the sacraments in certain cases.",Series,[],[],[],TRUE,[],"{
  ""Properties"": [""asyndenton""],
  ""Explanation"": ""The use of 'and' between 'Italian and English' is absent, indicating asyndeton.""
}",['asyndenton'],"{
  ""Properties"": [""asyndeton""],
  ""Explanation"": ""The sentence uses asyndeton by listing the languages ('Italian and English') without any conjunction between them.""
}",['asyndenton'],"{
  ""Properties"": [""polysyndenton""],
  ""Explanation"": ""The use of 'and' between 'Italian' and 'English' suggests polysyndeton in the sentence, emphasizing the enumeration of languages for comprehensive understanding.""
}",['polysyndenton'],FALSE,"{
  ""Properties"": [""asyndenton""],
  ""Explanation"": ""The sentence uses a series of items without any conjunctions, as seen in the phrase 'in both Italian and English'.""
}",['asyndenton'],"{
  ""Properties"": [""asyndeton""],
  ""Explanation"": ""The sentence uses a listing structure without any conjunctions, as seen in 'Italian and English'.""
}",['asyndenton'],"{
  ""Properties"": [""asyndenton""],
  ""Explanation"": ""The sentence uses a series of items without any conjunctions, as seen in 'Italian and English'.""
}",['asyndenton'],1,['asyndenton'],1,0,,[]
