sentence_id,technique,text,feature_id,props_a20,props_a21,props_a22,annotator_consistency,props_gpt4_majority,res_1.0_1,gpt_props_1.0_1,res_1.0_2,gpt_props_1.0_2,res_1.0_3,gpt_props_1.0_3,gpt3.5_1.0_consistency,res_0.2_1,gpt_props_0.2_1,res_0.2_2,gpt_props_0.2_2,res_0.2_3,gpt_props_0.2_3,gpt3.5_0.2_consistency,gpt3.5_0.2_majority,humans isCorrect,gpt isCorrect,comments,ground truth,Unnamed: 28,propertygpt-4o,resgpt-4o_0.0_V4,propertygpt-4o_0.0_V4
4,[0 8 9],"Muhammad advises the same thing, according to the tradition of the Muslim doctors: wherefore the great Temur always strove to exterminate the infidels, as much to acquire that glory, as to signalise himself by the greatness of his conquests.”",Phrases_built_on_nouns,[],[],[],True,[],"{
  ""Properties"": [
    ""appositives"",
    ""summative modifier""
  ],
  ""Explanation"": ""The phrase 'according to the tradition of the Muslim doctors' acts as an appositive, renaming and providing additional information about 'the same thing.' Additionally, the phrase 'as much to acquire that glory, as to signalise himself by the greatness of his conquests' acts as a summative modifier, summarizing the reasons why Temur strove to exterminate the infidels.""
}","['appositives', 'summative_modifier']","{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'according to the tradition of the Muslim doctors' functions as an appositive, renaming and providing additional information about 'the same thing.'""
}",['appositives'],"{
  ""Properties"": [
    ""appositives"",
    ""summative modifier""
  ],
  ""Explanation"": ""The phrase 'according to the tradition of the Muslim doctors' is an appositive that renames and further describes the noun 'the same thing'. The phrase 'as much to acquire that glory, as to signalise himself by the greatness of his conquests' is a summative modifier that summarizes the preceding clause.""
}","['appositives', 'summative_modifier']",False,"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'according to the tradition of the Muslim doctors' is an appositive, as it renames and provides additional information about 'the same thing.'""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'according to the tradition of the Muslim doctors' is an appositive, as it renames and further describes the noun 'the same thing.'""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'according to the tradition of the Muslim doctors' is an appositive built on the noun 'thing', renaming and providing additional information about it.""
}",['appositives'],1,['appositives'],1.0,0.0,,[],,appositives,"{
  ""Answer"": ""yes"",
  ""Explanation"": ""The sentence uses the phrase 'according to the tradition of the Muslim doctors' as an appositive. This phrase renames or provides additional information about 'the same thing' that Muhammad advises. Appositives are noun phrases that rename or provide more detail about a noun, and in this case, the phrase 'according to the tradition of the Muslim doctors' fits that definition.""
}",['appositives']
4,[0 8 9],"Muhammad advises the same thing, according to the tradition of the Muslim doctors: wherefore the great Temur always strove to exterminate the infidels, as much to acquire that glory, as to signalise himself by the greatness of his conquests.”",Phrases_built_on_nouns,[],[],[],True,[],"{
  ""Properties"": [
    ""appositives"",
    ""summative modifier""
  ],
  ""Explanation"": ""The phrase 'according to the tradition of the Muslim doctors' acts as an appositive, renaming and providing additional information about 'the same thing.' Additionally, the phrase 'as much to acquire that glory, as to signalise himself by the greatness of his conquests' acts as a summative modifier, summarizing the reasons why Temur strove to exterminate the infidels.""
}","['appositives', 'summative_modifier']","{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'according to the tradition of the Muslim doctors' functions as an appositive, renaming and providing additional information about 'the same thing.'""
}",['appositives'],"{
  ""Properties"": [
    ""appositives"",
    ""summative modifier""
  ],
  ""Explanation"": ""The phrase 'according to the tradition of the Muslim doctors' is an appositive that renames and further describes the noun 'the same thing'. The phrase 'as much to acquire that glory, as to signalise himself by the greatness of his conquests' is a summative modifier that summarizes the preceding clause.""
}","['appositives', 'summative_modifier']",False,"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'according to the tradition of the Muslim doctors' is an appositive, as it renames and provides additional information about 'the same thing.'""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'according to the tradition of the Muslim doctors' is an appositive, as it renames and further describes the noun 'the same thing.'""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'according to the tradition of the Muslim doctors' is an appositive built on the noun 'thing', renaming and providing additional information about it.""
}",['appositives'],1,['appositives'],1.0,0.0,,[],,absolute construction,"{
  ""Answer"": ""no"",
  ""Explanation"": ""The sentence 'Muhammad advises the same thing, according to the tradition of the Muslim doctors: wherefore the great Temur always strove to exterminate the infidels, as much to acquire that glory, as to signalise himself by the greatness of his conquests.' does not contain any absolute constructions. An absolute construction typically consists of a noun and a participle or a noun and an adjective, providing additional information about the main clause. In this sentence, there are no such phrases built on nouns that function independently to modify the main clause.""
}",[]
4,[0 8 9],"Muhammad advises the same thing, according to the tradition of the Muslim doctors: wherefore the great Temur always strove to exterminate the infidels, as much to acquire that glory, as to signalise himself by the greatness of his conquests.”",Phrases_built_on_nouns,[],[],[],True,[],"{
  ""Properties"": [
    ""appositives"",
    ""summative modifier""
  ],
  ""Explanation"": ""The phrase 'according to the tradition of the Muslim doctors' acts as an appositive, renaming and providing additional information about 'the same thing.' Additionally, the phrase 'as much to acquire that glory, as to signalise himself by the greatness of his conquests' acts as a summative modifier, summarizing the reasons why Temur strove to exterminate the infidels.""
}","['appositives', 'summative_modifier']","{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'according to the tradition of the Muslim doctors' functions as an appositive, renaming and providing additional information about 'the same thing.'""
}",['appositives'],"{
  ""Properties"": [
    ""appositives"",
    ""summative modifier""
  ],
  ""Explanation"": ""The phrase 'according to the tradition of the Muslim doctors' is an appositive that renames and further describes the noun 'the same thing'. The phrase 'as much to acquire that glory, as to signalise himself by the greatness of his conquests' is a summative modifier that summarizes the preceding clause.""
}","['appositives', 'summative_modifier']",False,"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'according to the tradition of the Muslim doctors' is an appositive, as it renames and provides additional information about 'the same thing.'""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'according to the tradition of the Muslim doctors' is an appositive, as it renames and further describes the noun 'the same thing.'""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'according to the tradition of the Muslim doctors' is an appositive built on the noun 'thing', renaming and providing additional information about it.""
}",['appositives'],1,['appositives'],1.0,0.0,,[],,resumptive modifier,"{
  ""Answer"": ""no"",
  ""Explanation"": ""The sentence provided does not contain any phrases built on nouns that can be categorized as resumptive modifiers. A resumptive modifier involves repeating the noun it modifies, as in the example 'The letter from the president, a letter without precedent.' In the given sentence, there is no repetition of a noun in such a manner. Instead, the sentence provides additional information and context without repeating any noun for emphasis or clarification.""
}",[]
4,[0 8 9],"Muhammad advises the same thing, according to the tradition of the Muslim doctors: wherefore the great Temur always strove to exterminate the infidels, as much to acquire that glory, as to signalise himself by the greatness of his conquests.”",Phrases_built_on_nouns,[],[],[],True,[],"{
  ""Properties"": [
    ""appositives"",
    ""summative modifier""
  ],
  ""Explanation"": ""The phrase 'according to the tradition of the Muslim doctors' acts as an appositive, renaming and providing additional information about 'the same thing.' Additionally, the phrase 'as much to acquire that glory, as to signalise himself by the greatness of his conquests' acts as a summative modifier, summarizing the reasons why Temur strove to exterminate the infidels.""
}","['appositives', 'summative_modifier']","{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'according to the tradition of the Muslim doctors' functions as an appositive, renaming and providing additional information about 'the same thing.'""
}",['appositives'],"{
  ""Properties"": [
    ""appositives"",
    ""summative modifier""
  ],
  ""Explanation"": ""The phrase 'according to the tradition of the Muslim doctors' is an appositive that renames and further describes the noun 'the same thing'. The phrase 'as much to acquire that glory, as to signalise himself by the greatness of his conquests' is a summative modifier that summarizes the preceding clause.""
}","['appositives', 'summative_modifier']",False,"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'according to the tradition of the Muslim doctors' is an appositive, as it renames and provides additional information about 'the same thing.'""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'according to the tradition of the Muslim doctors' is an appositive, as it renames and further describes the noun 'the same thing.'""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'according to the tradition of the Muslim doctors' is an appositive built on the noun 'thing', renaming and providing additional information about it.""
}",['appositives'],1,['appositives'],1.0,0.0,,[],,summative modifier,"{
  ""Answer"": ""no"",
  ""Explanation"": ""The sentence provided does not contain a summative modifier. A summative modifier is a noun phrase that summarizes or generalizes the preceding clause or phrase. In the given sentence, there is no noun phrase that serves this summarizing or generalizing function. The sentence consists of a main clause followed by an explanatory clause, but it does not include a noun phrase that encapsulates the preceding information.""
}",[]
11,[0 8],"We are simply asked to take the pope’s word for it, but given that it follows his astoundingly brazen lie that there was no evidence for Ricca’s homosexual activity in the first place, we can take the assurance for what it seems to be worth.",Phrases_built_on_nouns,[],[],[],True,[],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'his astoundingly brazen lie' is an appositive, renaming the noun 'word'.""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'his astoundingly brazen lie' renames the noun 'word' and modifies it with additional information.""
}",['appositives'],"{
  ""Properties"": [""resumptive modifier"", ""summative modifier""],
  ""Explanation"": ""The phrase 'his astoundingly brazen lie' is a resumptive modifier, as it repeats and modifies the noun 'lie'. The phrase 'what it seems to be worth' is a summative modifier, summarizing the preceding clause.""
}","['resumptive_modifier', 'summative_modifier']",False,"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'his astoundingly brazen lie' is an appositive, renaming the noun 'word'.""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'his astoundingly brazen lie' is an appositive, renaming the noun 'word'.""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'his astoundingly brazen lie' is an appositive that renames the noun 'word'.""
}",['appositives'],1,['appositives'],1.0,0.0,,[],,appositives,"{
  ""Answer"": ""no"",
  ""Explanation"": ""The sentence provided does not contain any appositive phrases. An appositive phrase renames or provides additional information about a noun next to it, such as 'Botswana, a landlocked nation.' In the given sentence, there are no such phrases that rename or provide additional information about a noun in this manner.""
}",[]
11,[0 8],"We are simply asked to take the pope’s word for it, but given that it follows his astoundingly brazen lie that there was no evidence for Ricca’s homosexual activity in the first place, we can take the assurance for what it seems to be worth.",Phrases_built_on_nouns,[],[],[],True,[],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'his astoundingly brazen lie' is an appositive, renaming the noun 'word'.""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'his astoundingly brazen lie' renames the noun 'word' and modifies it with additional information.""
}",['appositives'],"{
  ""Properties"": [""resumptive modifier"", ""summative modifier""],
  ""Explanation"": ""The phrase 'his astoundingly brazen lie' is a resumptive modifier, as it repeats and modifies the noun 'lie'. The phrase 'what it seems to be worth' is a summative modifier, summarizing the preceding clause.""
}","['resumptive_modifier', 'summative_modifier']",False,"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'his astoundingly brazen lie' is an appositive, renaming the noun 'word'.""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'his astoundingly brazen lie' is an appositive, renaming the noun 'word'.""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'his astoundingly brazen lie' is an appositive that renames the noun 'word'.""
}",['appositives'],1,['appositives'],1.0,0.0,,[],,absolute construction,"{
  ""Answer"": ""no"",
  ""Explanation"": ""The sentence provided does not contain any absolute constructions. An absolute construction typically consists of a noun and a participle or a noun and an adjective, providing additional information about the main clause. In the given sentence, there are no such phrases built on nouns that function independently to modify the main clause. The sentence is composed of dependent and independent clauses but lacks the specific structure of an absolute construction.""
}",[]
11,[0 8],"We are simply asked to take the pope’s word for it, but given that it follows his astoundingly brazen lie that there was no evidence for Ricca’s homosexual activity in the first place, we can take the assurance for what it seems to be worth.",Phrases_built_on_nouns,[],[],[],True,[],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'his astoundingly brazen lie' is an appositive, renaming the noun 'word'.""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'his astoundingly brazen lie' renames the noun 'word' and modifies it with additional information.""
}",['appositives'],"{
  ""Properties"": [""resumptive modifier"", ""summative modifier""],
  ""Explanation"": ""The phrase 'his astoundingly brazen lie' is a resumptive modifier, as it repeats and modifies the noun 'lie'. The phrase 'what it seems to be worth' is a summative modifier, summarizing the preceding clause.""
}","['resumptive_modifier', 'summative_modifier']",False,"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'his astoundingly brazen lie' is an appositive, renaming the noun 'word'.""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'his astoundingly brazen lie' is an appositive, renaming the noun 'word'.""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'his astoundingly brazen lie' is an appositive that renames the noun 'word'.""
}",['appositives'],1,['appositives'],1.0,0.0,,[],,resumptive modifier,"{
  ""Answer"": ""no"",
  ""Explanation"": ""The sentence provided does not contain any phrases built on nouns that can be categorized as resumptive modifiers. A resumptive modifier involves repeating the noun it modifies, such as 'The letter from the president, a letter without precedent.' In the given sentence, there is no repetition of a noun in this manner.""
}",[]
11,[0 8],"We are simply asked to take the pope’s word for it, but given that it follows his astoundingly brazen lie that there was no evidence for Ricca’s homosexual activity in the first place, we can take the assurance for what it seems to be worth.",Phrases_built_on_nouns,[],[],[],True,[],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'his astoundingly brazen lie' is an appositive, renaming the noun 'word'.""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'his astoundingly brazen lie' renames the noun 'word' and modifies it with additional information.""
}",['appositives'],"{
  ""Properties"": [""resumptive modifier"", ""summative modifier""],
  ""Explanation"": ""The phrase 'his astoundingly brazen lie' is a resumptive modifier, as it repeats and modifies the noun 'lie'. The phrase 'what it seems to be worth' is a summative modifier, summarizing the preceding clause.""
}","['resumptive_modifier', 'summative_modifier']",False,"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'his astoundingly brazen lie' is an appositive, renaming the noun 'word'.""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'his astoundingly brazen lie' is an appositive, renaming the noun 'word'.""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'his astoundingly brazen lie' is an appositive that renames the noun 'word'.""
}",['appositives'],1,['appositives'],1.0,0.0,,[],,summative modifier,"{
  ""Answer"": ""yes"",
  ""Explanation"": ""The phrase 'the assurance for what it seems to be worth' is built on the noun 'assurance' and summarizes the preceding clause about the pope's statement. This fits the definition of a summative modifier as it generalizes the preceding information.""
}",['summative_modifier']
14,[0],Conservative Ben Shapiro told Fox news the verdict was “horrifying.,Phrases_built_on_nouns,[],[],[],True,[],"{
  ""Properties"": [""resumptive modifier""],
  ""Explanation"": ""The phrase 'Conservative Ben Shapiro' is a resumptive modifier, as it repeats and refers back to the noun it modifies, 'Ben Shapiro'.""
}",['resumptive_modifier'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'Conservative Ben Shapiro' is an appositive as it renames the noun 'Ben Shapiro'.""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'Conservative Ben Shapiro' is an appositive modifying the noun 'Shapiro.'""
}",['appositives'],False,"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'Conservative Ben Shapiro' is an appositive, renaming the noun 'Ben Shapiro'.""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'Conservative Ben Shapiro' is an appositive, renaming the noun 'Ben Shapiro'.""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'Conservative Ben Shapiro' is an appositive, renaming the noun 'Ben Shapiro' with additional information.""
}",['appositives'],1,['appositives'],1.0,0.0,,[],,appositives,"{
  ""Answer"": ""no"",
  ""Explanation"": ""The sentence 'Conservative Ben Shapiro told Fox news the verdict was “horrifying.' does not contain any appositive phrases. An appositive phrase renames or provides additional information about a noun next to it. In this sentence, 'Conservative' is an adjective modifying 'Ben Shapiro,' but it does not rename or provide additional information in the form of a noun phrase. Therefore, it is not an appositive.""
}",[]
14,[0],Conservative Ben Shapiro told Fox news the verdict was “horrifying.,Phrases_built_on_nouns,[],[],[],True,[],"{
  ""Properties"": [""resumptive modifier""],
  ""Explanation"": ""The phrase 'Conservative Ben Shapiro' is a resumptive modifier, as it repeats and refers back to the noun it modifies, 'Ben Shapiro'.""
}",['resumptive_modifier'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'Conservative Ben Shapiro' is an appositive as it renames the noun 'Ben Shapiro'.""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'Conservative Ben Shapiro' is an appositive modifying the noun 'Shapiro.'""
}",['appositives'],False,"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'Conservative Ben Shapiro' is an appositive, renaming the noun 'Ben Shapiro'.""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'Conservative Ben Shapiro' is an appositive, renaming the noun 'Ben Shapiro'.""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'Conservative Ben Shapiro' is an appositive, renaming the noun 'Ben Shapiro' with additional information.""
}",['appositives'],1,['appositives'],1.0,0.0,,[],,absolute construction,"{
  ""Answer"": ""no"",
  ""Explanation"": ""The sentence 'Conservative Ben Shapiro told Fox news the verdict was “horrifying.' does not contain any phrases built on nouns that can be categorized as absolute constructions. An absolute construction typically consists of a noun and a participle or a noun and an adjective, providing additional information about the main clause. In this sentence, there is no such structure present.""
}",[]
