sentence_id,technique,text,feature_id,props_a20,props_a21,props_a22,res1,gpt_props1,res2,gpt_props2,res3,gpt_props3,props_a_majority,props_gpt_majority,ann_gpt_agreemnt,props_gpt4_majority
4,[0 8 9],"Muhammad advises the same thing, according to the tradition of the Muslim doctors: wherefore the great Temur always strove to exterminate the infidels, as much to acquire that glory, as to signalise himself by the greatness of his conquests.”",Lexical_and_semantic_fields,['definite/hypothesis'],"['indefinite/thesis', 'definite/hypothesis']","['indefinite/thesis', 'abstract', 'definite/hypothesis']","{
  ""Properties"": [
    ""definite/hypothesis""
  ],
  ""Explanation"": ""The text refers to specific people and things, such as Muhammad, the Muslim doctors, and Temur, indicating a definite/hypothesis lexical and semantic field property.""
}",['definite/hypothesis'],"{
  ""Properties"": [""definite/hypothesis""],
  ""Explanation"": ""The text refers to specific people and traditions, such as Muhammad and the Muslim doctors, indicating a definite reference to specific things.""
}",['definite/hypothesis'],"{
  ""Properties"": [
    ""concrete"",
    ""definite/hypothesis""
  ],
  ""Explanation"": ""The text refers to specific people and actions, such as Muhammad, Temur, and their actions of exterminating infidels.""
}","['concrete', 'definite/hypothesis']",['definite/hypothesis'],['definite/hypothesis'],1,[]
11,[0 8],"We are simply asked to take the pope’s word for it, but given that it follows his astoundingly brazen lie that there was no evidence for Ricca’s homosexual activity in the first place, we can take the assurance for what it seems to be worth.",Lexical_and_semantic_fields,"['abstract', 'definite/hypothesis']",['definite/hypothesis'],"['concrete', 'abstract', 'definite/hypothesis']","{
  ""Properties"": [""prototype"", ""abstract"", ""indefinite/thesis"", ""definite/hypothesis""],
  ""Explanation"": ""The text contains prototypes such as 'pope', abstract concepts like 'astoundingly brazen lie', and indefinite/thesis language with phrases like 'we can take the assurance for what it seems to be worth.'""
}","['prototype', 'abstract', 'indefinite/thesis', 'definite/hypothesis']","{
  ""Properties"": [""prototype"", ""abstract"", ""concrete"", ""indefinite/thesis""],
  ""Explanation"": ""The text includes specific words like 'pope', 'Ricca', 'homosexual activity', as well as broader concepts like 'lie' and 'evidence', and also abstract concepts like 'assurance' and 'worth'. It also presents a general idea rather than a specific reference.""
}","['prototype', 'abstract', 'concrete', 'indefinite/thesis']","{
  ""Properties"": [""prototype"", ""abstract"", ""concrete""],
  ""Explanation"": ""The text includes specific concrete objects and actions such as 'pope', 'lie', 'evidence', and 'homosexual activity', as well as abstract concepts like 'assurance' and 'worth'."" 
}","['prototype', 'abstract', 'concrete']","['abstract', 'definite/hypothesis']","['prototype', 'abstract', 'indefinite/thesis', 'definite/hypothesis']",0,[]
14,[0],Conservative Ben Shapiro told Fox news the verdict was “horrifying.,Lexical_and_semantic_fields,"['abstract', 'definite/hypothesis']","['concrete', 'definite/hypothesis']","['concrete', 'definite/hypothesis']","{
    ""Properties"": [""definite/hypothesis""],
    ""Explanation"": ""The text refers to specific individuals (Ben Shapiro, Fox news) and expresses a specific opinion ('horrifying verdict'), indicating the use of definite/hypothesis in the lexical and semantic fields.""
}",['definite/hypothesis'],"{
  ""Properties"": [""definite/hypothesis""],
  ""Explanation"": ""The example text contains specific people ('Ben Shapiro') and a specific news outlet ('Fox news'), indicating the use of definite/hypothesis in the lexical and semantic fields.""
}",['definite/hypothesis'],"{
  ""Properties"": [""definite/hypothesis""],
  ""Explanation"": ""The example text contains specific people (Conservative Ben Shapiro) and a specific event (verdict).""
}",['definite/hypothesis'],"['concrete', 'definite/hypothesis']",['definite/hypothesis'],0,[]
16,[0],"According to Breitbart, “Sellner, who described the detention centre as looking akin to a typical American prison, said he was told by authorities that his speaking at Hyde Park could cause violence and disrupt community cohesion.”",Lexical_and_semantic_fields,"['indefinite/thesis', 'concrete', 'abstract', 'definite/hypothesis']","['abstract', 'prototype', 'definite/hypothesis']",['definite/hypothesis'],"{
  ""Properties"": [""definite/hypothesis""],
  ""Explanation"": ""The text specifically mentions 'Sellner' and 'Hyde Park', making it definite/hypothesis.""
}",['definite/hypothesis'],"{
  ""Properties"": [""definite/hypothesis""],
  ""Explanation"": ""The text refers to specific people and things such as 'Sellner' and 'Hyde Park'.""
}",['definite/hypothesis'],"{
  ""Properties"": [
    ""prototype"",
    ""concrete"",
    ""definite/hypothesis""
  ],
  ""Explanation"": ""The text contains specific people (Sellner) and physical objects/actions (detention centre, speaking at Hyde Park), as well as a specific example of a group (typical American prison being a prototype of the detention centre).""
}","['prototype', 'concrete', 'definite/hypothesis']","['indefinite/thesis', 'concrete', 'abstract', 'definite/hypothesis']",['definite/hypothesis'],0,[]
23,[0],"“This is a clear violation of the Senate Ethics rules which safeguard against the appearance or actuality of elected officials ‘cashing in’ on their official position for political purposes,” said Kendra Arnold, executive director of FACT.",Lexical_and_semantic_fields,"['definite/hypothesis', 'abstract', 'indefinite/thesis']",['definite/hypothesis'],"['concrete', 'abstract', 'definite/hypothesis']","{
  ""Properties"": [""definite/hypothesis""],
  ""Explanation"": ""The text refers to specific people or things such as 'Senate Ethics rules' and 'Kendra Arnold', making it definite/hypothesis.""
}",['definite/hypothesis'],"{
  ""Properties"": [""definite/hypothesis""],
  ""Explanation"": ""The text refers to specific people (Senate Ethics rules, elected officials, Kendra Arnold, executive director of FACT) and a specific organization (FACT).""
}",['definite/hypothesis'],"{
  ""Properties"": [""concrete"", ""definite/hypothesis""],
  ""Explanation"": ""The text contains specific physical objects and actions (violation, Senate Ethics rules, elected officials, official position) and specific people (Kendra Arnold, executive director of FACT).""
}","['concrete', 'definite/hypothesis']","['definite/hypothesis', 'abstract', 'indefinite/thesis']",['definite/hypothesis'],0,[]
32,[0 6],Cardinal Raymond Burke’s statement declares: “The declarations made by a prelate of the authority of Archbishop Carlo Maria Viganò must be totally taken to heart by those responsible in the Church.”,Lexical_and_semantic_fields,"['indefinite/thesis', 'definite/hypothesis']",['definite/hypothesis'],['definite/hypothesis'],"{
  ""Properties"": [""definite/hypothesis""],
  ""Explanation"": ""The text refers to specific people and their statements, such as Cardinal Raymond Burke and Archbishop Carlo Maria Viganò""
}",['definite/hypothesis'],"{
  ""Properties"": [""prototype"", ""definite/hypothesis""],
  ""Explanation"": ""The specific mention of Cardinal Raymond Burke and Archbishop Carlo Maria Viganò represent specific individuals, making use of the definite/hypothesis property. Additionally, the mention of a prelate as a representative figure for the Church implies the use of the prototype property.""
}","['prototype', 'definite/hypothesis']","{
  ""Properties"": [""definite/hypothesis""],
  ""Explanation"": ""The text refers to specific people such as Cardinal Raymond Burke and Archbishop Carlo Maria Viganò.""
}",['definite/hypothesis'],['definite/hypothesis'],['definite/hypothesis'],1,[]
43,[0],"As a former trial lawyer, I can tell you that while neither notes nor memories are infallible, in a contest between contemporaneous notes and later verbal testimony about those notes, the content of the written notes usually prevails.",Lexical_and_semantic_fields,['indefinite/thesis'],['indefinite/thesis'],"['concrete', 'prototype']","{
  ""Properties"": [""concrete""],
  ""Explanation"": ""The text contains references to physical objects and actions, such as 'written notes' and 'verbal testimony'.""
}",['concrete'],"{
  ""Properties"": [""prototype"", ""concrete"", ""definite/hypothesis""],
  ""Explanation"": ""The text uses concrete terms such as 'written notes' and 'verbal testimony', which are specific and tangible. The mention of a 'former trial lawyer' also indicates a specific person.""
}","['prototype', 'concrete', 'definite/hypothesis']","{
  ""Properties"": [""concrete""],
  ""Explanation"": ""The text refers to physical objects (notes) and actions (verbal testimony), making use of concrete lexical and semantic fields.""
}",['concrete'],['indefinite/thesis'],['concrete'],-1,[]
47,[0],"“I don’t regard Louis Farrakhan as an aberration or anything, I regard him as an outstanding human being who commands a following of individuals who are learned and articulate and he plays a big role in the lives of thousands and thousands and thousands and thousands of people,” he emphasized later.",Lexical_and_semantic_fields,"['indefinite/thesis', 'definite/hypothesis']",['definite/hypothesis'],['definite/hypothesis'],"```JSON
{
  ""Properties"": [""definite/hypothesis""],
  ""Explanation"": ""The text makes specific reference to Louis Farrakhan, a specific person.""
}
```",['definite/hypothesis'],"{
  ""Properties"": [""concrete""],
  ""Explanation"": ""The text contains references to physical objects (Louis Farrakhan, individuals) and immediate sense impressions (commanding a following, playing a big role in the lives of thousands of people).""
}",['concrete'],"{
  ""Properties"": [""concrete""],
  ""Explanation"": ""The example text contains concrete references to physical objects and actions, such as Louis Farrakhan, individuals, and thousands of people.""
}",['concrete'],['definite/hypothesis'],['concrete'],-1,[]
50,[0],"John Hancock, the first signer of the Declaration of Independence, said,",Lexical_and_semantic_fields,"['indefinite/thesis', 'definite/hypothesis']",['definite/hypothesis'],['definite/hypothesis'],"{
  ""Properties"": [""definite/hypothesis""],
  ""Explanation"": ""The text refers to a specific person, John Hancock, making it definite/hypothesis."" 
}",['definite/hypothesis'],"```json
{
  ""Properties"": [""definite/hypothesis""],
  ""Explanation"": ""The specific mention of 'John Hancock' makes this an example of definite reference.""
}
```",['definite/hypothesis'],"{
  ""Properties"": [""definite/hypothesis""],
  ""Explanation"": ""The text refers to a specific person, John Hancock, making it definite/hypothesis.""
}",['definite/hypothesis'],['definite/hypothesis'],['definite/hypothesis'],1,[]
54,[0],"She said Thursday regarding Ms. Ford: ""I believe her because she is telling the truth and you know it by her story.""",Lexical_and_semantic_fields,['definite/hypothesis'],['definite/hypothesis'],['definite/hypothesis'],"{
  ""Properties"": [""definite/hypothesis""],
  ""Explanation"": ""The example text contains specific references to 'Thursday', 'Ms. Ford', and 'her story', making it definite/hypothesis in nature.""
}",['definite/hypothesis'],"{
  ""Properties"": [""definite/hypothesis""],
  ""Explanation"": ""The text contains specific references to 'Thursday' and 'Ms. Ford', indicating definite/hypothesis lexical and semantic fields.""
}",['definite/hypothesis'],"{
  ""Properties"": [""definite/hypothesis""],
  ""Explanation"": ""The text refers to specific people and events, such as 'Ms. Ford' and 'Thursday'.""
}",['definite/hypothesis'],['definite/hypothesis'],['definite/hypothesis'],1,[]
