sentence_id,technique,text,feature_id,props_a20,props_a21,props_a22,annotator_consistency,props_gpt4_majority,res_1.0_1,gpt_props_1.0_1,res_1.0_2,gpt_props_1.0_2,res_1.0_3,gpt_props_1.0_3,gpt3.5_1.0_consistency,res_0.2_1,gpt_props_0.2_1,res_0.2_2,gpt_props_0.2_2,res_0.2_3,gpt_props_0.2_3,gpt3.5_0.2_consistency,gpt3.5_0.2_majority,humans isCorrect,gpt isCorrect,comments,ground truth,resgpt-4o_0.0_V4,propertygpt-4o_0.0_V4
43,[0],"As a former trial lawyer, I can tell you that while neither notes nor memories are infallible, in a contest between contemporaneous notes and later verbal testimony about those notes, the content of the written notes usually prevails.",Predication,"['stative', 'active']","['stative', 'active']","['stative', 'active']",True,[],"{
  ""Properties"": [
    ""active"",
    ""compound""
  ],
  ""Explanation"": ""The sentence contains active verbs such as 'are' and 'is', and also multiple verbs about one subject, making it a compound predication.""
}","['active', 'compound']","{
  ""Properties"": [""active""],
  ""Explanation"": ""The text contains active verbs such as 'are', 'notes', 'are', 'infallible', 'content', and 'prevails'. These verbs indicate action or occurrence by the subject.""
}",['active'],"{
  ""Properties"": [""active"", ""stative""],
  ""Explanation"": ""The text contains active verbs (are, is) and stative verbs (are, is) to describe the state of something or someone.""
}","['active', 'stative']",False,"{
  ""Properties"": [""active""],
  ""Explanation"": ""The text contains active verbs such as 'are', 'is', 'are', and 'prevails'. These active verbs indicate actions performed by the subjects in the sentence.""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains active verbs such as 'are' and 'prevails'.""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains active verbs such as 'are', 'are', 'prevails'. These active verbs indicate actions performed by the subject, meeting the criteria for the active property.""
}",['active'],1,['active'],1.0,0.0,GPT is mixing up the properties and definitions,"['stative', 'active']","[{'Answer': 'yes', 'Explanation': 'The sentence contains active voice. The subject I is performing the action can tell. This fits the definition of active voice where the subject is the person or thing performing some action.', 'Property': 'active'}, {'Answer': 'no', 'Explanation': 'The sentence does not contain a stative voice. Stative voice verbs involve the subject receiving the action and typically use be as a helping verb with the main verb not ending in ing. In the provided sentence, there is no instance where the subject is receiving the action in such a manner. The verbs can tell, are, and prevails do not fit the criteria for stative voice as described.', 'Property': 'stative'}, {'Answer': 'no', 'Explanation': 'The sentence provided does not contain compound voice. Compound voice involves the use of both active and passive voice concerning a single subject. In the given sentence, there is no instance of passive voice; it is entirely in the active voice. The sentence discusses the reliability of notes versus memories in a legal context, but it does not switch between active and passive constructions.', 'Property': 'compound'}]",['active']
83,[1],"A dark, impenetrable and “irreversible” winter of persecution of the faithful by their own shepherds will fall.",Predication,['active'],['active'],['active'],True,[],"{
  ""Properties"": [],
  ""Explanation"": ""The example text does not contain any active, stative, or compound predicates. Instead, it is a complex sentence expressing a prediction about a future event without specifying any particular action or state.""
}",[],"{
  ""Properties"": [""stative""],
  ""Explanation"": ""The sentence contains the stative verb 'irreversible' which describes a state rather than an action.""
}",['stative'],"{
  ""Properties"": [""stative"", ""compound""],
  ""Explanation"": ""The phrase 'will fall' contains a stative verb ('fall') indicating a state or condition. The sentence also contains a compound verb structure with 'will fall' and 'will fall', involving multiple verbs about one subject.""
}","['stative', 'compound']",False,"{
  ""Properties"": [""stative""],
  ""Explanation"": ""The sentence contains the stative verb 'will fall', indicating a state or condition that will occur in the future.""
}",['stative'],"{
  ""Properties"": [""stative""],
  ""Explanation"": ""The sentence contains a stative verb 'will fall' to describe a future state of being.""
}",['stative'],"{
  ""Properties"": [""stative""],
  ""Explanation"": ""The sentence contains a stative verb 'will fall' which describes a state of being rather than an action.""
}",['stative'],1,['stative'],1.0,0.0,GPT is mixing up the properties and definitions,['active'],"[{'Answer': 'no', 'Explanation': 'The sentence A dark, impenetrable and “irreversible” winter of persecution of the faithful by their own shepherds will fall. is in the passive voice. The subject A dark, impenetrable and “irreversible” winter of persecution is not performing the action but is instead receiving the action. The action will fall is being done to the subject, making it a passive construction.', 'Property': 'active'}, {'Answer': 'no', 'Explanation': 'The sentence A dark, impenetrable and “irreversible” winter of persecution of the faithful by their own shepherds will fall. does not contain a stative voice. The verb will fall is an action verb in the future tense and does not use be as a helping verb. Additionally, the subject winter is performing the action of falling, not receiving it.', 'Property': 'stative'}, {'Answer': 'no', 'Explanation': 'The sentence A dark, impenetrable and “irreversible” winter of persecution of the faithful by their own shepherds will fall. does not contain compound voice. It is written entirely in the active voice. Compound voice involves the use of both active and passive voice about a single subject, which is not the case here.', 'Property': 'compound'}]",[]
118,[1],"In any case, note well: the letter to me from the UK Home Office said that I was banned for saying that “[Islam] is a religion and is a belief system that mandates warfare against unbelievers…”",Predication,"['stative', 'active']","['stative', 'active']","['stative', 'active']",True,[],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'said' in the clause 'the letter to me from the UK Home Office said'.""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The example text contains active verbs such as 'said' and 'saying', indicating the use of active voice.""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The example contains active verbs, such as 'said', which indicate the action being performed by the subject.""
}",['active'],True,"{
  ""Properties"": [""stative""],
  ""Explanation"": ""The sentence contains a stative verb 'is' in the phrase '[Islam] is a religion and is a belief system'. This indicates a state of being rather than an action.""
}",['stative'],"{
  ""Properties"": [""stative""],
  ""Explanation"": ""The sentence contains the stative verb 'is' in the phrase '[Islam] is a religion and is a belief system'. This indicates a state of being rather than an action, fulfilling the stative property.""
}",['stative'],"{
  ""Properties"": [""stative""],
  ""Explanation"": ""The sentence contains the stative verb 'is' in the phrase '[Islam] is a religion and is a belief system'. This indicates a state of being rather than an action.""
}",['stative'],1,['stative'],1.0,0.0,GPT is mixing up the properties and definitions,"['stative', 'active']","[{'Answer': 'no', 'Explanation': 'The sentence In any case, note well: the letter to me from the UK Home Office said that I was banned for saying that “[Islam] is a religion and is a belief system that mandates warfare against unbelievers…” does not contain active voice. The main clause the letter to me from the UK Home Office said that I was banned is in passive voice, as the subject I is receiving the action (being banned) rather than performing it.', 'Property': 'active'}, {'Answer': 'no', 'Explanation': 'The sentence provided does not contain a stative voice. In the context of grammar, a stative voice involves the subject receiving the action, typically with be as a helping verb and the main verb not ending in ing. In the given sentence, the letter to me from the UK Home Office said that I was banned for saying that “[Islam] is a religion and is a belief system that mandates warfare against unbelievers…”, the verb said is an active verb where the subject the letter is performing the action of saying. Additionally, was banned is a passive construction, not a stative one.', 'Property': 'stative'}, {'Answer': 'no', 'Explanation': 'The sentence provided does not contain compound voice. It is entirely in the passive voice. The phrase I was banned is passive, and there is no active voice construction present in the sentence.', 'Property': 'compound'}]",[]
243,[2 6],Women everywhere should be furious.,Predication,['stative'],['stative'],['stative'],True,[],"{
  ""Properties"": [
    ""stative""
  ],
  ""Explanation"": ""The sentence uses the stative verb 'should be' to express a state of being, rather than an action.""
}",['stative'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'should be furious.'""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'should be furious.' It is directly calling on women to feel a certain way.""
}",['active'],False,"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'should be furious' which expresses an action.""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'should be furious.'""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'should be furious.'""
}",['active'],1,['active'],1.0,0.0,GPT is mixing up the properties and definitions,['stative'],"[{'Answer': 'yes', 'Explanation': 'The sentence Women everywhere should be furious. is in the active voice. The subject Women is performing the action of being furious. Although the verb be is a linking verb, the structure still follows the active voice pattern where the subject is the doer of the action.', 'Property': 'active'}, {'Answer': 'no', 'Explanation': 'The sentence Women everywhere should be furious. does not contain a stative voice verb. In this sentence, should be is a modal verb construction, and furious is an adjective describing the state of the subject Women. There is no action being received by the subject, and the main verb is not in a form that indicates a stative voice as defined in the context provided.', 'Property': 'stative'}, {'Answer': 'no', 'Explanation': 'The sentence Women everywhere should be furious. does not contain compound voice. It is a simple sentence with a single subject (Women) and a single predicate (should be furious). There is no use of both active and passive voice in this sentence.', 'Property': 'compound'}]",['active']
249,[2],"Although the claims are intriguing, it is important to remember that after virtually every terror attack and mass shooting, friends and neighbors express shock that the culprit would be capable of carrying out such horrors, with some outright denying it to be possible.",Predication,"['stative', 'active']","['stative', 'active']","['stative', 'active']",True,[],"{
  ""Properties"": [""active"", ""stative""],
  ""Explanation"": ""The text contains active verbs (express, carrying) and stative verbs (are, is, denying).""
}","['active', 'stative']","{
  ""Properties"": [""active"", ""compound""],
  ""Explanation"": ""The text contains active verbs such as 'are', 'is', 'remember', 'express', 'denying' which indicate active voice. Additionally, it also has compound verbs 'is important', 'would be capable', and 'carrying out', where multiple verbs are connected to one subject.""
}","['active', 'compound']","{
  ""Properties"": [""active"", ""stative"", ""compound""],
  ""Explanation"": ""The example contains active verbs ('are', 'is', 'remember', 'express', 'carrying', 'denying'), stative verb ('is'), and compound verbs ('is important', 'would be capable', 'carrying out').""
}","['active', 'stative', 'compound']",False,"{
  ""Properties"": [""active"", ""stative"", ""compound""],
  ""Explanation"": ""The text contains active verbs (are, express, denying), stative verbs (are), and compound verbs (would be, carrying out).""
}","['active', 'stative', 'compound']","{
  ""Properties"": [""active"", ""stative""],
  ""Explanation"": ""The text contains both active verbs (express, carrying out) and stative verbs (are, is, denying).""
}","['active', 'stative']","{
  ""Properties"": [""active"", ""compound""],
  ""Explanation"": ""The text contains active verbs such as 'are', 'is', 'remember', 'express', 'denying' and also has a compound structure with multiple verbs 'are', 'express', 'denying' about one subject.""
}","['active', 'compound']",0,"['active', 'stative', 'compound']",1.0,0.0,GPT is mixing up the properties and definitions,"['stative', 'active']","[{'Answer': 'no', 'Explanation': 'The sentence provided does not contain active voice. Instead, it is written in a passive or descriptive manner. The subject claims is not performing an action but is being described as intriguing. Additionally, the phrase it is important to remember is a passive construction, and the actions described (e.g., friends and neighbors express shock) are not the main focus of the sentence.', 'Property': 'active'}, {'Answer': 'no', 'Explanation': 'The sentence provided does not contain a stative voice. While it does include the verb are as a helping verb in are intriguing, this construction does not fit the definition of a stative voice verb as described. The subject claims is not receiving an action but rather being described. Additionally, the main verb intriguing ends in ing, which contradicts the rule that the main verb in a stative voice should never end in ing.', 'Property': 'stative'}, {'Answer': 'no', 'Explanation': 'The sentence provided does not contain compound voice. Compound voice involves the use of both active and passive voice about a single subject within the same sentence. In the given sentence, the structure is complex, but it does not mix active and passive voice for the same subject. The sentence primarily uses passive voice (the claims are intriguing) and active voice (friends and neighbors express shock), but these are about different subjects and actions.', 'Property': 'compound'}]",[]
263,[3],"While Obama pardoned drug dealers and locked up ranchers, Trump pardons ranchers and locks up drug dealers.",Predication,['active'],['active'],['active'],True,[],"{
  ""Properties"": [""compound""],
  ""Explanation"": ""The sentence contains compound predication, as it expresses two contrasting actions (pardoning and locking up) related to two different subjects (drug dealers and ranchers) in a parallel structure.""
}",['compound'],"{
  ""Properties"": [""active"", ""compound""],
  ""Explanation"": ""The sentence contains active verbs 'pardoned' and 'locked up', as well as a compound structure with multiple verbs about one subject (Obama and Trump) in the same sentence.""
}","['active', 'compound']","{
  ""Properties"": [""active"", ""compound""],
  ""Explanation"": ""The sentence contains active verbs ('pardoned', 'locked up') and also features a compound structure with multiple verbs related to the same subject.""
}","['active', 'compound']",False,"{
  ""Properties"": [""active"", ""compound""],
  ""Explanation"": ""The sentence contains active verbs ('pardoned', 'locked up') and also has a compound structure with multiple verbs ('pardoned', 'locked up') about one subject ('Obama', 'Trump').""
}","['active', 'compound']","{
  ""Properties"": [""compound""],
  ""Explanation"": ""The sentence contains a compound structure with multiple verbs ('pardons', 'locked up') about one subject ('Obama' and 'Trump').""
}",['compound'],"{
  ""Properties"": [""active"", ""compound""],
  ""Explanation"": ""The sentence contains active verbs ('pardoned', 'locked up') and also has a compound structure with multiple verbs ('pardoned', 'locked up') about one subject ('Obama', 'Trump').""
}","['active', 'compound']",0,"['active', 'compound']",1.0,0.0,GPT is misinterpreting a property,['active'],"[{'Answer': 'yes', 'Explanation': 'The sentence contains active voice because the subjects (Obama and Trump) are performing the actions (pardoned, locked up, pardons, locks up). In each clause, the subject is the doer of the action, which is characteristic of active voice.', 'Property': 'active'}, {'Answer': 'no', 'Explanation': 'The sentence While Obama pardoned drug dealers and locked up ranchers, Trump pardons ranchers and locks up drug dealers. does not contain stative voice. In this sentence, the subjects (Obama and Trump) are performing the actions (pardoning and locking up), rather than receiving them. Additionally, there is no use of the be verb as a helping verb, and the main verbs do not end in ing. Therefore, it does not meet the criteria for stative voice as described.', 'Property': 'stative'}, {'Answer': 'no', 'Explanation': 'The sentence While Obama pardoned drug dealers and locked up ranchers, Trump pardons ranchers and locks up drug dealers. does not contain compound voice. Both clauses in the sentence use active voice. Compound voice involves the use of both active and passive voice about a single subject, which is not the case here.', 'Property': 'compound'}]",['active']
265,[3],"No Catholic, whether or not he consults a priest, can declare for himself that his marriage in the Church was invalid, especially when—indeed because—he lacks canonical proof of invalidity.",Predication,"['stative', 'active']","['stative', 'active']","['stative', 'active']",True,[],"{
  ""Properties"": [""stative"", ""compound""],
  ""Explanation"": ""The sentence includes a stative verb 'was' and a compound structure with multiple verbs ('can declare,' 'lacks').""
}","['stative', 'compound']","{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'consults' and uses an active voice construction.""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The text contains active verbs such as 'declare,' 'consults,' 'can' and 'lacks,' indicating the use of active voice.""
}",['active'],False,"{
  ""Properties"": [""stative""],
  ""Explanation"": ""The sentence contains a stative verb 'was' to express a state of being (invalid).""
}",['stative'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'consults' and 'declare' which indicate action being performed by the subject.""
}",['active'],"{
  ""Properties"": [""active"", ""stative""],
  ""Explanation"": ""The text contains active verbs (consults, can declare) and a stative verb (is).""
}","['active', 'stative']",0,['stative'],1.0,0.0,,"['stative', 'active']","[{'Answer': 'yes', 'Explanation': 'The sentence No Catholic, whether or not he consults a priest, can declare for himself that his marriage in the Church was invalid, especially when—indeed because—he lacks canonical proof of invalidity. contains active voice. The subject No Catholic is performing the action can declare and lacks. These verbs are in the active voice because the subject is doing the action.', 'Property': 'active'}, {'Answer': 'no', 'Explanation': 'The sentence does not contain a stative voice. In a stative voice, the subject receives the action, and the verb construction typically includes a form of be as a helping verb with the main verb not ending in ing. In the given sentence, No Catholic, whether or not he consults a priest, can declare for himself that his marriage in the Church was invalid, the subject No Catholic is performing the action of declaring, not receiving it. Therefore, it does not fit the criteria for a stative voice.', 'Property': 'stative'}, {'Answer': 'no', 'Explanation': 'The sentence No Catholic, whether or not he consults a priest, can declare for himself that his marriage in the Church was invalid, especially when—indeed because—he lacks canonical proof of invalidity. does not contain compound voice. It is written entirely in the active voice. There is no use of passive voice in this sentence, and thus it does not meet the criteria for compound predication voice, which requires both active and passive voice to be used about a single subject.', 'Property': 'compound'}]",['active']
282,[3 9],"And if Trumpism is not the future of the GOP, it is hard to see what a promising GOP agenda might look like.",Predication,['stative'],['stative'],['stative'],True,"['stative', 'active']","{
  ""Properties"": [""stative""],
  ""Explanation"": ""The sentence contains a stative verb 'is' indicating a state of being.""
}",['stative'],"{
  ""Properties"": [""stative""],
  ""Explanation"": ""The sentence contains the stative verb 'is' as part of the phrase 'is not'. This indicates a state of being or a condition rather than an action.""
}",['stative'],"{
  ""Properties"": [""stative""],
  ""Explanation"": ""The sentence contains a stative verb 'is', indicating a state of being rather than action.""
}",['stative'],True,"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'is' and 'look'.""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'is' which is used to express a state of being.""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'is' and 'look' which indicates action being performed by the subject.""
}",['active'],1,['active'],1.0,0.0,GPT is mixing up the properties and definitions,['stative'],"[{'Answer': 'no', 'Explanation': 'The sentence And if Trumpism is not the future of the GOP, it is hard to see what a promising GOP agenda might look like. does not contain an active voice. In an active voice sentence, the subject performs the action. Here, the sentence is more descriptive and does not have a clear subject performing an action. Instead, it discusses a hypothetical situation and its implications.', 'Property': 'active'}, {'Answer': 'no', 'Explanation': 'The sentence And if Trumpism is not the future of the GOP, it is hard to see what a promising GOP agenda might look like. does not contain a stative voice. In this context, is functions as a linking verb rather than a helping verb, and there is no main verb that indicates an action being received by the subject. The sentence is more about a state of being rather than an action being performed or received.', 'Property': 'stative'}, {'Answer': 'no', 'Explanation': 'The sentence And if Trumpism is not the future of the GOP, it is hard to see what a promising GOP agenda might look like. does not contain compound voice. Compound voice involves the use of both active and passive voice in relation to a single subject. In this sentence, there is no passive construction; it is entirely in the active voice.', 'Property': 'compound'}]",[]
313,[3],"“The Prologue set this choice before us, the world or Our Lord, as mutually exclusive alternatives; we cannot remain neutral, but must belong wholly to the one or wholly to the other.”",Predication,"['stative', 'active']","['stative', 'active']","['stative', 'active']",True,"['stative', 'active']","{
  ""Properties"": [""active""],
  ""Explanation"": ""The text contains active verbs like 'set' and 'belong', which indicates action or movement.""
}",['active'],"{
  ""Properties"": [""active"", ""stative""],
  ""Explanation"": ""The text contains both active ('set') and stative ('cannot remain') verbs.""
}","['active', 'stative']","{
  ""Properties"": [""stative""],
  ""Explanation"": ""The sentence contains a stative verb 'remain' which indicates a state of being.""
}",['stative'],False,"{
  ""Properties"": [""active""],
  ""Explanation"": ""The text contains active verbs such as 'set' and 'belong', which indicate actions being performed by the subjects.""
}",['active'],"{
  ""Properties"": [""active"", ""stative""],
  ""Explanation"": ""The text contains both active verbs (set, belong) and stative verbs (remain, belong) indicating action and state of being.""
}","['active', 'stative']","{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains active verbs 'set' and 'belong' which indicate action being performed by the subject.""
}",['active'],0,['active'],1.0,0.0,,"['stative', 'active']","[{'Answer': 'yes', 'Explanation': 'The sentence The Prologue set this choice before us, the world or Our Lord, as mutually exclusive alternatives; we cannot remain neutral, but must belong wholly to the one or wholly to the other. contains active voice. The subject The Prologue is performing the action of set. This aligns with the definition of active voice where the subject is the doer of the action.', 'Property': 'active'}, {'Answer': 'no', 'Explanation': 'The sentence The Prologue set this choice before us, the world or Our Lord, as mutually exclusive alternatives; we cannot remain neutral, but must belong wholly to the one or wholly to the other. does not contain a stative voice. In a stative voice, the subject receives the action and the verb be is used as a helping verb. In this sentence, set is an active verb where The Prologue is the subject performing the action. Additionally, there is no use of be as a helping verb, and the main verb does not fit the criteria of a stative verb.', 'Property': 'stative'}, {'Answer': 'no', 'Explanation': 'The sentence The Prologue set this choice before us, the world or Our Lord, as mutually exclusive alternatives; we cannot remain neutral, but must belong wholly to the one or wholly to the other. does not contain compound voice. Compound voice involves the use of both active and passive voice about a single subject. In this sentence, the verbs set and belong are both in the active voice. There is no passive construction present.', 'Property': 'compound'}]",['active']
319,[3],It’s not coming back.,Predication,['active'],['active'],['active'],True,['active'],"{
  ""Properties"": [
    ""stative""
  ],
  ""Explanation"": ""The sentence contains a stative verb 'coming' that expresses a state of being, rather than an action.""
}",['stative'],"{
  ""Properties"": [""stative""],
  ""Explanation"": ""The sentence contains a stative verb 'coming' indicating a state of absence or non-existence.""
}",['stative'],"{
  ""Properties"": [""stative""],
  ""Explanation"": ""The sentence uses a stative verb 'coming' to describe a state of being for the subject. It does not involve an action in progress.""
}",['stative'],True,"{
  ""Properties"": [""stative""],
  ""Explanation"": ""The sentence contains a stative verb 'coming' which expresses a state rather than an action.""
}",['stative'],"{
  ""Properties"": [""stative""],
  ""Explanation"": ""The sentence contains a stative verb 'coming' which describes a state rather than an action.""
}",['stative'],"{
  ""Properties"": [""stative""],
  ""Explanation"": ""The sentence contains a stative verb 'coming' which describes a state rather than an action.""
}",['stative'],1,['stative'],1.0,0.0,,['active'],"[{'Answer': 'yes', 'Explanation': 'The sentence It’s not coming back. is in the active voice because the subject It is performing the action of not coming back. In active voice, the subject of the sentence is the doer of the action, which is the case here.', 'Property': 'active'}, {'Answer': 'no', 'Explanation': 'The sentence It’s not coming back. does not contain a stative voice. In stative voice, the subject receives the action and the verb is typically a form of be followed by a past participle. In this sentence, coming is a present participle and is is used as part of the present continuous tense, indicating an ongoing action rather than a stative condition.', 'Property': 'stative'}, {'Answer': 'no', 'Explanation': 'The sentence It’s not coming back. does not contain compound voice. Compound voice involves the use of both active and passive voice in relation to a single subject within a sentence. In this case, the sentence is in the active voice and does not include any passive construction.', 'Property': 'compound'}]",['active']
