sentence_id,technique,text,feature_id,props_a20,props_a21,props_a22,res1_x,gpt_props1_x,res2_x,gpt_props2_x,res3_x,gpt_props3_x,props_a_majority,props_gpt_majority,ann_gpt_agreemnt,props_gpt4_majority,res1_y,gpt_props1_y,res2_y,gpt_props2_y,res3_y,gpt_props3_y,gpt3.5_consistency
4,[0 8 9],"Muhammad advises the same thing, according to the tradition of the Muslim doctors: wherefore the great Temur always strove to exterminate the infidels, as much to acquire that glory, as to signalise himself by the greatness of his conquests.”",Predication,['active'],['active'],"['compound', 'active']","{
  ""Properties"": [""active"", ""compound""],
  ""Explanation"": ""The text contains active verbs (advises, strove to exterminate) and compound verbs (strove, to acquire, signalise himself).""
}","['active', 'compound']","{
  ""Properties"": [""active"", ""compound""],
  ""Explanation"": ""The sentence contains active verbs (advises, strove) and a compound structure with multiple verbs about one subject (advises, strove).""
}","['active', 'compound']","{
  ""Properties"": [""active"", ""compound""],
  ""Explanation"": ""The sentence contains active verbs ('advises', 'strode') and also has a compound structure with multiple verbs ('advises', 'strode') about the same subject (Muhammad).""
}","['active', 'compound']",['active'],"['active', 'compound']",0,[],"{
  ""Properties"": [""active"", ""compound""],
  ""Explanation"": ""The sentence contains active verbs ('advises', 'strove') and a compound structure with multiple verbs ('strove', 'to acquire', 'signalise').""
}","['active', 'compound']","{
  ""Properties"": [""active""],
  ""Explanation"": ""The text contains active verbs such as 'advises,' 'strove,' 'exterminate,' 'acquire,' and 'signalise.' These active verbs indicate actions performed by the subjects in the sentence.""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The text contains active verbs such as 'advises', 'strove', 'exterminate', 'acquire', and 'signalise'. These active verbs indicate actions performed by the subjects in the sentence.""
}",['active'],0
11,[0 8],"We are simply asked to take the pope’s word for it, but given that it follows his astoundingly brazen lie that there was no evidence for Ricca’s homosexual activity in the first place, we can take the assurance for what it seems to be worth.",Predication,"['stative', 'active']",['stative'],['compound'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The example text contains active verbs such as 'asked', 'take', 'follows', and 'seems'. These verbs indicate action being performed by the subjects.""
}",['active'],"``` 
{
  ""Properties"": [""active"", ""stative"", ""compound""],
  ""Explanation"": ""The text contains active verbs (asked, take, follows, seems), stative verb (is), and compound verbs (was, contained).""
}
```","['active', 'stative', 'compound']","{
  ""Properties"": [""active"", ""stative"", ""compound""],
  ""Explanation"": ""This example text contains active verbs (e.g. 'asked', 'take', 'follows'), stative verbs (e.g. 'is', 'seems'), and compound verbs (e.g. 'was', 'contained').""
}","['active', 'stative', 'compound']","['stative', 'active']","['active', 'stative', 'compound']",0,[],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The text contains active verbs such as 'asked', 'follows', and 'take'. These verbs indicate actions performed by the subjects in the sentence.""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The text contains active verbs such as 'asked' and 'follows', indicating actions performed by the subjects.""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The text contains active verbs such as 'asked', 'follows', and 'take', indicating actions performed by the subject.""
}",['active'],1
14,[0],Conservative Ben Shapiro told Fox news the verdict was “horrifying.,Predication,"['stative', 'active']",['active'],"['stative', 'active']","{
  ""Properties"": [""active"", ""compound""],
  ""Explanation"": ""The sentence contains an active verb 'told' and a compound verb 'was horrifying.'""
}","['active', 'compound']","{
  ""Properties"": [""active"", ""compound""],
  ""Explanation"": ""The sentence contains an active verb 'told' and a compound verb 'was horrifying.'""
}","['active', 'compound']","{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'told' which represents a dynamic action performed by the subject."" 
}",['active'],"['stative', 'active']","['active', 'compound']",0,[],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'told' with a clear subject 'Ben Shapiro' performing the action.""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'told' which indicates an action performed by the subject 'Ben Shapiro'.""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'told', which indicates an action performed by the subject 'Ben Shapiro'.""
}",['active'],1
16,[0],"According to Breitbart, “Sellner, who described the detention centre as looking akin to a typical American prison, said he was told by authorities that his speaking at Hyde Park could cause violence and disrupt community cohesion.”",Predication,"['stative', 'compound']","['stative', 'active']",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The example text uses active verbs such as 'described', 'said', 'told', indicating the action performed by the subject.""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The example text contains active verbs such as 'described', 'said', 'told', and 'could cause'. This indicates the use of active predication.""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The text contains active verbs such as 'described', 'said', 'cause' indicating action performed by the subject.""
}",['active'],"['stative', 'compound']",['active'],-1,[],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains active verbs such as 'described', 'said', 'told', indicating the use of active predication.""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'said' which indicates an action performed by the subject 'authorities'.""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains active verbs such as 'described', 'said', and 'could cause'. These verbs indicate actions performed by the subject.""
}",['active'],1
23,[0],"“This is a clear violation of the Senate Ethics rules which safeguard against the appearance or actuality of elected officials ‘cashing in’ on their official position for political purposes,” said Kendra Arnold, executive director of FACT.",Predication,"['stative', 'active']",['stative'],"['stative', 'active']",timeout,[],"{
  ""Properties"": [""active"", ""stative""],
  ""Explanation"": ""The sentence contains both active ('safeguard') and stative ('is') verbs.""
}","['active', 'stative']","{
  ""Properties"": [""active"", ""compound""],
  ""Explanation"": ""The sentence contains active verbs (safeguard, ‘cashing in’) and a compound structure (‘cashing in’ on their official position for political purposes).""
}","['active', 'compound']","['stative', 'active']","['active', 'stative']",0,[],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'said' which indicates an action performed by the subject 'Kendra Arnold'.""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'said' which is a clear indication of the active voice.""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'said' which is a clear example of active predication.""
}",['active'],1
32,[0 6],Cardinal Raymond Burke’s statement declares: “The declarations made by a prelate of the authority of Archbishop Carlo Maria Viganò must be totally taken to heart by those responsible in the Church.”,Predication,"['compound', 'active']","['stative', 'active']","['stative', 'active']","{
  ""Properties"": [""active""],
  ""Explanation"": ""The statement uses active verbs such as 'declares' and 'must be taken'.""
}",['active'],timeout,[],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The example text contains the active verb 'declares', indicating an action performed by the subject Cardinal Raymond Burke.""
}",['active'],"['stative', 'active']",['active'],0,[],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'declares' which indicates an action performed by the subject 'Cardinal Raymond Burke'.""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'declares' which indicates an action performed by the subject 'Cardinal Raymond Burke'.""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'declares' which indicates an action performed by the subject 'Cardinal Raymond Burke'.""
}",['active'],1
43,[0],"As a former trial lawyer, I can tell you that while neither notes nor memories are infallible, in a contest between contemporaneous notes and later verbal testimony about those notes, the content of the written notes usually prevails.",Predication,"['stative', 'active']","['stative', 'active']","['stative', 'active']","{
  ""Properties"": [""active"", ""compound""],
  ""Explanation"": ""The text contains active verbs ('are', 'is', 'infallible', 'prevails') and compound verbs ('can tell', 'are infallible', 'verbal testimony').""
}","['active', 'compound']","{
  ""Properties"": [""active"", ""stative"", ""compound""],
  ""Explanation"": ""The text includes active verbs (e.g. 'I can tell', 'are infallible', 'prevails'), stative verbs (e.g. 'are', 'is'), and compound verbs (e.g. 'can tell', 'are infallible').""
}","['active', 'stative', 'compound']","{
  ""Properties"": [
    ""active"",
    ""compound""
  ],
  ""Explanation"": ""The example text contains active verbs (e.g. 'I can tell', 'are infallible', 'prevails') and compound verbs ('can tell', 'are infallible', 'prevails').""
}","['active', 'compound']","['stative', 'active']","['active', 'compound']",0,[],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The text contains active verbs such as 'are', 'is', 'are', and 'prevails'. These active verbs indicate actions performed by the subjects in the sentence.""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains active verbs such as 'are' and 'prevails'.""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains active verbs such as 'are', 'are', 'prevails'. These active verbs indicate actions performed by the subject, meeting the criteria for the active property.""
}",['active'],1
47,[0],"“I don’t regard Louis Farrakhan as an aberration or anything, I regard him as an outstanding human being who commands a following of individuals who are learned and articulate and he plays a big role in the lives of thousands and thousands and thousands and thousands of people,” he emphasized later.",Predication,['active'],"['stative', 'active']",['active'],,[],,[],,[],['active'],"['stative', 'active']",0,"['stative', 'active']","{
  ""Properties"": [""active""],
  ""Explanation"": ""The text contains active verbs such as 'regard', 'commands', and 'plays', indicating actions performed by the subject.""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The text contains active verbs such as 'regard', 'commands', 'plays'. These verbs show actions being performed by the subject.""
}",['active'],"{
  ""Properties"": [""active"", ""compound""],
  ""Explanation"": ""The text contains active verbs ('regard', 'commands', 'plays') and also features a compound structure with multiple verbs ('commands', 'are', 'plays') about one subject.""
}","['active', 'compound']",0
50,[0],"John Hancock, the first signer of the Declaration of Independence, said,",Predication,['active'],['active'],['active'],timeout,[],"{
  ""Properties"": [""active"", ""compound""],
  ""Explanation"": ""The text contains an active verb 'said' and a compound verb structure with 'said' and 'first signer'.""
}","['active', 'compound']","{
    ""Properties"": [""active"", ""compound""],
    ""Explanation"": ""The sentence contains an active verb 'said' and a compound structure with 'John Hancock' as the subject and 'said' as the active verb.""
}","['active', 'compound']",['active'],"['active', 'compound']",0,[],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'said', indicating an action performed by the subject 'John Hancock'.""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'said' indicating an action performed by the subject 'John Hancock'.""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The text contains an active verb 'said', indicating an action performed by the subject 'John Hancock'.""
}",['active'],1
54,[0],"She said Thursday regarding Ms. Ford: ""I believe her because she is telling the truth and you know it by her story.""",Predication,"['stative', 'active']",['active'],['active'],timeout,[],"{
  ""Properties"": [""active"", ""stative""],
  ""Explanation"": ""The text contains active verbs like 'said' and stative verbs like 'is telling' and 'is'.""
}","['active', 'stative']","{
  ""Properties"": [""active"", ""stative"", ""compound""],
  ""Explanation"": ""The text contains active verbs (said, believe, telling), stative verbs (is), and compound verbs (is telling).""
}","['active', 'stative', 'compound']",['active'],"['active', 'stative']",0,[],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'said' and is in the active voice.""
}",['active'],"{
  ""Properties"": [""active"", ""stative""],
  ""Explanation"": ""The sentence contains an active verb 'said' and a stative verb 'is' in the form of 'she is telling the truth'.""
}","['active', 'stative']","{
  ""Properties"": [""active"", ""stative""],
  ""Explanation"": ""The sentence contains an active verb 'said' and a stative verb 'is telling' which indicates a state of being.""
}","['active', 'stative']",0
