split,answer,labels,technique_classification,techniques
test,0,1,[0],[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
test,0,1,[9],[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0]
test,0,1,"[0, 13]",[1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0]
test,0,0,[],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1]
test,0,1,"[0, 13, 1]",[1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0]
test,0,0,[],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1]
test,0,1,[0],[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
test,0,0,[],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1]
test,0,1,"[0, 6, 9]",[1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0]
test,0,1,[13],[0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0]
test,0,0,[],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1]
test,0,1,[1],[0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
test,0,1,[13],[0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0]
test,0,0,[],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1]
test,0,0,[],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1]
test,0,0,[],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1]
test,1,0,[],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1]
test,0,0,[],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1]
test,0,0,[],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1]
test,0,1,[1],[0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
test,0,0,[],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1]
test,0,0,[],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1]
test,0,0,[],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1]
test,0,0,[],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1]
test,0,0,[],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1]
test,0,0,[],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1]
test,0,0,[],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1]
test,0,0,[],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1]
test,0,0,[],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1]
test,0,1,[8],[0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0]
test,0,0,[],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1]
test,0,0,[],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1]
test,0,0,[],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1]
test,1,1,[8],[0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0]
test,0,0,[],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1]
test,0,1,[4],[0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
test,0,0,[],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1]
test,1,1,"[8, 6]",[0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0]
test,0,1,[14],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0]
test,0,0,[],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1]
test,0,1,[1],[0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
test,0,1,[9],[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0]
test,1,0,[],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1]
test,0,0,[],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1]
test,0,1,[7],[0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0]
test,0,0,[],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1]
test,0,0,[],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1]
test,0,0,[],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1]
test,0,0,[],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1]
test,0,0,[],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1]
test,0,0,[],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1]
test,0,0,[],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1]
test,0,0,[],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1]
test,0,0,[],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1]
test,0,0,[],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1]
test,0,1,[1],[0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
test,1,0,[],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1]
test,0,0,[],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1]
test,1,0,[],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1]
test,0,0,[],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1]
test,0,0,[],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1]
test,0,0,[],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1]
test,0,0,[],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1]
test,0,0,[],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1]
test,0,0,[],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1]
test,0,0,[],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1]
test,1,0,[],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1]
test,0,0,[],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1]
test,0,1,[8],[0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0]
test,0,0,[],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1]
