sentence_id,technique,text,feature_id,props_a20,props_a21,props_a22,res1,gpt_props1,res2,gpt_props2,res3,gpt_props3,props_a_majority,props_gpt_majority,ann_gpt_agreemnt,props_gpt4_majority
4,[0 8 9],"Muhammad advises the same thing, according to the tradition of the Muslim doctors: wherefore the great Temur always strove to exterminate the infidels, as much to acquire that glory, as to signalise himself by the greatness of his conquests.”",Subject_choices,"['concepts', 'humans']",['humans'],['humans'],"``` 

{
  ""Properties"": [""humans""],
  ""Explanation"": ""The example text contains references to specific individuals and groups of people, such as 'Muhammad', 'the Muslim doctors', and 'Temur'. Therefore, the property of humans is present in the subject choices.""
}
```",['humans'],"```


        ""Properties"": [""humans""],
        ""Explanation"": ""The text references named individuals and groups of people such as 'Muhammad' and 'the Muslim doctors'"" 
```",['humans'],"{
    ""Properties"": [""humans""],
    ""Explanation"": ""The example text includes proper names such as 'Muhammad' and 'Temur'. This indicates the use of humans as subjects.""
}",['humans'],['humans'],['humans'],1,[]
11,[0 8],"We are simply asked to take the pope’s word for it, but given that it follows his astoundingly brazen lie that there was no evidence for Ricca’s homosexual activity in the first place, we can take the assurance for what it seems to be worth.",Subject_choices,"['slot_fillers', 'rhetorical_participants', 'concepts', 'humans']",['rhetorical_participants'],"['slot_fillers', 'rhetorical_participants']","{
  ""Properties"": [""rhetorical participants"", ""abstractions"", ""slot fillers""],
  ""Explanation"": ""The text uses 'we' as a rhetorical participant, and 'it' as a slot filler. It also refers to abstract concepts such as 'the pope’s word', 'astoundingly brazen lie', and 'no evidence for Ricca’s homosexual activity'.""
}","['rhetorical_participants', 'abstractions', 'slot_fillers']","```json
{
  ""Properties"": [""rhetorical participants""],
  ""Explanation"": ""The use of 'we' implicates the reader as part of the discussion, making them a rhetorical participant.""
}
```",['rhetorical_participants'],"{
  ""Properties"": [""rhetorical participants""],
  ""Explanation"": ""The text includes the rhetorical participant 'We', indicating the writer is involving the reader in the argument.""
}",['rhetorical_participants'],"['slot_fillers', 'rhetorical_participants', 'concepts', 'humans']",['rhetorical_participants'],0,[]
14,[0],Conservative Ben Shapiro told Fox news the verdict was “horrifying.,Subject_choices,"['concepts', 'humans']",['humans'],['humans'],"``` 
{
  ""Properties"": [""humans""],
  ""Explanation"": ""The subject 'Ben Shapiro' is a human individual.""
}
```",['humans'],"{
  ""Properties"": [""humans""],
  ""Explanation"": ""The subject choices in the text include the proper name 'Ben Shapiro', a conservative commentator.""
}",['humans'],timeout,[],['humans'],['humans'],1,[]
16,[0],"According to Breitbart, “Sellner, who described the detention centre as looking akin to a typical American prison, said he was told by authorities that his speaking at Hyde Park could cause violence and disrupt community cohesion.”",Subject_choices,"['things', 'concepts', 'humans', 'abstractions']",['humans'],['humans'],"{
  ""Properties"": [""humans"", ""abstractions""],
  ""Explanation"": ""The text includes proper names (Sellner) and an abstraction (detention centre) as subjects within the sentence.""
}","['humans', 'abstractions']",timeout,[],"{
  ""Properties"": [""humans"", ""abstractions""],
  ""Explanation"": ""The subject choices in the text refer to specific individuals such as 'Sellner' and also to abstractions like 'detention centre' and 'violence'.""
}","['humans', 'abstractions']",['humans'],"['humans', 'abstractions']",0,[]
23,[0],"“This is a clear violation of the Senate Ethics rules which safeguard against the appearance or actuality of elected officials ‘cashing in’ on their official position for political purposes,” said Kendra Arnold, executive director of FACT.",Subject_choices,"['concepts', 'humans', 'abstractions']",['humans'],"['slot_fillers', 'humans']","{
    ""Properties"": [""humans"", ""abstractions""],
    ""Explanation"": ""The example text uses the human subject 'Kendra Arnold' and the abstraction 'Senate Ethics rules' as the subjects in the sentence.""
}","['humans', 'abstractions']","```{
  ""Properties"": [""humans"", ""abstractions""],
  ""Explanation"": ""The subject choices include 'Kendra Arnold' (human) and 'Senate Ethics rules' and 'elected officials' (abstractions).""
}```","['humans', 'abstractions']","{
  ""Properties"": [""humans"", ""abstractions""],
  ""Explanation"": ""The text references the human 'Kendra Arnold' and also mentions an abstraction 'Senate Ethics rules'.""
}","['humans', 'abstractions']","['concepts', 'humans', 'abstractions']","['humans', 'abstractions']",0,[]
32,[0 6],Cardinal Raymond Burke’s statement declares: “The declarations made by a prelate of the authority of Archbishop Carlo Maria Viganò must be totally taken to heart by those responsible in the Church.”,Subject_choices,['humans'],['things'],['things'],"{
  ""Properties"": [""rhetorical participants""],
  ""Explanation"": ""The use of 'Cardinal Raymond Burke' as the subject suggests that the writer is referring to a specific person involved in the topic being discussed.""
}",['rhetorical_participants'],"{
  ""Properties"": [""humans""],
  ""Explanation"": ""The subject choices in the example text include 'Cardinal Raymond Burke' and 'Archbishop Carlo Maria Viganò', both of which are humans.""
}",['humans'],"{
  ""Properties"": [""humans""],
  ""Explanation"": ""The subject choices in the example text include 'Cardinal Raymond Burke' and 'Archbishop Carlo Maria Viganò' as proper names of individuals.""
}",['humans'],['things'],['humans'],-1,[]
43,[0],"As a former trial lawyer, I can tell you that while neither notes nor memories are infallible, in a contest between contemporaneous notes and later verbal testimony about those notes, the content of the written notes usually prevails.",Subject_choices,"['things', 'rhetorical_participants', 'abstractions']",['rhetorical_participants'],['rhetorical_participants'],"```As a former trial lawyer, I can tell you that while neither notes nor memories are infallible, in a contest between contemporaneous notes and later verbal testimony about those notes, the content of the written notes usually prevails.```

{
  ""Properties"": [""rhetorical participants""],
  ""Explanation"": ""The use of 'I' and 'you' in the text indicates the presence of rhetorical participants as the subject choices.""
}",['rhetorical_participants'],"{
  ""Properties"": [
    ""rhetorical participants"",
    ""abstractions""
  ],
  ""Explanation"": ""The use of 'I' as the subject indicates the writer's personal experience, making it a rhetorical participant. Additionally, 'former trial lawyer' is an abstraction referring to the writer's previous occupation.""
}","['rhetorical_participants', 'abstractions']","``` 
Properties:
- humans
- rhetorical participants
Explanation: 
The text includes the use of 'I' as a rhetorical participant and 'trial lawyer' as a human subject choice. 
```",[],['rhetorical_participants'],['rhetorical_participants'],1,[]
47,[0],"“I don’t regard Louis Farrakhan as an aberration or anything, I regard him as an outstanding human being who commands a following of individuals who are learned and articulate and he plays a big role in the lives of thousands and thousands and thousands and thousands of people,” he emphasized later.",Subject_choices,"['rhetorical_participants', 'humans']",['rhetorical_participants'],['rhetorical_participants'],,[],,[],,[],['rhetorical_participants'],"['rhetorical_participants', 'humans']",0,"['rhetorical_participants', 'humans']"
50,[0],"John Hancock, the first signer of the Declaration of Independence, said,",Subject_choices,"['humans', 'abstractions']",['humans'],['humans'],"{
  ""Properties"": [""humans""],
  ""Explanation"": ""The subject 'John Hancock' is a single individual and proper name.""
}",['humans'],"```json
        {
            ""Properties"": [""humans""],
            ""Explanation"": ""The subject 'John Hancock' is a single individual.""
        }
```",['humans'],"{
  ""Properties"": [
    ""humans""
  ],
  ""Explanation"": ""The subject 'John Hancock' is a specific individual, which falls under the 'humans' category.""
}",['humans'],['humans'],['humans'],1,[]
54,[0],"She said Thursday regarding Ms. Ford: ""I believe her because she is telling the truth and you know it by her story.""",Subject_choices,['humans'],['rhetorical_participants'],['rhetorical_participants'],"{
  ""Properties"": [
    ""humans"",
    ""rhetorical participants""
  ],
  ""Explanation"": ""The subject choices in the example text include 'Ms. Ford' (human) and 'she' (rhetorical participant).""
}","['humans', 'rhetorical_participants']","{
  ""Properties"": [""humans"", ""rhetorical participants""],
  ""Explanation"": ""The subject choices in the example text include humans (Ms. Ford) and rhetorical participants ('she', 'I', 'you').""
}","['humans', 'rhetorical_participants']","{
  ""Properties"": [""humans"", ""rhetorical participants""],
  ""Explanation"": ""The subject choices in the text include both humans (Ms. Ford, you) and the rhetorical participant (I, her).""
}","['humans', 'rhetorical_participants']",['rhetorical_participants'],"['humans', 'rhetorical_participants']",0,[]
