sentence_id,technique,text,feature_id,props_a20,props_a21,props_a22,annotator_consistency,props_gpt4_majority,res_1.0_1,gpt_props_1.0_1,res_1.0_2,gpt_props_1.0_2,res_1.0_3,gpt_props_1.0_3,gpt3.5_1.0_consistency,res_0.2_1,gpt_props_0.2_1,res_0.2_2,gpt_props_0.2_2,res_0.2_3,gpt_props_0.2_3,gpt3.5_0.2_consistency,gpt3.5_0.2_majority,humans isCorrect,gpt isCorrect,comments,ground truth,
47,[0],"â€œI donâ€™t regard Louis Farrakhan as an aberration or anything, I regard him as an outstanding human being who commands a following of individuals who are learned and articulate and he plays a big role in the lives of thousands and thousands and thousands and thousands of people,â€ he emphasized later.",Modifying_clauses,['adjective'],['adjective'],['adjective'],TRUE,[],"{
  ""Properties"": [""adjective"", ""subordinate""],
  ""Explanation"": ""The sentence contains an adjective clause 'who commands a following of individuals who are learned and articulate' providing additional detail about Louis Farrakhan. It also includes a subordinate clause 'he emphasized later' which gives contextual information about when the statement was emphasized.""
}","['adjective', 'subordinate']","{
  ""Properties"": [""adjective""]
}",['adjective'],"{
  ""Properties"": [""adjective"", ""subordinate""]
}
  
 	","['adjective', 'subordinate']",FALSE,"{
  ""Properties"": [""adjective"", ""subordinate""]
}

 	","['adjective', 'subordinate']","{
  ""Properties"": [""adjective"", ""subordinate""]
}

 	","['adjective', 'subordinate']","{
  ""Properties"": [""adjective"", ""subordinate""],
  ""Explanation"": ""The sentence contains a relative clause 'who commands a following of individuals' (adjective) and a subordinate clause 'he emphasized later' which suggests a causal connection.""
}","['adjective', 'subordinate']",1,"['adjective', 'subordinate']",1,0,gpt picked up the second clause but did not assing the right porperty,"['adjective','noun']",
68,[0],"I have read the Cardinal's exposition in both Italian and English, and I only find mention of the help of the sacraments in certain cases.",Modifying_clauses,[],[],[],TRUE,[],"{
  ""Properties"": [""adjective""],
  ""Explanation"": ""The sentence contains a relative clause 'in both Italian and English' that provides additional detail about the Cardinal's exposition.""
}",['adjective'],"{
  ""Properties"": [""adjective""],
  ""Explanation"": ""The sentence includes a relative clause using 'in both Italian and English', which functions as an adjective phrase modifying 'exposition'.""
}",['adjective'],"{
  ""Properties"": [""comparitive"", ""subordinate"", ""adjective""],
  ""Explanation"": ""The sentence contains a comparative clause ('in both Italian and English') and a subordinate clause ('I only find mention of the help of the sacraments in certain cases'). Additionally, it includes an adjective clause ('in certain cases').""
}","['comparitive', 'subordinate', 'adjective']",FALSE,"{
  ""Properties"": [""subordinate"", ""adjective""],
  ""Explanation"": ""The sentence contains a subordinate clause ('in both Italian and English') that suggests a causal connection, and an adjective clause ('in certain cases') providing additional detail.""
}","['subordinate', 'adjective']","{
  ""Properties"": [""comparitive""],
  ""Explanation"": ""The presence of the comparative clause 'in both Italian and English' indicates a comparison between the two languages.""
}",['comparitive'],"{
  ""Properties"": [""comparitive""],
  ""Explanation"": ""The presence of the comparative clause 'in both Italian and English' indicates a comparison between the two versions of the Cardinal's exposition.""
}",['comparitive'],0,['comparitive'],0,0,"gpt identifies wrong propety, and gpt attributes characteristics to sentence which are incorrect",['subordinate'],"cause: ""I have read.."", effect: ""I only fond..."""
83,[1],"A dark, impenetrable and â€œirreversibleâ€ winter of persecution of the faithful by their own shepherds will fall.",Modifying_clauses,[],[],[],TRUE,[],"{
  ""Properties"": [""adjective""],
  ""Explanation"": ""The clause 'dark, impenetrable and \\"" 	, ""irreversible\"""" 	: [] 	, ""winter of persecution' uses a relative clause with adjectives ('dark', 'impenetrable', 'irreversible') to describe the 'winter of persecution'."" 	: 	{} 	}
   ",['adjective'],"{
  ""Properties"": [""adjective"", ""conditional""],
  ""Explanation"": ""The clause 'irreversible' functions as an adjective modifying 'winter', and the entire sentence presents a conditional situation using the conditional adjective 'irreversible'.""
}","['adjective', 'conditional']","{
  ""Properties"": [""adjective""],
  ""Explanation"": ""The clause 'dark, impenetrable and irrevisible' functions as a relative clause using 'and' to connect multiple adjectives to describe the winter of persecution.""
}",['adjective'],FALSE,"{
  ""Properties"": [""adjective""],
  ""Explanation"": ""The clause 'of persecution of the faithful by their own shepherds' is a relative clause using the relative pronoun 'who'. It provides additional information about the noun 'winter'.""
}",['adjective'],"{
  ""Properties"": [""adjective""]
}",['adjective'],"{
  ""Properties"": [""adjective""],
  ""Explanation"": ""The phrase 'of persecution of the faithful by their own shepherds' is a relative clause using the relative pronoun 'who'. It provides additional information about the noun 'winter'.""
}",['adjective'],1,['adjective'],1,0,gpt finding things which aren't there,[],
199,[1],"â€œWhen Kavanaugh is on the Supreme Court, undermining our #4thAmendment right against unreasonable searches and seizures, it will be too late for others to join me.â€",Modifying_clauses,['subordinate'],['subordinate'],['subordinate'],TRUE,[],"{
  ""Properties"": [""subordinate""],
  ""Explanation"": ""The presence of the subordinating conjunction 'when' indicates that this is a modifying clause, suggesting a conditional relationship between the appointment of Kavanaugh to the Supreme Court and the consequence of it being too late for others to join the speaker.""
}",['subordinate'],"{
  ""Properties"": [""conditional"", ""subordinate""],
  ""Explanation"": ""The clause 'When Kavanaugh is on the Supreme Court' is a subordinate clause indicating a temporal relationship. The clause 'it will be too late for others to join me' is a conditional clause, starting with 'it'.""
}","['conditional', 'subordinate']","{
  ""Properties"": [""conditional"", ""subordinate""],
  ""Explanation"": ""The clause 'when Kavanaugh is on the Supreme Court' is a subordinate clause suggesting a causal connection, while the clause 'it will be too late for others to join me' is a conditional clause beginning with 'it'.""
}","['conditional', 'subordinate']",FALSE,"{
  ""Properties"": [""subordinate"", ""adjective""]
  ,
  ""Explanation"": ""The sentence contains a subordinate clause 'when Kavanaugh is on the Supreme Court' suggesting a causal connection, and an adjective clause 'undermining our #4thAmendment right against unreasonable searches and seizures' providing additional detail about Kavanaugh.""
}","['subordinate', 'adjective']","{
  ""Properties"": [""subordinate""],
  ""Explanation"": ""The clause 'when Kavanaugh is on the Supreme Court' suggests a causal connection and uses the subordinating conjunction 'when'.""
}",['subordinate'],"{
  ""Properties"": [""conditional"", ""adjective""],
  ""Explanation"": ""The sentence contains a conditional clause 'When Kavanaugh is on the Supreme Court' and an adjective clause 'undermining our #4thAmendment right against unreasonable searches and seizures.'""
}","['conditional', 'adjective']",0,"['subordinate', 'adjective']",1,0,gpt got it right once,['subordinate'],
243,[2 6],Women everywhere should be furious.,Modifying_clauses,[],[],[],TRUE,[],"{
  ""Properties"": [""adjective""]
}

  											
  	
 	
 											
 	   
       
       
    
  
  ",['adjective'],"{
  ""Properties"": [],
  ""Explanation"": ""The given text does not contain any modifying clauses."" 
}",[],"{
  ""Properties"": [""adjective""],
  ""Explanation"": ""The sentence contains an adjective clause 'everywhere' that describes the location of women who should be furious.""
}",['adjective'],FALSE,"{
  ""Properties"": [""adjective""],
  ""Explanation"": ""The sentence contains a relative clause 'everywhere' modifying the noun 'women'.""
}",['adjective'],"{
  ""Properties"": [""adjective""]
}",['adjective'],"{
  ""Properties"": [""adjective""],
  ""Explanation"": ""The sentence contains a modifying clause 'everywhere' which functions as an adjective modifying the noun 'women'.""
}",['adjective'],1,['adjective'],1,0,gpt finding things which aren't there,[],
253,[3 8],Either that or they can go whine to the New York Times some more because the Jewish community won't let them burn crosses on their lawn.,Modifying_clauses,['subordinate'],['subordinate'],['subordinate'],TRUE,[],"{
  ""Properties"": [""conditional""],
  ""Explanation"": ""The sentence contains a conditional clause 'if the Jewish community won't let them burn crosses on their lawn.'""
}",['conditional'],"{
  ""Properties"": [""conditional""],
  ""Explanation"": ""The example contains a conditional clause starting with 'if': 'if they can go whine to the New York Times...'""
}",['conditional'],"{
  ""Properties"": [""comparitive""],
  ""Explanation"": ""The use of 'or' in the sentence sets up a comparison between two options, making it a comparative clause.""
}",['comparitive'],FALSE,"{
  ""Properties"": [""conditional""],
  ""Explanation"": ""The sentence contains a conditional clause starting with 'if': 'if they can go whine to the New York Times some more'.""
}",['conditional'],"{
  ""Properties"": [""comparitive""],
  ""Explanation"": ""The sentence contains a comparative clause using 'than' to compare the proximity of two locations: 'as close to Saigon as Balimore is to Washington.'""
}",['comparitive'],"{
  ""Properties"": [""comparitive""],
  ""Explanation"": ""The clause 'they can go whine to the New York Times some more' uses the comparative conjunction 'more' to compare the action to a previous or hypothetical level of whining.""
}",['comparitive'],0,['comparitive'],0,1,gpt is just completely wrong. It's made a soup of the sentence and property definitions,"['comparitive','subordinate']","comparitive: either/or, subordinate: becauseÉ"
271,[3],"That is to say, one could not consecrate a brothel, one could not bless a concentration camp or weapons which are not explicitly ordained for hunting or for legitimate self-defense.",Modifying_clauses,['adjective'],['adjective'],['adjective'],TRUE,['adjective'],"{
  ""Properties"": [""subordinate""],
  ""Explanation"": ""The clause 'which are not explicitly ordained for hunting or for legitimate self-defense' suggests a causal explanation for why certain things cannot be consecrated or blessed.""
}",['subordinate'],"{
  ""Properties"": [""conditional""]
}",['conditional'],"{
  ""Properties"": [""conditional""],
  ""Explanation"": ""The sentence contains a conditional clause beginning with 'if' ('if...one could not consecrate a brothel'), indicating a conditional relationship.""
}",['conditional'],FALSE,"{
  ""Properties"": [""conditional""],
  ""Explanation"": ""The sentence contains a conditional clause beginning with 'one could not' and 'which are not explicitly ordained'.""
}",['conditional'],"{
  ""Properties"": [""conditional""],
  ""Explanation"": ""The sentence contains a conditional clause starting with 'one could not' followed by 'unless' which suggests a condition for consecrating a brothel, blessing a concentration camp, or weapons not explicitly ordained for certain purposes.""
}",['conditional'],"{
  ""Properties"": [""conditional""],
  ""Explanation"": ""The sentence contains a conditional clause starting with 'one could not' indicating a hypothetical situation.""
}",['conditional'],1,['conditional'],0,0,gpt finding things which aren't there,"['noun','adjective']","noun: that is to say.., adjective: whichÉ"
275,[3],"You believe any woman who goes against a Republican and you don't believe any woman who goes against a Democrat.""",Modifying_clauses,['adjective'],['adjective'],['adjective'],TRUE,['adjective'],"{
  ""Properties"": [""comparitive""],
  ""Explanation"": ""The sentence contains a comparative clause using the conjunction 'who'. It compares women who go against a Republican to women who go against a Democrat.""
}",['comparitive'],"{
  ""Properties"": [""comparitive""]
}",['comparitive'],"{
  ""Properties"": [""adjective""],
  ""Explanation"": ""The sentence includes a relative clause 'who goes against a Republican' and 'who goes against a Democrat', making use of adjective clauses.""
}",['adjective'],FALSE,"{
  ""Properties"": [""comparitive""],
  ""Explanation"": ""The sentence contains a comparative clause using the conjunction 'who'.""
}",['comparitive'],"{
  ""Properties"": [""comparitive""],
  ""Explanation"": ""The sentence contains a comparative clause using the conjunction 'who'.""
}",['comparitive'],"{
  ""Properties"": [""comparitive""],
  ""Explanation"": ""The sentence contains a comparative clause using the conjunction 'who'.""
}",['comparitive'],1,['comparitive'],1,0,gpt is just completely wrong. It's made a soup of the sentence and property definitions,['adjective'],
311,[3],"The Vatican presents a choice: the world, or Christ.",Modifying_clauses,[],[],[],TRUE,[],"{
  ""Properties"": [""comparitive""],
  ""Explanation"": ""The sentence contains a comparative clause using the conjunction 'or'.""
}",['comparitive'],"{
  ""Properties"": [""comparitive""],
  ""Explanation"": ""The sentence contains a comparative clause with the conjunction 'or', comparing 'the world' and 'Christ'.""
}",['comparitive'],"{
  ""Properties"": [""comparitive""],
  ""Explanation"": ""The statement uses a comparative clause with the conjunction 'or' to present a choice between 'the world' and 'Christ'.""
}",['comparitive'],TRUE,"{
  ""Properties"": [""comparitive""],
  ""Explanation"": ""The sentence contains a comparative clause using the conjunction 'or', which presents a choice between 'the world' and 'Christ'.""
}",['comparitive'],"{
  ""Properties"": [""comparitive""],
  ""Explanation"": ""The sentence contains a comparative clause using the conjunction 'or' to present a choice between 'the world' and 'Christ'.""
}",['comparitive'],"{
  ""Properties"": [""comparitive""],
  ""Explanation"": ""The sentence contains a comparative clause using the conjunction 'or'.""
}",['comparitive'],1,['comparitive'],1,0,gpt misinterprets the property,[],
319,[3],Itâ€™s not coming back.,Modifying_clauses,[],[],[],TRUE,[],"{
  ""Properties"": [""comparitive""],
  ""Explanation"": ""The sentence contains a comparative clause using the conjunction 'than'.""
}",['comparitive'],"{
  ""Properties"": [""conditional""],
  ""Explanation"": ""The sentence contains a conditional clause with 'if' implied: 'If it's not coming back, then...'""
}",['conditional'],"{
  ""Properties"": [""noun""],
  ""Explanation"": ""The clause 'It's not coming back' is a noun clause, used for indirect speech, paraphrasing, or incorporating detail.""
}",['noun'],FALSE,"{
  ""Properties"": [""subordinate""],
  ""Explanation"": ""The statement 'It's not coming back' does not contain any modifying clauses."" 
}",['subordinate'],"{
  ""Properties"": [""subordinate""],
  ""Explanation"": ""The statement 'It's not coming back' does not contain any modifying clauses."" 
}",['subordinate'],"{
  ""Properties"": [""subordinate""],
  ""Explanation"": ""The statement 'It's not coming back' suggests a causal connection or subordination to a previous event or situation, indicating that something will not return as a result of something else.""
}",['subordinate'],1,['subordinate'],1,0,gpt misaligned between property it assigns and explanation it gives.,[],
