sentence_id,technique,text,feature_id,props_a20,props_a21,props_a22,annotator_consistency,props_gpt4_majority,res_1.0_1,gpt_props_1.0_1,res_1.0_2,gpt_props_1.0_2,res_1.0_3,gpt_props_1.0_3,gpt3.5_1.0_consistency,res_0.2_1,gpt_props_0.2_1,res_0.2_2,gpt_props_0.2_2,res_0.2_3,gpt_props_0.2_3,gpt3.5_0.2_consistency,gpt3.5_0.2_majority,humans isCorrect,gpt isCorrect,comments,ground truth,Unnamed: 28,res_0.0_V3_1,property__0.0_V3_1,res_0.0_V3_2,property__0.0_V3_2,res_0.0_V3_3,property__0.0_V3_3
43,[0],"As a former trial lawyer, I can tell you that while neither notes nor memories are infallible, in a contest between contemporaneous notes and later verbal testimony about those notes, the content of the written notes usually prevails.",Predication,"['stative', 'active']","['stative', 'active']","['stative', 'active']",TRUE,[],"{
  ""Properties"": [
    ""active"",
    ""compound""
  ],
  ""Explanation"": ""The sentence contains active verbs such as 'are' and 'is', and also multiple verbs about one subject, making it a compound predication.""
}","['active', 'compound']","{
  ""Properties"": [""active""],
  ""Explanation"": ""The text contains active verbs such as 'are', 'notes', 'are', 'infallible', 'content', and 'prevails'. These verbs indicate action or occurrence by the subject.""
}",['active'],"{
  ""Properties"": [""active"", ""stative""],
  ""Explanation"": ""The text contains active verbs (are, is) and stative verbs (are, is) to describe the state of something or someone.""
}","['active', 'stative']",FALSE,"{
  ""Properties"": [""active""],
  ""Explanation"": ""The text contains active verbs such as 'are', 'is', 'are', and 'prevails'. These active verbs indicate actions performed by the subjects in the sentence.""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains active verbs such as 'are' and 'prevails'.""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains active verbs such as 'are', 'are', 'prevails'. These active verbs indicate actions performed by the subject, meeting the criteria for the active property.""
}",['active'],1,['active'],1,0,GPT is mixing up the properties and definitions,"['stative', 'active']",,"{
  ""Answer"": [""active"", ""stative""],
  ""Explanation"": ""The sentence contains both active and stative properties of predication. The active property is evident in the phrase 'I can tell you,' where 'I' is the subject performing the action of telling. The stative property is evident in the phrase 'neither notes nor memories are infallible,' where 'are' is used to express a state or condition rather than an action."" 
}","['active', 'stative']","{
  ""Answer"": [""active"", ""stative""],
  ""Explanation"": ""The sentence contains both active and stative properties of predication. The active property is evident in the phrase 'I can tell you,' where 'I' is the subject performing the action of telling. The stative property is evident in the phrase 'neither notes nor memories are infallible,' where 'are' expresses a state or condition rather than an activity or event."" 
}","['active', 'stative']","{
  ""Answer"": [""active"", ""stative""],
  ""Explanation"": ""The sentence contains both active and stative properties of predication. The active property is evident in the phrase 'I can tell you,' where 'I' is the subject performing the action of telling. The stative property is evident in the phrase 'neither notes nor memories are infallible,' where 'are' expresses a state or condition rather than an activity or event."" 
}","['active', 'stative']"
83,[1],"A dark, impenetrable and “irreversible” winter of persecution of the faithful by their own shepherds will fall.",Predication,['active'],['active'],['active'],TRUE,[],"{
  ""Properties"": [],
  ""Explanation"": ""The example text does not contain any active, stative, or compound predicates. Instead, it is a complex sentence expressing a prediction about a future event without specifying any particular action or state.""
}",[],"{
  ""Properties"": [""stative""],
  ""Explanation"": ""The sentence contains the stative verb 'irreversible' which describes a state rather than an action.""
}",['stative'],"{
  ""Properties"": [""stative"", ""compound""],
  ""Explanation"": ""The phrase 'will fall' contains a stative verb ('fall') indicating a state or condition. The sentence also contains a compound verb structure with 'will fall' and 'will fall', involving multiple verbs about one subject.""
}","['stative', 'compound']",FALSE,"{
  ""Properties"": [""stative""],
  ""Explanation"": ""The sentence contains the stative verb 'will fall', indicating a state or condition that will occur in the future.""
}",['stative'],"{
  ""Properties"": [""stative""],
  ""Explanation"": ""The sentence contains a stative verb 'will fall' to describe a future state of being.""
}",['stative'],"{
  ""Properties"": [""stative""],
  ""Explanation"": ""The sentence contains a stative verb 'will fall' which describes a state of being rather than an action.""
}",['stative'],1,['stative'],1,0,GPT is mixing up the properties and definitions,['active'],will fail,"{
  ""Answer"": [""compound""],
  ""Explanation"": ""The sentence contains a compound predication as it combines multiple predications of verbs ('will fall') about one subject ('A dark, impenetrable and “irreversible” winter of persecution of the faithful by their own shepherds').""
}",['compound'],"{
  ""Answer"": [""compound""],
  ""Explanation"": ""The sentence contains a compound predication as it involves multiple predications of verbs ('will fall') used about one subject ('A dark, impenetrable and “irreversible” winter of persecution of the faithful by their own shepherds').""
}",['compound'],"{
  ""Answer"": [""compound""],
  ""Explanation"": ""The sentence contains a compound predication as it combines multiple predications of verbs ('will fall') about one subject ('A dark, impenetrable and “irreversible” winter of persecution of the faithful by their own shepherds').""
}",['compound']
118,[1],"In any case, note well: the letter to me from the UK Home Office said that I was banned for saying that “[Islam] is a religion and is a belief system that mandates warfare against unbelievers…”",Predication,"['stative', 'active']","['stative', 'active']","['stative', 'active']",TRUE,[],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'said' in the clause 'the letter to me from the UK Home Office said'.""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The example text contains active verbs such as 'said' and 'saying', indicating the use of active voice.""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The example contains active verbs, such as 'said', which indicate the action being performed by the subject.""
}",['active'],TRUE,"{
  ""Properties"": [""stative""],
  ""Explanation"": ""The sentence contains a stative verb 'is' in the phrase '[Islam] is a religion and is a belief system'. This indicates a state of being rather than an action.""
}",['stative'],"{
  ""Properties"": [""stative""],
  ""Explanation"": ""The sentence contains the stative verb 'is' in the phrase '[Islam] is a religion and is a belief system'. This indicates a state of being rather than an action, fulfilling the stative property.""
}",['stative'],"{
  ""Properties"": [""stative""],
  ""Explanation"": ""The sentence contains the stative verb 'is' in the phrase '[Islam] is a religion and is a belief system'. This indicates a state of being rather than an action.""
}",['stative'],1,['stative'],1,0,GPT is mixing up the properties and definitions,"['stative', 'active']",,"{
  ""Answer"": [""active"", ""stative""],
  ""Explanation"": ""The sentence contains both active and stative properties of predication. The active property is evident in the phrase 'saying that,' where 'saying' is the action performed by the subject. The stative property is evident in the phrase 'is a religion and is a belief system,' where 'is' expresses a state or condition rather than an action.""
}","['active', 'stative']","{
  ""Answer"": [""active"", ""stative""],
  ""Explanation"": ""The sentence contains both active and stative properties of predication. The active property is present as the subject 'I' is performing the action of saying. The stative property is present in the expression 'is a religion and is a belief system' which expresses a state or condition rather than an activity or event.""
}","['active', 'stative']","{
  ""Answer"": [""active"", ""stative""],
  ""Explanation"": ""The sentence contains both active and stative properties of predication. The active property is evident in the phrase 'saying that,' where 'saying' is the action performed by the subject. The stative property is evident in the phrase 'is a religion and is a belief system,' where 'is' expresses a state or condition rather than an action.""
}","['active', 'stative']"
243,[2 6],Women everywhere should be furious.,Predication,['stative'],['stative'],['stative'],TRUE,[],"{
  ""Properties"": [
    ""stative""
  ],
  ""Explanation"": ""The sentence uses the stative verb 'should be' to express a state of being, rather than an action.""
}",['stative'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'should be furious.'""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'should be furious.' It is directly calling on women to feel a certain way.""
}",['active'],FALSE,"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'should be furious' which expresses an action.""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'should be furious.'""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'should be furious.'""
}",['active'],1,['active'],1,0,GPT is mixing up the properties and definitions,['stative'],,"{
  ""Answer"": [""active"", ""stative""],
  ""Explanation"": ""The sentence 'Women everywhere should be furious' contains both active and stative properties. 'Should be furious' is a stative predication expressing a state or condition, while 'Women everywhere' is the subject performing the action, making it an active predication.""
}","['active', 'stative']","{
  ""Answer"": [""active"", ""stative""],
  ""Explanation"": ""The sentence 'Women everywhere should be furious' contains both active and stative properties of predication. 'Should be furious' is a stative predication expressing a state or condition, while 'Women everywhere' is an active predication where the subject is performing the action.""
}","['active', 'stative']","{
  ""Answer"": [""active"", ""stative""],
  ""Explanation"": ""The sentence 'Women everywhere should be furious' contains both active and stative properties. 'Should be furious' is a stative predication expressing a state or condition, while 'Women everywhere' is an active predication where the subject is performing the action.""
}","['active', 'stative']"
249,[2],"Although the claims are intriguing, it is important to remember that after virtually every terror attack and mass shooting, friends and neighbors express shock that the culprit would be capable of carrying out such horrors, with some outright denying it to be possible.",Predication,"['stative', 'active']","['stative', 'active']","['stative', 'active']",TRUE,[],"{
  ""Properties"": [""active"", ""stative""],
  ""Explanation"": ""The text contains active verbs (express, carrying) and stative verbs (are, is, denying).""
}","['active', 'stative']","{
  ""Properties"": [""active"", ""compound""],
  ""Explanation"": ""The text contains active verbs such as 'are', 'is', 'remember', 'express', 'denying' which indicate active voice. Additionally, it also has compound verbs 'is important', 'would be capable', and 'carrying out', where multiple verbs are connected to one subject.""
}","['active', 'compound']","{
  ""Properties"": [""active"", ""stative"", ""compound""],
  ""Explanation"": ""The example contains active verbs ('are', 'is', 'remember', 'express', 'carrying', 'denying'), stative verb ('is'), and compound verbs ('is important', 'would be capable', 'carrying out').""
}","['active', 'stative', 'compound']",FALSE,"{
  ""Properties"": [""active"", ""stative"", ""compound""],
  ""Explanation"": ""The text contains active verbs (are, express, denying), stative verbs (are), and compound verbs (would be, carrying out).""
}","['active', 'stative', 'compound']","{
  ""Properties"": [""active"", ""stative""],
  ""Explanation"": ""The text contains both active verbs (express, carrying out) and stative verbs (are, is, denying).""
}","['active', 'stative']","{
  ""Properties"": [""active"", ""compound""],
  ""Explanation"": ""The text contains active verbs such as 'are', 'is', 'remember', 'express', 'denying' and also has a compound structure with multiple verbs 'are', 'express', 'denying' about one subject.""
}","['active', 'compound']",0,"['active', 'stative', 'compound']",1,0,GPT is mixing up the properties and definitions,"['stative', 'active']",,"{
  ""Answer"": [""active"", ""stative"", ""compound""],
  ""Explanation"": ""The provided sentence contains the active property as it describes actions performed by the subject, such as 'express shock' and 'denying.' It also contains the stative property as it expresses a state or condition with 'is important' and 'would be capable.' Additionally, the sentence exhibits the compound property as it combines multiple predications about one subject, such as 'are intriguing,' 'is important,' 'express shock,' 'would be capable,' and 'outright denying.'""
}","['active', 'stative', 'compound']","{
  ""Answer"": [""active"", ""stative"", ""compound""],
  ""Explanation"": ""The sentence contains the active property as it describes actions being performed by the subject, such as 'express shock' and 'denying it to be possible.' It also contains the stative property as it expresses a state or condition with 'is important' and 'is intriguing.' Additionally, the sentence contains the compound property as it combines multiple predications about one subject, such as 'friends and neighbors express shock' and 'some outright denying it to be possible.'""
}","['active', 'stative', 'compound']","{
  ""Answer"": [""active"", ""stative"", ""compound""],
  ""Explanation"": ""The sentence contains the active predication in 'friends and neighbors express shock' where 'friends and neighbors' are the subjects performing the action. It also contains the stative predication in 'it is important to remember' where 'it' expresses a state or condition. Additionally, the sentence contains the compound predication in 'friends and neighbors express shock that the culprit would be capable of carrying out such horrors, with some outright denying it to be possible' where multiple predications of verbs are used about one subject, 'friends and neighbors.'""
}","['active', 'stative', 'compound']"
263,[3],"While Obama pardoned drug dealers and locked up ranchers, Trump pardons ranchers and locks up drug dealers.",Predication,['active'],['active'],['active'],TRUE,[],"{
  ""Properties"": [""compound""],
  ""Explanation"": ""The sentence contains compound predication, as it expresses two contrasting actions (pardoning and locking up) related to two different subjects (drug dealers and ranchers) in a parallel structure.""
}",['compound'],"{
  ""Properties"": [""active"", ""compound""],
  ""Explanation"": ""The sentence contains active verbs 'pardoned' and 'locked up', as well as a compound structure with multiple verbs about one subject (Obama and Trump) in the same sentence.""
}","['active', 'compound']","{
  ""Properties"": [""active"", ""compound""],
  ""Explanation"": ""The sentence contains active verbs ('pardoned', 'locked up') and also features a compound structure with multiple verbs related to the same subject.""
}","['active', 'compound']",FALSE,"{
  ""Properties"": [""active"", ""compound""],
  ""Explanation"": ""The sentence contains active verbs ('pardoned', 'locked up') and also has a compound structure with multiple verbs ('pardoned', 'locked up') about one subject ('Obama', 'Trump').""
}","['active', 'compound']","{
  ""Properties"": [""compound""],
  ""Explanation"": ""The sentence contains a compound structure with multiple verbs ('pardons', 'locked up') about one subject ('Obama' and 'Trump').""
}",['compound'],"{
  ""Properties"": [""active"", ""compound""],
  ""Explanation"": ""The sentence contains active verbs ('pardoned', 'locked up') and also has a compound structure with multiple verbs ('pardoned', 'locked up') about one subject ('Obama', 'Trump').""
}","['active', 'compound']",0,"['active', 'compound']",1,0,GPT is misinterpreting a property,['active'],,"{
  ""Answer"": [""active"", ""compound""],
  ""Explanation"": ""The sentence contains both active predication and compound predication. The active predication is evident in the use of verbs 'pardoned' and 'locked up' with their respective subjects 'Obama' and 'Trump' performing the actions. Additionally, the sentence also exhibits compound predication as it involves multiple predications of verbs ('pardoned' and 'locked up') used about one subject ('Obama' and 'Trump').""
}","['active', 'compound']","{
  ""Answer"": [""active"", ""compound""],
  ""Explanation"": ""The sentence contains an active predication as it describes actions performed by the subjects 'Obama' and 'Trump'. Additionally, the sentence also exhibits a compound predication as it conveys multiple predications about the subjects 'Obama' and 'Trump' in a single sentence.""
}","['active', 'compound']","{
  ""Answer"": [""active"", ""compound""],
  ""Explanation"": ""The sentence contains both active predication and compound predication. The active predication is evident in the verbs 'pardoned' and 'locks up,' where the subject (Obama and Trump) performs the action. Additionally, the sentence exhibits compound predication as it conveys multiple predications about one subject (Obama and Trump) using the verbs 'pardoned' and 'locks up.'""
}","['active', 'compound']"
265,[3],"No Catholic, whether or not he consults a priest, can declare for himself that his marriage in the Church was invalid, especially when—indeed because—he lacks canonical proof of invalidity.",Predication,"['stative', 'active']","['stative', 'active']","['stative', 'active']",TRUE,[],"{
  ""Properties"": [""stative"", ""compound""],
  ""Explanation"": ""The sentence includes a stative verb 'was' and a compound structure with multiple verbs ('can declare,' 'lacks').""
}","['stative', 'compound']","{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'consults' and uses an active voice construction.""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The text contains active verbs such as 'declare,' 'consults,' 'can' and 'lacks,' indicating the use of active voice.""
}",['active'],FALSE,"{
  ""Properties"": [""stative""],
  ""Explanation"": ""The sentence contains a stative verb 'was' to express a state of being (invalid).""
}",['stative'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'consults' and 'declare' which indicate action being performed by the subject.""
}",['active'],"{
  ""Properties"": [""active"", ""stative""],
  ""Explanation"": ""The text contains active verbs (consults, can declare) and a stative verb (is).""
}","['active', 'stative']",0,['stative'],1,0,,"['stative', 'active']",,"{
  ""Answer"": [""active"", ""stative""],
  ""Explanation"": ""The sentence contains both active and stative properties of predication. The active property is present as the sentence includes the action of 'declare' with the subject 'No Catholic'. The stative property is also present as the sentence expresses a state or condition with 'is' in 'his marriage in the Church was invalid'.""
}","['active', 'stative']","{
  ""Answer"": [""active"", ""stative""],
  ""Explanation"": ""The sentence contains both active and stative predication. The active predication is present in the phrase 'can declare for himself', where 'declare' is the verb and 'he' is the subject performing the action. The stative predication is present in the phrase 'he is wet', where 'is' is the stative verb expressing a state or condition."" 
}","['active', 'stative']","{
  ""Answer"": [""active"", ""stative""],
  ""Explanation"": ""The sentence contains both active and stative properties of predication. The active property is present as the sentence includes the action of 'declaring' (can declare for himself), and the stative property is present in the expression of a state or condition with 'is' (was invalid).""
}","['active', 'stative']"
282,[3 9],"And if Trumpism is not the future of the GOP, it is hard to see what a promising GOP agenda might look like.",Predication,['stative'],['stative'],['stative'],TRUE,"['stative', 'active']","{
  ""Properties"": [""stative""],
  ""Explanation"": ""The sentence contains a stative verb 'is' indicating a state of being.""
}",['stative'],"{
  ""Properties"": [""stative""],
  ""Explanation"": ""The sentence contains the stative verb 'is' as part of the phrase 'is not'. This indicates a state of being or a condition rather than an action.""
}",['stative'],"{
  ""Properties"": [""stative""],
  ""Explanation"": ""The sentence contains a stative verb 'is', indicating a state of being rather than action.""
}",['stative'],TRUE,"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'is' and 'look'.""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'is' which is used to express a state of being.""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'is' and 'look' which indicates action being performed by the subject.""
}",['active'],1,['active'],1,0,GPT is mixing up the properties and definitions,['stative'],,"{
  ""Answer"": [""stative""],
  ""Explanation"": ""The provided sentence contains a stative predication. The verb 'is' in 'is not' is a stative verb, expressing a state or condition rather than an activity or event. In this case, it is used to express a state of being or existence, indicating the condition of Trumpism as the future of the GOP.""
}",['stative'],"{
  ""Answer"": [""stative""],
  ""Explanation"": ""The provided sentence contains a stative predication. The verb 'is' is used to express a state or condition ('is not the future of the GOP').""
}",['stative'],"{
  ""Answer"": [""stative""],
  ""Explanation"": ""The provided sentence contains a stative predication. The verb 'is' in 'is not' expresses a state or condition rather than an activity or event, fitting the definition of a stative predication.""
}",['stative']
313,[3],"“The Prologue set this choice before us, the world or Our Lord, as mutually exclusive alternatives; we cannot remain neutral, but must belong wholly to the one or wholly to the other.”",Predication,"['stative', 'active']","['stative', 'active']","['stative', 'active']",TRUE,"['stative', 'active']","{
  ""Properties"": [""active""],
  ""Explanation"": ""The text contains active verbs like 'set' and 'belong', which indicates action or movement.""
}",['active'],"{
  ""Properties"": [""active"", ""stative""],
  ""Explanation"": ""The text contains both active ('set') and stative ('cannot remain') verbs.""
}","['active', 'stative']","{
  ""Properties"": [""stative""],
  ""Explanation"": ""The sentence contains a stative verb 'remain' which indicates a state of being.""
}",['stative'],FALSE,"{
  ""Properties"": [""active""],
  ""Explanation"": ""The text contains active verbs such as 'set' and 'belong', which indicate actions being performed by the subjects.""
}",['active'],"{
  ""Properties"": [""active"", ""stative""],
  ""Explanation"": ""The text contains both active verbs (set, belong) and stative verbs (remain, belong) indicating action and state of being.""
}","['active', 'stative']","{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains active verbs 'set' and 'belong' which indicate action being performed by the subject.""
}",['active'],0,['active'],1,0,,"['stative', 'active']",,"{
  ""Answer"": [""active"", ""stative"", ""compound""],
  ""Explanation"": ""The sentence contains the active predication in 'set this choice before us,' where 'set' is the verb, 'this choice' is the direct object, and 'us' is the subject. It also contains the stative predication in 'must belong wholly to the one or wholly to the other,' where 'belong' is the verb expressing a state or condition. Additionally, the sentence exhibits the compound predication in 'set this choice before us, the world or Our Lord, as mutually exclusive alternatives,' where multiple predications of verbs ('set' and 'belong') are used about one subject ('us')."" 
}","['active', 'stative', 'compound']","{
  ""Answer"": [""active"", ""stative"", ""compound""],
  ""Explanation"": ""The sentence contains the active predication in 'set this choice before us,' where 'set' is the verb, 'this choice' is the direct object, and 'us' is the subject. It also contains the stative predication in 'must belong wholly to the one or wholly to the other,' where 'belong' is the stative verb expressing a state or condition. Additionally, the sentence exhibits the compound predication in 'The Prologue set this choice before us, the world or Our Lord, as mutually exclusive alternatives,' where multiple predications of verbs ('set' and 'contained') are used about one subject ('The Prologue')."" 
}","['active', 'stative', 'compound']","{
  ""Answer"": [""active"", ""stative"", ""compound""],
  ""Explanation"": ""The sentence contains the property 'active' as it describes an action performed by the subject 'us' (set this choice before us). It also contains the property 'stative' as it expresses a state or condition (must belong wholly to the one or wholly to the other). Additionally, the sentence contains the property 'compound' as it involves multiple predications of verbs about one subject (set...before us, belong...to the one or wholly to the other).""
}","['active', 'stative', 'compound']"
319,[3],It’s not coming back.,Predication,['active'],['active'],['active'],TRUE,['active'],"{
  ""Properties"": [
    ""stative""
  ],
  ""Explanation"": ""The sentence contains a stative verb 'coming' that expresses a state of being, rather than an action.""
}",['stative'],"{
  ""Properties"": [""stative""],
  ""Explanation"": ""The sentence contains a stative verb 'coming' indicating a state of absence or non-existence.""
}",['stative'],"{
  ""Properties"": [""stative""],
  ""Explanation"": ""The sentence uses a stative verb 'coming' to describe a state of being for the subject. It does not involve an action in progress.""
}",['stative'],TRUE,"{
  ""Properties"": [""stative""],
  ""Explanation"": ""The sentence contains a stative verb 'coming' which expresses a state rather than an action.""
}",['stative'],"{
  ""Properties"": [""stative""],
  ""Explanation"": ""The sentence contains a stative verb 'coming' which describes a state rather than an action.""
}",['stative'],"{
  ""Properties"": [""stative""],
  ""Explanation"": ""The sentence contains a stative verb 'coming' which describes a state rather than an action.""
}",['stative'],1,['stative'],1,0,,['active'],,"{
  ""Answer"": [""stative""],
  ""Explanation"": ""The sentence 'It’s not coming back' is an example of a stative predication because it expresses a state or condition rather than an activity or event. The verb 'coming' in this sentence is used to express a state of non-arrival, indicating a condition rather than an action.""
}",['stative'],"{
  ""Answer"": [""stative""],
  ""Explanation"": ""The sentence 'It’s not coming back' is an example of a stative predication because it expresses a state or condition rather than an activity or event. The verb 'is' indicates a state of being, and 'not coming back' further describes the state of 'it'.""
}",['stative'],"{
  ""Answer"": [""stative""],
  ""Explanation"": ""The sentence 'It’s not coming back' contains a stative predication. The verb 'coming' in this sentence expresses a state of not returning, rather than an action or event. Therefore, the stative property is used in this sentence.""
}",['stative']
