sentence_id,technique,text,feature_id,props_a20,props_a21,props_a22,annotator_consistency,props_gpt4_majority,res_1.0_1,gpt_props_1.0_1,res_1.0_2,gpt_props_1.0_2,res_1.0_3,gpt_props_1.0_3,gpt3.5_1.0_consistency,res_0.2_1,gpt_props_0.2_1,res_0.2_2,gpt_props_0.2_2,res_0.2_3,gpt_props_0.2_3,gpt3.5_0.2_consistency,gpt3.5_0.2_majority,humans isCorrect,gpt isCorrect,comments,ground truth,Unnamed: 28,property_gpt3.5,res_gpt3.5_0.0_V3_2,property_gpt3.5_0.0_V3_2
47,[0],"â€œI donâ€™t regard Louis Farrakhan as an aberration or anything, I regard him as an outstanding human being who commands a following of individuals who are learned and articulate and he plays a big role in the lives of thousands and thousands and thousands and thousands of people,â€ he emphasized later.",Modifying_clauses,['adjective'],['adjective'],['adjective'],True,[],"{
  ""Properties"": [""adjective"", ""subordinate""],
  ""Explanation"": ""The sentence contains an adjective clause 'who commands a following of individuals who are learned and articulate' providing additional detail about Louis Farrakhan. It also includes a subordinate clause 'he emphasized later' which gives contextual information about when the statement was emphasized.""
}","['adjective', 'subordinate']","{
  ""Properties"": [""adjective""]
}",['adjective'],"{
  ""Properties"": [""adjective"", ""subordinate""]
}
  
 	","['adjective', 'subordinate']",False,"{
  ""Properties"": [""adjective"", ""subordinate""]
}

 	","['adjective', 'subordinate']","{
  ""Properties"": [""adjective"", ""subordinate""]
}

 	","['adjective', 'subordinate']","{
  ""Properties"": [""adjective"", ""subordinate""],
  ""Explanation"": ""The sentence contains a relative clause 'who commands a following of individuals' (adjective) and a subordinate clause 'he emphasized later' which suggests a causal connection.""
}","['adjective', 'subordinate']",1,"['adjective', 'subordinate']",1.0,0.0,gpt picked up the second clause but did not assing the right porperty,"['adjective','noun']",,subordinate,"{
  ""Answer"": ""no"",
  ""Explanation"": ""The given sentence does not contain any subordinate clauses. It is a complex sentence, but it does not contain a subordinate clause. The sentence is a series of coordinated independent clauses connected by coordinating conjunctions. There are no subordinating conjunctions or clauses that suggest a causal connection present in the sentence.""
}",[]
47,[0],"â€œI donâ€™t regard Louis Farrakhan as an aberration or anything, I regard him as an outstanding human being who commands a following of individuals who are learned and articulate and he plays a big role in the lives of thousands and thousands and thousands and thousands of people,â€ he emphasized later.",Modifying_clauses,['adjective'],['adjective'],['adjective'],True,[],"{
  ""Properties"": [""adjective"", ""subordinate""],
  ""Explanation"": ""The sentence contains an adjective clause 'who commands a following of individuals who are learned and articulate' providing additional detail about Louis Farrakhan. It also includes a subordinate clause 'he emphasized later' which gives contextual information about when the statement was emphasized.""
}","['adjective', 'subordinate']","{
  ""Properties"": [""adjective""]
}",['adjective'],"{
  ""Properties"": [""adjective"", ""subordinate""]
}
  
 	","['adjective', 'subordinate']",False,"{
  ""Properties"": [""adjective"", ""subordinate""]
}

 	","['adjective', 'subordinate']","{
  ""Properties"": [""adjective"", ""subordinate""]
}

 	","['adjective', 'subordinate']","{
  ""Properties"": [""adjective"", ""subordinate""],
  ""Explanation"": ""The sentence contains a relative clause 'who commands a following of individuals' (adjective) and a subordinate clause 'he emphasized later' which suggests a causal connection.""
}","['adjective', 'subordinate']",1,"['adjective', 'subordinate']",1.0,0.0,gpt picked up the second clause but did not assing the right porperty,"['adjective','noun']",,conditional,"{
  ""Answer"": ""no"",
  ""Explanation"": ""The given sentence does not contain any conditional clauses. A conditional clause typically starts with 'if' and presents a condition that must be met for the main clause to occur. The provided sentence does not contain any such clause, and therefore, it does not include any conditional clauses.""
}",[]
47,[0],"â€œI donâ€™t regard Louis Farrakhan as an aberration or anything, I regard him as an outstanding human being who commands a following of individuals who are learned and articulate and he plays a big role in the lives of thousands and thousands and thousands and thousands of people,â€ he emphasized later.",Modifying_clauses,['adjective'],['adjective'],['adjective'],True,[],"{
  ""Properties"": [""adjective"", ""subordinate""],
  ""Explanation"": ""The sentence contains an adjective clause 'who commands a following of individuals who are learned and articulate' providing additional detail about Louis Farrakhan. It also includes a subordinate clause 'he emphasized later' which gives contextual information about when the statement was emphasized.""
}","['adjective', 'subordinate']","{
  ""Properties"": [""adjective""]
}",['adjective'],"{
  ""Properties"": [""adjective"", ""subordinate""]
}
  
 	","['adjective', 'subordinate']",False,"{
  ""Properties"": [""adjective"", ""subordinate""]
}

 	","['adjective', 'subordinate']","{
  ""Properties"": [""adjective"", ""subordinate""]
}

 	","['adjective', 'subordinate']","{
  ""Properties"": [""adjective"", ""subordinate""],
  ""Explanation"": ""The sentence contains a relative clause 'who commands a following of individuals' (adjective) and a subordinate clause 'he emphasized later' which suggests a causal connection.""
}","['adjective', 'subordinate']",1,"['adjective', 'subordinate']",1.0,0.0,gpt picked up the second clause but did not assing the right porperty,"['adjective','noun']",,comparitive,"{
  ""Answer"": ""no"",
  ""Explanation"": ""The given sentence does not contain any comparative clauses. Comparative clauses typically involve a comparison between two or more items, using words like 'as' or 'than' to establish the comparison. The provided sentence does not include any such comparative constructions, focusing instead on describing Louis Farrakhan and his influence.""
}",[]
47,[0],"â€œI donâ€™t regard Louis Farrakhan as an aberration or anything, I regard him as an outstanding human being who commands a following of individuals who are learned and articulate and he plays a big role in the lives of thousands and thousands and thousands and thousands of people,â€ he emphasized later.",Modifying_clauses,['adjective'],['adjective'],['adjective'],True,[],"{
  ""Properties"": [""adjective"", ""subordinate""],
  ""Explanation"": ""The sentence contains an adjective clause 'who commands a following of individuals who are learned and articulate' providing additional detail about Louis Farrakhan. It also includes a subordinate clause 'he emphasized later' which gives contextual information about when the statement was emphasized.""
}","['adjective', 'subordinate']","{
  ""Properties"": [""adjective""]
}",['adjective'],"{
  ""Properties"": [""adjective"", ""subordinate""]
}
  
 	","['adjective', 'subordinate']",False,"{
  ""Properties"": [""adjective"", ""subordinate""]
}

 	","['adjective', 'subordinate']","{
  ""Properties"": [""adjective"", ""subordinate""]
}

 	","['adjective', 'subordinate']","{
  ""Properties"": [""adjective"", ""subordinate""],
  ""Explanation"": ""The sentence contains a relative clause 'who commands a following of individuals' (adjective) and a subordinate clause 'he emphasized later' which suggests a causal connection.""
}","['adjective', 'subordinate']",1,"['adjective', 'subordinate']",1.0,0.0,gpt picked up the second clause but did not assing the right porperty,"['adjective','noun']",,adjective,"{
  ""Answer"": ""Yes"",
  ""Explanation"": ""The given sentence contains an adjective clause. The phrase 'who are learned and articulate' is an adjective clause modifying the noun 'individuals'. It provides additional information about the individuals, and it is introduced by the relative pronoun 'who'. Therefore, the sentence contains an adjective clause.""
}",['adjective']
47,[0],"â€œI donâ€™t regard Louis Farrakhan as an aberration or anything, I regard him as an outstanding human being who commands a following of individuals who are learned and articulate and he plays a big role in the lives of thousands and thousands and thousands and thousands of people,â€ he emphasized later.",Modifying_clauses,['adjective'],['adjective'],['adjective'],True,[],"{
  ""Properties"": [""adjective"", ""subordinate""],
  ""Explanation"": ""The sentence contains an adjective clause 'who commands a following of individuals who are learned and articulate' providing additional detail about Louis Farrakhan. It also includes a subordinate clause 'he emphasized later' which gives contextual information about when the statement was emphasized.""
}","['adjective', 'subordinate']","{
  ""Properties"": [""adjective""]
}",['adjective'],"{
  ""Properties"": [""adjective"", ""subordinate""]
}
  
 	","['adjective', 'subordinate']",False,"{
  ""Properties"": [""adjective"", ""subordinate""]
}

 	","['adjective', 'subordinate']","{
  ""Properties"": [""adjective"", ""subordinate""]
}

 	","['adjective', 'subordinate']","{
  ""Properties"": [""adjective"", ""subordinate""],
  ""Explanation"": ""The sentence contains a relative clause 'who commands a following of individuals' (adjective) and a subordinate clause 'he emphasized later' which suggests a causal connection.""
}","['adjective', 'subordinate']",1,"['adjective', 'subordinate']",1.0,0.0,gpt picked up the second clause but did not assing the right porperty,"['adjective','noun']",,noun,"{
  ""Answer"": ""no"",
  ""Explanation"": ""The provided sentence does not contain any noun clauses. A noun clause functions as a noun within a sentence, often used for indirect speech, paraphrasing, or incorporating detail. In the given sentence, there are no clauses that function as a noun, but rather, it consists of a series of independent clauses and phrases.""
}",[]
68,[0],"I have read the Cardinal's exposition in both Italian and English, and I only find mention of the help of the sacraments in certain cases.",Modifying_clauses,[],[],[],True,[],"{
  ""Properties"": [""adjective""],
  ""Explanation"": ""The sentence contains a relative clause 'in both Italian and English' that provides additional detail about the Cardinal's exposition.""
}",['adjective'],"{
  ""Properties"": [""adjective""],
  ""Explanation"": ""The sentence includes a relative clause using 'in both Italian and English', which functions as an adjective phrase modifying 'exposition'.""
}",['adjective'],"{
  ""Properties"": [""comparitive"", ""subordinate"", ""adjective""],
  ""Explanation"": ""The sentence contains a comparative clause ('in both Italian and English') and a subordinate clause ('I only find mention of the help of the sacraments in certain cases'). Additionally, it includes an adjective clause ('in certain cases').""
}","['comparitive', 'subordinate', 'adjective']",False,"{
  ""Properties"": [""subordinate"", ""adjective""],
  ""Explanation"": ""The sentence contains a subordinate clause ('in both Italian and English') that suggests a causal connection, and an adjective clause ('in certain cases') providing additional detail.""
}","['subordinate', 'adjective']","{
  ""Properties"": [""comparitive""],
  ""Explanation"": ""The presence of the comparative clause 'in both Italian and English' indicates a comparison between the two languages.""
}",['comparitive'],"{
  ""Properties"": [""comparitive""],
  ""Explanation"": ""The presence of the comparative clause 'in both Italian and English' indicates a comparison between the two versions of the Cardinal's exposition.""
}",['comparitive'],0,['comparitive'],0.0,0.0,"gpt identifies wrong propety, and gpt attributes characteristics to sentence which are incorrect",['subordinate'],"cause: ""I have read.."", effect: ""I only fond...""",subordinate,"{
  ""Answer"": ""no"",
  ""Explanation"": ""The given sentence does not contain any subordinate clauses. It is a simple sentence with two independent clauses joined by the coordinating conjunction 'and'. There are no subordinating conjunctions or dependent clauses indicating a causal connection or subordination."" 
}",[]
68,[0],"I have read the Cardinal's exposition in both Italian and English, and I only find mention of the help of the sacraments in certain cases.",Modifying_clauses,[],[],[],True,[],"{
  ""Properties"": [""adjective""],
  ""Explanation"": ""The sentence contains a relative clause 'in both Italian and English' that provides additional detail about the Cardinal's exposition.""
}",['adjective'],"{
  ""Properties"": [""adjective""],
  ""Explanation"": ""The sentence includes a relative clause using 'in both Italian and English', which functions as an adjective phrase modifying 'exposition'.""
}",['adjective'],"{
  ""Properties"": [""comparitive"", ""subordinate"", ""adjective""],
  ""Explanation"": ""The sentence contains a comparative clause ('in both Italian and English') and a subordinate clause ('I only find mention of the help of the sacraments in certain cases'). Additionally, it includes an adjective clause ('in certain cases').""
}","['comparitive', 'subordinate', 'adjective']",False,"{
  ""Properties"": [""subordinate"", ""adjective""],
  ""Explanation"": ""The sentence contains a subordinate clause ('in both Italian and English') that suggests a causal connection, and an adjective clause ('in certain cases') providing additional detail.""
}","['subordinate', 'adjective']","{
  ""Properties"": [""comparitive""],
  ""Explanation"": ""The presence of the comparative clause 'in both Italian and English' indicates a comparison between the two languages.""
}",['comparitive'],"{
  ""Properties"": [""comparitive""],
  ""Explanation"": ""The presence of the comparative clause 'in both Italian and English' indicates a comparison between the two versions of the Cardinal's exposition.""
}",['comparitive'],0,['comparitive'],0.0,0.0,"gpt identifies wrong propety, and gpt attributes characteristics to sentence which are incorrect",['subordinate'],"cause: ""I have read.."", effect: ""I only fond...""",conditional,"{
  ""Answer"": ""no"",
  ""Explanation"": ""The given sentence does not contain any conditional clauses. A conditional clause typically begins with 'if' and expresses a condition upon which the main clause depends. The sentence provided does not contain the word 'if' or any other indicator of a conditional clause, so it does not contain any conditional clauses.""
}",[]
68,[0],"I have read the Cardinal's exposition in both Italian and English, and I only find mention of the help of the sacraments in certain cases.",Modifying_clauses,[],[],[],True,[],"{
  ""Properties"": [""adjective""],
  ""Explanation"": ""The sentence contains a relative clause 'in both Italian and English' that provides additional detail about the Cardinal's exposition.""
}",['adjective'],"{
  ""Properties"": [""adjective""],
  ""Explanation"": ""The sentence includes a relative clause using 'in both Italian and English', which functions as an adjective phrase modifying 'exposition'.""
}",['adjective'],"{
  ""Properties"": [""comparitive"", ""subordinate"", ""adjective""],
  ""Explanation"": ""The sentence contains a comparative clause ('in both Italian and English') and a subordinate clause ('I only find mention of the help of the sacraments in certain cases'). Additionally, it includes an adjective clause ('in certain cases').""
}","['comparitive', 'subordinate', 'adjective']",False,"{
  ""Properties"": [""subordinate"", ""adjective""],
  ""Explanation"": ""The sentence contains a subordinate clause ('in both Italian and English') that suggests a causal connection, and an adjective clause ('in certain cases') providing additional detail.""
}","['subordinate', 'adjective']","{
  ""Properties"": [""comparitive""],
  ""Explanation"": ""The presence of the comparative clause 'in both Italian and English' indicates a comparison between the two languages.""
}",['comparitive'],"{
  ""Properties"": [""comparitive""],
  ""Explanation"": ""The presence of the comparative clause 'in both Italian and English' indicates a comparison between the two versions of the Cardinal's exposition.""
}",['comparitive'],0,['comparitive'],0.0,0.0,"gpt identifies wrong propety, and gpt attributes characteristics to sentence which are incorrect",['subordinate'],"cause: ""I have read.."", effect: ""I only fond...""",comparitive,"{
  ""Answer"": ""no"",
  ""Explanation"": ""The given sentence does not contain any comparative clauses. Comparative clauses typically involve a comparison between two or more items, using words such as 'as' or 'than' to establish the comparison. The provided sentence does not include such a comparison, and therefore does not contain any comparative clauses."" 
}",[]
68,[0],"I have read the Cardinal's exposition in both Italian and English, and I only find mention of the help of the sacraments in certain cases.",Modifying_clauses,[],[],[],True,[],"{
  ""Properties"": [""adjective""],
  ""Explanation"": ""The sentence contains a relative clause 'in both Italian and English' that provides additional detail about the Cardinal's exposition.""
}",['adjective'],"{
  ""Properties"": [""adjective""],
  ""Explanation"": ""The sentence includes a relative clause using 'in both Italian and English', which functions as an adjective phrase modifying 'exposition'.""
}",['adjective'],"{
  ""Properties"": [""comparitive"", ""subordinate"", ""adjective""],
  ""Explanation"": ""The sentence contains a comparative clause ('in both Italian and English') and a subordinate clause ('I only find mention of the help of the sacraments in certain cases'). Additionally, it includes an adjective clause ('in certain cases').""
}","['comparitive', 'subordinate', 'adjective']",False,"{
  ""Properties"": [""subordinate"", ""adjective""],
  ""Explanation"": ""The sentence contains a subordinate clause ('in both Italian and English') that suggests a causal connection, and an adjective clause ('in certain cases') providing additional detail.""
}","['subordinate', 'adjective']","{
  ""Properties"": [""comparitive""],
  ""Explanation"": ""The presence of the comparative clause 'in both Italian and English' indicates a comparison between the two languages.""
}",['comparitive'],"{
  ""Properties"": [""comparitive""],
  ""Explanation"": ""The presence of the comparative clause 'in both Italian and English' indicates a comparison between the two versions of the Cardinal's exposition.""
}",['comparitive'],0,['comparitive'],0.0,0.0,"gpt identifies wrong propety, and gpt attributes characteristics to sentence which are incorrect",['subordinate'],"cause: ""I have read.."", effect: ""I only fond...""",adjective,"{
  ""Answer"": ""no"",
  ""Explanation"": ""The given sentence does not contain any adjective clauses. An adjective clause provides more information about a noun or pronoun in the sentence. In the given sentence, there are no relative pronouns such as 'who', 'whom', 'that', or 'which' introducing a clause that modifies a noun. Therefore, there are no adjective clauses present in the sentence.""
}",[]
68,[0],"I have read the Cardinal's exposition in both Italian and English, and I only find mention of the help of the sacraments in certain cases.",Modifying_clauses,[],[],[],True,[],"{
  ""Properties"": [""adjective""],
  ""Explanation"": ""The sentence contains a relative clause 'in both Italian and English' that provides additional detail about the Cardinal's exposition.""
}",['adjective'],"{
  ""Properties"": [""adjective""],
  ""Explanation"": ""The sentence includes a relative clause using 'in both Italian and English', which functions as an adjective phrase modifying 'exposition'.""
}",['adjective'],"{
  ""Properties"": [""comparitive"", ""subordinate"", ""adjective""],
  ""Explanation"": ""The sentence contains a comparative clause ('in both Italian and English') and a subordinate clause ('I only find mention of the help of the sacraments in certain cases'). Additionally, it includes an adjective clause ('in certain cases').""
}","['comparitive', 'subordinate', 'adjective']",False,"{
  ""Properties"": [""subordinate"", ""adjective""],
  ""Explanation"": ""The sentence contains a subordinate clause ('in both Italian and English') that suggests a causal connection, and an adjective clause ('in certain cases') providing additional detail.""
}","['subordinate', 'adjective']","{
  ""Properties"": [""comparitive""],
  ""Explanation"": ""The presence of the comparative clause 'in both Italian and English' indicates a comparison between the two languages.""
}",['comparitive'],"{
  ""Properties"": [""comparitive""],
  ""Explanation"": ""The presence of the comparative clause 'in both Italian and English' indicates a comparison between the two versions of the Cardinal's exposition.""
}",['comparitive'],0,['comparitive'],0.0,0.0,"gpt identifies wrong propety, and gpt attributes characteristics to sentence which are incorrect",['subordinate'],"cause: ""I have read.."", effect: ""I only fond...""",noun,"{
  ""Answer"": ""no"",
  ""Explanation"": ""The given sentence does not contain any noun clauses. A noun clause functions as a noun within a sentence, typically serving as the subject or object of a verb. In the provided sentence, there are no clauses that function as a noun, as the sentence does not contain a clause serving as a subject or object within the sentence.""
}",[]
