sentence_id,technique,text,feature_id,props_a20,props_a21,props_a22,res1_x,gpt_props1_x,res2_x,gpt_props2_x,res3_x,gpt_props3_x,props_a_majority,props_gpt_majority,ann_gpt_agreemnt,props_gpt4_majority,res1_y,gpt_props1_y,res2_y,gpt_props2_y,res3_y,gpt_props3_y
4,[0 8 9],"Muhammad advises the same thing, according to the tradition of the Muslim doctors: wherefore the great Temur always strove to exterminate the infidels, as much to acquire that glory, as to signalise himself by the greatness of his conquests.”",Tense,"['progression', 'past', 'present']",['progression'],"['past', 'present']","{
  ""Properties"": [""present"", ""progression""],
  ""Explanation"": ""The use of 'advises' and 'stroves' indicate present tense, and the change from 'stroves' to 'acquire' and 'signalise' creates a progression of tenses for effect.""
}","['present', 'progression']","{
  ""Properties"": [""present"", ""progression""],
  ""Explanation"": ""The use of 'advises' and 'strove' indicates present and past tense, and the changing tense in the middle of the sentence for effect demonstrates progression.""
}","['present', 'progression']","{
  ""Properties"": [""present"", ""progression""],
  ""Explanation"": ""The use of 'advises' and 'strove' indicate present and past tenses, and the change in tenses within the sentence creates a progression effect.""
}","['present', 'progression']","['progression', 'past', 'present']","['present', 'progression']",0,[],"{
  ""Properties"": [""past""],
  ""Explanation"": ""The verb 'advises' is in the present tense, but the rest of the passage is in the past tense, indicating that the action has already happened.""
}",['past'],"{
  ""Properties"": [""past""],
  ""Explanation"": ""The text uses the past tense to express something that already happened, referring to the actions of Temur in the past.""
}",['past'],"{
  ""Properties"": [""past""],
  ""Explanation"": ""The text uses the past tense to express something that has already happened, as in 'the great Temur always strove to exterminate the infidels.'""
}",['past']
11,[0 8],"We are simply asked to take the pope’s word for it, but given that it follows his astoundingly brazen lie that there was no evidence for Ricca’s homosexual activity in the first place, we can take the assurance for what it seems to be worth.",Tense,"['past', 'present']",['progression'],['progression'],"{
  ""Properties"": [""present"", ""progression""],
  ""Explanation"": ""The present tense is used for immediacy effect, and the progression of changing tense in the middle of a sentence is used for emphasis.""
}","['present', 'progression']","{
  ""Properties"": [""present"", ""progression""],
  ""Explanation"": ""The text uses present tense for immediacy effect and also changes tense in the middle of a sentence for effect.""
}","['present', 'progression']","{
  ""Properties"": [""present"", ""progression""],
  ""Explanation"": ""The text uses the present tense to emphasize the immediacy of the situation and to draw attention to the action, and it also changes tense in the middle of the sentence for effect.""
}","['present', 'progression']",['progression'],"['present', 'progression']",0,[],"{
  ""Properties"": [""past"", ""progression""],
  ""Explanation"": ""The text uses the past tense to indicate that the pope's lie already happened, and it also changes tense in the middle of a sentence for effect.""
}","['past', 'progression']","{
  ""Properties"": [""past""],
  ""Explanation"": ""The example text uses the past tense to express something that already happened ('...given that it follows his astoundingly brazen lie...')."" 
}",['past'],"{
  ""Properties"": [""past""],
  ""Explanation"": ""The example text uses the past tense to describe actions or events that have already happened.""
}",['past']
14,[0],Conservative Ben Shapiro told Fox news the verdict was “horrifying.,Tense,['past'],['past'],['past'],"{
  ""Properties"": [""past""],
  ""Explanation"": ""The sentence 'told' indicates that the action has already happened, placing it in the past tense.""
}",['past'],"{
  ""Properties"": [""past""],
  ""Explanation"": ""The verb 'told' indicates that the action has already happened, placing it in the past tense.""
}",['past'],"{
  ""Properties"": [""past""],
  ""Explanation"": ""The verb 'told' indicates that the action has already happened, placing the statement in the past tense.""
}",['past'],['past'],['past'],1,[],"{
  ""Properties"": [""present""],
  ""Explanation"": ""The present tense 'told' is used in the reporting of a recent event to create immediacy and emphasize the action.""
}",['present'],"{
  ""Properties"": [""past""],
  ""Explanation"": ""The use of the past tense 'was' indicates that the action of delivering the verdict had already happened.""
}",['past'],"{
  ""Properties"": [""present""]
}",['present']
16,[0],"According to Breitbart, “Sellner, who described the detention centre as looking akin to a typical American prison, said he was told by authorities that his speaking at Hyde Park could cause violence and disrupt community cohesion.”",Tense,['past'],['past'],['past'],"{
  ""Properties"": [""present"", ""past""],
  ""Explanation"": ""The use of 'according', 'described', and 'said' indicate present and past tense in the text.""
}","['present', 'past']","```json
        {
            ""Properties"": [""present"", ""past""],
            ""Explanation"": ""The text contains present tense ('described', 'said') for immediacy and past tense ('was told') to indicate something that has already happened.""
        }
```","['present', 'past']","{
  ""Properties"": [""present"", ""past""],
  ""Explanation"": ""The example text contains the use of present tense ('described', 'could cause') and past tense ('was told').""
}","['present', 'past']",['past'],"['present', 'past']",0,[],"{
  ""Properties"": [""present"", ""past""],
  ""Explanation"": ""The sentence contains the use of present tense in 'could cause violence' and past tense in 'was told'.""
}","['present', 'past']","{
  ""Properties"": [""present"", ""past""],
  ""Explanation"": ""The text contains 'described' (past) and 'could cause' (present), indicating the use of both past and present tense.""
}","['present', 'past']","{
  ""Properties"": [""present"", ""past""],
  ""Explanation"": ""The text uses the past tense 'described' and 'was told', and also the present tense 'could cause' for immediacy effect.""
}","['present', 'past']"
23,[0],"“This is a clear violation of the Senate Ethics rules which safeguard against the appearance or actuality of elected officials ‘cashing in’ on their official position for political purposes,” said Kendra Arnold, executive director of FACT.",Tense,"['past', 'present']",['progression'],"['past', 'present']","{
  ""Properties"": [""present""],
  ""Explanation"": ""The example text uses the present tense to emphasize the immediate impact and relevance of the statement.""
}",['present'],"```json
{
  ""Properties"": [""present""],
  ""Explanation"": ""The text uses the present tense to emphasize the current relevance of the violation of Senate Ethics rules.""
}
```",['present'],"{
  ""Properties"": [""present""],
  ""Explanation"": ""The use of 'is' in 'This is a clear violation' indicates present tense, emphasizing the current situation.""
}",['present'],"['past', 'present']",['present'],0,[],"{
  ""Properties"": [""present""],
  ""Explanation"": ""The text uses present tense to emphasize the immediacy and ongoing nature of the statement made by Kendra Arnold.""
}",['present'],"{
  ""Properties"": [""present"", ""progression""],
  ""Explanation"": ""The use of present tense in the quote emphasizes the immediacy and relevance of the violation. Additionally, the shift from 'is' in 'This is' to 'safeguard' in 'which safeguard' creates a tense progression for rhetorical effect.""
}","['present', 'progression']","{
  ""Properties"": [
    ""present"",
    ""progression""
  ],
  ""Explanation"": ""The use of 'is' highlights immediacy, and the shift from 'is' to 'said' in the same sentence creates a progression effect.""
}","['present', 'progression']"
32,[0 6],Cardinal Raymond Burke’s statement declares: “The declarations made by a prelate of the authority of Archbishop Carlo Maria Viganò must be totally taken to heart by those responsible in the Church.”,Tense,"['past', 'present']",['present'],"['past', 'present']","{
  ""Properties"": [""present""],
  ""Explanation"": ""The use of present tense in the headline suggests immediacy and emphasizes the action declared by Cardinal Raymond Burke.""
}",['present'],"{
  ""Properties"": [""present""],
  ""Explanation"": ""The use of 'declares' emphasizes the immediacy and importance of Cardinal Burke's statement.""
}",['present'],"{
  ""Properties"": [""present""],
  ""Explanation"": ""The verb 'declares' is in the present tense, emphasizing the immediacy of the statement being made.""
}",['present'],"['past', 'present']",['present'],0,[],"{
  ""Properties"": [""present""],
  ""Explanation"": ""The use of 'must be' in the statement 'must be totally taken to heart' indicates the use of present tense for immediacy effect.""
}",['present'],"{
  ""Properties"": [""present""],
  ""Explanation"": ""The use of the present tense 'declares' in the sentence gives it immediacy and emphasis, often used in news text to convey the latest information or to highlight an action.""
}",['present'],"{
  ""Properties"": [""present""],
  ""Explanation"": ""The use of the present tense 'declares' in the text emphasizes the immediacy of Cardinal Burke's statement, adding important and recent information.""
}",['present']
43,[0],"As a former trial lawyer, I can tell you that while neither notes nor memories are infallible, in a contest between contemporaneous notes and later verbal testimony about those notes, the content of the written notes usually prevails.",Tense,['present'],['present'],"['progression', 'past']","{
  ""Properties"": [""present"", ""progression""],
  ""Explanation"": ""The use of 'can tell' and 'prevails' indicates the use of present tense for immediacy effect. The shift from 'are' to 'prevails' in the middle of the sentence creates a progression to emphasize the contrast.""
}","['present', 'progression']","{
    ""Properties"": [""past"", ""progression""],
    ""Explanation"": ""The example text uses the past tense to express something that already happened. It also changes tense in the middle of a sentence for effect, switching from past to present tense ('I can tell you')""
}","['past', 'progression']","{
  ""Properties"": [""past""],
  ""Explanation"": ""The example text uses the past tense to express something that has already happened.""
}",['past'],['present'],"['present', 'progression']",0,[],"{
  ""Properties"": [""present"", ""progression""],
  ""Explanation"": ""The sentence uses the present tense to convey a general truth ('neither notes nor memories are infallible'), and then switches to the present tense for a hypothetical scenario ('in a contest between...'). This change in tense is used for rhetorical effect, demonstrating the contrast between the two situations.""
}","['present', 'progression']","{
  ""Properties"": [""present""],
  ""Explanation"": ""The use of 'are' and 'prevails' indicates the use of present tense, which is often used to provide immediacy and emphasize an action in written text.""
}",['present'],"{
  ""Properties"": [""present""],
  ""Explanation"": ""The text uses the present tense to emphasize a general truth or fact. It conveys a sense of immediacy and relevance to the reader.""
}",['present']
47,[0],"“I don’t regard Louis Farrakhan as an aberration or anything, I regard him as an outstanding human being who commands a following of individuals who are learned and articulate and he plays a big role in the lives of thousands and thousands and thousands and thousands of people,” he emphasized later.",Tense,"['past', 'present']",['progression'],"['past', 'present']","{
  ""Properties"": [""present"", ""progression""],
  ""Explanation"": ""The use of present tense in 'I don’t regard' and 'he emphasizes later', and the change from past tense to present tense in 'I regard him as an outstanding human being...'""
}","['present', 'progression']","{
  ""Properties"": [""present"", ""progression""],
  ""Explanation"": ""The text uses present tense for immediacy effect and progression to change tense in the middle of a sentence for effect.""
}","['present', 'progression']","{
  ""Properties"": [""present"", ""progression""],
  ""Explanation"": ""The use of 'I don't regard' and 'he emphasizes later' indicate the present tense. The changing tense in the middle of the sentence 'I don’t regard Louis Farrakhan as an aberration...he emphasized later' is used for effect, demonstrating the progression of the speaker's thoughts.""
}","['present', 'progression']","['past', 'present']","['present', 'progression']",0,[],"{
  ""Properties"": [""present""],
  ""Explanation"": ""The use of 'commands' and 'plays' in the present tense emphasizes the ongoing nature of Louis Farrakhan's influence.""
}",['present'],"{
  ""Properties"": [""present""],
  ""Explanation"": ""The example uses present tense to create an immediacy effect, as the speaker emphasizes his view on Louis Farrakhan.""
}",['present'],"{
  ""Properties"": [""present""],
  ""Explanation"": ""The use of 'commands', 'are', and 'plays' indicates the use of present tense to emphasize the actions and characteristics of Louis Farrakhan.""
}",['present']
50,[0],"John Hancock, the first signer of the Declaration of Independence, said,",Tense,['past'],['past'],['past'],timeout,[],"{
  ""Properties"": [""past""],
  ""Explanation"": ""The use of 'said' indicates past tense, expressing something that already happened.""
}",['past'],"{
    ""Properties"": [""past""],
    ""Explanation"": ""The use of 'said' indicates that the action of speaking already happened in the past.""
}",['past'],['past'],['past'],1,[],"{
  ""Properties"": [""past""],
  ""Explanation"": ""The sentence uses the past tense to describe an action that has already happened.""
}",['past'],"{
  ""Properties"": [""past""],
  ""Explanation"": ""The use of 'said' indicates that the text is written in the past tense, expressing something that already happened.""
}",['past'],"{
  ""Properties"": [""past""],
  ""Explanation"": ""The text uses the past tense to indicate that John Hancock made a statement in the past.""
}",['past']
54,[0],"She said Thursday regarding Ms. Ford: ""I believe her because she is telling the truth and you know it by her story.""",Tense,"['past', 'present']",['past'],"['progression', 'past', 'present']","{
  ""Properties"": [""present"", ""progression""],
  ""Explanation"": ""The use of 'said' and 'believe' indicate present tense, while the change from 'is telling' to 'you know' indicates a change in tense for effect.""
}","['present', 'progression']","{
  ""Properties"": [""past""],
  ""Explanation"": ""The example text uses the past tense to indicate that the statement was made on a specific day in the past.""
}",['past'],"{
  ""Properties"": [""past""],
  ""Explanation"": ""The example text uses the past tense to express something that has already happened.""
}",['past'],"['past', 'present']",['past'],0,[],"{
  ""Properties"": [""present"", ""progression""],
  ""Explanation"": ""The use of 'said' indicates the past tense, but the phrase 'I believe her' and 'you know it by her story' are in present tense, which creates a sense of immediacy and emphasizes the belief in the present moment. This is an example of changing tense in the middle of a sentence for effect.""
}","['present', 'progression']","{
  ""Properties"": [
    ""present""
  ],
  ""Explanation"": ""The use of present tense 'believe' and 'is telling' creates immediacy and emphasizes the action in the reported speech.""
}",['present'],"{
  ""Properties"": [""present"", ""progression""],
  ""Explanation"": ""The sentence contains the use of the present tense in the reported speech 'She said' for immediacy effect, and a change in tense from present to past in 'she is telling' to 'you know it by her story' for effect.""
}","['present', 'progression']"
