,sentence_id,technique,text,feature_id,props_a20,props_a21,props_a22,annotator_consitency,props_gpt4_majority,res_1.0_1,gpt_props_1.0_1,res_1.0_2,gpt_props_1.0_2,res_1.0_3,gpt_props_1.0_3,gpt3.5_1.0_consistency,res_0.2_1,gpt_props_0.2_1,res_0.2_2,gpt_props_0.2_2,res_0.2_3,gpt_props_0.2_3,gpt3.5_0.2_consistency
8,50,[0],"John Hancock, the first signer of the Declaration of Independence, said,",Series,[],[],['asyndenton'],False,[],"{
  ""Properties"": [""asyndeton""],
  ""Explanation"": ""The text uses asyndeton, as it lists items without using any conjunctions.""
}",['asyndenton'],"{
  ""Properties"": [
    ""asyndenton""
  ],
  ""Explanation"": ""The use of the statement 'John Hancock, the first signer of the Declaration of Independence, said,' without any conjunctions when listing the roles of John Hancock demonstrates the use of asyndenton.""
}",['asyndenton'],"{
  ""Properties"": [""bracketing""],
  ""Explanation"": ""The use of 'the first signer of the Declaration of Independence' implicitly brackets John Hancock with other signers of the Declaration of Independence.""
}",['bracketing'],False,"{
  ""Properties"": [""asyndenton""],
  ""Explanation"": ""The text uses asyndenton by listing items without using any conjunctions.""
}",['asyndenton'],"{
  ""Properties"": [""asyndenton""],
  ""Explanation"": ""The text uses asyndenton by listing items without using any conjunctions.""
}",['asyndenton'],"{
  ""Properties"": [""asyndeton""],
  ""Explanation"": ""The text uses asyndeton by listing items without using any conjunctions.""
}",['asyndenton'],1
17,143,[9 1 8],"Sagacious gun owners have always known that the ultimate goal of gun control extremists such as Chuck Schumer, Nancy Pelosi, Dianne Feinstein, et al., has always been gun confiscation.",Series,['bracketing'],['bracketing'],['bracketing'],True,[],"{
  ""Properties"": [
    ""bracketing""
  ],
  ""Explanation"": ""The use of 'et al.' brackets Chuck Schumer, Nancy Pelosi, and Dianne Feinstein together as gun control extremists.""
}",['bracketing'],"{
  ""Properties"": [""bracketing""],
  ""Explanation"": ""The use of et al. implicitly lumps Chuck Schumer, Nancy Pelosi, and Dianne Feinstein into the category of gun control extremists along with others.""
}",['bracketing'],"{
  ""Properties"": [""bracketing""],
  ""Explanation"": ""The use of 'such as' implicitly groups Chuck Schumer, Nancy Pelosi, Dianne Feinstein, and others together as examples of 'gun control extremists.'""
}",['bracketing'],True,"{
  ""Properties"": [""bracketing""],
  ""Explanation"": ""The use of 'such as' implicitly lumps Chuck Schumer, Nancy Pelosi, Dianne Feinstein, et al. into the category of 'gun control extremists'.""
}",['bracketing'],"{
  ""Properties"": [""bracketing""],
  ""Explanation"": ""The use of 'such as' implicitly lumps Chuck Schumer, Nancy Pelosi, Dianne Feinstein, and others into the category of 'gun control extremists'.""
}",['bracketing'],"{
  ""Properties"": [""bracketing""],
  ""Explanation"": ""The use of 'et al.' implicitly lumps Chuck Schumer, Nancy Pelosi, and Dianne Feinstein into the same category of gun control extremists.""
}",['bracketing'],1
24,214,[1],"""One woman (was) screaming through my door that I should be killed and I should die,"" he told reporters at Friday's news conference.",Series,[],['polysyndenton'],[],False,[],"{
  ""Properties"": [""asyndenton""],
  ""Explanation"": ""The use of consecutive 'and' or 'or' is not present, indicating the use of asyndenton.""
}",['asyndenton'],"{
  ""Properties"": [
    ""asyndenton""
  ],
  ""Explanation"": ""The sentence uses asyndenton by listing the two threatening statements without any conjunctions between them.""
}",['asyndenton'],"{
  ""Properties"": [""polysyndenton""],
  ""Explanation"": ""The use of 'and' between 'be killed' and 'I should die' indicates the use of polysyndenton in this sentence.""
}",['polysyndenton'],False,"{
  ""Properties"": [""asyndenton""],
  ""Explanation"": ""The use of 'and' is omitted when listing the actions of the woman, creating an asyndeton.""
}",['asyndenton'],"{
  ""Properties"": [""asyndenton""],
  ""Explanation"": ""The sentence uses asyndenton by listing the items 'I should be killed' and 'I should die' without any conjunctions.""
}",['asyndenton'],"{
  ""Properties"": [""asyndenton""],
  ""Explanation"": ""The use of 'and' is omitted when listing the threats, creating an asyndeton.""
}",['asyndenton'],1
27,243,[2 6],Women everywhere should be furious.,Series,[],[],[],True,[],"{
  ""Properties"": [""asyndeton""],
  ""Explanation"": ""The sentence uses asyndeton by listing items without using any conjunctions.""
}",['asyndenton'],"{
  ""Properties"": [""asyndeton""],
  ""Explanation"": ""The text uses asyndeton by listing a single item ('Women everywhere') without conjunctions.""
}",['asyndenton'],"{
  ""Properties"": [""asyndeton""],
  ""Explanation"": ""The sentence uses asyndeton by listing items (women) without using any conjunctions.""
}",['asyndenton'],True,"{
  ""Properties"": [""asyndeton""],
  ""Explanation"": ""The sentence uses asyndeton by listing items without any conjunctions.""
}",['asyndenton'],"{
  ""Properties"": [""asyndenton""],
  ""Explanation"": ""The sentence uses asyndenton by listing items without any conjunctions.""
}",['asyndenton'],"{
  ""Properties"": [""asyndenton""],
  ""Explanation"": ""The sentence uses asyndenton by listing items without any conjunctions.""
}",['asyndenton'],1
28,244,[2],"Why not, one could say, since the Church is ready to bless nearly everything on the earth?",Series,[],[],[],True,[],"{
  ""Properties"": [""asyndenton""],
  ""Explanation"": ""The sentence uses a series of phrases without using any conjunctions, creating a sense of immediacy and directness.""
}",['asyndenton'],"{
  ""Properties"": [""asyndenton""],
  ""Explanation"": ""The use of 'since' in the sentence indicates a cause-effect relationship, suggesting an asyndeton.""
}",['asyndenton'],"{
  ""Properties"": [""asyndenton""],
  ""Explanation"": ""The use of 'why not' followed by a list of clauses without any conjunctions ('one could say' and 'since the Church is ready to bless nearly everything on the earth') is an example of asyndeton.""
}",['asyndenton'],True,"{
  ""Properties"": [""asyndenton""],
  ""Explanation"": ""The sentence uses asyndenton by listing items without any conjunctions.""
}",['asyndenton'],"{
  ""Properties"": [""asyndenton""],
  ""Explanation"": ""The sentence uses asyndenton by listing items without using any conjunctions.""
}",['asyndenton'],"{
  ""Properties"": [""asyndenton""],
  ""Explanation"": ""The sentence uses asyndenton by listing items without any conjunctions, creating a sense of urgency or immediacy.""
}",['asyndenton'],1
29,245,[2],"I am sure there are many many others, too, who think alike, but whom I do not know.",Series,[],[],[],True,[],"{
  ""Properties"": [""polysyndeton""],
  ""Explanation"": ""The use of multiple 'and' conjunctions in the phrase 'many many others, too, who think alike, but whom I do not know' suggests a listing of unspecified items, indicating polysyndeton.""
}",['polysyndenton'],"{
  ""Properties"": [""asyndenton""],
  ""Explanation"": ""The sentence uses asyndenton by listing items without using any conjunctions like 'and' or 'but.'""
}",['asyndenton'],"{
  ""Properties"": [""asyndenton""],
  ""Explanation"": ""The use of the structure 'many many others, too' without any conjunctions like 'and' or 'or' fits the definition of asyndeton, the omission of conjunctions.""
}",['asyndenton'],False,"{
  ""Properties"": [""asyndenton""],
  ""Explanation"": ""The sentence uses asyndenton by listing items without using any conjunctions.""
}",['asyndenton'],"{
  ""Properties"": [""asyndenton""],
  ""Explanation"": ""The use of 'many many others, too' without any conjunctions between the items indicates the use of asyndenton.""
}",['asyndenton'],"{
  ""Properties"": [""asyndeton""],
  ""Explanation"": ""The sentence uses asyndeton by listing items without using any conjunctions.""
}",['asyndenton'],1
30,247,[13  2],"“But it is extremely dangerous as the head of the Catholic Church — you know, the last appeal — that this is the kind of behavior that is going to be mimicked around the world by bishops, [who will say] ‘Well if the Pope is not going to intervene and impose zero tolerance, why should I?’”",Series,[],[],[],True,[],"{
  ""Properties"": [
    ""polysyndenton""
  ],
  ""Explanation"": ""The use of the conjunction 'and' between 'intervene' and 'impose' qualifies as polysyndenton.""
}",['polysyndenton'],"{
  ""Properties"": [""bracketing""],
  ""Explanation"": ""The mention of 'bishops' implicitly lumps them into the same category as the head of the Catholic Church, creating a bracketing effect.""
}",['bracketing'],"{
  ""Properties"": [""polysyndenton""],
  ""Explanation"": ""The use of 'and' between 'bishops' and the quoted speech creates a polysyndenton in the sentence.""
}",['polysyndenton'],False,"{
  ""Properties"": [""polysyndeton""],
  ""Explanation"": ""The use of the conjunction 'and' between 'bishops' and the quoted statement creates a polysyndeton in the text.""
}",['polysyndenton'],"{
  ""Properties"": [""polysyndenton""],
  ""Explanation"": ""The use of the conjunction 'and' between 'bishops' and the quoted statement creates a polysyndeton, indicating a continuation of the list of potential mimicked behaviors.""
}",['polysyndenton'],"{
  ""Properties"": [""polysyndenton""],
  ""Explanation"": ""The use of the conjunction 'and' between 'bishops' and the quoted statement 'Well if the Pope is not going to intervene and impose zero tolerance, why should I?' demonstrates polysyndenton.""
}",['polysyndenton'],1
31,249,[2],"Although the claims are intriguing, it is important to remember that after virtually every terror attack and mass shooting, friends and neighbors express shock that the culprit would be capable of carrying out such horrors, with some outright denying it to be possible.",Series,[],[],[],True,[],"{
  ""Properties"": [""bracketing""],
  ""Explanation"": ""The use of 'friends and neighbors' implicitly brackets them together, suggesting that they are part of a collective group with similar reactions.""
}",['bracketing'],"{
  ""Properties"": [""asyndenton""],
  ""Explanation"": ""The sentence lists items without using any conjunctions, fitting the definition of asyndeton.""
}",['asyndenton'],"{
  ""Properties"": [""polysyndenton""],
  ""Explanation"": ""The use of the conjunction 'and' between 'friends' and 'neighbors' suggests polysyndenton.""
}",['polysyndenton'],False,"{
  ""Properties"": [""polysyndenton""],
  ""Explanation"": ""The use of the conjunction 'and' between 'terror attack' and 'mass shooting' exhibits the polysyndenton property.""
}",['polysyndenton'],"{
  ""Properties"": [""asyndenton""],
  ""Explanation"": ""The sentence uses asyndenton by listing items without any conjunctions, creating a sense of urgency and directness.""
}",['asyndenton'],"{
  ""Properties"": [""polysyndenton""],
  ""Explanation"": ""The use of the conjunction 'and' between 'friends', 'neighbors', and 'shock' suggests the presence of polysyndenton in the text.""
}",['polysyndenton'],0
32,253,[3 8],Either that or they can go whine to the New York Times some more because the Jewish community won't let them burn crosses on their lawn.,Series,[],[],[],True,[],"{
  ""Properties"": [""asyndeton""],
  ""Explanation"": ""The sentence uses an asyndeton to list potential actions without any conjunctions between them.""
}",['asyndenton'],"{
  ""Properties"": [""asyndenton""],
  ""Explanation"": ""The sentence uses asyndenton by listing items without using any conjunctions.""
}",['asyndenton'],"{
  ""Properties"": [""asyndenton""],
  ""Explanation"": ""The text uses asyndenton to list the actions 'go whine' and 'burn crosses.'""
}",['asyndenton'],True,"{
  ""Properties"": [""asyndenton""],
  ""Explanation"": ""The sentence uses a series of actions ('go whine', 'burn crosses', 'on their lawn') without any conjunctions, which is an example of asyndenton.""
}",['asyndenton'],"{
  ""Properties"": [""asyndenton""],
  ""Explanation"": ""The sentence uses asyndenton by listing items without any conjunctions.""
}",['asyndenton'],"{
  ""Properties"": [""asyndenton""],
  ""Explanation"": ""The sentence uses a series of actions without any conjunctions, creating a sense of urgency and directness.""
}",['asyndenton'],1
33,258,[3 7],"The American Medical Association (AMA) should seriously consider changing their names since they are about as anti-American as it comes in their new demands for gun confiscation measures, which include guns and ammunition confiscation, as well as universal gun registration.",Series,[],[],[],True,[],"{
  ""Properties"": [""asyndeton""],
  ""Explanation"": ""The sentence uses asyndeton by listing items (gun confiscation measures, guns and ammunition confiscation, universal gun registration) without any conjunctions.""
}",['asyndenton'],"{
  ""Properties"": [
    ""polysyndenton""
  ],
  ""Explanation"": ""The use of the conjunction 'and' between 'guns and ammunition confiscation', 'as well as', and 'universal gun registration' makes it polysyndenton.""
}",['polysyndenton'],"{
  ""Properties"": [""polysyndeton""],
  ""Explanation"": ""The use of 'and' between each item in the list ('guns and ammunition confiscation, as well as universal gun registration') indicates the presence of polysyndeton.""
}",['polysyndenton'],False,"{
  ""Properties"": [""asyndenton""],
  ""Explanation"": ""The sentence uses asyndenton by listing the demands for gun confiscation measures without using any conjunctions between them.""
}",['asyndenton'],"{
  ""Properties"": [""asyndeton""],
  ""Explanation"": ""The use of 'and' is omitted when listing the gun confiscation measures, creating an asyndeton.""
}",['asyndenton'],"{
  ""Properties"": [""polysyndenton""],
  ""Explanation"": ""The sentence uses the conjunction 'and' between 'guns and ammunition confiscation' and 'universal gun registration', indicating the use of polysyndeton.""
}",['polysyndenton'],0
