sentence_id,technique,text,feature_id,props_a20,props_a21,props_a22,annotator_consistency,props_gpt4_majority,res_1.0_1,gpt_props_1.0_1,res_1.0_2,gpt_props_1.0_2,res_1.0_3,gpt_props_1.0_3,gpt3.5_1.0_consistency,res_0.2_1,gpt_props_0.2_1,res_0.2_2,gpt_props_0.2_2,res_0.2_3,gpt_props_0.2_3,gpt3.5_0.2_consistency,gpt3.5_0.2_majority,humans isCorrect,gpt isCorrect,comments,ground truth,res_FT_Maj_gpt3.5_0.0_V3_2,property_FT_Maj_gpt3.5_0.0_V3_2
83,[1],"A dark, impenetrable and “irreversible” winter of persecution of the faithful by their own shepherds will fall.",Mood,['indicative'],['exclamatory'],[],False,[],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The sentence expresses a simple statement of a fact or opinion about a future event, indicating the use of indicative mood.""
}",['indicative'],"{
  ""Properties"": [""subjunctive""],
  ""Explanation"": ""The use of 'will fall' expresses what is imagined or hypothetical, indicating a mood of possibility, making it subjunctive.""
}",['subjunctive'],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The sentence expresses a statement of fact regarding the future persecution of the faithful, using the indicative mood.""
}",['indicative'],False,"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The sentence expresses a simple statement of fact or opinion about a future event, indicating the likelihood of a dark and irreversible winter of persecution.""
}",['indicative'],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The sentence expresses a simple statement of a fact or opinion, indicating the prediction of a dark and irreversible winter of persecution.""
}",['indicative'],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The sentence expresses a simple statement of a fact or opinion about the future, indicating the likelihood of a dark and irreversible winter of persecution.""
}",['indicative'],1,['indicative'],0,1,,['indicative'],"[{'Answer': 'yes', 'Property': 'indicative'}, {'Answer': 'no', 'Property': 'subjunctive'}, {'Answer': 'no', 'Property': 'exclamatory'}, {'Answer': 'no', 'Property': 'interrogative'}, {'Answer': 'no', 'Property': 'imperative'}, {'Answer': 'no', 'Property': 'optative'}]",['indicative']
127,[1],"I have seen a veritable chorus of Catholics on social media declaring that if Paul VI is canonised, their loss of faith in the Church as an institution will be complete.",Mood,['indicative'],['indicative'],[],False,[],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The example uses the indicative mood to express a simple statement of fact or opinion.""
}",['indicative'],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The text is expressing a simple statement of fact or opinion about the beliefs of some Catholics on social media.""
}",['indicative'],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The example text uses the indicative mood to express a simple statement of fact or opinion.""
}",['indicative'],True,"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The text uses the indicative mood to express a simple statement of fact or opinion about the beliefs of Catholics on social media.""
}",['indicative'],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The sentence expresses a simple statement of fact or opinion about the beliefs of a group of Catholics on social media.""
}",['indicative'],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The sentence expresses a simple statement of fact or opinion about the beliefs of some Catholics on social media.""
}",['indicative'],1,['indicative'],1,1,,['indicative'],"[{'Answer': '{', 'Property': 'indicative'}, {'Answer': 'no', 'Property': 'subjunctive'}, {'Answer': 'no', 'Property': 'exclamatory'}, {'Answer': 'no', 'Property': 'interrogative'}, {'Answer': 'no', 'Property': 'imperative'}, {'Answer': 'no', 'Property': 'optative'}]",[]
244,[2],"Why not, one could say, since the Church is ready to bless nearly everything on the earth?",Mood,['interrogative'],['interrogative'],['interrogative'],True,[],"{
  ""Properties"": [""interrogative""],
  ""Explanation"": ""The sentence is asking a question, thus it is in the interrogative mood.""
}",['interrogative'],"{
  ""Properties"": [""interrogative""],
  ""Explanation"": ""The text contains an interrogative mood as it is asking a question.""
}",['interrogative'],"{
  ""Properties"": [""interrogative""],
  ""Explanation"": ""The sentence is asking a question, making use of the interrogative mood.""
}",['interrogative'],True,"{
  ""Properties"": [""interrogative""],
  ""Explanation"": ""The sentence is asking a question, making use of the interrogative mood.""
}",['interrogative'],"{
  ""Properties"": [""interrogative""],
  ""Explanation"": ""The sentence is asking a question, making use of the interrogative mood.""
}",['interrogative'],"{
  ""Properties"": [""interrogative""],
  ""Explanation"": ""The sentence is asking a question, making use of the interrogative mood.""
}",['interrogative'],1,['interrogative'],1,1,,['interrogative'],"[{'Answer': 'yes', 'Property': 'indicative'}, {'Answer': 'no', 'Property': 'subjunctive'}, {'Answer': 'no', 'Property': 'exclamatory'}, {'Answer': 'no', 'Property': 'interrogative'}, {'Answer': 'no', 'Property': 'imperative'}, {'Answer': 'no', 'Property': 'optative'}]",['indicative']
245,[2],"I am sure there are many many others, too, who think alike, but whom I do not know.",Mood,['indicative'],['indicative'],['subjunctive'],False,[],"{
  ""Properties"": [""subjunctive""],
  ""Explanation"": ""The sentence expresses a hypothetical or possible situation, indicating the use of the subjunctive mood.""
}",['subjunctive'],"{
  ""Properties"": [""subjunctive"", ""indicative""],
  ""Explanation"": ""The use of 'I am sure' expresses a statement of fact (indicative mood), while 'who think alike' represents a hypothetical or possible situation (subjunctive mood).""
}","['subjunctive', 'indicative']","{
  ""Properties"": [""subjunctive""],
  ""Explanation"": ""The use of 'whom I do not know' expresses a hypothetical or possible situation, indicating a subjunctive mood.""
}",['subjunctive'],False,"{
  ""Properties"": [""subjunctive""],
  ""Explanation"": ""The use of 'whom I do not know' expresses a hypothetical or possible situation, indicating the use of the subjunctive mood.""
}",['subjunctive'],"{
  ""Properties"": [""subjunctive""],
  ""Explanation"": ""The use of 'whom I do not know' expresses a hypothetical or possible situation, indicating the use of the subjunctive mood.""
}",['subjunctive'],"{
  ""Properties"": [""subjunctive""],
  ""Explanation"": ""The use of 'whom I do not know' expresses a hypothetical or possible situation, indicating the use of the subjunctive mood.""
}",['subjunctive'],1,['subjunctive'],1,1,gpt is correct but the explanation is wrong.,['subjunctive'],"[{'Answer': 'yes', 'Property': 'indicative'}, {'Answer': 'no', 'Property': 'subjunctive'}, {'Answer': 'no', 'Property': 'exclamatory'}, {'Answer': 'no', 'Property': 'interrogative'}, {'Answer': 'no', 'Property': 'imperative'}, {'Answer': 'no', 'Property': 'optative'}]",['indicative']
375,[4],"Despite the fact that it was instituted by God Himself, growing numbers of Catholics actually consider it immoral.",Mood,['indicative'],['indicative'],[],False,['indicative'],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The text uses the indicative mood to express a simple statement of fact or opinion about the growing numbers of Catholics considering something immoral.""
}",['indicative'],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The sentence is expressing a simple statement of fact, indicating the growing numbers of Catholics who consider something immoral.""
}",['indicative'],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The example uses the indicative mood to express a simple statement of fact.""
}",['indicative'],True,"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The sentence expresses a simple statement of fact, indicating the mood of the verb as indicative.""
}",['indicative'],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The sentence expresses a simple statement of fact or opinion, indicating the use of the indicative mood.""
}",['indicative'],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The example uses the indicative mood to express a simple statement of fact or opinion.""
}",['indicative'],1,['indicative'],1,1,,['indicative'],"[{'Answer': 'yes', 'Property': 'indicative'}, {'Answer': 'no', 'Property': 'subjunctive'}, {'Answer': 'no', 'Property': 'exclamatory'}, {'Answer': 'no', 'Property': 'interrogative'}, {'Answer': 'no', 'Property': 'imperative'}, {'Answer': 'no', 'Property': 'optative'}]",['indicative']
989,[17  6],"What about Judge Kavanaugh's comfort in being put through the ringer without a shred of evidence, Senator Flake?",Mood,['interrogative'],['interrogative'],['interrogative'],True,['interrogative'],"{
  ""Properties"": [""interrogative""],
  ""Explanation"": ""The text contains an interrogative sentence, asking a question to Senator Flake.""
}",['interrogative'],"{
  ""Properties"": [""interrogative""],
  ""Explanation"": ""The text contains an interrogative mood as it asks a direct question.""
}",['interrogative'],"{
  ""Properties"": [""interrogative""],
  ""Explanation"": ""The text contains an interrogative mood as it is asking a direct question to Senator Flake.""
}",['interrogative'],True,"{
  ""Properties"": [""interrogative""],
  ""Explanation"": ""The sentence contains an interrogative mood as it is asking a question.""
}",['interrogative'],"{
  ""Properties"": [""interrogative""],
  ""Explanation"": ""The sentence is asking a question directed at Senator Flake.""
}",['interrogative'],"{
  ""Properties"": [""interrogative""],
  ""Explanation"": ""The text contains an interrogative mood as it is asking a question.""
}",['interrogative'],1,['interrogative'],1,1,,['interrogative'],"[{'Answer': 'yes', 'Property': 'indicative'}, {'Answer': 'no', 'Property': 'subjunctive'}, {'Answer': 'no', 'Property': 'exclamatory'}, {'Answer': 'no', 'Property': 'interrogative'}, {'Answer': 'no', 'Property': 'imperative'}, {'Answer': 'no', 'Property': 'optative'}]",['indicative']
1259,[7],Does Berg and the AMA support our military?,Mood,['interrogative'],['interrogative'],['interrogative'],True,['interrogative'],"{
  ""Properties"": [""interrogative""],
  ""Explanation"": ""The sentence asks a question, making use of the interrogative mood.""
}",['interrogative'],"{
  ""Properties"": [
    ""interrogative""
  ],
  ""Explanation"": ""The text contains an interrogative mood as it is asking a question about whether Berg and the AMA support the military.""
}",['interrogative'],"{
  ""Properties"": [""interrogative""],
  ""Explanation"": ""The text contains an interrogative mood as it is asking a question.""
}",['interrogative'],True,"{
  ""Properties"": [""interrogative""],
  ""Explanation"": ""The text contains an interrogative mood as it is asking a question.""
}",['interrogative'],"{
  ""Properties"": [""interrogative""],
  ""Explanation"": ""The text contains an interrogative mood as it is asking a question.""
}",['interrogative'],"{
  ""Properties"": [""interrogative""],
  ""Explanation"": ""The text contains an interrogative mood as it asks a question.""
}",['interrogative'],1,['interrogative'],1,1,,['interrogative'],"[{'Answer': 'no', 'Property': 'indicative'}, {'Answer': 'no', 'Property': 'subjunctive'}, {'Answer': 'no', 'Property': 'exclamatory'}, {'Answer': 'no', 'Property': 'interrogative'}, {'Answer': 'no', 'Property': 'imperative'}, {'Answer': 'no', 'Property': 'optative'}]",[]
2629,[ 8 13],ADVANTAGE AMERICANS,Mood,['indicative'],['indicative'],['exclamatory'],False,[],"{
  ""Properties"": [""imperative""],
  ""Explanation"": ""The text contains an imperative mood as it is giving a command or directive to 'ADVANTAGE AMERICANS'.""
}",['imperative'],"{
  ""Properties"": [""imperative""],
  ""Explanation"": ""The text contains an imperative mood as it presents a command or directive to 'AMERICANS' without expressing any suggestion, hypothetical situation, doubt, emotions, or questions.""
}",['imperative'],"{
  ""Properties"": [""exclamatory""],
  ""Explanation"": ""The text is expressing a strong emotion of support or admiration for Americans, indicating an exclamatory mood.""
}",['exclamatory'],False,"{
  ""Properties"": [""imperative""],
  ""Explanation"": ""The text contains an imperative mood as it is giving a directive or command to 'ADVANTAGE AMERICANS'.""
}",['imperative'],"{
  ""Properties"": [""imperative""],
  ""Explanation"": ""The text contains an imperative mood as it is giving a command or directive to 'ADVANTAGE AMERICANS'.""
}",['imperative'],"{
  ""Properties"": [""imperative""],
  ""Explanation"": ""The text contains an imperative mood as it is giving a directive or command to 'ADVANTAGE AMERICANS'.""
}",['imperative'],1,['imperative'],0,0,,[],"[{'Answer': 'no', 'Property': 'indicative'}, {'Answer': 'no', 'Property': 'subjunctive'}, {'Answer': 'no', 'Property': 'exclamatory'}, {'Answer': 'no', 'Property': 'interrogative'}, {'Answer': 'no', 'Property': 'imperative'}, {'Answer': 'no', 'Property': 'optative'}]",[]
3060,[9 9],"And Abraham drew near, and said, Wilt thou also destroy the righteous with the wicked?",Mood,['interrogative'],"['interrogative', 'indicative']",['interrogative'],False,"['interrogative', 'indicative']","{
  ""Properties"": [
    ""interrogative""
  ],
  ""Explanation"": ""The sentence contains an interrogative mood as it is asking a question.""
}",['interrogative'],"{
  ""Properties"": [""interrogative""],
  ""Explanation"": ""The sentence is asking a question.""
}",['interrogative'],"{
  ""Properties"": [
    ""interrogative"",
    ""subjunctive""
  ],
  ""Explanation"": ""The text contains an interrogative mood as it is asking a question ('Wilt thou also destroy the righteous with the wicked?'). Additionally, the subjunctive mood is used to express a hypothetical scenario ('destroy the righteous with the wicked').""
}","['interrogative', 'subjunctive']",False,"{
  ""Properties"": [""interrogative""],
  ""Explanation"": ""The sentence is asking a question, making use of the interrogative mood.""
}",['interrogative'],"{
  ""Properties"": [""interrogative""],
  ""Explanation"": ""The text contains an interrogative mood, as it is asking a question.""
}",['interrogative'],"{
  ""Properties"": [""interrogative""],
  ""Explanation"": ""The text contains an interrogative mood, as it is asking a question.""
}",['interrogative'],1,['interrogative'],1,1,,['interrogative'],"[{'Answer': '{', 'Property': 'indicative'}, {'Answer': 'no', 'Property': 'subjunctive'}, {'Answer': 'no', 'Property': 'exclamatory'}, {'Answer': 'no', 'Property': 'interrogative'}, {'Answer': 'no', 'Property': 'imperative'}, {'Answer': 'no', 'Property': 'optative'}]",[]
3062,[ 9  9 13  9  9],"That be far from thee to do after this manner, to slay the righteous with the wicked: and that the righteous should be as the wicked, that be far from thee: Shall not the Judge of all the earth do right?",Mood,"['interrogative', 'indicative']","['interrogative', 'indicative']",['interrogative'],False,"['interrogative', 'indicative', 'subjunctive']","{
    ""Properties"": [""subjunctive"", ""imperative"", ""optative""],
    ""Explanation"": ""The passage contains subjunctive mood in expressing hypothetical or imagined situations, imperative mood in the form of a command, and optative mood in expressing a wish.""
}","['subjunctive', 'imperative', 'optative']","{
  ""Properties"": [""subjunctive"", ""optative""],
  ""Explanation"": ""The text contains the subjunctive mood in the expression of hypothetical or imagined situations ('That be far from thee to do after this manner, to slay the righteous with the wicked'). It also contains the optative mood in the expression of wishes ('Shall not the Judge of all the earth do right?').""
}","['subjunctive', 'optative']","{
  ""Properties"": [""subjunctive"", ""optative"", ""imperative""],
  ""Explanation"": ""The passage uses the subjunctive mood to express what is imagined or hypothetical ('That be far from thee to do after this manner') and a wish ('that be far from thee'). It also includes an imperative mood with the command 'Shall not the Judge of all the earth do right?'""
}","['subjunctive', 'optative', 'imperative']",False,"{
  ""Properties"": [""subjunctive"", ""exclamatory""],
  ""Explanation"": ""The use of 'that be far from thee' expresses a hypothetical or imagined situation, indicating the use of the subjunctive mood. Additionally, the exclamation 'Shall not the Judge of all the earth do right?' conveys strong emotion, indicating the use of the exclamatory mood.""
}","['subjunctive', 'exclamatory']","{
  ""Properties"": [""optative"", ""subjunctive""],
  ""Explanation"": ""The text contains the optative mood, expressing a wish ('that be far from thee') and the subjunctive mood, expressing a hypothetical or imagined situation ('Shall not the Judge of all the earth do right?').""
}","['optative', 'subjunctive']","{
  ""Properties"": [""optative"", ""subjunctive"", ""interrogative""],
  ""Explanation"": ""The text contains an optative expression 'that be far from thee' expressing a wish, a subjunctive mood 'to do after this manner' expressing a hypothetical situation, and an interrogative mood 'Shall not the Judge of all the earth do right?' asking a question.""
}","['optative', 'subjunctive', 'interrogative']",0,"['subjunctive', 'exclamatory']",1,0,,"['interrogative', 'indicative']","[{'Answer': 'yes', 'Property': 'indicative'}, {'Answer': 'no', 'Property': 'subjunctive'}, {'Answer': 'no', 'Property': 'exclamatory'}, {'Answer': 'no', 'Property': 'interrogative'}, {'Answer': 'no', 'Property': 'imperative'}, {'Answer': 'no', 'Property': 'optative'}]",['indicative']
