sentence_id,technique,text,feature_id,props_a20,props_a21,props_a22,annotator_consistency,props_gpt4_majority,res_1.0_1,gpt_props_1.0_1,res_1.0_2,gpt_props_1.0_2,res_1.0_3,gpt_props_1.0_3,gpt3.5_1.0_consistency,res_0.2_1,gpt_props_0.2_1,res_0.2_2,gpt_props_0.2_2,res_0.2_3,gpt_props_0.2_3,gpt3.5_0.2_consistency,gpt3.5_0.2_majority,humans isCorrect,gpt isCorrect,comments,ground truth,Unnamed: 28,propertygpt-4o-mini,resgpt-4o-mini_0.0_V4,propertygpt-4o-mini_0.0_V4
47,[0],"â€œI donâ€™t regard Louis Farrakhan as an aberration or anything, I regard him as an outstanding human being who commands a following of individuals who are learned and articulate and he plays a big role in the lives of thousands and thousands and thousands and thousands of people,â€ he emphasized later.",Modifying_clauses,['adjective'],['adjective'],['adjective'],True,[],"{
  ""Properties"": [""adjective"", ""subordinate""],
  ""Explanation"": ""The sentence contains an adjective clause 'who commands a following of individuals who are learned and articulate' providing additional detail about Louis Farrakhan. It also includes a subordinate clause 'he emphasized later' which gives contextual information about when the statement was emphasized.""
}","['adjective', 'subordinate']","{
  ""Properties"": [""adjective""]
}",['adjective'],"{
  ""Properties"": [""adjective"", ""subordinate""]
}
  
 	","['adjective', 'subordinate']",False,"{
  ""Properties"": [""adjective"", ""subordinate""]
}

 	","['adjective', 'subordinate']","{
  ""Properties"": [""adjective"", ""subordinate""]
}

 	","['adjective', 'subordinate']","{
  ""Properties"": [""adjective"", ""subordinate""],
  ""Explanation"": ""The sentence contains a relative clause 'who commands a following of individuals' (adjective) and a subordinate clause 'he emphasized later' which suggests a causal connection.""
}","['adjective', 'subordinate']",1,"['adjective', 'subordinate']",1.0,0.0,gpt picked up the second clause but did not assing the right porperty,"['adjective','noun']",,subordinate,"{
  ""Answer"": ""no"",
  ""Explanation"": ""The sentence provided does not contain any subordinate clauses. It consists of a main clause and several relative clauses, but none of the clauses suggest a causal connection or use subordinating conjunctions as defined in the context. The phrase 'who commands a following of individuals who are learned and articulate' contains relative clauses but does not meet the criteria for subordinate clauses that imply a causal relationship.""
}",[]
47,[0],"â€œI donâ€™t regard Louis Farrakhan as an aberration or anything, I regard him as an outstanding human being who commands a following of individuals who are learned and articulate and he plays a big role in the lives of thousands and thousands and thousands and thousands of people,â€ he emphasized later.",Modifying_clauses,['adjective'],['adjective'],['adjective'],True,[],"{
  ""Properties"": [""adjective"", ""subordinate""],
  ""Explanation"": ""The sentence contains an adjective clause 'who commands a following of individuals who are learned and articulate' providing additional detail about Louis Farrakhan. It also includes a subordinate clause 'he emphasized later' which gives contextual information about when the statement was emphasized.""
}","['adjective', 'subordinate']","{
  ""Properties"": [""adjective""]
}",['adjective'],"{
  ""Properties"": [""adjective"", ""subordinate""]
}
  
 	","['adjective', 'subordinate']",False,"{
  ""Properties"": [""adjective"", ""subordinate""]
}

 	","['adjective', 'subordinate']","{
  ""Properties"": [""adjective"", ""subordinate""]
}

 	","['adjective', 'subordinate']","{
  ""Properties"": [""adjective"", ""subordinate""],
  ""Explanation"": ""The sentence contains a relative clause 'who commands a following of individuals' (adjective) and a subordinate clause 'he emphasized later' which suggests a causal connection.""
}","['adjective', 'subordinate']",1,"['adjective', 'subordinate']",1.0,0.0,gpt picked up the second clause but did not assing the right porperty,"['adjective','noun']",,conditional,"{
  ""Answer"": ""no"",
  ""Explanation"": ""The provided sentence does not contain any conditional clauses that begin with 'if'. Instead, it presents a statement of opinion and description without any conditional structure.""
}",[]
47,[0],"â€œI donâ€™t regard Louis Farrakhan as an aberration or anything, I regard him as an outstanding human being who commands a following of individuals who are learned and articulate and he plays a big role in the lives of thousands and thousands and thousands and thousands of people,â€ he emphasized later.",Modifying_clauses,['adjective'],['adjective'],['adjective'],True,[],"{
  ""Properties"": [""adjective"", ""subordinate""],
  ""Explanation"": ""The sentence contains an adjective clause 'who commands a following of individuals who are learned and articulate' providing additional detail about Louis Farrakhan. It also includes a subordinate clause 'he emphasized later' which gives contextual information about when the statement was emphasized.""
}","['adjective', 'subordinate']","{
  ""Properties"": [""adjective""]
}",['adjective'],"{
  ""Properties"": [""adjective"", ""subordinate""]
}
  
 	","['adjective', 'subordinate']",False,"{
  ""Properties"": [""adjective"", ""subordinate""]
}

 	","['adjective', 'subordinate']","{
  ""Properties"": [""adjective"", ""subordinate""]
}

 	","['adjective', 'subordinate']","{
  ""Properties"": [""adjective"", ""subordinate""],
  ""Explanation"": ""The sentence contains a relative clause 'who commands a following of individuals' (adjective) and a subordinate clause 'he emphasized later' which suggests a causal connection.""
}","['adjective', 'subordinate']",1,"['adjective', 'subordinate']",1.0,0.0,gpt picked up the second clause but did not assing the right porperty,"['adjective','noun']",,comparitive,"{
  ""Answer"": ""no"",
  ""Explanation"": ""The provided sentence does not contain any comparative clauses. Comparative clauses typically involve comparisons using conjunctions like 'as' or 'than', which are not present in the sentence. Instead, the sentence expresses an opinion about Louis Farrakhan without making a comparison to another entity.""
}",[]
47,[0],"â€œI donâ€™t regard Louis Farrakhan as an aberration or anything, I regard him as an outstanding human being who commands a following of individuals who are learned and articulate and he plays a big role in the lives of thousands and thousands and thousands and thousands of people,â€ he emphasized later.",Modifying_clauses,['adjective'],['adjective'],['adjective'],True,[],"{
  ""Properties"": [""adjective"", ""subordinate""],
  ""Explanation"": ""The sentence contains an adjective clause 'who commands a following of individuals who are learned and articulate' providing additional detail about Louis Farrakhan. It also includes a subordinate clause 'he emphasized later' which gives contextual information about when the statement was emphasized.""
}","['adjective', 'subordinate']","{
  ""Properties"": [""adjective""]
}",['adjective'],"{
  ""Properties"": [""adjective"", ""subordinate""]
}
  
 	","['adjective', 'subordinate']",False,"{
  ""Properties"": [""adjective"", ""subordinate""]
}

 	","['adjective', 'subordinate']","{
  ""Properties"": [""adjective"", ""subordinate""]
}

 	","['adjective', 'subordinate']","{
  ""Properties"": [""adjective"", ""subordinate""],
  ""Explanation"": ""The sentence contains a relative clause 'who commands a following of individuals' (adjective) and a subordinate clause 'he emphasized later' which suggests a causal connection.""
}","['adjective', 'subordinate']",1,"['adjective', 'subordinate']",1.0,0.0,gpt picked up the second clause but did not assing the right porperty,"['adjective','noun']",,adjective,"{
  ""Answer"": ""yes"",
  ""Explanation"": ""The sentence contains adjective clauses, specifically the clause 'who commands a following of individuals who are learned and articulate.' The first 'who' introduces a relative clause that modifies 'human being,' and the second 'who' introduces another relative clause that modifies 'individuals.' Both clauses provide additional information about the nouns they modify, which is characteristic of adjective clauses.""
}",['adjective']
47,[0],"â€œI donâ€™t regard Louis Farrakhan as an aberration or anything, I regard him as an outstanding human being who commands a following of individuals who are learned and articulate and he plays a big role in the lives of thousands and thousands and thousands and thousands of people,â€ he emphasized later.",Modifying_clauses,['adjective'],['adjective'],['adjective'],True,[],"{
  ""Properties"": [""adjective"", ""subordinate""],
  ""Explanation"": ""The sentence contains an adjective clause 'who commands a following of individuals who are learned and articulate' providing additional detail about Louis Farrakhan. It also includes a subordinate clause 'he emphasized later' which gives contextual information about when the statement was emphasized.""
}","['adjective', 'subordinate']","{
  ""Properties"": [""adjective""]
}",['adjective'],"{
  ""Properties"": [""adjective"", ""subordinate""]
}
  
 	","['adjective', 'subordinate']",False,"{
  ""Properties"": [""adjective"", ""subordinate""]
}

 	","['adjective', 'subordinate']","{
  ""Properties"": [""adjective"", ""subordinate""]
}

 	","['adjective', 'subordinate']","{
  ""Properties"": [""adjective"", ""subordinate""],
  ""Explanation"": ""The sentence contains a relative clause 'who commands a following of individuals' (adjective) and a subordinate clause 'he emphasized later' which suggests a causal connection.""
}","['adjective', 'subordinate']",1,"['adjective', 'subordinate']",1.0,0.0,gpt picked up the second clause but did not assing the right porperty,"['adjective','noun']",,noun,"{
  ""Answer"": ""yes"",
  ""Explanation"": ""The sentence contains noun clauses, specifically the clause 'that he would consider the matter' which functions as the object of the verb 'regard'. Additionally, the phrase 'who commands a following of individuals who are learned and articulate' includes relative clauses that provide additional information about Louis Farrakhan, further supporting the presence of noun clauses in the overall structure.""
}",['noun']
68,[0],"I have read the Cardinal's exposition in both Italian and English, and I only find mention of the help of the sacraments in certain cases.",Modifying_clauses,[],[],[],True,[],"{
  ""Properties"": [""adjective""],
  ""Explanation"": ""The sentence contains a relative clause 'in both Italian and English' that provides additional detail about the Cardinal's exposition.""
}",['adjective'],"{
  ""Properties"": [""adjective""],
  ""Explanation"": ""The sentence includes a relative clause using 'in both Italian and English', which functions as an adjective phrase modifying 'exposition'.""
}",['adjective'],"{
  ""Properties"": [""comparitive"", ""subordinate"", ""adjective""],
  ""Explanation"": ""The sentence contains a comparative clause ('in both Italian and English') and a subordinate clause ('I only find mention of the help of the sacraments in certain cases'). Additionally, it includes an adjective clause ('in certain cases').""
}","['comparitive', 'subordinate', 'adjective']",False,"{
  ""Properties"": [""subordinate"", ""adjective""],
  ""Explanation"": ""The sentence contains a subordinate clause ('in both Italian and English') that suggests a causal connection, and an adjective clause ('in certain cases') providing additional detail.""
}","['subordinate', 'adjective']","{
  ""Properties"": [""comparitive""],
  ""Explanation"": ""The presence of the comparative clause 'in both Italian and English' indicates a comparison between the two languages.""
}",['comparitive'],"{
  ""Properties"": [""comparitive""],
  ""Explanation"": ""The presence of the comparative clause 'in both Italian and English' indicates a comparison between the two versions of the Cardinal's exposition.""
}",['comparitive'],0,['comparitive'],0.0,0.0,"gpt identifies wrong propety, and gpt attributes characteristics to sentence which are incorrect",['subordinate'],"cause: ""I have read.."", effect: ""I only fond...""",subordinate,"{
  ""Answer"": ""no"",
  ""Explanation"": ""The sentence provided does not contain any subordinate clauses. It consists of two independent clauses connected by the conjunction 'and'. There are no subordinating conjunctions present that would indicate a subordinate clause, such as 'because', 'although', or 'if'.""
}",[]
68,[0],"I have read the Cardinal's exposition in both Italian and English, and I only find mention of the help of the sacraments in certain cases.",Modifying_clauses,[],[],[],True,[],"{
  ""Properties"": [""adjective""],
  ""Explanation"": ""The sentence contains a relative clause 'in both Italian and English' that provides additional detail about the Cardinal's exposition.""
}",['adjective'],"{
  ""Properties"": [""adjective""],
  ""Explanation"": ""The sentence includes a relative clause using 'in both Italian and English', which functions as an adjective phrase modifying 'exposition'.""
}",['adjective'],"{
  ""Properties"": [""comparitive"", ""subordinate"", ""adjective""],
  ""Explanation"": ""The sentence contains a comparative clause ('in both Italian and English') and a subordinate clause ('I only find mention of the help of the sacraments in certain cases'). Additionally, it includes an adjective clause ('in certain cases').""
}","['comparitive', 'subordinate', 'adjective']",False,"{
  ""Properties"": [""subordinate"", ""adjective""],
  ""Explanation"": ""The sentence contains a subordinate clause ('in both Italian and English') that suggests a causal connection, and an adjective clause ('in certain cases') providing additional detail.""
}","['subordinate', 'adjective']","{
  ""Properties"": [""comparitive""],
  ""Explanation"": ""The presence of the comparative clause 'in both Italian and English' indicates a comparison between the two languages.""
}",['comparitive'],"{
  ""Properties"": [""comparitive""],
  ""Explanation"": ""The presence of the comparative clause 'in both Italian and English' indicates a comparison between the two versions of the Cardinal's exposition.""
}",['comparitive'],0,['comparitive'],0.0,0.0,"gpt identifies wrong propety, and gpt attributes characteristics to sentence which are incorrect",['subordinate'],"cause: ""I have read.."", effect: ""I only fond...""",conditional,"{
  ""Answer"": ""no"",
  ""Explanation"": ""The sentence provided does not contain any conditional clauses. A conditional clause typically begins with 'if' and expresses a condition that must be met for something else to occur. The sentence in question discusses the Cardinal's exposition and mentions the sacraments without presenting any conditions or hypothetical scenarios.""
}",[]
68,[0],"I have read the Cardinal's exposition in both Italian and English, and I only find mention of the help of the sacraments in certain cases.",Modifying_clauses,[],[],[],True,[],"{
  ""Properties"": [""adjective""],
  ""Explanation"": ""The sentence contains a relative clause 'in both Italian and English' that provides additional detail about the Cardinal's exposition.""
}",['adjective'],"{
  ""Properties"": [""adjective""],
  ""Explanation"": ""The sentence includes a relative clause using 'in both Italian and English', which functions as an adjective phrase modifying 'exposition'.""
}",['adjective'],"{
  ""Properties"": [""comparitive"", ""subordinate"", ""adjective""],
  ""Explanation"": ""The sentence contains a comparative clause ('in both Italian and English') and a subordinate clause ('I only find mention of the help of the sacraments in certain cases'). Additionally, it includes an adjective clause ('in certain cases').""
}","['comparitive', 'subordinate', 'adjective']",False,"{
  ""Properties"": [""subordinate"", ""adjective""],
  ""Explanation"": ""The sentence contains a subordinate clause ('in both Italian and English') that suggests a causal connection, and an adjective clause ('in certain cases') providing additional detail.""
}","['subordinate', 'adjective']","{
  ""Properties"": [""comparitive""],
  ""Explanation"": ""The presence of the comparative clause 'in both Italian and English' indicates a comparison between the two languages.""
}",['comparitive'],"{
  ""Properties"": [""comparitive""],
  ""Explanation"": ""The presence of the comparative clause 'in both Italian and English' indicates a comparison between the two versions of the Cardinal's exposition.""
}",['comparitive'],0,['comparitive'],0.0,0.0,"gpt identifies wrong propety, and gpt attributes characteristics to sentence which are incorrect",['subordinate'],"cause: ""I have read.."", effect: ""I only fond...""",comparitive,"{
  ""Answer"": ""no"",
  ""Explanation"": ""The provided sentence does not contain any comparative clauses. Comparative clauses typically involve comparisons using conjunctions like 'as' or 'than', which are not present in the sentence. The sentence discusses the Cardinal's exposition in different languages and mentions the sacraments, but it does not make any comparisons between two entities or ideas.""
}",[]
68,[0],"I have read the Cardinal's exposition in both Italian and English, and I only find mention of the help of the sacraments in certain cases.",Modifying_clauses,[],[],[],True,[],"{
  ""Properties"": [""adjective""],
  ""Explanation"": ""The sentence contains a relative clause 'in both Italian and English' that provides additional detail about the Cardinal's exposition.""
}",['adjective'],"{
  ""Properties"": [""adjective""],
  ""Explanation"": ""The sentence includes a relative clause using 'in both Italian and English', which functions as an adjective phrase modifying 'exposition'.""
}",['adjective'],"{
  ""Properties"": [""comparitive"", ""subordinate"", ""adjective""],
  ""Explanation"": ""The sentence contains a comparative clause ('in both Italian and English') and a subordinate clause ('I only find mention of the help of the sacraments in certain cases'). Additionally, it includes an adjective clause ('in certain cases').""
}","['comparitive', 'subordinate', 'adjective']",False,"{
  ""Properties"": [""subordinate"", ""adjective""],
  ""Explanation"": ""The sentence contains a subordinate clause ('in both Italian and English') that suggests a causal connection, and an adjective clause ('in certain cases') providing additional detail.""
}","['subordinate', 'adjective']","{
  ""Properties"": [""comparitive""],
  ""Explanation"": ""The presence of the comparative clause 'in both Italian and English' indicates a comparison between the two languages.""
}",['comparitive'],"{
  ""Properties"": [""comparitive""],
  ""Explanation"": ""The presence of the comparative clause 'in both Italian and English' indicates a comparison between the two versions of the Cardinal's exposition.""
}",['comparitive'],0,['comparitive'],0.0,0.0,"gpt identifies wrong propety, and gpt attributes characteristics to sentence which are incorrect",['subordinate'],"cause: ""I have read.."", effect: ""I only fond...""",adjective,"{
  ""Answer"": ""no"",
  ""Explanation"": ""The sentence provided does not contain any adjective clauses. Adjective clauses typically modify nouns and are introduced by relative pronouns such as 'who', 'whom', 'that', or 'which'. In the given sentence, there are no such clauses present; it primarily consists of independent clauses and does not include any relative clauses that modify a noun.""
}",[]
68,[0],"I have read the Cardinal's exposition in both Italian and English, and I only find mention of the help of the sacraments in certain cases.",Modifying_clauses,[],[],[],True,[],"{
  ""Properties"": [""adjective""],
  ""Explanation"": ""The sentence contains a relative clause 'in both Italian and English' that provides additional detail about the Cardinal's exposition.""
}",['adjective'],"{
  ""Properties"": [""adjective""],
  ""Explanation"": ""The sentence includes a relative clause using 'in both Italian and English', which functions as an adjective phrase modifying 'exposition'.""
}",['adjective'],"{
  ""Properties"": [""comparitive"", ""subordinate"", ""adjective""],
  ""Explanation"": ""The sentence contains a comparative clause ('in both Italian and English') and a subordinate clause ('I only find mention of the help of the sacraments in certain cases'). Additionally, it includes an adjective clause ('in certain cases').""
}","['comparitive', 'subordinate', 'adjective']",False,"{
  ""Properties"": [""subordinate"", ""adjective""],
  ""Explanation"": ""The sentence contains a subordinate clause ('in both Italian and English') that suggests a causal connection, and an adjective clause ('in certain cases') providing additional detail.""
}","['subordinate', 'adjective']","{
  ""Properties"": [""comparitive""],
  ""Explanation"": ""The presence of the comparative clause 'in both Italian and English' indicates a comparison between the two languages.""
}",['comparitive'],"{
  ""Properties"": [""comparitive""],
  ""Explanation"": ""The presence of the comparative clause 'in both Italian and English' indicates a comparison between the two versions of the Cardinal's exposition.""
}",['comparitive'],0,['comparitive'],0.0,0.0,"gpt identifies wrong propety, and gpt attributes characteristics to sentence which are incorrect",['subordinate'],"cause: ""I have read.."", effect: ""I only fond...""",noun,"{
  ""Answer"": ""no"",
  ""Explanation"": ""The sentence provided does not contain any noun clauses. A noun clause typically functions as a subject, object, or complement within a sentence. In the given sentence, there are no clauses that serve these functions; instead, it consists of a main clause with a compound structure and does not include any indirect speech or paraphrasing that would indicate the presence of a noun clause.""
}",[]
