sentence_id,technique,text,feature_id,props_a20,props_a21,props_a22,res1,gpt_props1,res2,gpt_props2,res3,gpt_props3,props_a_majority,props_gpt_majority,ann_gpt_agreemnt,props_gpt4_majority
4,[0 8 9],"Muhammad advises the same thing, according to the tradition of the Muslim doctors: wherefore the great Temur always strove to exterminate the infidels, as much to acquire that glory, as to signalise himself by the greatness of his conquests.”",Modifying_clauses,['subordinate'],['subordinate'],['subordinate'],"``` 
  ""Properties"": [""adjective"", ""noun""],
  ""Explanation"": ""The example text contains a relative clause using 'wherefore' and an indirect speech clause using 'according to the tradition'.""
```","['adjective', 'noun']","{
  ""Properties"": [""adjective"", ""noun""],
  ""Explanation"": ""The example contains a relative clause 'wherefore the great Temur always strove to exterminate the infidels' (adjective clause) and a clause for indirect speech 'Muhammad advises the same thing, according to the tradition of the Muslim doctors' (noun clause).""
}","['adjective', 'noun']","{
  ""Properties"": [""adjective"", ""subordinate""],
  ""Explanation"": ""The use of 'wherefore' suggests a causal connection, making it a subordinate clause. Additionally, the relative clause 'according to the tradition of the Muslim doctors' qualifies 'Muhammad', making it an adjective clause.""
}","['adjective', 'subordinate']",['subordinate'],"['adjective', 'noun']",-1,[]
11,[0 8],"We are simply asked to take the pope’s word for it, but given that it follows his astoundingly brazen lie that there was no evidence for Ricca’s homosexual activity in the first place, we can take the assurance for what it seems to be worth.",Modifying_clauses,['noun'],['adjective'],['adjective'],"``` 
{
  ""Properties"": [""adjective"", ""noun""],
  ""Explanation"": ""The example text contains a relative clause using 'that' to incorporate detail ('...his astoundingly brazen lie that there was no evidence for Ricca’s homosexual activity...') and an indirect speech clause ('...we can take the assurance for what it seems to be worth.').""
}
```","['adjective', 'noun']","{
  ""Properties"": [""adjective""],
  ""Explanation"": ""The example text contains a relative clause using the word 'that' to give more information about the previous noun 'lie'.""
}",['adjective'],"{
  ""Properties"": [""subordinate"", ""adjective""],
  ""Explanation"": ""The example text contains a subordinate clause with a causal connection (given that) and an adjective clause (that there was no evidence for Ricca's homosexual activity).""
}","['subordinate', 'adjective']",['adjective'],"['adjective', 'noun']",0,[]
14,[0],Conservative Ben Shapiro told Fox news the verdict was “horrifying.,Modifying_clauses,[],['noun'],[],"``` 
{
  ""Properties"": [""adjective"", ""noun""],
  ""Explanation"": ""The clause 'Conservative Ben Shapiro told Fox news' is an adjective relative clause describing who made the statement, and the clause 'the verdict was 'horrifying'' is a noun clause incorporating the detail of the statement.""
}
```","['adjective', 'noun']","{
  ""Properties"": [""noun""],
  ""Explanation"": ""The example text contains a modifying clause 'Conservative Ben Shapiro told Fox news that the verdict was 'horrifying', which is used for indirect speech or incorporating detail.""
}",['noun'],"{
  ""Properties"": [""subordinate"", ""adjective"", ""noun""],
  ""Explanation"": ""The example text contains a noun clause 'Conservative Ben Shapiro told Fox news', which incorporates detail. There is also a subordinate clause 'the verdict was 'horrifying', which suggests a causal connection.""
}","['subordinate', 'adjective', 'noun']",[],"['adjective', 'noun']",-1,[]
16,[0],"According to Breitbart, “Sellner, who described the detention centre as looking akin to a typical American prison, said he was told by authorities that his speaking at Hyde Park could cause violence and disrupt community cohesion.”",Modifying_clauses,['noun'],['adjective'],['adjective'],"```json
{
  ""Properties"": [""adjective"", ""subordinate""],
  ""Explanation"": ""The clause 'who described the detention centre as looking akin to a typical American prison' is a relative adjective clause, and the clause 'that his speaking at Hyde Park could cause violence and disrupt community cohesion' is a subordinate clause.""
}
```","['adjective', 'subordinate']","{
  ""Properties"": [""adjective"", ""subordinate""],
  ""Explanation"": ""The clause 'who described the detention centre as looking akin to a typical American prison' is a relative adjective clause providing detail. The clause 'he was told by authorities that his speaking at Hyde Park could cause violence and disrupt community cohesion' is a subordinate clause suggesting a causal connection.""
}","['adjective', 'subordinate']","```{
  ""Properties"": [""adjective"", ""subordinate""],
  ""Explanation"": ""The example text contains a relative clause using 'who' ('who described the detention centre as looking akin to a typical American prison') and a subordinate clause with a subordinating conjunction 'that' ('that his speaking at Hyde Park could cause violence and disrupt community cohesion').""
}```","['adjective', 'subordinate']",['adjective'],"['adjective', 'subordinate']",0,[]
23,[0],"“This is a clear violation of the Senate Ethics rules which safeguard against the appearance or actuality of elected officials ‘cashing in’ on their official position for political purposes,” said Kendra Arnold, executive director of FACT.",Modifying_clauses,['adjective'],['adjective'],['adjective'],"{
  ""Properties"": [""adjective"", ""noun""],
  ""Explanation"": ""The example contains an adjective modifying clause 'which safeguard against the appearance or actuality of elected officials' and a noun modifying clause 'executive director of FACT.'""
}","['adjective', 'noun']","{
  ""Properties"": [""adjective"", ""noun""],
  ""Explanation"": ""The example text contains a modifying clause using 'which' (adjective) to provide additional detail about the Senate Ethics rules, and a modifying clause using 'that' (noun) to incorporate the statement made by Kendra Arnold.""
}","['adjective', 'noun']","{
  ""Properties"": [""adjective"", ""subordinate"", ""noun""],
  ""Explanation"": ""The example text contains an adjective modifying clause ('which safeguard against the appearance or actuality of elected officials ‘cashing in’ on their official position for political purposes'), a subordinate modifying clause ('which safeguard against the appearance or actuality of elected officials ‘cashing in’ on their official position for political purposes'), and a noun modifying clause ('executive director of FACT')."" 
}","['adjective', 'subordinate', 'noun']",['adjective'],"['adjective', 'noun']",0,[]
32,[0 6],Cardinal Raymond Burke’s statement declares: “The declarations made by a prelate of the authority of Archbishop Carlo Maria Viganò must be totally taken to heart by those responsible in the Church.”,Modifying_clauses,['noun'],[],['noun'],"{
  ""Properties"": [""adjective"", ""noun""],
  ""Explanation"": ""The example text contains a relative clause using 'who' (adjective) and a clause used for indirect speech or paraphrasing (noun).""
}","['adjective', 'noun']","``` 
{
  ""Properties"": [""adjective"", ""noun""],
  ""Explanation"": ""The example text contains a relative clause using 'who' (adjective property) and a noun clause for indirect speech (noun property).""
}
```","['adjective', 'noun']","{
  ""Properties"": [""adjective""],
  ""Explanation"": ""The example text includes a relative clause with the pronoun 'who' (Archbishop Carlo Maria Viganò), indicating an adjective modifying clause.""
}",['adjective'],['noun'],"['adjective', 'noun']",0,[]
43,[0],"As a former trial lawyer, I can tell you that while neither notes nor memories are infallible, in a contest between contemporaneous notes and later verbal testimony about those notes, the content of the written notes usually prevails.",Modifying_clauses,['subordinate'],['subordinate'],['subordinate'],"{
  ""Properties"": [""subordinate"", ""comparitive"", ""adjective"", ""noun""],
  ""Explanation"": ""The example text contains subordinate clauses with 'while' and 'that', a comparative clause with 'as', an adjective clause with 'that', and a noun clause with 'that'.""
}","['subordinate', 'comparitive', 'adjective', 'noun']","{
  ""Properties"": [""subordinate"", ""comparitive"", ""adjective""],
  ""Explanation"": ""The text contains a subordinate clause with 'while', a comparative clause with 'than', and an adjective clause with 'that'.""
}","['subordinate', 'comparitive', 'adjective']","``` 
Properties: [""subordinate"", ""comparitive""]
Explanation: The example text contains a subordinate clause with the word ""while"" and a comparative clause with the phrase ""between contemporaneous notes and later verbal testimony"".
```","['subordinate', 'comparitive']",['subordinate'],"['subordinate', 'comparitive', 'adjective', 'noun']",0,[]
47,[0],"“I don’t regard Louis Farrakhan as an aberration or anything, I regard him as an outstanding human being who commands a following of individuals who are learned and articulate and he plays a big role in the lives of thousands and thousands and thousands and thousands of people,” he emphasized later.",Modifying_clauses,['adjective'],['adjective'],['adjective'],"``` 
""Properties"": [""adjective"", ""noun""],
""Explanation"": ""The example text contains a relative clause using 'who' (adjective) and a clause used for indirect speech or incorporating detail (noun).""
```","['adjective', 'noun']","{
  ""Properties"": [""conditional"", ""adjective"", ""noun""],
  ""Explanation"": ""The text contains a conditional clause ('if') and adjective clauses ('who', 'that') as well as a noun clause for indirect speech ('he emphasized later').""
}","['conditional', 'adjective', 'noun']","{
  ""Properties"": [""adjective"", ""subordinate""],
  ""Explanation"": ""The example text contains a relative clause 'who commands a following' (adjective clause) and the subordinating conjunction 'as' is used to suggest a causal connection.""
}","['adjective', 'subordinate']",['adjective'],"['adjective', 'noun']",0,[]
50,[0],"John Hancock, the first signer of the Declaration of Independence, said,",Modifying_clauses,['noun'],[],[],"{
  ""Properties"": [""adjective"", ""noun""],
  ""Explanation"": ""The clause 'the first signer of the Declaration of Independence' is a relative clause using the adjective 'the first' and the relative pronoun 'who'. The clause 'John Hancock said' is a noun clause incorporating detail.""
}","['adjective', 'noun']","{
  ""Properties"": [""adjective"", ""noun""],
  ""Explanation"": ""The example text contains a relative clause using 'the first signer of the Declaration of Independence' (adjective) and a noun clause 'John Hancock said' for indirect speech.""
}","['adjective', 'noun']","{
  ""Properties"": [""adjective"", ""noun""],
  ""Explanation"": ""The phrase 'the first signer of the Declaration of Independence' is a relative clause using 'the first' as an adjective to describe 'signer', and the clause 'John Hancock said' is a noun clause used for indirect speech.""
}","['adjective', 'noun']",[],"['adjective', 'noun']",-1,[]
54,[0],"She said Thursday regarding Ms. Ford: ""I believe her because she is telling the truth and you know it by her story.""",Modifying_clauses,[],[],['noun'],"{
    ""Properties"": [""noun""],
    ""Explanation"": ""The example text contains a noun clause used for indirect speech, incorporating the details of what 'She' said about Ms. Ford.""
}",['noun'],"{
  ""Properties"": [""subordinate"", ""adjective"", ""noun""],
  ""Explanation"": ""The presence of 'regarding' indicates a subordinate clause, 'believing her' is a relative clause acting as an adjective, and 'I believe her' is a noun clause used for indirect speech.""
}","['subordinate', 'adjective', 'noun']","``` 
{
  ""Properties"": [""adjective"", ""noun""],
  ""Explanation"": ""The example text contains a noun clause 'regarding Ms. Ford' used for indirect speech, and a adjective clause 'who is telling the truth' to provide detail about Ms. Ford.""
}
```","['adjective', 'noun']",[],['noun'],-1,[]
