sentence_id,technique,text,feature_id,props_a20,props_a21,props_a22,res1,gpt_props1,res2,gpt_props2,res3,gpt_props3,props_a_majority,props_gpt_majority,ann_gpt_agreemnt,props_gpt4_majority
4,[0 8 9],"Muhammad advises the same thing, according to the tradition of the Muslim doctors: wherefore the great Temur always strove to exterminate the infidels, as much to acquire that glory, as to signalise himself by the greatness of his conquests.”",Series,[],[],[],"{
  ""Properties"": [""asyndenton""],
  ""Explanation"": ""The list of reasons for exterminating infidels is presented without using any conjunctions between them, creating a sense of urgency and directness.""
}",['asyndenton'],"{
  ""Properties"": [""gradatio""],
  ""Explanation"": ""The example text uses gradatio as it lists a chain of causality, specifically in the phrase 'as much to acquire that glory, as to signalise himself by the greatness of his conquests.'""
}",['gradatio'],"{
  ""Properties"": [""gradatio""],
  ""Explanation"": ""The text contains a list of items with overlapping, suggesting a chain of causality, as Temur strove to exterminate the infidels as much to acquire glory as to signalise himself by the greatness of his conquests.""
}",['gradatio'],[],['gradatio'],-1,[]
11,[0 8],"We are simply asked to take the pope’s word for it, but given that it follows his astoundingly brazen lie that there was no evidence for Ricca’s homosexual activity in the first place, we can take the assurance for what it seems to be worth.",Series,[],[],[],"{
  ""Properties"": [""gradatio""],
  ""Explanation"": ""The text uses a gradatio by listing items (pope's astoundingly brazen lie, no evidence for Ricca's homosexual activity, assurance) with overlapping, suggesting a chain of causality.""
}",['gradatio'],"{
  ""Properties"": [""gradatio"", ""asyndenton""],
  ""Explanation"": ""The list of lies suggests a chain of causality, and it is presented without any conjunctions.""
}","['gradatio', 'asyndenton']","{
  ""Properties"": [""polysyndenton""],
  ""Explanation"": ""The text uses conjunctions between every item: 'that there was no evidence for Ricca’s homosexual activity in the first place, we can take the assurance for what it seems to be worth.'""
}",['polysyndenton'],[],['gradatio'],-1,[]
14,[0],Conservative Ben Shapiro told Fox news the verdict was “horrifying.,Series,[],[],[],"{
  ""Properties"": [""asyndenton""],
  ""Explanation"": ""The example text 'Conservative Ben Shapiro told Fox news' uses asyndenton, listing the actions without any conjunctions.""
}",['asyndenton'],"{
  ""Properties"": [""asyndeton""],
  ""Explanation"": ""The example text uses asyndeton by not using any conjunctions when listing items.""
}",['asyndenton'],"{
  ""Properties"": [""asyndeton""],
  ""Explanation"": ""The example text uses asyndeton by listing items without using any conjunctions.""
}",['asyndenton'],[],['asyndenton'],-1,[]
16,[0],"According to Breitbart, “Sellner, who described the detention centre as looking akin to a typical American prison, said he was told by authorities that his speaking at Hyde Park could cause violence and disrupt community cohesion.”",Series,[],[],[],"{
  ""Properties"": [""asyndenton""],
  ""Explanation"": ""The use of 'and' to list items is not present in the example text, indicating the use of asyndenton.""
}",['asyndenton'],"{
  ""Properties"": [""asyndeton""],
  ""Explanation"": ""The text uses a series of actions without any conjunctions, creating a sense of urgency and directness.""
}",['asyndenton'],"{
    ""Properties"": [""asyndenton""],
    ""Explanation"": ""The example text uses asyndenton by not using any conjunctions when listing items.""
}",['asyndenton'],[],['asyndenton'],-1,[]
23,[0],"“This is a clear violation of the Senate Ethics rules which safeguard against the appearance or actuality of elected officials ‘cashing in’ on their official position for political purposes,” said Kendra Arnold, executive director of FACT.",Series,[],[],[],"``` 
{
  ""Properties"": [""polysyndenton"", ""bracketing""],
  ""Explanation"": ""The use of the conjunction 'or' in the phrase 'the appearance or actuality' and the lumping together of 'elected officials' and 'their official position' indicate the use of polysyndenton and bracketing.""
}
```","['polysyndenton', 'bracketing']","{
  ""Properties"": [""asyndenton""],
  ""Explanation"": ""The example text uses asyndenton by listing items without using any conjunctions.""
}",['asyndenton'],"{
  ""Properties"": [""polysyndenton""],
  ""Explanation"": ""The use of 'and' between 'appearance,' 'actuality,' and 'elected officials' shows polysyndenton.""
}",['polysyndenton'],[],"['polysyndenton', 'bracketing']",-1,[]
32,[0 6],Cardinal Raymond Burke’s statement declares: “The declarations made by a prelate of the authority of Archbishop Carlo Maria Viganò must be totally taken to heart by those responsible in the Church.”,Series,[],[],[],"{
  ""Properties"": [""asyndenton""],
  ""Explanation"": ""The example text uses asyndenton in the listing of the declarations made by a prelate and the authority of Archbishop Carlo Maria Viganò.""
}",['asyndenton'],"{
  ""Properties"": [""polysyndenton""],
  ""Explanation"": ""The use of the conjunction 'and' between 'truth,' 'love,' 'courage,' and 'honesty' shows the polysyndenton property.""
}",['polysyndenton'],"{
  ""Properties"": [""asyndenton""],
  ""Explanation"": ""The example text uses asyndenton with the listing of declarations."" 
}",['asyndenton'],[],['asyndenton'],-1,[]
43,[0],"As a former trial lawyer, I can tell you that while neither notes nor memories are infallible, in a contest between contemporaneous notes and later verbal testimony about those notes, the content of the written notes usually prevails.",Series,[],[],[],"{
  ""Properties"": [""asyndenton""],
  ""Explanation"": ""The example text uses asyndenton by listing items 'neither notes nor memories' and 'contemporaneous notes and later verbal testimony' without any conjunctions.""
}",['asyndenton'],timeout,[],"{
  ""Properties"": [""asyndeton""],
  ""Explanation"": ""The example text uses asyndeton by listing items without any conjunctions, creating a quick and impactful effect.""
}",['asyndenton'],[],['asyndenton'],-1,[]
47,[0],"“I don’t regard Louis Farrakhan as an aberration or anything, I regard him as an outstanding human being who commands a following of individuals who are learned and articulate and he plays a big role in the lives of thousands and thousands and thousands and thousands of people,” he emphasized later.",Series,['polysyndenton'],['polysyndenton'],['polysyndenton'],"{
  ""Properties"": [""asyndenton""],
  ""Explanation"": ""The text uses asyndenton by listing 'thousands and thousands and thousands and thousands of people' without any conjunctions.""
}",['asyndenton'],"{
  ""Properties"": [""polysyndenton""],
  ""Explanation"": ""The use of 'and' between every item in the list of individuals who follow Louis Farrakhan indicates the presence of polysyndenton.""
}",['polysyndenton'],"{
  ""Properties"": [""asyndenton""],
  ""Explanation"": ""The example text uses asyndenton by listing items without any conjunctions.""
}",['asyndenton'],['polysyndenton'],['asyndenton'],-1,[]
50,[0],"John Hancock, the first signer of the Declaration of Independence, said,",Series,[],[],['asyndenton'],"{
    ""Properties"": [""bracketing""],
    ""Explanation"": ""The items 'John Hancock', 'the first signer of the Declaration of Independence' are listed together, implicitly lumped into the same category.""
}",['bracketing'],"{
  ""Properties"": [""bracketing""],
  ""Explanation"": ""The items 'John Hancock' and 'the first signer of the Declaration of Independence' are listed together, implicitly lumped into the same category.""
}",['bracketing'],"{
  ""Properties"": [""bracketing""],
  ""Explanation"": ""The listed items (John Hancock, the first signer of the Declaration of Independence) are implicitly lumped into the same category.""
}",['bracketing'],[],['bracketing'],-1,[]
54,[0],"She said Thursday regarding Ms. Ford: ""I believe her because she is telling the truth and you know it by her story.""",Series,[],[],[],"{
  ""Properties"": [""asyndenton"", ""polysyndenton""],
  ""Explanation"": ""The example text uses asyndenton in 'I believe her because she is telling the truth and you know it by her story.' and polysyndenton in 'truth and love and courage and honesty.'""
}","['asyndenton', 'polysyndenton']","{
  ""Properties"": [""asyndenton""],
  ""Explanation"": ""The example text uses a series of actions without any conjunctions, creating a sense of urgency and succinctness.""
}",['asyndenton'],"{
  ""Properties"": [""polysyndenton""],
  ""Explanation"": ""The use of 'and' between every item in the list: 'truth and love and courage and honesty.'""
}",['polysyndenton'],[],"['asyndenton', 'polysyndenton']",-1,[]
68,[0],"I have read the Cardinal's exposition in both Italian and English, and I only find mention of the help of the sacraments in certain cases.",Series,[],[],[],"{
  ""Properties"": [""asyndenton""],
  ""Explanation"": ""The example text uses asyndenton, as there are no conjunctions used when listing the languages in which the Cardinal's exposition was read.""
}",['asyndenton'],"{
  ""Properties"": [""asyndenton""],
  ""Explanation"": ""The example text contains a list of items without using any conjunctions, which is characteristic of asyndenton.""
}",['asyndenton'],"{
  ""Properties"": [""asyndeton""],
  ""Explanation"": ""The example text uses asyndeton by listing items without any conjunctions.""
}",['asyndenton'],[],['asyndenton'],-1,[]
73,[0],"Meanwhile, according to a Breitbart report by Allum Bokhari, “By inserting negative search suggestions under the name of a candidate, search engines like Google can shift the opinions of undecided voters by up to 43.4 percent, according to new research by a team at the American Institute for Behavioral Research and Technology and reported exclusively by Breitbart News.”",Series,[],[],[],"```json
        {
          ""Properties"": [""asyndenton""],
          ""Explanation"": ""The text uses asyndenton by listing items ('negative search suggestions' and 'name of a candidate') without using any conjunctions.""
        }
```",['asyndenton'],"{
  ""Properties"": [""asyndenton""],
  ""Explanation"": ""The example text uses an asyndenton by listing the research team as 'a team at the American Institute for Behavioral Research and Technology', which does not use any conjunctions.""
}",['asyndenton'],"{
  ""Properties"": [""gradatio"", ""asyndenton""],
  ""Explanation"": ""The text uses a gradatio by listing 'negative search suggestions' leading to shifting opinions of undecided voters. It also uses asyndenton by listing 'American Institute for Behavioral Research and Technology and reported exclusively by Breitbart News' without using any conjunctions.""
}","['gradatio', 'asyndenton']",[],['asyndenton'],-1,[]
80,[1],"Also, as this is an unprecedented moment in papal history, perhaps the unprecedented step of recalling Benedict XVI to the Chair of St. Peter should also be considered sooner rather than later, before this crisis gets any more out-of-control than it already is.",Series,[],[],[],"{
  ""Properties"": [""gradatio"", ""polysyndenton""],
  ""Explanation"": ""The text includes a chain of causality in the form of 'should also be considered sooner rather than later' and uses the conjunction 'and' between 'before this crisis gets any more out-of-control than it already is.'""
}","['gradatio', 'polysyndenton']","```json
        {
            ""Properties"": [""gradatio""],
            ""Explanation"": ""The list of items 'unprecedented moment', 'unprecedented step', and 'crisis gets any more out-of-control' suggests a chain of causality.""
        }
```",['gradatio'],"{
  ""Properties"": [""polysyndenton"", ""gradatio""],
  ""Explanation"": ""The use of 'and' between 'truth', 'love', 'courage', and 'honesty' demonstrates polysyndenton. The use of 'before', 'than', and 'more' suggests a chain of causality, demonstrating gradatio.""
}","['polysyndenton', 'gradatio']",[],"['gradatio', 'polysyndenton']",-1,[]
83,[1],"A dark, impenetrable and “irreversible” winter of persecution of the faithful by their own shepherds will fall.",Series,[],[],[],"{
  ""Properties"": [""polysyndenton""],
  ""Explanation"": ""The use of the conjunction 'and' between each item in the list ('dark', 'impenetrable', 'irreversible') indicates polysyndenton.""
}",['polysyndenton'],"{
  ""Properties"": [""bracketing"", ""polysyndenton""],
  ""Explanation"": ""The use of 'and' implicitly groups 'impenetrable' and 'irreversible' together, and the use of 'and' between all the adjectives demonstrates polysyndenton.""
}","['bracketing', 'polysyndenton']","{
  ""Properties"": [""bracketing""],
  ""Explanation"": ""The items 'dark', 'impenetrable', and 'irreversible' are listed together, implicitly creating a category of adverse conditions.""
}",['bracketing'],[],['polysyndenton'],-1,[]
117,[ 1 12],"And so Chris Bryant, “a senior Labour backbencher, has written to May urging her to go further, and issue an official ban on Donald Trump from entering the UK on the grounds he is condoning fascism and his presence is ‘not conducive to the public good’, a senior Labour MP has said.”",Series,[],[],[],"{
  ""Properties"": [""asyndenton""],
  ""Explanation"": ""The example text uses asyndenton, as it lists the reasons for urging an official ban on Donald Trump without using any conjunctions.""
}",['asyndenton'],"{
    ""Properties"": [""bracketing"", ""polysyndenton""],
    ""Explanation"": ""The example text lumps together multiple items in the same category (politicians) and uses conjunctions between each item.""
}","['bracketing', 'polysyndenton']","{
  ""Properties"": [""polysyndeton""],
  ""Explanation"": ""The text uses the conjunction 'and' between every item in the list, creating a polysyndeton structure.""
}",['polysyndenton'],[],['asyndenton'],-1,[]
118,[1],"In any case, note well: the letter to me from the UK Home Office said that I was banned for saying that “[Islam] is a religion and is a belief system that mandates warfare against unbelievers…”",Series,[],[],[],"{
  ""Properties"": [""asyndenton""],
  ""Explanation"": ""The example text uses asyndenton when listing the reasons for the ban - 'a religion' and 'a belief system that mandates warfare against unbelievers'.""
}",['asyndenton'],"{
  ""Properties"": [""polysyndenton""],
  ""Explanation"": ""The use of the conjunction 'and' between every item in the list ('truth and love and courage and honesty') demonstrates the polysyndenton property.""
}",['polysyndenton'],"{
  ""Properties"": [
    ""asyndenton""
  ],
  ""Explanation"": ""The example text uses asyndenton when listing the different aspects of Islam as a religion and belief system.""
}",['asyndenton'],[],['asyndenton'],-1,[]
127,[1],"I have seen a veritable chorus of Catholics on social media declaring that if Paul VI is canonised, their loss of faith in the Church as an institution will be complete.",Series,[],[],[],"{
  ""Properties"": [""polysyndenton""],
  ""Explanation"": ""The use of 'and' between 'truth', 'love', 'courage', and 'honesty' suggests polysyndenton.""
}",['polysyndenton'],"{
  ""Properties"": [""polysyndenton""],
  ""Explanation"": ""The text contains polysyndenton, as it uses the conjunction 'and' between every item in the list (truth, love, courage, and honesty).""
}",['polysyndenton'],"{
  ""Properties"": [""asyndenton""],
  ""Explanation"": ""The example text uses asyndenton with the listing of 'loss of faith in the Church as an institution will be complete'.""
}",['asyndenton'],[],['polysyndenton'],-1,[]
143,[9 1 8],"Sagacious gun owners have always known that the ultimate goal of gun control extremists such as Chuck Schumer, Nancy Pelosi, Dianne Feinstein, et al., has always been gun confiscation.",Series,['bracketing'],['bracketing'],['bracketing'],"{
  ""Properties"": [""bracketing"", ""asyndenton""],
  ""Explanation"": ""The items 'Chuck Schumer, Nancy Pelosi, Dianne Feinstein' are implicitly lumped into the same category of 'gun control extremists'. Additionally, the listing of names is done without any conjunctions, using asyndenton.""
}","['bracketing', 'asyndenton']","```{
  ""Properties"": [""bracketing""],
  ""Explanation"": ""The use of 'gun control extremists such as...et al.' lumps all the listed individuals into the same category.""
}```",['bracketing'],"{
  ""Properties"": [""bracketing""],
  ""Explanation"": ""The use of 'such as' implicilty lumps Chuck Schumer, Nancy Pelosi, Dianne Feinstein, and others into the same category of gun control extremists.""
}",['bracketing'],['bracketing'],['bracketing'],1,[]
159,[1],This is a very real threat – one that is largely immune to attack from the air.,Series,[],[],[],"``` 
{
    ""Properties"": [""asyndenton""],
    ""Explanation"": ""The example text uses asyndenton, as it lists three items without using any conjunctions.""
}
```",['asyndenton'],"{
  ""Properties"": [""polysyndenton""],
  ""Explanation"": ""The use of 'and' between 'truth', 'love', 'courage', and 'honesty' demonstrates polysyndenton in the text.""
}",['polysyndenton'],"{
  ""Properties"": [""asyndenton""],
  ""Explanation"": ""The example text uses asyndeton by listing the items 'truth', 'love', 'courage', and 'honesty' without using any conjunctions between them.""
}",['asyndenton'],[],['asyndenton'],-1,[]
188,[1],They would be immediate targets should the US and South Korea attack the north.,Series,[],[],[],"{
  ""Properties"": [""asyndeton""],
  ""Explanation"": ""The example text contains a list of items ('the US and South Korea') with no conjunctions, making it an example of asyndeton.""
}",['asyndenton'],"{
  ""Properties"": [""bracketing""],
  ""Explanation"": ""The items 'US' and 'South Korea' are bracketed together as the potential attackers of 'the north'.""
}",['bracketing'],"{
  ""Properties"": [""asyndenton""],
  ""Explanation"": ""The example text uses asyndenton to list the US and South Korea as entities that would be immediate targets in the event of an attack on the north.""
}",['asyndenton'],[],['asyndenton'],-1,[]
194,[9 1],"Think of this, the meekest man alive was sent to the face of the Pharaoh to tell him to obey or else.",Series,[],[],[],"{
  ""Properties"": [""asyndenton""],
  ""Explanation"": ""The example text uses asyndeton by listing the actions 'I came, I saw, I conquered' without any conjunctions.""
}",['asyndenton'],"{
  ""Properties"": [""asyndeton""],
  ""Explanation"": ""The example text uses asyndeton to list the actions of the meek man without using any conjunctions.""
}",['asyndenton'],"{
  ""Properties"": [""asyndenton""],
  ""Explanation"": ""The example text uses asyndenton to list the actions of the meek man without using any conjunctions.""
}",['asyndenton'],[],['asyndenton'],-1,[]
199,[1],"“When Kavanaugh is on the Supreme Court, undermining our #4thAmendment right against unreasonable searches and seizures, it will be too late for others to join me.”",Series,[],[],[],"{
  ""Properties"": [""asyndenton""],
  ""Explanation"": ""The example text uses asyndenton, as it lists clauses without using conjunctions between them.""
}",['asyndenton'],"{
  ""Properties"": [""polysyndenton""],
  ""Explanation"": ""The example text uses the polysyndenton property by using the conjunction 'and' between the different elements in the list.""
}",['polysyndenton'],"{
  ""Properties"": [
    ""asyndeton""
  ],
  ""Explanation"": ""The example text uses asyndeton by listing the consequences of Kavanaugh being on the Supreme Court without using any conjunctions.""
}",['asyndenton'],[],['asyndenton'],-1,[]
202,[1],"A gird failure would almost immediately fling the United States into a state of panic, and it’s always good to be prepared just in case.",Series,[],[],[],"{
  ""Properties"": [""asyndenton""],
  ""Explanation"": ""The example text uses asyndenton by listing actions without any conjunctions.""
}",['asyndenton'],"{
  ""Properties"": [""gradatio""],
  ""Explanation"": ""The list of items suggests a chain of causality, as the faith is added to virtue, which is added to knowledge, and so on.""
}",['gradatio'],"{
  ""Properties"": [""asyndenton""],
  ""Explanation"": ""The example text uses asyndenton when listing the effects of a grid failure, creating a sense of urgency and immediacy.""
}",['asyndenton'],[],['asyndenton'],-1,[]
204,[1],"It has become a superdogma in the Catholic Church: if you don’t believe that Islam is a Religion of Peace, you will be ruthlessly harassed and silenced by the U.S. Conference of Catholic Bishops and the hierarchy elsewhere as well.",Series,[],[],[],"{
  ""Properties"": [""polysyndenton""],
  ""Explanation"": ""The use of 'and' between 'U.S. Conference of Catholic Bishops' and 'the hierarchy elsewhere' indicates the presence of polysyndenton.""
}",['polysyndenton'],"{
  ""Properties"": [""polysyndenton""],
  ""Explanation"": ""The use of the conjunction 'and' between 'the U.S. Conference of Catholic Bishops' and 'the hierarchy elsewhere as well' indicates the presence of polysyndenton.""
}",['polysyndenton'],"{
  ""Properties"": [""asyndenton""],
  ""Explanation"": ""The example text uses asyndenton with the listing of 'U.S. Conference of Catholic Bishops and the hierarchy elsewhere'.""
}",['asyndenton'],[],['polysyndenton'],-1,[]
214,[1],"""One woman (was) screaming through my door that I should be killed and I should die,"" he told reporters at Friday's news conference.",Series,[],['polysyndenton'],[],"``` 
{
  ""Properties"": [""asyndenton""],
  ""Explanation"": ""The example text contains a list of actions without the use of any conjunctions, fitting the definition of asyndenton.""
}
```",['asyndenton'],"{
  ""Properties"": [""asyndenton""],
  ""Explanation"": ""The use of 'and' is avoided when listing the threatening statements, creating a sense of urgency and impact.""
}",['asyndenton'],"{
  ""Properties"": [""asyndenton""],
  ""Explanation"": ""The example text uses asyndenton by listing items without using any conjunctions.""
}",['asyndenton'],[],['asyndenton'],-1,[]
219,[1],"While Iran told the U.N. nuclear watchdog agency on Tuesday that it plans only to increase enrichment within limits set by 2015 deal, the announcement came with threats from a top Iranian official that the activities could be quickly expanded.",Series,[],[],[],"{
  ""Properties"": [""asyndenton""],
  ""Explanation"": ""The example text uses asyndenton by listing the actions 'told', 'plans', and 'came' without any conjunctions.""
}",['asyndenton'],"{
  ""Properties"": [""asyndenton""],
  ""Explanation"": ""The example text uses asyndenton to list the activities being threatened - 'increase enrichment within limits set by 2015 deal' and 'quickly expanded'.""
}",['asyndenton'],"{
  ""Properties"": [
    ""asyndenton""
  ],
  ""Explanation"": ""The example text uses asyndenton, as there are no conjunctions used when listing the actions of Iran, which creates a sense of urgency and emphasizes each action independently.""
}",['asyndenton'],[],['asyndenton'],-1,[]
241,[9 2],"After Farrakhan's speech Sunday, CNN anchor Jake Tapper, among a few others, began tweeting out a few quotes from it, and declared that Farrakhan was more dangerous than other ""alt-reich"" leaders because he “has a much larger following and elected officials meet with him openly.”",Series,[],[],[],"{
  ""Properties"": [""asyndeton""],
  ""Explanation"": ""The text uses the asyndeton property, as it lists items without using any conjunctions.""
}",['asyndenton'],"{
  ""Properties"": [""polysyndenton"", ""asyndenton""],
  ""Explanation"": ""The text uses both polysyndenton ('a few others') and asyndenton ('a few quotes from it') when listing individuals and quotes.""
}","['polysyndenton', 'asyndenton']","{
  ""Properties"": [""polysyndenton""],
  ""Explanation"": ""The use of the conjunction 'and' between 'a few quotes from it', and 'declared that Farrakhan was more dangerous' suggests the use of polysyndenton.""
}",['polysyndenton'],[],['asyndenton'],-1,[]
243,[2 6],Women everywhere should be furious.,Series,[],[],[],"{
    ""Properties"": [""asyndeton""],
    ""Explanation"": ""The example text uses asyndeton by listing items without using any conjunctions.""
}",['asyndenton'],"{
  ""Properties"": [""asyndenton""],
  ""Explanation"": ""The example text uses asyndenton by not using any conjunctions when listing items.""
}",['asyndenton'],"{
  ""Properties"": [],
  ""Explanation"": ""None of the listed properties of Series are used in the example text.""
}",[],[],['asyndenton'],-1,[]
244,[2],"Why not, one could say, since the Church is ready to bless nearly everything on the earth?",Series,[],[],[],"{
  ""Properties"": [""asyndenton""],
  ""Explanation"": ""The example text uses asyndenton to list reasons why one could say something."" 
}",['asyndenton'],"{
  ""Properties"": [""asyndenton""],
  ""Explanation"": ""The example text demonstrates the use of asyndenton by listing items without using any conjunctions.""
}",['asyndenton'],"{
  ""Properties"": [""asyndenton""],
  ""Explanation"": ""The example text uses asyndenton by listing the items without using any conjunctions.""
}",['asyndenton'],[],['asyndenton'],-1,[]
245,[2],"I am sure there are many many others, too, who think alike, but whom I do not know.",Series,[],[],[],"{
  ""Properties"": [""asyndenton""],
  ""Explanation"": ""The text uses asyndenton by not using any conjunctions when listing items.""
}",['asyndenton'],"{
  ""Properties"": [""asyndenton""],
  ""Explanation"": ""The example text uses asyndenton by listing items (many, many others, too) without using any conjunctions.""
}",['asyndenton'],"{
  ""Properties"": [""asyndenton""],
  ""Explanation"": ""The example text includes a list of items (many, many others, too) without using any conjunctions, making it an example of asyndenton.""
}",['asyndenton'],[],['asyndenton'],-1,[]
