,sentence_id,technique,text,feature_id,props_a20,props_a21,props_a22,annotator_consitency,props_gpt4_majority,res_1.0_1,gpt_props_1.0_1,res_1.0_2,gpt_props_1.0_2,res_1.0_3,gpt_props_1.0_3,gpt3.5_1.0_consistency,res_0.2_1,gpt_props_0.2_1,res_0.2_2,gpt_props_0.2_2,res_0.2_3,gpt_props_0.2_3,gpt3.5_0.2_consistency
0,4,[0 8 9],"Muhammad advises the same thing, according to the tradition of the Muslim doctors: wherefore the great Temur always strove to exterminate the infidels, as much to acquire that glory, as to signalise himself by the greatness of his conquests.”",Phrases_built_on_verbs,[],[],['inifinitive_phrases'],False,[],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The sentence contains a participial phrase 'wherefore the great Temur always strove to exterminate the infidels' which modifies the main clause and provides additional information about Temur's actions and motives.""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The phrase 'according to the tradition of the Muslim doctors' is a participial phrase modifying the verb 'advises.' It provides additional information about the action of advising.""
}",['participal_phrases'],"{
  ""Properties"": [""participial phrases""],
  ""Explanation"": ""The phrase 'wherefore the great Temur always strove to exterminate the infidels' functions as a participial phrase, providing additional information about the action and motive of Temur.""
}",['participial_phrases'],False,"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The phrase 'to signalise himself by the greatness of his conquests' is a participal phrase, as it describes the reason or purpose for Temur's actions.""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The phrase 'to signalise himself by the greatness of his conquests' is a participal phrase, as it describes the reason for Temur's actions and is headed by the participle 'signalise'.""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The phrase 'to signalise himself by the greatness of his conquests' is a participal phrase, as it describes the reason for Temur's actions and is headed by the participle 'signalise'.""
}",['participal_phrases'],1
1,11,[0 8],"We are simply asked to take the pope’s word for it, but given that it follows his astoundingly brazen lie that there was no evidence for Ricca’s homosexual activity in the first place, we can take the assurance for what it seems to be worth.",Phrases_built_on_verbs,"['inifinitive_phrases', 'participal_phrases']",[],['inifinitive_phrases'],False,[],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The sentence contains a participial phrase 'given that it follows his astoundingly brazen lie that there was no evidence for Ricca’s homosexual activity in the first place'. This phrase modifies the main clause by providing additional information about the circumstances under which we are asked to take the pope's word for it.""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The sentence contains a participal phrase 'given that it follows his astoundingly brazen lie that there was no evidence for Ricca’s homosexual activity in the first place,' which provides more information about the situation.""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The text contains a participial phrase 'that there was no evidence for Ricca’s homosexual activity', which describes the action preceding the following clause.""
}",['participal_phrases'],True,"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The sentence contains a participal phrase 'given that it follows his astoundingly brazen lie that there was no evidence for Ricca’s homosexual activity in the first place'. This phrase modifies the main clause and provides additional information about the context.""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The sentence contains a participal phrase 'given that it follows his astoundingly brazen lie that there was no evidence for Ricca’s homosexual activity in the first place'. This phrase modifies the main clause and provides additional information about the context.""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The sentence contains a participal phrase 'given that it follows his astoundingly brazen lie that there was no evidence for Ricca’s homosexual activity in the first place'. This phrase modifies the main clause and provides additional information about the context.""
}",['participal_phrases'],1
4,23,[0],"“This is a clear violation of the Senate Ethics rules which safeguard against the appearance or actuality of elected officials ‘cashing in’ on their official position for political purposes,” said Kendra Arnold, executive director of FACT.",Phrases_built_on_verbs,[],[],[],True,[],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The phrase 'cashing in' is a participial phrase expressing the action of elected officials. It modifies the noun 'officials' and functions as an adjective in the sentence.""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The phrase 'cashing in' is a participal phrase, as it describes the action of elected officials in a manner that changes the relation of that action to an agent.""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The phrase 'safeguard against the appearance or actuality of elected officials ‘cashing in’ on their official position for political purposes' is a participial phrase, as it is headed by the present participle 'safeguard' and modifies the noun 'rules.'""
}",['participal_phrases'],True,"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The phrase 'safeguard against the appearance or actuality of elected officials ‘cashing in’ on their official position for political purposes' is a participal phrase, as it is describing the Senate Ethics rules.""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The phrase 'cashing in' is a participial phrase, indicating the action associated with elected officials.""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The phrase 'cashing in' is a participial phrase, as it is used to describe the action of elected officials. It functions as an adjective phrase modifying the noun 'officials'.""
}",['participal_phrases'],1
5,32,[0 6],Cardinal Raymond Burke’s statement declares: “The declarations made by a prelate of the authority of Archbishop Carlo Maria Viganò must be totally taken to heart by those responsible in the Church.”,Phrases_built_on_verbs,[],[],[],True,[],"{
  ""Properties"": [""participial phrases""],
  ""Explanation"": ""The sentence contains a participial phrase 'made by a prelate of the authority of Archbishop Carlo Maria Viganò'. This phrase modifies the noun 'declarations' and gives more information about them, fulfilling the criteria of a participial phrase.""
}",['participial_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The phrase 'made by a prelate of the authority of Archbishop Carlo Maria Viganò' is a participal phrase modifying 'declarations', indicating the source of the declarations and changing the relationship of the action 'made' to an agent.""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The phrase 'made by a prelate of the authority of Archbishop Carlo Maria Viganò' is a participal phrase, describing the nature of the declarations made.""
}",['participal_phrases'],False,"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The sentence contains a participial phrase 'made by a prelate of the authority of Archbishop Carlo Maria Viganò', which modifies the noun 'declarations'.""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The phrase 'made by a prelate' is a participal phrase, as it describes the declarations and functions as an adjective phrase headed by the participle 'made'.""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The statement contains a participial phrase 'made by a prelate of the authority of Archbishop Carlo Maria Viganò', which modifies the noun 'declarations'.""
}",['participal_phrases'],1
6,43,[0],"As a former trial lawyer, I can tell you that while neither notes nor memories are infallible, in a contest between contemporaneous notes and later verbal testimony about those notes, the content of the written notes usually prevails.",Phrases_built_on_verbs,['participal_phrases'],['participal_phrases'],[],False,[],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The example contains a participal phrase 'neither notes nor memories are infallible' to express the state of being of the notes and memories.""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The example contains a participal phrase 'while neither notes nor memories are infallible', which expresses the state of being for the notes and memories.""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The phrase 'written notes usually prevails' is a participial phrase describing the content of the written notes.""
}",['participal_phrases'],True,"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The sentence contains a participial phrase 'neither notes nor memories are infallible' which functions as an adjective phrase modifying the subject 'neither notes nor memories'.""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The sentence contains a participial phrase 'neither notes nor memories are infallible' which modifies the subject of the sentence.""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The sentence contains a participial phrase 'while neither notes nor memories are infallible' which modifies the main clause.""
}",['participal_phrases'],1
7,47,[0],"“I don’t regard Louis Farrakhan as an aberration or anything, I regard him as an outstanding human being who commands a following of individuals who are learned and articulate and he plays a big role in the lives of thousands and thousands and thousands and thousands of people,” he emphasized later.",Phrases_built_on_verbs,[],[],[],True,[],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The sentence contains a participial phrase 'being a outstanding human being' which describes Louis Farrakhan.""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The sentence contains a participial phrase 'being learned and articulate' modifying 'individuals', indicating that the phrase is an adjective phrase headed by a present participle.""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The phrase 'being who commands a following' is a participial phrase used to describe Louis Farrakhan.""
}",['participal_phrases'],True,"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The sentence contains a participial phrase 'being learned and articulate' which modifies 'individuals'. This participial phrase functions as an adjective to provide additional information about the individuals who follow Louis Farrakhan.""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The sentence contains a participial phrase 'being an outstanding human being' which modifies the noun 'Louis Farrakhan'. This participial phrase functions as an adjective in the sentence.""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The sentence contains a participal phrase 'being learned and articulate' which modifies the noun 'individuals'. This participal phrase provides additional information about the individuals who follow Louis Farrakhan.""
}",['participal_phrases'],1
8,50,[0],"John Hancock, the first signer of the Declaration of Independence, said,",Phrases_built_on_verbs,[],[],[],True,[],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The phrase 'the first signer of the Declaration of Independence' is a participal phrase modifying the noun 'John Hancock.' It describes his role in relation to the Declaration of Independence.""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The phrase 'the first signer of the Declaration of Independence' is a participial phrase modifying 'John Hancock'.""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The participal phrase 'the first signer of the Declaration of Independence' modifies the noun 'John Hancock'. This phrase is built on the verb 'signer', illustrating the use of a participal phrase.""
}",['participal_phrases'],True,"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The phrase 'the first signer of the Declaration of Independence' is a participial phrase modifying the noun 'John Hancock'. It provides additional information about John Hancock by describing his role as the first signer of the Declaration of Independence.""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The phrase 'the first signer of the Declaration of Independence' is a participial phrase modifying the noun 'John Hancock'. It provides additional information about John Hancock by using a participle ('signer') and functions as an adjective phrase.""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The phrase 'the first signer of the Declaration of Independence' is a participial phrase modifying the noun 'John Hancock'. It provides additional information about John Hancock by using the participle 'signer'.""
}",['participal_phrases'],1
9,54,[0],"She said Thursday regarding Ms. Ford: ""I believe her because she is telling the truth and you know it by her story.""",Phrases_built_on_verbs,[],[],[],True,[],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The phrase 'telling the truth' is a participal phrase, which modifies 'she.' It provides additional information about Ms. Ford and functions as an adjective in the sentence.""
}",['participal_phrases'],"{
  ""Properties"": [""participial phrases""],
  ""Explanation"": ""The phrase 'telling the truth' is a participial phrase modifying 'she'. It describes the action in a way that changes the relation of the action to the agent.""
}",['participial_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The phrase 'telling the truth' is a participal phrase, as it describes Ms. Ford and is headed by the participle 'telling'. It changes the relation of the action 'telling' to the agent (Ms. Ford).""
}",['participal_phrases'],False,"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The sentence contains a participial phrase 'telling the truth' which modifies 'she'.""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The sentence contains a participial phrase 'telling the truth', which modifies 'she'.""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The sentence contains a participial phrase 'telling the truth', which modifies the subject 'she'.""
}",['participal_phrases'],1
10,68,[0],"I have read the Cardinal's exposition in both Italian and English, and I only find mention of the help of the sacraments in certain cases.",Phrases_built_on_verbs,[],[],[],True,[],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The sentence 'having read the Cardinal's exposition in both Italian and English' contains a participial phrase 'having read', which modifies the subject's action.""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The sentence contains a participial phrase 'having read the Cardinal's exposition in both Italian and English', which modifies the subject 'I'. This phrase provides additional information about the action of reading.""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The presence of the participal phrase 'having read' signals that the action of reading occurred prior to the main action, 'find mention'. This changes the relation of reading to the agent, suggesting a sequence of events.""
}",['participal_phrases'],True,"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The participal phrase 'having read the Cardinal's exposition in both Italian and English' is used in the sentence.""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The participal phrase 'having read the Cardinal's exposition in both Italian and English' is used to provide additional information about the subject 'I'.""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The participal phrase 'having read the Cardinal's exposition in both Italian and English' modifies the subject 'I', indicating the action that was completed before the main action of 'find mention of the help of the sacraments'.""
}",['participal_phrases'],1
11,73,[0],"Meanwhile, according to a Breitbart report by Allum Bokhari, “By inserting negative search suggestions under the name of a candidate, search engines like Google can shift the opinions of undecided voters by up to 43.4 percent, according to new research by a team at the American Institute for Behavioral Research and Technology and reported exclusively by Breitbart News.”",Phrases_built_on_verbs,['participal_phrases'],['participal_phrases'],['participal_phrases'],True,[],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The phrase 'according to a Breitbart report' is functioning as a participial phrase, providing additional information about the action of the main verb 'shift.'""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The participal phrase 'reported exclusively by Breitbart News' modifies the verb 'research' and provides additional information about how the research was reported.""
}",['participal_phrases'],"{
  ""Properties"": [""participial phrases""],
  ""Explanation"": ""The sentence contains a participial phrase 'inserting negative search suggestions' which modifies the action of 'search engines'.""
}",['participial_phrases'],False,"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The phrase 'reported exclusively by Breitbart News' is a participal phrase modifying the verb 'research'. It indicates who reported the research and how it was reported.""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The example text contains a participal phrase 'By inserting negative search suggestions under the name of a candidate', which modifies the action of search engines and provides additional information about their behavior.""
}",['participal_phrases'],"{
  ""Properties"": [""participal phrases""],
  ""Explanation"": ""The participal phrase 'reported exclusively by Breitbart News' modifies the verb 'research' and provides additional information about the source of the report.""
}",['participal_phrases'],1
