sentence_id,technique,text,feature_id,props_a20,props_a21,props_a22,res2,gpt_props2,res3,gpt_props3,res1,gpt_props1,props_a_majority,props_gpt_majority,ann_gpt_agreemnt,props_gpt4_majority
4,[0 8 9],"Muhammad advises the same thing, according to the tradition of the Muslim doctors: wherefore the great Temur always strove to exterminate the infidels, as much to acquire that glory, as to signalise himself by the greatness of his conquests.”",Modifying_phrases,"['prepositional_phrases', 'single_word_modifiers', 'multiplying_and_embedding_modifiers']","['prepositional_phrases', 'single_word_modifiers']",['prepositional_phrases'],"{
  ""Properties"": [
    ""prepositional phrases"",
    ""single word modifiers""
  ],
  ""Explanation"": ""The example text contains prepositional phrases such as 'according to the tradition' and 'to acquire that glory', which modify the verb. It also includes single word modifiers such as 'great' and 'much' which are adjectives and adverbs.""
}","['prepositional_phrases', 'single_word_modifiers']","{
  ""Properties"": [""prepositional phrases"", ""single word modifiers""],
  ""Explanation"": ""The example text contains prepositional phrases like 'according to the tradition' and single word modifiers like 'great' and 'much'.""
}","['prepositional_phrases', 'single_word_modifiers']","{
  ""Properties"": [""prepositional phrases"", ""single word modifiers""],
  ""Explanation"": ""The example text contains prepositional phrases (e.g. 'according to the tradition of the Muslim doctors') and single word modifiers (e.g. 'great').""
}","['prepositional_phrases', 'single_word_modifiers']","['prepositional_phrases', 'single_word_modifiers', 'multiplying_and_embedding_modifiers']","['prepositional_phrases', 'single_word_modifiers']",0,[]
11,[0 8],"We are simply asked to take the pope’s word for it, but given that it follows his astoundingly brazen lie that there was no evidence for Ricca’s homosexual activity in the first place, we can take the assurance for what it seems to be worth.",Modifying_phrases,"['prepositional_phrases', 'single_word_modifiers']","['prepositional_phrases', 'single_word_modifiers', 'multiplying_and_embedding_modifiers']",['prepositional_phrases'],"{
  ""Properties"": [
    ""prepositional phrases"",
    ""single word modifiers"",
    ""multiplying and embedding modifiers""
  ],
  ""Explanation"": ""The example text contains prepositional phrases such as 'for it' and 'of Ricca’s homosexual activity', single word modifiers like 'astoundingly' and 'brazen', and multiplying and embedding modifiers in the form of multiple modification words and phrases within a single sentence.""
}","['prepositional_phrases', 'single_word_modifiers', 'multiplying_and_embedding_modifiers']","{
  ""Properties"": [""prepositional phrases"", ""single word modifiers""],
  ""Explanation"": ""The text contains prepositional phrases such as 'for it' and 'in the first place', and single word modifiers such as 'simply', 'astoundingly', and 'brazen'.""
}","['prepositional_phrases', 'single_word_modifiers']","{
  ""Properties"": [""prepositional phrases"", ""single word modifiers"", ""multiplying and embedding modifiers""],
  ""Explanation"": ""The example text contains prepositional phrases modifying the verb 'asked' (e.g., 'to take the pope’s word for it'), single word modifiers modifying 'lie' and 'homosexual activity' (e.g., 'astoundingly brazen' and 'homosexual'), and multiplying and embedding modifiers within the sentence structure (e.g., 'but given that it follows his astoundingly brazen lie that there was no evidence for Ricca’s homosexual activity in the first place').""
}","['prepositional_phrases', 'single_word_modifiers', 'multiplying_and_embedding_modifiers']","['prepositional_phrases', 'single_word_modifiers']","['prepositional_phrases', 'single_word_modifiers', 'multiplying_and_embedding_modifiers']",0,[]
14,[0],Conservative Ben Shapiro told Fox news the verdict was “horrifying.,Modifying_phrases,['single_word_modifiers'],[],[],timeout,[],"{
  ""Properties"": [""single word modifiers""],
  ""Explanation"": ""The adjectives 'Conservative' and 'horrifying' modify the nouns 'Ben Shapiro' and 'verdict' respectively.""
}",['single_word_modifiers'],"{
  ""Properties"": [""single word modifiers""],
  ""Explanation"": ""The adjectives 'Conservative' and 'horrifying' modify the noun 'Ben Shapiro' and the verb 'told' respectively.""
}",['single_word_modifiers'],[],['single_word_modifiers'],-1,[]
16,[0],"According to Breitbart, “Sellner, who described the detention centre as looking akin to a typical American prison, said he was told by authorities that his speaking at Hyde Park could cause violence and disrupt community cohesion.”",Modifying_phrases,['prepositional_phrases'],"['prepositional_phrases', 'multiplying_and_embedding_modifiers']","['prepositional_phrases', 'single_word_modifiers', 'multiplying_and_embedding_modifiers']","{
  ""Properties"": [""prepositional phrases"", ""single word modifiers""],
  ""Explanation"": ""The example text contains prepositional phrases such as 'according to Breitbart' and 'at Hyde Park', as well as single word modifiers like 'typical' and 'American'.""
}","['prepositional_phrases', 'single_word_modifiers']","{
  ""Properties"": [
    ""prepositional phrases"",
    ""single word modifiers""
  ],
  ""Explanation"": ""The text contains prepositional phrases like 'according to Breitbart' and 'at Hyde Park' which modify the verb and adjectives in the sentence. It also includes single word modifiers such as 'typical' and 'American' to modify the noun 'prison'."" 
}","['prepositional_phrases', 'single_word_modifiers']",timeout,[],['prepositional_phrases'],"['prepositional_phrases', 'single_word_modifiers']",0,[]
23,[0],"“This is a clear violation of the Senate Ethics rules which safeguard against the appearance or actuality of elected officials ‘cashing in’ on their official position for political purposes,” said Kendra Arnold, executive director of FACT.",Modifying_phrases,"['multiplying_and_embedding_modifiers', 'single_word_modifiers']","['prepositional_phrases', 'single_word_modifiers']","['prepositional_phrases', 'single_word_modifiers']","{
  ""Properties"": [
    ""prepositional phrases"",
    ""single word modifiers""
  ],
  ""Explanation"": ""The example text contains prepositional phrases such as 'of the Senate Ethics rules' and 'for political purposes', which modify the verb and noun. It also includes single word modifiers like 'clear' and 'official'.""
}","['prepositional_phrases', 'single_word_modifiers']","{
  ""Properties"": [""prepositional phrases"", ""single word modifiers""],
  ""Explanation"": ""The prepositional phrase 'of the Senate Ethics rules' modifies the 'violation' and the single word adjective 'clear' modifies the noun 'violation'.""
}","['prepositional_phrases', 'single_word_modifiers']","{
  ""Properties"": [
    ""prepositional phrases"",
    ""single word modifiers""
  ],
  ""Explanation"": ""The prepositional phrase 'of the Senate Ethics rules' modifies the violation, and the word 'clear' is a single word modifier.""
}","['prepositional_phrases', 'single_word_modifiers']","['prepositional_phrases', 'single_word_modifiers']","['prepositional_phrases', 'single_word_modifiers']",1,[]
32,[0 6],Cardinal Raymond Burke’s statement declares: “The declarations made by a prelate of the authority of Archbishop Carlo Maria Viganò must be totally taken to heart by those responsible in the Church.”,Modifying_phrases,"['prepositional_phrases', 'single_word_modifiers']","['prepositional_phrases', 'single_word_modifiers']","['multiplying_and_embedding_modifiers', 'prepositional_phrases', 'single_word_modifiers']","{
  ""Properties"": [""prepositional phrases""],
  ""Explanation"": ""The example text contains prepositional phrases such as 'of the authority of Archbishop Carlo Maria Viganò' and 'by those responsible in the Church', which modify the verb 'declares' and the subject 'prelate', respectively.""
}",['prepositional_phrases'],"{
  ""Properties"": [""prepositional phrases"", ""single word modifiers""],
  ""Explanation"": ""The text contains prepositional phrases such as 'of the authority' and 'in the Church' which modify the nouns. It also includes single word modifiers such as 'totally' which modifies the verb 'taken'.""
}","['prepositional_phrases', 'single_word_modifiers']","{
    ""Properties"": [""prepositional phrases"", ""single word modifiers""],
    ""Explanation"": ""The example text contains prepositional phrases such as 'by a prelate of the authority of Archbishop Carlo Maria Viganò' and single word modifiers such as 'totally'.""
}","['prepositional_phrases', 'single_word_modifiers']","['prepositional_phrases', 'single_word_modifiers']","['prepositional_phrases', 'single_word_modifiers']",1,[]
43,[0],"As a former trial lawyer, I can tell you that while neither notes nor memories are infallible, in a contest between contemporaneous notes and later verbal testimony about those notes, the content of the written notes usually prevails.",Modifying_phrases,"['multiplying_and_embedding_modifiers', 'prepositional_phrases', 'single_word_modifiers']","['prepositional_phrases', 'single_word_modifiers']","['prepositional_phrases', 'single_word_modifiers']",timeout,[],"{
  ""Properties"": [""prepositional phrases"", ""single word modifiers""],
  ""Explanation"": ""The text contains prepositional phrases modifying the subject, verb, and adjective. It also includes single-word modifiers such as 'former', 'contemporaneous', 'later', and 'written'.""
}","['prepositional_phrases', 'single_word_modifiers']","{
  ""Properties"": [
    ""prepositional phrases"",
    ""single word modifiers"",
    ""multiplying and embedding modifiers""
  ],
  ""Explanation"": ""The example text contains prepositional phrases that modify the subject (e.g., 'of the written notes'), single word modifiers such as 'contemporaneous,' and multiplying and embedding modifiers with phrases like 'neither notes nor memories are infallible.'""
}","['prepositional_phrases', 'single_word_modifiers', 'multiplying_and_embedding_modifiers']","['prepositional_phrases', 'single_word_modifiers']","['prepositional_phrases', 'single_word_modifiers', 'multiplying_and_embedding_modifiers']",0,[]
47,[0],"“I don’t regard Louis Farrakhan as an aberration or anything, I regard him as an outstanding human being who commands a following of individuals who are learned and articulate and he plays a big role in the lives of thousands and thousands and thousands and thousands of people,” he emphasized later.",Modifying_phrases,"['prepositional_phrases', 'single_word_modifiers', 'multiplying_and_embedding_modifiers']","['prepositional_phrases', 'single_word_modifiers']","['prepositional_phrases', 'single_word_modifiers']","{
  ""Properties"": [
    ""single word modifiers"",
    ""multiplying and embedding modifiers""
  ],
  ""Explanation"": ""The text contains single word modifiers such as 'outstanding' and 'big', as well as multiplying and embedding modifiers such as 'thousands and thousands and thousands and thousands'.""
}","['single_word_modifiers', 'multiplying_and_embedding_modifiers']","{
  ""Properties"": [""single word modifiers"", ""multiplying and embedding modifiers""],
  ""Explanation"": ""The example text contains adjectives and adverbs (e.g. 'outstanding', 'learned', 'articulate') as single word modifiers, and also has multiplying and embedding modifiers by using multiple modification words and phrases ('thousands and thousands and thousands and thousands').""
}","['single_word_modifiers', 'multiplying_and_embedding_modifiers']","{
  ""Properties"": [""prepositional phrases"", ""single word modifiers"", ""multiplying and embedding modifiers""],
  ""Explanation"": ""The example text contains prepositional phrases (e.g. 'of individuals' and 'in the lives of thousands and thousands and thousands and thousands of people'), single word modifiers (e.g. 'outstanding' and 'learned'), and multiplying and embedding modifiers (e.g. 'thousands and thousands and thousands and thousands').""
}","['prepositional_phrases', 'single_word_modifiers', 'multiplying_and_embedding_modifiers']","['prepositional_phrases', 'single_word_modifiers']","['single_word_modifiers', 'multiplying_and_embedding_modifiers']",0,[]
50,[0],"John Hancock, the first signer of the Declaration of Independence, said,",Modifying_phrases,"['prepositional_phrases', 'single_word_modifiers']",['multiplying_and_embedding_modifiers'],"['prepositional_phrases', 'single_word_modifiers']","{
  ""Properties"": [
    ""prepositional phrases"",
    ""single word modifiers""
  ],
  ""Explanation"": ""The prepositional phrase 'of the Declaration of Independence' modifies the noun 'signer' and the single word modifier 'first' modifies the noun 'signer'.""
}","['prepositional_phrases', 'single_word_modifiers']","{
  ""Properties"": [""prepositional phrases"", ""single word modifiers""],
  ""Explanation"": ""The prepositional phrase 'of the Declaration of Independence' modifies the noun 'signer' and the adjective 'first' modifies the noun 'signer'.""
}","['prepositional_phrases', 'single_word_modifiers']","{
    ""Properties"": [""prepositional phrases""],
    ""Explanation"": ""The prepositional phrase 'of the Declaration of Independence' modifies the noun 'signer'.""
}",['prepositional_phrases'],"['prepositional_phrases', 'single_word_modifiers']","['prepositional_phrases', 'single_word_modifiers']",1,[]
54,[0],"She said Thursday regarding Ms. Ford: ""I believe her because she is telling the truth and you know it by her story.""",Modifying_phrases,['prepositional_phrases'],[],['prepositional_phrases'],"{
  ""Properties"": [""prepositional phrases"", ""single word modifiers""],
  ""Explanation"": ""The text contains prepositional phrases such as 'regarding Ms. Ford' and 'by her story' which modify the verb 'said' and the verb 'know' respectively. It also includes the single word modifiers 'Thursday' and 'true'."" 
}","['prepositional_phrases', 'single_word_modifiers']","{
  ""Properties"": [
    ""prepositional phrases""
  ],
  ""Explanation"": ""The prepositional phrases 'regarding Ms. Ford' and 'by her story' modify the verb 'said' and the adjective 'know', respectively.""
}",['prepositional_phrases'],"{
  ""Properties"": [""prepositional phrases"", ""single word modifiers""],
  ""Explanation"": ""The prepositional phrase 'regarding Ms. Ford' modifies the verb 'said' and the adverb 'Thursday' modifies 'said'.""
}","['prepositional_phrases', 'single_word_modifiers']",['prepositional_phrases'],"['prepositional_phrases', 'single_word_modifiers']",0,[]
