sentence_id,technique,text,feature_id,props_a20,props_a21,props_a22,annotator_consistency,props_gpt4_majority,res_1.0_1,gpt_props_1.0_1,res_1.0_2,gpt_props_1.0_2,res_1.0_3,gpt_props_1.0_3,gpt3.5_1.0_consistency,res_0.2_1,gpt_props_0.2_1,res_0.2_2,gpt_props_0.2_2,res_0.2_3,gpt_props_0.2_3,gpt3.5_0.2_consistency,gpt3.5_0.2_majority,humans isCorrect,gpt isCorrect,comments,ground truth,Unnamed: 28,propertygpt-4o-mini,resgpt-4o-mini_0.0_V4,propertygpt-4o-mini_0.0_V4
4,[0 8 9],"Muhammad advises the same thing, according to the tradition of the Muslim doctors: wherefore the great Temur always strove to exterminate the infidels, as much to acquire that glory, as to signalise himself by the greatness of his conquests.”",Phrases_built_on_nouns,[],[],[],True,[],"{
  ""Properties"": [
    ""appositives"",
    ""summative modifier""
  ],
  ""Explanation"": ""The phrase 'according to the tradition of the Muslim doctors' acts as an appositive, renaming and providing additional information about 'the same thing.' Additionally, the phrase 'as much to acquire that glory, as to signalise himself by the greatness of his conquests' acts as a summative modifier, summarizing the reasons why Temur strove to exterminate the infidels.""
}","['appositives', 'summative_modifier']","{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'according to the tradition of the Muslim doctors' functions as an appositive, renaming and providing additional information about 'the same thing.'""
}",['appositives'],"{
  ""Properties"": [
    ""appositives"",
    ""summative modifier""
  ],
  ""Explanation"": ""The phrase 'according to the tradition of the Muslim doctors' is an appositive that renames and further describes the noun 'the same thing'. The phrase 'as much to acquire that glory, as to signalise himself by the greatness of his conquests' is a summative modifier that summarizes the preceding clause.""
}","['appositives', 'summative_modifier']",False,"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'according to the tradition of the Muslim doctors' is an appositive, as it renames and provides additional information about 'the same thing.'""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'according to the tradition of the Muslim doctors' is an appositive, as it renames and further describes the noun 'the same thing.'""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'according to the tradition of the Muslim doctors' is an appositive built on the noun 'thing', renaming and providing additional information about it.""
}",['appositives'],1,['appositives'],1.0,0.0,,[],,appositives,"{
  ""Answer"": ""no"",
  ""Explanation"": ""The sentence provided does not contain any appositives, which are phrases that rename or provide additional information about a noun. Instead, it consists of a complex structure with clauses and phrases that do not serve the function of renaming a noun. For example, 'the tradition of the Muslim doctors' and 'the great Temur' are not appositives as they do not rename or clarify a noun directly preceding them.""
}",[]
4,[0 8 9],"Muhammad advises the same thing, according to the tradition of the Muslim doctors: wherefore the great Temur always strove to exterminate the infidels, as much to acquire that glory, as to signalise himself by the greatness of his conquests.”",Phrases_built_on_nouns,[],[],[],True,[],"{
  ""Properties"": [
    ""appositives"",
    ""summative modifier""
  ],
  ""Explanation"": ""The phrase 'according to the tradition of the Muslim doctors' acts as an appositive, renaming and providing additional information about 'the same thing.' Additionally, the phrase 'as much to acquire that glory, as to signalise himself by the greatness of his conquests' acts as a summative modifier, summarizing the reasons why Temur strove to exterminate the infidels.""
}","['appositives', 'summative_modifier']","{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'according to the tradition of the Muslim doctors' functions as an appositive, renaming and providing additional information about 'the same thing.'""
}",['appositives'],"{
  ""Properties"": [
    ""appositives"",
    ""summative modifier""
  ],
  ""Explanation"": ""The phrase 'according to the tradition of the Muslim doctors' is an appositive that renames and further describes the noun 'the same thing'. The phrase 'as much to acquire that glory, as to signalise himself by the greatness of his conquests' is a summative modifier that summarizes the preceding clause.""
}","['appositives', 'summative_modifier']",False,"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'according to the tradition of the Muslim doctors' is an appositive, as it renames and provides additional information about 'the same thing.'""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'according to the tradition of the Muslim doctors' is an appositive, as it renames and further describes the noun 'the same thing.'""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'according to the tradition of the Muslim doctors' is an appositive built on the noun 'thing', renaming and providing additional information about it.""
}",['appositives'],1,['appositives'],1.0,0.0,,[],,absolute construction,"{
  ""Answer"": ""no"",
  ""Explanation"": ""The sentence provided does not contain any absolute constructions. Absolute constructions typically consist of a noun and a participle or adjective that provide additional information about the noun, often indicating a circumstance or condition. In the given sentence, there are no phrases that fit this structure; instead, it primarily consists of clauses and phrases that do not modify a noun in the manner characteristic of absolute constructions.""
}",[]
4,[0 8 9],"Muhammad advises the same thing, according to the tradition of the Muslim doctors: wherefore the great Temur always strove to exterminate the infidels, as much to acquire that glory, as to signalise himself by the greatness of his conquests.”",Phrases_built_on_nouns,[],[],[],True,[],"{
  ""Properties"": [
    ""appositives"",
    ""summative modifier""
  ],
  ""Explanation"": ""The phrase 'according to the tradition of the Muslim doctors' acts as an appositive, renaming and providing additional information about 'the same thing.' Additionally, the phrase 'as much to acquire that glory, as to signalise himself by the greatness of his conquests' acts as a summative modifier, summarizing the reasons why Temur strove to exterminate the infidels.""
}","['appositives', 'summative_modifier']","{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'according to the tradition of the Muslim doctors' functions as an appositive, renaming and providing additional information about 'the same thing.'""
}",['appositives'],"{
  ""Properties"": [
    ""appositives"",
    ""summative modifier""
  ],
  ""Explanation"": ""The phrase 'according to the tradition of the Muslim doctors' is an appositive that renames and further describes the noun 'the same thing'. The phrase 'as much to acquire that glory, as to signalise himself by the greatness of his conquests' is a summative modifier that summarizes the preceding clause.""
}","['appositives', 'summative_modifier']",False,"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'according to the tradition of the Muslim doctors' is an appositive, as it renames and provides additional information about 'the same thing.'""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'according to the tradition of the Muslim doctors' is an appositive, as it renames and further describes the noun 'the same thing.'""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'according to the tradition of the Muslim doctors' is an appositive built on the noun 'thing', renaming and providing additional information about it.""
}",['appositives'],1,['appositives'],1.0,0.0,,[],,resumptive modifier,"{
  ""Answer"": ""no"",
  ""Explanation"": ""The sentence provided does not contain any phrases built on nouns that repeat the noun they modify, which is the defining characteristic of resumptive modifiers. Instead, it presents a complex structure with various clauses and phrases, but none exemplify the resumptive modifier format as described.""
}",[]
4,[0 8 9],"Muhammad advises the same thing, according to the tradition of the Muslim doctors: wherefore the great Temur always strove to exterminate the infidels, as much to acquire that glory, as to signalise himself by the greatness of his conquests.”",Phrases_built_on_nouns,[],[],[],True,[],"{
  ""Properties"": [
    ""appositives"",
    ""summative modifier""
  ],
  ""Explanation"": ""The phrase 'according to the tradition of the Muslim doctors' acts as an appositive, renaming and providing additional information about 'the same thing.' Additionally, the phrase 'as much to acquire that glory, as to signalise himself by the greatness of his conquests' acts as a summative modifier, summarizing the reasons why Temur strove to exterminate the infidels.""
}","['appositives', 'summative_modifier']","{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'according to the tradition of the Muslim doctors' functions as an appositive, renaming and providing additional information about 'the same thing.'""
}",['appositives'],"{
  ""Properties"": [
    ""appositives"",
    ""summative modifier""
  ],
  ""Explanation"": ""The phrase 'according to the tradition of the Muslim doctors' is an appositive that renames and further describes the noun 'the same thing'. The phrase 'as much to acquire that glory, as to signalise himself by the greatness of his conquests' is a summative modifier that summarizes the preceding clause.""
}","['appositives', 'summative_modifier']",False,"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'according to the tradition of the Muslim doctors' is an appositive, as it renames and provides additional information about 'the same thing.'""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'according to the tradition of the Muslim doctors' is an appositive, as it renames and further describes the noun 'the same thing.'""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'according to the tradition of the Muslim doctors' is an appositive built on the noun 'thing', renaming and providing additional information about it.""
}",['appositives'],1,['appositives'],1.0,0.0,,[],,summative modifier,"{
  ""Answer"": ""no"",
  ""Explanation"": ""The sentence provided does not contain any phrases built on nouns that summarize or generalize a preceding clause or phrase. Instead, it presents a complex narrative without a clear summative modifier that encapsulates the preceding information.""
}",[]
11,[0 8],"We are simply asked to take the pope’s word for it, but given that it follows his astoundingly brazen lie that there was no evidence for Ricca’s homosexual activity in the first place, we can take the assurance for what it seems to be worth.",Phrases_built_on_nouns,[],[],[],True,[],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'his astoundingly brazen lie' is an appositive, renaming the noun 'word'.""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'his astoundingly brazen lie' renames the noun 'word' and modifies it with additional information.""
}",['appositives'],"{
  ""Properties"": [""resumptive modifier"", ""summative modifier""],
  ""Explanation"": ""The phrase 'his astoundingly brazen lie' is a resumptive modifier, as it repeats and modifies the noun 'lie'. The phrase 'what it seems to be worth' is a summative modifier, summarizing the preceding clause.""
}","['resumptive_modifier', 'summative_modifier']",False,"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'his astoundingly brazen lie' is an appositive, renaming the noun 'word'.""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'his astoundingly brazen lie' is an appositive, renaming the noun 'word'.""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'his astoundingly brazen lie' is an appositive that renames the noun 'word'.""
}",['appositives'],1,['appositives'],1.0,0.0,,[],,appositives,"{
  ""Answer"": ""no"",
  ""Explanation"": ""The sentence does not contain any appositives, which are phrases that rename or provide additional information about a noun. Instead, it consists of a complex structure with clauses and phrases that do not serve the function of renaming a noun.""
}",[]
11,[0 8],"We are simply asked to take the pope’s word for it, but given that it follows his astoundingly brazen lie that there was no evidence for Ricca’s homosexual activity in the first place, we can take the assurance for what it seems to be worth.",Phrases_built_on_nouns,[],[],[],True,[],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'his astoundingly brazen lie' is an appositive, renaming the noun 'word'.""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'his astoundingly brazen lie' renames the noun 'word' and modifies it with additional information.""
}",['appositives'],"{
  ""Properties"": [""resumptive modifier"", ""summative modifier""],
  ""Explanation"": ""The phrase 'his astoundingly brazen lie' is a resumptive modifier, as it repeats and modifies the noun 'lie'. The phrase 'what it seems to be worth' is a summative modifier, summarizing the preceding clause.""
}","['resumptive_modifier', 'summative_modifier']",False,"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'his astoundingly brazen lie' is an appositive, renaming the noun 'word'.""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'his astoundingly brazen lie' is an appositive, renaming the noun 'word'.""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'his astoundingly brazen lie' is an appositive that renames the noun 'word'.""
}",['appositives'],1,['appositives'],1.0,0.0,,[],,absolute construction,"{
  ""Answer"": ""no"",
  ""Explanation"": ""The sentence provided does not contain any absolute constructions. An absolute construction typically consists of a noun and a participle or a noun and a modifier that provides additional information about the noun, often indicating a condition or circumstance. In the given sentence, while there are phrases that provide context and detail, they do not fit the structure of an absolute construction as defined in the prompt.""
}",[]
11,[0 8],"We are simply asked to take the pope’s word for it, but given that it follows his astoundingly brazen lie that there was no evidence for Ricca’s homosexual activity in the first place, we can take the assurance for what it seems to be worth.",Phrases_built_on_nouns,[],[],[],True,[],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'his astoundingly brazen lie' is an appositive, renaming the noun 'word'.""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'his astoundingly brazen lie' renames the noun 'word' and modifies it with additional information.""
}",['appositives'],"{
  ""Properties"": [""resumptive modifier"", ""summative modifier""],
  ""Explanation"": ""The phrase 'his astoundingly brazen lie' is a resumptive modifier, as it repeats and modifies the noun 'lie'. The phrase 'what it seems to be worth' is a summative modifier, summarizing the preceding clause.""
}","['resumptive_modifier', 'summative_modifier']",False,"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'his astoundingly brazen lie' is an appositive, renaming the noun 'word'.""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'his astoundingly brazen lie' is an appositive, renaming the noun 'word'.""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'his astoundingly brazen lie' is an appositive that renames the noun 'word'.""
}",['appositives'],1,['appositives'],1.0,0.0,,[],,resumptive modifier,"{
  ""Answer"": ""no"",
  ""Explanation"": ""The sentence does not contain any phrases built on nouns that repeat the noun they modify, which is the defining characteristic of resumptive modifiers. Instead, it presents a complex structure with clauses and phrases that do not fit the criteria for resumptive modification.""
}",[]
11,[0 8],"We are simply asked to take the pope’s word for it, but given that it follows his astoundingly brazen lie that there was no evidence for Ricca’s homosexual activity in the first place, we can take the assurance for what it seems to be worth.",Phrases_built_on_nouns,[],[],[],True,[],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'his astoundingly brazen lie' is an appositive, renaming the noun 'word'.""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'his astoundingly brazen lie' renames the noun 'word' and modifies it with additional information.""
}",['appositives'],"{
  ""Properties"": [""resumptive modifier"", ""summative modifier""],
  ""Explanation"": ""The phrase 'his astoundingly brazen lie' is a resumptive modifier, as it repeats and modifies the noun 'lie'. The phrase 'what it seems to be worth' is a summative modifier, summarizing the preceding clause.""
}","['resumptive_modifier', 'summative_modifier']",False,"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'his astoundingly brazen lie' is an appositive, renaming the noun 'word'.""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'his astoundingly brazen lie' is an appositive, renaming the noun 'word'.""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'his astoundingly brazen lie' is an appositive that renames the noun 'word'.""
}",['appositives'],1,['appositives'],1.0,0.0,,[],,summative modifier,"{
  ""Answer"": ""no"",
  ""Explanation"": ""The sentence does not contain any phrases built on nouns that summarize or generalize a preceding clause or phrase. While it includes complex clauses and references, it lacks a specific noun phrase that serves as a summative modifier in the way described in the definition.""
}",[]
14,[0],Conservative Ben Shapiro told Fox news the verdict was “horrifying.,Phrases_built_on_nouns,[],[],[],True,[],"{
  ""Properties"": [""resumptive modifier""],
  ""Explanation"": ""The phrase 'Conservative Ben Shapiro' is a resumptive modifier, as it repeats and refers back to the noun it modifies, 'Ben Shapiro'.""
}",['resumptive_modifier'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'Conservative Ben Shapiro' is an appositive as it renames the noun 'Ben Shapiro'.""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'Conservative Ben Shapiro' is an appositive modifying the noun 'Shapiro.'""
}",['appositives'],False,"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'Conservative Ben Shapiro' is an appositive, renaming the noun 'Ben Shapiro'.""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'Conservative Ben Shapiro' is an appositive, renaming the noun 'Ben Shapiro'.""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'Conservative Ben Shapiro' is an appositive, renaming the noun 'Ben Shapiro' with additional information.""
}",['appositives'],1,['appositives'],1.0,0.0,,[],,appositives,"{
  ""Answer"": ""no"",
  ""Explanation"": ""The sentence does not contain any appositives. An appositive is a noun or noun phrase that renames another noun right beside it. In the provided sentence, 'Conservative Ben Shapiro' is a noun phrase, but it does not rename another noun; rather, it describes who Ben Shapiro is. There are no additional noun phrases that provide further identification or clarification of a noun in the sentence.""
}",[]
14,[0],Conservative Ben Shapiro told Fox news the verdict was “horrifying.,Phrases_built_on_nouns,[],[],[],True,[],"{
  ""Properties"": [""resumptive modifier""],
  ""Explanation"": ""The phrase 'Conservative Ben Shapiro' is a resumptive modifier, as it repeats and refers back to the noun it modifies, 'Ben Shapiro'.""
}",['resumptive_modifier'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'Conservative Ben Shapiro' is an appositive as it renames the noun 'Ben Shapiro'.""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'Conservative Ben Shapiro' is an appositive modifying the noun 'Shapiro.'""
}",['appositives'],False,"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'Conservative Ben Shapiro' is an appositive, renaming the noun 'Ben Shapiro'.""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'Conservative Ben Shapiro' is an appositive, renaming the noun 'Ben Shapiro'.""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'Conservative Ben Shapiro' is an appositive, renaming the noun 'Ben Shapiro' with additional information.""
}",['appositives'],1,['appositives'],1.0,0.0,,[],,absolute construction,"{
  ""Answer"": ""no"",
  ""Explanation"": ""The sentence provided does not contain any phrases built on nouns that can be categorized as absolute constructions. An absolute construction typically consists of a noun and a participle or a noun and a modifier that provides additional information about the noun, often indicating a circumstance or condition. In the given sentence, there are no such constructions present; it is a straightforward statement without any additional modifying phrases that fit the definition of an absolute construction.""
}",[]
