sentence_id,technique,text,feature_id,props_a20,props_a21,props_a22,res1,gpt_props1,res2,gpt_props2,res3,gpt_props3,props_a_majority,props_gpt_majority,ann_gpt_agreemnt,props_gpt4_majority,res_1.0_1,gpt_props_1.0_1,res_1.0_2,gpt_props_1.0_2,res_1.0_3,gpt_props_1.0_3,gpt3.5_1.0_consistency
4,[0 8 9],"Muhammad advises the same thing, according to the tradition of the Muslim doctors: wherefore the great Temur always strove to exterminate the infidels, as much to acquire that glory, as to signalise himself by the greatness of his conquests.”",Tense,"['progression', 'past', 'present']",['progression'],"['past', 'present']","{
  ""Properties"": [""present"", ""progression""],
  ""Explanation"": ""The use of 'advises' and 'stroves' indicate present tense, and the change from 'stroves' to 'acquire' and 'signalise' creates a progression of tenses for effect.""
}","['present', 'progression']","{
  ""Properties"": [""present"", ""progression""],
  ""Explanation"": ""The use of 'advises' and 'strove' indicates present and past tense, and the changing tense in the middle of the sentence for effect demonstrates progression.""
}","['present', 'progression']","{
  ""Properties"": [""present"", ""progression""],
  ""Explanation"": ""The use of 'advises' and 'strove' indicate present and past tenses, and the change in tenses within the sentence creates a progression effect.""
}","['present', 'progression']","['progression', 'past', 'present']","['present', 'progression']",0,[],"{
  ""Properties"": [""past""],
  ""Explanation"": ""The text uses the past tense to express something that already happened, as in 'according to the tradition of the Muslim doctors' and 'wherefore the great Temur always strove to exterminate the infidels'.""
}",['past'],"{
  ""Properties"": [""past""],
  ""Explanation"": ""The text uses the past tense to express something that already happened. The verb 'strove' indicates an action in the past.""
}",['past'],"{
  ""Properties"": [""past""],
  ""Explanation"": ""The text uses the past tense to describe the actions and beliefs of historical figures, such as Temur striving to exterminate the infidels.""
}",['past'],1
11,[0 8],"We are simply asked to take the pope’s word for it, but given that it follows his astoundingly brazen lie that there was no evidence for Ricca’s homosexual activity in the first place, we can take the assurance for what it seems to be worth.",Tense,"['past', 'present']",['progression'],['progression'],"{
  ""Properties"": [""present"", ""progression""],
  ""Explanation"": ""The present tense is used for immediacy effect, and the progression of changing tense in the middle of a sentence is used for emphasis.""
}","['present', 'progression']","{
  ""Properties"": [""present"", ""progression""],
  ""Explanation"": ""The text uses present tense for immediacy effect and also changes tense in the middle of a sentence for effect.""
}","['present', 'progression']","{
  ""Properties"": [""present"", ""progression""],
  ""Explanation"": ""The text uses the present tense to emphasize the immediacy of the situation and to draw attention to the action, and it also changes tense in the middle of the sentence for effect.""
}","['present', 'progression']",['progression'],"['present', 'progression']",0,[],"{
  ""Properties"": [""present"", ""progression""],
  ""Explanation"": ""The text uses the present tense to emphasize the immediacy effect, and also switches tenses in the middle of the sentence for effect, indicating a sense of change or progression.""
}","['present', 'progression']","{
  ""Properties"": [""past""],
  ""Explanation"": ""The text uses the past tense to express something that has already happened.""
}",['past'],"{
  ""Properties"": [""present"", ""progression""],
  ""Explanation"": ""The sentence uses the present tense 'is' for immediacy effect, and it also changes from the past tense 'was' to the present tense 'is' for effect.""
}","['present', 'progression']",0
14,[0],Conservative Ben Shapiro told Fox news the verdict was “horrifying.,Tense,['past'],['past'],['past'],"{
  ""Properties"": [""past""],
  ""Explanation"": ""The sentence 'told' indicates that the action has already happened, placing it in the past tense.""
}",['past'],"{
  ""Properties"": [""past""],
  ""Explanation"": ""The verb 'told' indicates that the action has already happened, placing it in the past tense.""
}",['past'],"{
  ""Properties"": [""past""],
  ""Explanation"": ""The verb 'told' indicates that the action has already happened, placing the statement in the past tense.""
}",['past'],['past'],['past'],1,[],"{
  ""Properties"": [""present""],
  ""Explanation"": ""The use of 'told' indicates the past tense, but the verb 'was' is in the present tense, emphasizing the immediacy of the verdict as well as its impact on the speaker."" 
}",['present'],"{
  ""Properties"": [""past""],
  ""Explanation"": ""The sentence uses the past tense 'was' to express something that already happened.""
}",['past'],"{
  ""Properties"": [""past""],
  ""Explanation"": ""The use of the past tense 'was' indicates that the action of 'told' already happened.""
}",['past'],0
16,[0],"According to Breitbart, “Sellner, who described the detention centre as looking akin to a typical American prison, said he was told by authorities that his speaking at Hyde Park could cause violence and disrupt community cohesion.”",Tense,['past'],['past'],['past'],"{
  ""Properties"": [""present"", ""past""],
  ""Explanation"": ""The use of 'according', 'described', and 'said' indicate present and past tense in the text.""
}","['present', 'past']","```json
        {
            ""Properties"": [""present"", ""past""],
            ""Explanation"": ""The text contains present tense ('described', 'said') for immediacy and past tense ('was told') to indicate something that has already happened.""
        }
```","['present', 'past']","{
  ""Properties"": [""present"", ""past""],
  ""Explanation"": ""The example text contains the use of present tense ('described', 'could cause') and past tense ('was told').""
}","['present', 'past']",['past'],"['present', 'past']",0,[],"{
  ""Properties"": [""present"", ""past""],
  ""Explanation"": ""The text uses the past tense 'described' and 'was told' to express actions that have already happened. It also uses the present tense 'could cause' to emphasize a potential action in the future.""
}","['present', 'past']","{
  ""Properties"": [""past""],
  ""Explanation"": ""The text uses the past tense to describe actions that have already taken place, such as 'he was told' and 'could cause.'""
}",['past'],"{
  ""Properties"": [""present"", ""past""],
  ""Explanation"": ""The sentence contains the use of the past tense ('was told') to indicate that the action of being told by the authorities occurred in the past. It also includes the present tense ('could cause') to emphasize the potential immediate impact of his speaking at Hyde Park.""
}","['present', 'past']",0
23,[0],"“This is a clear violation of the Senate Ethics rules which safeguard against the appearance or actuality of elected officials ‘cashing in’ on their official position for political purposes,” said Kendra Arnold, executive director of FACT.",Tense,"['past', 'present']",['progression'],"['past', 'present']","{
  ""Properties"": [""present""],
  ""Explanation"": ""The example text uses the present tense to emphasize the immediate impact and relevance of the statement.""
}",['present'],"```json
{
  ""Properties"": [""present""],
  ""Explanation"": ""The text uses the present tense to emphasize the current relevance of the violation of Senate Ethics rules.""
}
```",['present'],"{
  ""Properties"": [""present""],
  ""Explanation"": ""The use of 'is' in 'This is a clear violation' indicates present tense, emphasizing the current situation.""
}",['present'],"['past', 'present']",['present'],0,[],"{
  ""Properties"": [""present""],
  ""Explanation"": ""The use of 'said' in the reported speech indicates the present tense, giving immediate effect to the statement.""
}",['present'],"{
  ""Properties"": [""present""],
  ""Explanation"": ""The use of the present tense in the quote ('safeguard', 'cashing in', 'is') is employed to emphasize the immediate relevance and impact of the violation of Senate Ethics rules.""
}",['present'],"{
  ""Properties"": [
    ""present""
  ],
  ""Explanation"": ""The example uses the present tense 'is' and 'safeguard' for immediacy and to emphasize the violation of Senate Ethics rules.""
}",['present'],1
32,[0 6],Cardinal Raymond Burke’s statement declares: “The declarations made by a prelate of the authority of Archbishop Carlo Maria Viganò must be totally taken to heart by those responsible in the Church.”,Tense,"['past', 'present']",['present'],"['past', 'present']","{
  ""Properties"": [""present""],
  ""Explanation"": ""The use of present tense in the headline suggests immediacy and emphasizes the action declared by Cardinal Raymond Burke.""
}",['present'],"{
  ""Properties"": [""present""],
  ""Explanation"": ""The use of 'declares' emphasizes the immediacy and importance of Cardinal Burke's statement.""
}",['present'],"{
  ""Properties"": [""present""],
  ""Explanation"": ""The verb 'declares' is in the present tense, emphasizing the immediacy of the statement being made.""
}",['present'],"['past', 'present']",['present'],0,[],"{
  ""Properties"": [""present""],
  ""Explanation"": ""The example uses the present tense in the verb 'declares' to emphasize the immediacy of Cardinal Raymond Burke's statement.""
}",['present'],"{
  ""Properties"": [""present""],
  ""Explanation"": ""The use of the present tense in the statement 'must be totally taken' emphasizes the immediacy and importance of the action.""
}",['present'],"{
  ""Properties"": [""present""],
  ""Explanation"": ""The use of 'declares' in the statement indicates the present tense, which is often used to emphasize an action, especially in formal declarations or statements.""
}",['present'],1
43,[0],"As a former trial lawyer, I can tell you that while neither notes nor memories are infallible, in a contest between contemporaneous notes and later verbal testimony about those notes, the content of the written notes usually prevails.",Tense,['present'],['present'],"['progression', 'past']","{
  ""Properties"": [""present"", ""progression""],
  ""Explanation"": ""The use of 'can tell' and 'prevails' indicates the use of present tense for immediacy effect. The shift from 'are' to 'prevails' in the middle of the sentence creates a progression to emphasize the contrast.""
}","['present', 'progression']","{
    ""Properties"": [""past"", ""progression""],
    ""Explanation"": ""The example text uses the past tense to express something that already happened. It also changes tense in the middle of a sentence for effect, switching from past to present tense ('I can tell you')""
}","['past', 'progression']","{
  ""Properties"": [""past""],
  ""Explanation"": ""The example text uses the past tense to express something that has already happened.""
}",['past'],['present'],"['present', 'progression']",0,[],"{
  ""Properties"": [""present""],
  ""Explanation"": ""The use of 'are' and 'prevails' indicates the present tense, which is often used to emphasize an action or situation.""
}",['present'],"{
  ""Properties"": [""present""],
  ""Explanation"": ""The property 'present' is used in the sentence 'I can tell you' to emphasize the immediacy of the speaker's experience and expertise.""
}",['present'],"{
  ""Properties"": [""present"", ""progression""],
  ""Explanation"": ""The text uses the present tense for immediacy effect, common in news headlines, and also employs tense progression by changing from present to past tense for rhetorical effect.""
}","['present', 'progression']",0
47,[0],"“I don’t regard Louis Farrakhan as an aberration or anything, I regard him as an outstanding human being who commands a following of individuals who are learned and articulate and he plays a big role in the lives of thousands and thousands and thousands and thousands of people,” he emphasized later.",Tense,"['past', 'present']",['progression'],"['past', 'present']","{
  ""Properties"": [""present"", ""progression""],
  ""Explanation"": ""The use of present tense in 'I don’t regard' and 'he emphasizes later', and the change from past tense to present tense in 'I regard him as an outstanding human being...'""
}","['present', 'progression']","{
  ""Properties"": [""present"", ""progression""],
  ""Explanation"": ""The text uses present tense for immediacy effect and progression to change tense in the middle of a sentence for effect.""
}","['present', 'progression']","{
  ""Properties"": [""present"", ""progression""],
  ""Explanation"": ""The use of 'I don't regard' and 'he emphasizes later' indicate the present tense. The changing tense in the middle of the sentence 'I don’t regard Louis Farrakhan as an aberration...he emphasized later' is used for effect, demonstrating the progression of the speaker's thoughts.""
}","['present', 'progression']","['past', 'present']","['present', 'progression']",0,[],"{
  ""Properties"": [""present"", ""progression""],
  ""Explanation"": ""The use of present tense in 'commands', 'are', 'plays' and the switch to past tense in 'emphasized' demonstrates the properties of present and progression tenses.""
}","['present', 'progression']","{
  ""Properties"": [""present"", ""progression""],
  ""Explanation"": ""The use of 'regard' in present tense in 'I don't regard Louis Farrakhan' and the switch to past tense in 'he emphasized later' demonstrate the use of present and progression tense in the text.""
}","['present', 'progression']","{
  ""Properties"": [""present""],
  ""Explanation"": ""The present tense is used to emphasize the immediacy and relevance of the speaker's statement.""
}",['present'],0
50,[0],"John Hancock, the first signer of the Declaration of Independence, said,",Tense,['past'],['past'],['past'],timeout,[],"{
  ""Properties"": [""past""],
  ""Explanation"": ""The use of 'said' indicates past tense, expressing something that already happened.""
}",['past'],"{
    ""Properties"": [""past""],
    ""Explanation"": ""The use of 'said' indicates that the action of speaking already happened in the past.""
}",['past'],['past'],['past'],1,[],"{
  ""Properties"": [""past""],
  ""Explanation"": ""The use of 'said' indicates that the action already happened, placing it in the past tense.""
}",['past'],"{
  ""Properties"": [""past""],
  ""Explanation"": ""The text uses the past tense to describe an action that has already happened (John Hancock said).""
}",['past'],"{
  ""Properties"": [
    ""past""
  ],
  ""Explanation"": ""The use of 'said' indicates that the text is in the past tense, expressing something that has already happened.""
}",['past'],1
54,[0],"She said Thursday regarding Ms. Ford: ""I believe her because she is telling the truth and you know it by her story.""",Tense,"['past', 'present']",['past'],"['progression', 'past', 'present']","{
  ""Properties"": [""present"", ""progression""],
  ""Explanation"": ""The use of 'said' and 'believe' indicate present tense, while the change from 'is telling' to 'you know' indicates a change in tense for effect.""
}","['present', 'progression']","{
  ""Properties"": [""past""],
  ""Explanation"": ""The example text uses the past tense to indicate that the statement was made on a specific day in the past.""
}",['past'],"{
  ""Properties"": [""past""],
  ""Explanation"": ""The example text uses the past tense to express something that has already happened.""
}",['past'],"['past', 'present']",['past'],0,[],"{
  ""Properties"": [""past""],
  ""Explanation"": ""The use of 'said' indicates past tense, expressing something that already happened.""
}",['past'],"{
  ""Properties"": [""past""],
  ""Explanation"": ""The example uses the past tense 'said' to express something that already happened.""
}",['past'],"{
  ""Properties"": [""past""],
  ""Explanation"": ""The example uses the past tense 'said' to express that the action has already happened.""
}",['past'],1
