sentence_id,technique,text,feature_id,props_a20,props_a21,props_a22,annotator_consistency,props_gpt4_majority,res_1.0_1,gpt_props_1.0_1,res_1.0_2,gpt_props_1.0_2,res_1.0_3,gpt_props_1.0_3,gpt3.5_1.0_consistency,res_0.2_1,gpt_props_0.2_1,res_0.2_2,gpt_props_0.2_2,res_0.2_3,gpt_props_0.2_3,gpt3.5_0.2_consistency,gpt3.5_0.2_majority
80,[1],"Also, as this is an unprecedented moment in papal history, perhaps the unprecedented step of recalling Benedict XVI to the Chair of St. Peter should also be considered sooner rather than later, before this crisis gets any more out-of-control than it already is.",Mood,['indicative'],['indicative'],['indicative'],True,[],"{
  ""Properties"": [""subjunctive"", ""optative""],
  ""Explanation"": ""The use of 'perhaps' expresses a hypothetical situation, qualifying the statement as subjunctive. The phrase 'should also be considered sooner rather than later' expresses a wish or hope, making it optative.""
}","['subjunctive', 'optative']","{
  ""Properties"": [""subjunctive"", ""exclamatory""],
  ""Explanation"": ""The use of 'perhaps', 'should', 'before' and the expression 'before this crisis gets any more out-of-control than it already is' indicate a hypothetical or possible scenario, suggesting the use of the subjunctive mood. Additionally, the expression 'perhaps the unprecedented step' expresses a sense of surprise or strong emotion, suggesting the use of the exclamatory mood.""
}","['subjunctive', 'exclamatory']","{
  ""Properties"": [""subjunctive"", ""imperative""],
  ""Explanation"": ""The use of 'should' and 'before' indicate a subjunctive mood expressing a hypothetical or possible action. The phrase 'should also be considered' is an imperative mood indicating a directive or suggestion.""
}","['subjunctive', 'imperative']",False,"{
  ""Properties"": [""subjunctive"", ""optative""],
  ""Explanation"": ""The use of 'perhaps' and 'should' indicates a hypothetical or possible situation (subjunctive mood), and the phrase 'before this crisis gets any more out-of-control than it already is' expresses a wish (optative mood).""
}","['subjunctive', 'optative']","{
  ""Properties"": [""subjunctive"", ""optative""],
  ""Explanation"": ""The use of 'perhaps' and 'should' indicates a hypothetical or possible situation, suggesting the use of the subjunctive mood. The phrase 'before this crisis gets any more out-of-control than it already is' expresses a wish, indicating the optative mood.""
}","['subjunctive', 'optative']","{
  ""Properties"": [""subjunctive"", ""optative""],
  ""Explanation"": ""The use of 'perhaps' and 'should' indicates a hypothetical or possible scenario (subjunctive), and the expression 'before this crisis gets any more out-of-control than it already is' expresses a wish (optative).""
}","['subjunctive', 'optative']",1,"['subjunctive', 'optative']"
117,[ 1 12],"And so Chris Bryant, “a senior Labour backbencher, has written to May urging her to go further, and issue an official ban on Donald Trump from entering the UK on the grounds he is condoning fascism and his presence is ‘not conducive to the public good’, a senior Labour MP has said.”",Mood,['indicative'],['indicative'],['indicative'],True,[],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The text expresses a simple statement of fact or opinion, without any hypothetical or imagined scenarios, making use of indicative mood.""
}",['indicative'],"{
  ""Properties"": [""subjunctive""],
  ""Explanation"": ""The use of 'urging' and 'is' implies a suggestion or recommendation, indicating the use of the subjunctive mood.""
}",['subjunctive'],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The sentence expresses a simple statement of fact about Chris Bryant's actions and the statement made by a senior Labour MP.""
}",['indicative'],False,"{
  ""Properties"": [""indicative"", ""imperative""],
  ""Explanation"": ""The text uses the indicative mood to express a simple statement of fact or opinion about Chris Bryant's action. It also includes an imperative mood to convey the urging or command for Theresa May to take a specific action.""
}","['indicative', 'imperative']","{
  ""Properties"": [""subjunctive"", ""imperative""],
  ""Explanation"": ""The use of 'urging' and 'issue an official ban' indicates the subjunctive mood, expressing a suggestion and a demand. Additionally, the phrase 'has said' implies an imperative mood, conveying a directive or command.""
}","['subjunctive', 'imperative']","{
  ""Properties"": [""subjunctive"", ""imperative""],
  ""Explanation"": ""The text contains the subjunctive mood in the form of a suggestion or recommendation ('urging her to go further, and issue an official ban on Donald Trump from entering the UK'). It also includes the imperative mood in the form of a directive ('has written to May urging her to go further').""
}","['subjunctive', 'imperative']",0,"['subjunctive', 'imperative']"
194,[9 1],"Think of this, the meekest man alive was sent to the face of the Pharaoh to tell him to obey or else.",Mood,['indicative'],['indicative'],['indicative'],True,[],"{
  ""Properties"": [""indicative"", ""imperative""],
  ""Explanation"": ""The sentence expresses a simple statement of a fact (indicative) and includes a directive or command to obey (imperative).""
}","['indicative', 'imperative']","{
  ""Properties"": [""indicative"", ""imperative""],
  ""Explanation"": ""The sentence expresses a simple statement of fact or opinion ('the meekest man alive was sent to the face of the Pharaoh') and also contains a command or directive ('to tell him to obey or else').""
}","['indicative', 'imperative']","{
  ""Properties"": [""indicative"", ""imperative""],
  ""Explanation"": ""The sentence uses the indicative mood to express a simple statement of fact, and the imperative mood to give a command.""
}","['indicative', 'imperative']",True,"{
  ""Properties"": [""indicative"", ""imperative""],
  ""Explanation"": ""The sentence expresses a simple statement of fact (indicative) and also contains a command or directive (imperative) to obey the Pharaoh.""
}","['indicative', 'imperative']","{
  ""Properties"": [""indicative"", ""imperative""],
  ""Explanation"": ""The sentence contains indicative mood to express a simple statement of fact, and imperative mood to give a command or directive.""
}","['indicative', 'imperative']","{
  ""Properties"": [""indicative"", ""imperative""],
  ""Explanation"": ""The sentence expresses a simple statement of fact (indicative) and also contains a command or directive (imperative) to obey the Pharaoh.""
}","['indicative', 'imperative']",1,"['indicative', 'imperative']"
199,[1],"“When Kavanaugh is on the Supreme Court, undermining our #4thAmendment right against unreasonable searches and seizures, it will be too late for others to join me.”",Mood,['indicative'],['indicative'],['indicative'],True,[],"{
  ""Properties"": [""subjunctive""],
  ""Explanation"": ""The use of 'when' and 'it will be too late' indicates a hypothetical or imagined situation, expressing what is possible or anticipated.""
}",['subjunctive'],"{
  ""Properties"": [
    ""subjunctive""
  ],
  ""Explanation"": ""The sentence expresses a hypothetical situation of Kavanaugh being on the Supreme Court and its potential consequences, making use of the subjunctive mood.""
}",['subjunctive'],"{
  ""Properties"": [""subjunctive""],
  ""Explanation"": ""The use of 'when' indicates a hypothetical or possible future scenario, suggesting the use of subjunctive mood.""
}",['subjunctive'],True,"{
  ""Properties"": [""subjunctive""],
  ""Explanation"": ""The use of 'when' and 'it will be too late' expresses a hypothetical or possible situation, indicating the use of the subjunctive mood.""
}",['subjunctive'],"{
  ""Properties"": [""subjunctive""],
  ""Explanation"": ""The use of 'when' and 'it will be too late' expresses a hypothetical or imagined situation, indicating the use of the subjunctive mood.""
}",['subjunctive'],"{
  ""Properties"": [""subjunctive""],
  ""Explanation"": ""The use of 'when' and 'it will be too late' expresses a hypothetical or imagined situation, indicating the use of the subjunctive mood.""
}",['subjunctive'],1,['subjunctive']
202,[1],"A gird failure would almost immediately fling the United States into a state of panic, and it’s always good to be prepared just in case.",Mood,['indicative'],['indicative'],['indicative'],True,[],"{
  ""Properties"": [""subjunctive""],
  ""Explanation"": ""The use of 'would' indicates a hypothetical or possible situation, expressing what is imagined or hypothetical.""
}",['subjunctive'],"{
  ""Properties"": [""subjunctive"", ""indicative""],
  ""Explanation"": ""The statement expresses a hypothetical or possible situation ('a gird failure would...') and also presents a simple statement of fact ('it's always good to be prepared just in case').""
}","['subjunctive', 'indicative']","{
  ""Properties"": [""subjunctive"", ""indicative""],
  ""Explanation"": ""The sentence contains the subjunctive mood 'would' expressing a hypothetical situation, as well as the indicative mood 'is' expressing a simple statement of fact.""
}","['subjunctive', 'indicative']",False,"{
  ""Properties"": [""subjunctive""],
  ""Explanation"": ""The use of 'would' in 'A grid failure would almost immediately fling the United States into a state of panic' indicates a hypothetical or possible situation, fitting the definition of the subjunctive mood.""
}",['subjunctive'],"{
  ""Properties"": [""subjunctive""],
  ""Explanation"": ""The use of 'just in case' indicates a hypothetical or possible situation, which aligns with the use of the subjunctive mood.""
}",['subjunctive'],"{
  ""Properties"": [""subjunctive""],
  ""Explanation"": ""The use of 'would' and 'just in case' indicates a hypothetical or possible situation, fitting the definition of the subjunctive mood.""
}",['subjunctive'],1,['subjunctive']
247,[13  2],"“But it is extremely dangerous as the head of the Catholic Church — you know, the last appeal — that this is the kind of behavior that is going to be mimicked around the world by bishops, [who will say] ‘Well if the Pope is not going to intervene and impose zero tolerance, why should I?’”",Mood,['indicative'],['indicative'],['indicative'],True,[],"{
  ""Properties"": [""subjunctive""],
  ""Explanation"": ""The use of 'is going to be mimicked' expresses a hypothetical or possible situation, indicating the use of the subjunctive mood.""
}",['subjunctive'],"{
  ""Properties"": [""subjunctive""],
  ""Explanation"": ""The statement expresses a hypothetical or possible situation, as well as a suggestion or recommendation, using the verb 'is going to be mimicked' in a conditional form.""
}",['subjunctive'],"{
  ""Properties"": [""exclamatory"", ""interrogative""],
  ""Explanation"": ""The text contains an exclamatory statement expressing strong emotion with 'extremely dangerous', and an interrogative asking a question with 'you know, the last appeal'.""
}","['exclamatory', 'interrogative']",False,"{
  ""Properties"": [""subjunctive""],
  ""Explanation"": ""The use of 'is going to be mimicked' expresses a hypothetical or possible situation, indicating the use of the subjunctive mood.""
}",['subjunctive'],"{
  ""Properties"": [""subjunctive""],
  ""Explanation"": ""The use of 'is going to be mimicked' expresses a hypothetical or possible situation, indicating the use of the subjunctive mood.""
}",['subjunctive'],"{
  ""Properties"": [""subjunctive""],
  ""Explanation"": ""The use of 'is going to be mimicked' expresses a hypothetical or possible situation, indicating the use of the subjunctive mood.""
}",['subjunctive'],1,['subjunctive']
249,[2],"Although the claims are intriguing, it is important to remember that after virtually every terror attack and mass shooting, friends and neighbors express shock that the culprit would be capable of carrying out such horrors, with some outright denying it to be possible.",Mood,['indicative'],['indicative'],['indicative'],True,[],"{
  ""Properties"": [""subjunctive""],
  ""Explanation"": ""The use of 'would be' expresses what is imagined or hypothetical, indicating the use of the subjunctive mood.""
}",['subjunctive'],"{
  ""Properties"": [""indicative"", ""subjunctive""],
  ""Explanation"": ""The text contains indicative mood to express a simple statement of fact ('the claims are intriguing'). It also contains subjunctive mood to express what is hypothetical or possible ('it is important to remember that after virtually every terror attack...some outright denying it to be possible').""
}","['indicative', 'subjunctive']","{
  ""Properties"": [""subjunctive""],
  ""Explanation"": ""The use of 'it is important to remember' and 'with some outright denying it to be possible' indicate a hypothetical or possible scenario, which aligns with the use of the subjunctive mood.""
}",['subjunctive'],False,"{
  ""Properties"": [""indicative"", ""subjunctive""],
  ""Explanation"": ""The text uses the indicative mood to express a simple statement of fact ('the claims are intriguing') and the subjunctive mood to express what is imagined or hypothetical ('it is important to remember that after virtually every terror attack and mass shooting, friends and neighbors express shock that the culprit would be capable of carrying out such horrors, with some outright denying it to be possible').""
}","['indicative', 'subjunctive']","{
  ""Properties"": [""indicative"", ""subjunctive""],
  ""Explanation"": ""The text uses the indicative mood to express a simple statement of fact ('the claims are intriguing') and the subjunctive mood to express what is hypothetical or possible ('with some outright denying it to be possible').""
}","['indicative', 'subjunctive']","{
  ""Properties"": [""indicative"", ""subjunctive""],
  ""Explanation"": ""The text contains indicative mood to express a simple statement of fact or opinion ('the claims are intriguing') and subjunctive mood to express what is imagined or hypothetical ('with some outright denying it to be possible').""
}","['indicative', 'subjunctive']",1,"['indicative', 'subjunctive']"
253,[3 8],Either that or they can go whine to the New York Times some more because the Jewish community won't let them burn crosses on their lawn.,Mood,['indicative'],['indicative'],['indicative'],True,[],"{
  ""Properties"": [""imperative""],
  ""Explanation"": ""The sentence contains an imperative command 'go whine' directed at a specific group of people.""
}",['imperative'],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The sentence expresses a simple statement of fact or opinion, indicating what is the case.""
}",['indicative'],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The example uses indicative mood to express a simple statement of fact or opinion.""
}",['indicative'],False,"{
  ""Properties"": [""subjunctive"", ""imperative""],
  ""Explanation"": ""The use of 'can' indicates a subjunctive mood, expressing a hypothetical or possible situation. The phrase 'they can go whine' also contains an imperative mood, giving a directive or command.""
}","['subjunctive', 'imperative']","{
  ""Properties"": [""indicative"", ""imperative""],
  ""Explanation"": ""The sentence expresses a simple statement of fact ('the Jewish community won't let them burn crosses on their lawn') and also contains a directive ('they can go whine to the New York Times').""
}","['indicative', 'imperative']","{
  ""Properties"": [""subjunctive""],
  ""Explanation"": ""The use of 'can' in 'they can go whine' expresses a hypothetical or possible situation, indicating the use of the subjunctive mood.""
}",['subjunctive'],0,"['subjunctive', 'imperative']"
258,[3 7],"The American Medical Association (AMA) should seriously consider changing their names since they are about as anti-American as it comes in their new demands for gun confiscation measures, which include guns and ammunition confiscation, as well as universal gun registration.",Mood,['indicative'],['indicative'],['indicative'],True,[],"{
  ""Properties"": [""indicative"", ""imperative""],
  ""Explanation"": ""The text contains indicative mood to express a fact or opinion, and imperative mood to convey a directive or command.""
}","['indicative', 'imperative']","{
  ""Properties"": [""imperative""],
  ""Explanation"": ""The text contains an imperative statement, expressing a command or directive to the American Medical Association (AMA) to consider changing their name.""
}",['imperative'],"{
  ""Properties"": [""imperative""],
  ""Explanation"": ""The sentence contains an imperative mood as it includes a command or directive to the American Medical Association.""
}",['imperative'],False,"{
  ""Properties"": [""subjunctive"", ""imperative""],
  ""Explanation"": ""The use of 'should' in 'AMA should seriously consider' indicates a suggestion or recommendation, which is in the subjunctive mood. Additionally, the phrase 'consider changing their names' is an imperative, expressing a directive or command.""
}","['subjunctive', 'imperative']","{
  ""Properties"": [""imperative""],
  ""Explanation"": ""The text contains an imperative statement, as it includes a command or directive for the American Medical Association to consider changing their name.""
}",['imperative'],"{
  ""Properties"": [""imperative""],
  ""Explanation"": ""The text contains an imperative mood as it includes a directive or command to the American Medical Association to consider changing their name.""
}",['imperative'],0,['imperative']
271,[3],"That is to say, one could not consecrate a brothel, one could not bless a concentration camp or weapons which are not explicitly ordained for hunting or for legitimate self-defense.",Mood,['indicative'],['indicative'],['indicative'],True,['indicative'],"{
  ""Properties"": [""subjunctive""],
  ""Explanation"": ""The use of 'could' indicates a hypothetical or possible scenario, which corresponds to the subjunctive mood.""
}",['subjunctive'],"{
  ""Properties"": [""subjunctive""],
  ""Explanation"": ""The use of 'could not' expresses a hypothetical or imagined situation, indicating the use of the subjunctive mood.""
}",['subjunctive'],"{
  ""Properties"": [""subjunctive""],
  ""Explanation"": ""The use of 'could' indicates a hypothetical or possible situation, suggesting a condition or a hypothetical action, fitting the definition of the subjunctive mood.""
}",['subjunctive'],True,"{
  ""Properties"": [""subjunctive""],
  ""Explanation"": ""The use of 'could' expresses a hypothetical or possible situation, indicating the use of the subjunctive mood.""
}",['subjunctive'],"{
  ""Properties"": [""subjunctive""],
  ""Explanation"": ""The use of 'could not' expresses a hypothetical or imagined situation, indicating the use of the subjunctive mood.""
}",['subjunctive'],"{
  ""Properties"": [""subjunctive""],
  ""Explanation"": ""The use of 'could' expresses a hypothetical or possible situation, indicating the use of the subjunctive mood.""
}",['subjunctive'],1,['subjunctive']
