sentence_id,technique,text,feature_id,props_a20,props_a21,props_a22,annotator_consistency,props_gpt4_majority,res_1.0_1,gpt_props_1.0_1,res_1.0_2,gpt_props_1.0_2,res_1.0_3,gpt_props_1.0_3,gpt3.5_1.0_consistency,res_0.2_1,gpt_props_0.2_1,res_0.2_2,gpt_props_0.2_2,res_0.2_3,gpt_props_0.2_3,gpt3.5_0.2_consistency,gpt3.5_0.2_majority,humans isCorrect,gpt isCorrect,comments,ground truth,Unnamed: 28,res_0.0_V3_1,property__0.0_V3_1,res_0.0_V3_2,property__0.0_V3_2,res_0.0_V3_3,property__0.0_V3_3,property_0.0_V3_consistency
43,[0],"As a former trial lawyer, I can tell you that while neither notes nor memories are infallible, in a contest between contemporaneous notes and later verbal testimony about those notes, the content of the written notes usually prevails.",Predication,"['stative', 'active']","['stative', 'active']","['stative', 'active']",TRUE,[],"{
  ""Properties"": [
    ""active"",
    ""compound""
  ],
  ""Explanation"": ""The sentence contains active verbs such as 'are' and 'is', and also multiple verbs about one subject, making it a compound predication.""
}","['active', 'compound']","{
  ""Properties"": [""active""],
  ""Explanation"": ""The text contains active verbs such as 'are', 'notes', 'are', 'infallible', 'content', and 'prevails'. These verbs indicate action or occurrence by the subject.""
}",['active'],"{
  ""Properties"": [""active"", ""stative""],
  ""Explanation"": ""The text contains active verbs (are, is) and stative verbs (are, is) to describe the state of something or someone.""
}","['active', 'stative']",FALSE,"{
  ""Properties"": [""active""],
  ""Explanation"": ""The text contains active verbs such as 'are', 'is', 'are', and 'prevails'. These active verbs indicate actions performed by the subjects in the sentence.""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains active verbs such as 'are' and 'prevails'.""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains active verbs such as 'are', 'are', 'prevails'. These active verbs indicate actions performed by the subject, meeting the criteria for the active property.""
}",['active'],1,['active'],1,0,GPT is mixing up the properties and definitions,"['stative', 'active']",,"{
  ""Answer"": [""active"", ""passive""],
  ""Explanation"": ""The sentence contains both active and passive voice. The active voice is present in the phrase 'I can tell you,' where 'I' is the subject performing the action of telling. The passive voice is present in the phrase 'the content of the written notes usually prevails,' where 'the content of the written notes' is the subject receiving the action of prevailing."" 
}","['active', 'passive']","{
  ""Answer"": [""passive""],
  ""Explanation"": ""The sentence is in the passive voice because the subject of the sentence ('the content of the written notes') is receiving the action ('usually prevails'). Additionally, the helping verb 'are' is used, and the main verb 'prevails' does not end in 'ing.'""
}",['passive'],"{
  ""Answer"": [""passive""],
  ""Explanation"": ""The sentence is in the passive voice because the subject of the sentence ('the content of the written notes') is receiving the action ('usually prevails'). Additionally, the helping verb 'are' is used, indicating the passive voice. There is no indication of compound voice in this sentence, as it does not contain both active and passive constructions about a single subject."" 
}",['passive'],0
83,[1],"A dark, impenetrable and “irreversible” winter of persecution of the faithful by their own shepherds will fall.",Predication,['active'],['active'],['active'],TRUE,[],"{
  ""Properties"": [],
  ""Explanation"": ""The example text does not contain any active, stative, or compound predicates. Instead, it is a complex sentence expressing a prediction about a future event without specifying any particular action or state.""
}",[],"{
  ""Properties"": [""stative""],
  ""Explanation"": ""The sentence contains the stative verb 'irreversible' which describes a state rather than an action.""
}",['stative'],"{
  ""Properties"": [""stative"", ""compound""],
  ""Explanation"": ""The phrase 'will fall' contains a stative verb ('fall') indicating a state or condition. The sentence also contains a compound verb structure with 'will fall' and 'will fall', involving multiple verbs about one subject.""
}","['stative', 'compound']",FALSE,"{
  ""Properties"": [""stative""],
  ""Explanation"": ""The sentence contains the stative verb 'will fall', indicating a state or condition that will occur in the future.""
}",['stative'],"{
  ""Properties"": [""stative""],
  ""Explanation"": ""The sentence contains a stative verb 'will fall' to describe a future state of being.""
}",['stative'],"{
  ""Properties"": [""stative""],
  ""Explanation"": ""The sentence contains a stative verb 'will fall' which describes a state of being rather than an action.""
}",['stative'],1,['stative'],1,0,GPT is mixing up the properties and definitions,['active'],will fail,"{
  ""Answer"": [""passive""],
  ""Explanation"": ""The sentence 'A dark, impenetrable and “irreversible” winter of persecution of the faithful by their own shepherds will fall.' is in the passive voice. The subject 'A dark, impenetrable and “irreversible” winter of persecution of the faithful by their own shepherds' is receiving the action 'will fall' rather than performing the action itself."" 
}",['passive'],"{
  ""Answer"": [""passive""],
  ""Explanation"": ""The sentence 'A dark, impenetrable and “irreversible” winter of persecution of the faithful by their own shepherds will fall.' is in the passive voice. The subject 'A dark, impenetrable and “irreversible” winter of persecution of the faithful by their own shepherds' receives the action 'will fall' rather than performing the action itself.""
}",['passive'],"{
  ""Answer"": [""passive""],
  ""Explanation"": ""The sentence 'A dark, impenetrable and “irreversible” winter of persecution of the faithful by their own shepherds will fall.' is in the passive voice. The subject 'winter of persecution' receives the action 'will fall' rather than performing the action itself. The helping verb 'will' is used, indicating the passive voice."" 
}",['passive'],1
118,[1],"In any case, note well: the letter to me from the UK Home Office said that I was banned for saying that “[Islam] is a religion and is a belief system that mandates warfare against unbelievers…”",Predication,"['stative', 'active']","['stative', 'active']","['stative', 'active']",TRUE,[],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'said' in the clause 'the letter to me from the UK Home Office said'.""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The example text contains active verbs such as 'said' and 'saying', indicating the use of active voice.""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The example contains active verbs, such as 'said', which indicate the action being performed by the subject.""
}",['active'],TRUE,"{
  ""Properties"": [""stative""],
  ""Explanation"": ""The sentence contains a stative verb 'is' in the phrase '[Islam] is a religion and is a belief system'. This indicates a state of being rather than an action.""
}",['stative'],"{
  ""Properties"": [""stative""],
  ""Explanation"": ""The sentence contains the stative verb 'is' in the phrase '[Islam] is a religion and is a belief system'. This indicates a state of being rather than an action, fulfilling the stative property.""
}",['stative'],"{
  ""Properties"": [""stative""],
  ""Explanation"": ""The sentence contains the stative verb 'is' in the phrase '[Islam] is a religion and is a belief system'. This indicates a state of being rather than an action.""
}",['stative'],1,['stative'],1,0,GPT is mixing up the properties and definitions,"['stative', 'active']",,"{
  ""Answer"": [""passive""],
  ""Explanation"": ""The sentence is in the passive voice because the subject of the sentence ('the letter to me from the UK Home Office') is not performing the action but receiving it. The action is being done to the subject, which is indicated by the use of 'was banned' as a passive construction.""
}",['passive'],"{
  ""Answer"": [""passive""],
  ""Explanation"": ""The sentence is in the passive voice because the subject of the sentence ('the letter to me from the UK Home Office') is not performing the action but receiving it. The action is being done to the subject ('the letter'), making it a passive construction.""
}",['passive'],"{
  ""Answer"": [""passive""],
  ""Explanation"": ""The sentence is in the passive voice because the subject 'I' is receiving the action of being banned by the UK Home Office. The helping verb 'was' is used, and the main verb 'banned' does not end in 'ing.'""
}",['passive'],1
243,[2 6],Women everywhere should be furious.,Predication,['stative'],['stative'],['stative'],TRUE,[],"{
  ""Properties"": [
    ""stative""
  ],
  ""Explanation"": ""The sentence uses the stative verb 'should be' to express a state of being, rather than an action.""
}",['stative'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'should be furious.'""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'should be furious.' It is directly calling on women to feel a certain way.""
}",['active'],FALSE,"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'should be furious' which expresses an action.""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'should be furious.'""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'should be furious.'""
}",['active'],1,['active'],1,0,GPT is mixing up the properties and definitions,['stative'],,"{
  ""Answer"": [""passive""],
  ""Explanation"": ""The sentence 'Women everywhere should be furious' is in the passive voice. The subject 'women' is not performing the action but receiving it, and the helping verb 'be' is used, indicating the passive voice."" 
}",['passive'],"{
  ""Answer"": [""passive""],
  ""Explanation"": ""The sentence 'Women everywhere should be furious' is in the passive voice. The subject 'women' is not performing the action but receiving it, and the helping verb 'be' is used, indicating the passive voice."" 
}",['passive'],"{
  ""Answer"": [""passive""],
  ""Explanation"": ""The sentence 'Women everywhere should be furious' is in the passive voice. The subject 'women' is receiving the action 'should be furious' rather than performing the action themselves. The presence of 'be' as a helping verb and the absence of a main verb ending in 'ing' indicate that this sentence is in the passive voice.""
}",['passive'],1
249,[2],"Although the claims are intriguing, it is important to remember that after virtually every terror attack and mass shooting, friends and neighbors express shock that the culprit would be capable of carrying out such horrors, with some outright denying it to be possible.",Predication,"['stative', 'active']","['stative', 'active']","['stative', 'active']",TRUE,[],"{
  ""Properties"": [""active"", ""stative""],
  ""Explanation"": ""The text contains active verbs (express, carrying) and stative verbs (are, is, denying).""
}","['active', 'stative']","{
  ""Properties"": [""active"", ""compound""],
  ""Explanation"": ""The text contains active verbs such as 'are', 'is', 'remember', 'express', 'denying' which indicate active voice. Additionally, it also has compound verbs 'is important', 'would be capable', and 'carrying out', where multiple verbs are connected to one subject.""
}","['active', 'compound']","{
  ""Properties"": [""active"", ""stative"", ""compound""],
  ""Explanation"": ""The example contains active verbs ('are', 'is', 'remember', 'express', 'carrying', 'denying'), stative verb ('is'), and compound verbs ('is important', 'would be capable', 'carrying out').""
}","['active', 'stative', 'compound']",FALSE,"{
  ""Properties"": [""active"", ""stative"", ""compound""],
  ""Explanation"": ""The text contains active verbs (are, express, denying), stative verbs (are), and compound verbs (would be, carrying out).""
}","['active', 'stative', 'compound']","{
  ""Properties"": [""active"", ""stative""],
  ""Explanation"": ""The text contains both active verbs (express, carrying out) and stative verbs (are, is, denying).""
}","['active', 'stative']","{
  ""Properties"": [""active"", ""compound""],
  ""Explanation"": ""The text contains active verbs such as 'are', 'is', 'remember', 'express', 'denying' and also has a compound structure with multiple verbs 'are', 'express', 'denying' about one subject.""
}","['active', 'compound']",0,"['active', 'stative', 'compound']",1,0,GPT is mixing up the properties and definitions,"['stative', 'active']",,"{
  ""Answer"": [""passive""],
  ""Explanation"": ""The sentence is in the passive voice because the subject of the sentence ('friends and neighbors') is not the one performing the action. Instead, they are receiving the action of expressing shock and denying the possibility. Additionally, the helping verb 'be' is used ('would be capable') and the main verb does not end in 'ing.'""
}",['passive'],"{
  ""Answer"": [""passive""],
  ""Explanation"": ""The sentence is in the passive voice because the subject of the sentence ('friends and neighbors') is not the one performing the action ('express shock'). Instead, they are receiving the action. The helping verb 'be' ('would be capable') is used, and the main verb does not end in 'ing.'""
}",['passive'],"{
  ""Answer"": [""passive""],
  ""Explanation"": ""The sentence is in the passive voice because the subject of the sentence ('friends and neighbors') is not the one performing the action ('express shock'). Instead, they are receiving the action. Additionally, the sentence contains the helping verb 'be' ('would be capable') and the main verb does not end in 'ing.'""
}",['passive'],1
263,[3],"While Obama pardoned drug dealers and locked up ranchers, Trump pardons ranchers and locks up drug dealers.",Predication,['active'],['active'],['active'],TRUE,[],"{
  ""Properties"": [""compound""],
  ""Explanation"": ""The sentence contains compound predication, as it expresses two contrasting actions (pardoning and locking up) related to two different subjects (drug dealers and ranchers) in a parallel structure.""
}",['compound'],"{
  ""Properties"": [""active"", ""compound""],
  ""Explanation"": ""The sentence contains active verbs 'pardoned' and 'locked up', as well as a compound structure with multiple verbs about one subject (Obama and Trump) in the same sentence.""
}","['active', 'compound']","{
  ""Properties"": [""active"", ""compound""],
  ""Explanation"": ""The sentence contains active verbs ('pardoned', 'locked up') and also features a compound structure with multiple verbs related to the same subject.""
}","['active', 'compound']",FALSE,"{
  ""Properties"": [""active"", ""compound""],
  ""Explanation"": ""The sentence contains active verbs ('pardoned', 'locked up') and also has a compound structure with multiple verbs ('pardoned', 'locked up') about one subject ('Obama', 'Trump').""
}","['active', 'compound']","{
  ""Properties"": [""compound""],
  ""Explanation"": ""The sentence contains a compound structure with multiple verbs ('pardons', 'locked up') about one subject ('Obama' and 'Trump').""
}",['compound'],"{
  ""Properties"": [""active"", ""compound""],
  ""Explanation"": ""The sentence contains active verbs ('pardoned', 'locked up') and also has a compound structure with multiple verbs ('pardoned', 'locked up') about one subject ('Obama', 'Trump').""
}","['active', 'compound']",0,"['active', 'compound']",1,0,GPT is misinterpreting a property,['active'],,"{
  ""Answer"": [""active"", ""active"", ""passive"", ""passive""],
  ""Explanation"": ""The sentence contains two active voice constructions ('Obama pardoned' and 'Trump pardons') where the subject is performing the action. It also contains two passive voice constructions ('drug dealers...locked up' and 'ranchers...locked up') where the subject receives the action. Therefore, it is a compound voice sentence as it contains both active and passive voice constructions about a single subject.""
}","['active', 'active', 'passive', 'passive']","{
  ""Answer"": [""active"", ""active""],
  ""Explanation"": ""The sentence contains two active voice constructions. In the first part, 'Obama pardoned drug dealers and locked up ranchers,' the subject 'Obama' is performing the actions of pardoning and locking up. In the second part, 'Trump pardons ranchers and locks up drug dealers,' the subject 'Trump' is also performing the actions of pardoning and locking up. Both parts of the sentence follow the active voice structure where the subject is the one performing the actions."" 
}","['active', 'active']","{
  ""Answer"": [""active"", ""active""],
  ""Explanation"": ""The sentence contains two independent clauses, each utilizing active voice. In the first clause, 'Obama pardoned drug dealers' and in the second clause, 'Trump pardons ranchers.' Both clauses have the subject performing the action, making them active voice constructions.""
}","['active', 'active']",0
265,[3],"No Catholic, whether or not he consults a priest, can declare for himself that his marriage in the Church was invalid, especially when—indeed because—he lacks canonical proof of invalidity.",Predication,"['stative', 'active']","['stative', 'active']","['stative', 'active']",TRUE,[],"{
  ""Properties"": [""stative"", ""compound""],
  ""Explanation"": ""The sentence includes a stative verb 'was' and a compound structure with multiple verbs ('can declare,' 'lacks').""
}","['stative', 'compound']","{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'consults' and uses an active voice construction.""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The text contains active verbs such as 'declare,' 'consults,' 'can' and 'lacks,' indicating the use of active voice.""
}",['active'],FALSE,"{
  ""Properties"": [""stative""],
  ""Explanation"": ""The sentence contains a stative verb 'was' to express a state of being (invalid).""
}",['stative'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'consults' and 'declare' which indicate action being performed by the subject.""
}",['active'],"{
  ""Properties"": [""active"", ""stative""],
  ""Explanation"": ""The text contains active verbs (consults, can declare) and a stative verb (is).""
}","['active', 'stative']",0,['stative'],1,0,,"['stative', 'active']",,"{
  ""Answer"": [""passive""],
  ""Explanation"": ""The sentence 'No Catholic, whether or not he consults a priest, can declare for himself that his marriage in the Church was invalid, especially when—indeed because—he lacks canonical proof of invalidity.' is in the passive voice. The subject 'No Catholic' is not performing the action but is receiving the action of 'declaring'."" 
}",['passive'],"{
  ""Answer"": [""passive""],
  ""Explanation"": ""The sentence 'No Catholic, whether or not he consults a priest, can declare for himself that his marriage in the Church was invalid, especially when—indeed because—he lacks canonical proof of invalidity.' is in the passive voice. The subject 'marriage in the Church' receives the action 'was declared invalid' rather than performing the action."" 
}",['passive'],"{
  ""Answer"": [""passive""],
  ""Explanation"": ""The sentence 'No Catholic, whether or not he consults a priest, can declare for himself that his marriage in the Church was invalid, especially when—indeed because—he lacks canonical proof of invalidity.' is in the passive voice. The subject 'marriage in the Church' receives the action 'was declared invalid' rather than performing the action itself. The helping verb 'was' is used, and the main verb 'invalid' does not end in 'ing.'""
}",['passive'],1
282,[3 9],"And if Trumpism is not the future of the GOP, it is hard to see what a promising GOP agenda might look like.",Predication,['stative'],['stative'],['stative'],TRUE,"['stative', 'active']","{
  ""Properties"": [""stative""],
  ""Explanation"": ""The sentence contains a stative verb 'is' indicating a state of being.""
}",['stative'],"{
  ""Properties"": [""stative""],
  ""Explanation"": ""The sentence contains the stative verb 'is' as part of the phrase 'is not'. This indicates a state of being or a condition rather than an action.""
}",['stative'],"{
  ""Properties"": [""stative""],
  ""Explanation"": ""The sentence contains a stative verb 'is', indicating a state of being rather than action.""
}",['stative'],TRUE,"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'is' and 'look'.""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'is' which is used to express a state of being.""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'is' and 'look' which indicates action being performed by the subject.""
}",['active'],1,['active'],1,0,GPT is mixing up the properties and definitions,['stative'],,"{
  ""Answer"": [""active"", ""passive""],
  ""Explanation"": ""The sentence contains both active and passive voice. 'Trumpism is not the future of the GOP' is in passive voice, as 'is' is a helping verb and 'not the future' receives the action. 'It is hard to see what a promising GOP agenda might look like' is in active voice, as 'is' is a linking verb and 'hard to see' is the action performed by the subject 'it'.""
}","['active', 'passive']","{
  ""Answer"": [""active"", ""passive""],
  ""Explanation"": ""The sentence contains both active and passive voice. 'Trumpism is not the future of the GOP' is in passive voice, as the subject 'Trumpism' receives the action. 'It is hard to see what a promising GOP agenda might look like' is in active voice, as the subject 'it' is performing the action of 'seeing'."" 
}","['active', 'passive']","{
  ""Answer"": [""active"", ""passive""],
  ""Explanation"": ""The sentence contains both active and passive voice. 'Trumpism is not the future of the GOP' is in passive voice, as the subject 'Trumpism' receives the action. 'It is hard to see what a promising GOP agenda might look like' is in active voice, as the subject 'it' is performing the action of 'seeing'."" 
}","['active', 'passive']",1
313,[3],"“The Prologue set this choice before us, the world or Our Lord, as mutually exclusive alternatives; we cannot remain neutral, but must belong wholly to the one or wholly to the other.”",Predication,"['stative', 'active']","['stative', 'active']","['stative', 'active']",TRUE,"['stative', 'active']","{
  ""Properties"": [""active""],
  ""Explanation"": ""The text contains active verbs like 'set' and 'belong', which indicates action or movement.""
}",['active'],"{
  ""Properties"": [""active"", ""stative""],
  ""Explanation"": ""The text contains both active ('set') and stative ('cannot remain') verbs.""
}","['active', 'stative']","{
  ""Properties"": [""stative""],
  ""Explanation"": ""The sentence contains a stative verb 'remain' which indicates a state of being.""
}",['stative'],FALSE,"{
  ""Properties"": [""active""],
  ""Explanation"": ""The text contains active verbs such as 'set' and 'belong', which indicate actions being performed by the subjects.""
}",['active'],"{
  ""Properties"": [""active"", ""stative""],
  ""Explanation"": ""The text contains both active verbs (set, belong) and stative verbs (remain, belong) indicating action and state of being.""
}","['active', 'stative']","{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains active verbs 'set' and 'belong' which indicate action being performed by the subject.""
}",['active'],0,['active'],1,0,,"['stative', 'active']",,"{
  ""Answer"": [""active"", ""passive""],
  ""Explanation"": ""The sentence contains both active and passive voice. The active voice is present in the phrase 'set this choice before us,' where 'set' is the action performed by the subject 'The Prologue.' The passive voice is present in the phrase 'The Prologue set this choice before us,' where 'set' is in the passive form 'is set,' and 'us' is the receiver of the action. The passive voice is also present in the phrase 'we cannot remain neutral,' where 'remain' is the main verb and 'be' is the helping verb, indicating the passive voice."" 
}","['active', 'passive']","{
  ""Answer"": [""passive""],
  ""Explanation"": ""The sentence 'The Prologue set this choice before us, the world or Our Lord, as mutually exclusive alternatives; we cannot remain neutral, but must belong wholly to the one or wholly to the other.' is in the passive voice. The subject 'The Prologue' is not performing the action but is rather receiving the action of setting the choice before 'us'. The helping verb 'set' is followed by 'before us', indicating the passive voice."" 
}",['passive'],"{
  ""Answer"": [""active"", ""passive""],
  ""Explanation"": ""The sentence contains both active and passive voice. The active voice is present in the phrase 'set this choice before us,' where 'set' is the action performed by the subject 'The Prologue.' The passive voice is present in the phrase 'we cannot remain neutral, but must belong wholly to the one or wholly to the other,' where 'belong' is the action received by the subject 'we.'""
}","['active', 'passive']",0
319,[3],It’s not coming back.,Predication,['active'],['active'],['active'],TRUE,['active'],"{
  ""Properties"": [
    ""stative""
  ],
  ""Explanation"": ""The sentence contains a stative verb 'coming' that expresses a state of being, rather than an action.""
}",['stative'],"{
  ""Properties"": [""stative""],
  ""Explanation"": ""The sentence contains a stative verb 'coming' indicating a state of absence or non-existence.""
}",['stative'],"{
  ""Properties"": [""stative""],
  ""Explanation"": ""The sentence uses a stative verb 'coming' to describe a state of being for the subject. It does not involve an action in progress.""
}",['stative'],TRUE,"{
  ""Properties"": [""stative""],
  ""Explanation"": ""The sentence contains a stative verb 'coming' which expresses a state rather than an action.""
}",['stative'],"{
  ""Properties"": [""stative""],
  ""Explanation"": ""The sentence contains a stative verb 'coming' which describes a state rather than an action.""
}",['stative'],"{
  ""Properties"": [""stative""],
  ""Explanation"": ""The sentence contains a stative verb 'coming' which describes a state rather than an action.""
}",['stative'],1,['stative'],1,0,,['active'],,"{
  ""Answer"": [""active""],
  ""Explanation"": ""The sentence 'It’s not coming back.' is in the active voice because the subject 'It' is performing the action of not coming back.""
}",['active'],"{
  ""Answer"": [""active""],
  ""Explanation"": ""The sentence 'It’s not coming back.' is in the active voice. The subject 'It' is performing the action of not coming back.""
}",['active'],"{
  ""Answer"": [""active""],
  ""Explanation"": ""The sentence 'It’s not coming back.' is in the active voice because the subject 'It' is performing the action of not coming back. There is no indication of a passive construction or a compound voice in this sentence.""
}",['active'],1
