sentence_id,technique,text,feature_id,props_a20,props_a21,props_a22,annotator_consistency,props_gpt4_majority,res_1.0_1,gpt_props_1.0_1,res_1.0_2,gpt_props_1.0_2,res_1.0_3,gpt_props_1.0_3,gpt3.5_1.0_consistency,res_0.2_1,gpt_props_0.2_1,res_0.2_2,gpt_props_0.2_2,res_0.2_3,gpt_props_0.2_3,gpt3.5_0.2_consistency,gpt3.5_0.2_majority,humans isCorrect,gpt isCorrect,comments,ground truth,Unnamed: 28,property_FT_Maj_gpt3.5,res_FT_Maj_gpt3.5_0.0_V3_2,property_FT_Maj_gpt3.5_0.0_V3_2
43,[0],"As a former trial lawyer, I can tell you that while neither notes nor memories are infallible, in a contest between contemporaneous notes and later verbal testimony about those notes, the content of the written notes usually prevails.",Predication,"['stative', 'active']","['stative', 'active']","['stative', 'active']",True,[],"{
  ""Properties"": [
    ""active"",
    ""compound""
  ],
  ""Explanation"": ""The sentence contains active verbs such as 'are' and 'is', and also multiple verbs about one subject, making it a compound predication.""
}","['active', 'compound']","{
  ""Properties"": [""active""],
  ""Explanation"": ""The text contains active verbs such as 'are', 'notes', 'are', 'infallible', 'content', and 'prevails'. These verbs indicate action or occurrence by the subject.""
}",['active'],"{
  ""Properties"": [""active"", ""stative""],
  ""Explanation"": ""The text contains active verbs (are, is) and stative verbs (are, is) to describe the state of something or someone.""
}","['active', 'stative']",False,"{
  ""Properties"": [""active""],
  ""Explanation"": ""The text contains active verbs such as 'are', 'is', 'are', and 'prevails'. These active verbs indicate actions performed by the subjects in the sentence.""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains active verbs such as 'are' and 'prevails'.""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains active verbs such as 'are', 'are', 'prevails'. These active verbs indicate actions performed by the subject, meeting the criteria for the active property.""
}",['active'],1,['active'],1.0,0.0,GPT is mixing up the properties and definitions,"['stative', 'active']",,active,"{""Answer"": ""yes"", ""Explanation"": ""yes""}",['active']
43,[0],"As a former trial lawyer, I can tell you that while neither notes nor memories are infallible, in a contest between contemporaneous notes and later verbal testimony about those notes, the content of the written notes usually prevails.",Predication,"['stative', 'active']","['stative', 'active']","['stative', 'active']",True,[],"{
  ""Properties"": [
    ""active"",
    ""compound""
  ],
  ""Explanation"": ""The sentence contains active verbs such as 'are' and 'is', and also multiple verbs about one subject, making it a compound predication.""
}","['active', 'compound']","{
  ""Properties"": [""active""],
  ""Explanation"": ""The text contains active verbs such as 'are', 'notes', 'are', 'infallible', 'content', and 'prevails'. These verbs indicate action or occurrence by the subject.""
}",['active'],"{
  ""Properties"": [""active"", ""stative""],
  ""Explanation"": ""The text contains active verbs (are, is) and stative verbs (are, is) to describe the state of something or someone.""
}","['active', 'stative']",False,"{
  ""Properties"": [""active""],
  ""Explanation"": ""The text contains active verbs such as 'are', 'is', 'are', and 'prevails'. These active verbs indicate actions performed by the subjects in the sentence.""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains active verbs such as 'are' and 'prevails'.""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains active verbs such as 'are', 'are', 'prevails'. These active verbs indicate actions performed by the subject, meeting the criteria for the active property.""
}",['active'],1,['active'],1.0,0.0,GPT is mixing up the properties and definitions,"['stative', 'active']",,stative,"{""Answer"": ""yes"", ""Explanation"": "" the verb 'are' is a stative verb and is used with the helping verb 'be', indicating that the subject is in a state of being, rather than performing an action. The sentence contains stative voice verbs, as the subject is not the one performing the action, but rather receiving the action.""}",['stative']
43,[0],"As a former trial lawyer, I can tell you that while neither notes nor memories are infallible, in a contest between contemporaneous notes and later verbal testimony about those notes, the content of the written notes usually prevails.",Predication,"['stative', 'active']","['stative', 'active']","['stative', 'active']",True,[],"{
  ""Properties"": [
    ""active"",
    ""compound""
  ],
  ""Explanation"": ""The sentence contains active verbs such as 'are' and 'is', and also multiple verbs about one subject, making it a compound predication.""
}","['active', 'compound']","{
  ""Properties"": [""active""],
  ""Explanation"": ""The text contains active verbs such as 'are', 'notes', 'are', 'infallible', 'content', and 'prevails'. These verbs indicate action or occurrence by the subject.""
}",['active'],"{
  ""Properties"": [""active"", ""stative""],
  ""Explanation"": ""The text contains active verbs (are, is) and stative verbs (are, is) to describe the state of something or someone.""
}","['active', 'stative']",False,"{
  ""Properties"": [""active""],
  ""Explanation"": ""The text contains active verbs such as 'are', 'is', 'are', and 'prevails'. These active verbs indicate actions performed by the subjects in the sentence.""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains active verbs such as 'are' and 'prevails'.""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains active verbs such as 'are', 'are', 'prevails'. These active verbs indicate actions performed by the subject, meeting the criteria for the active property.""
}",['active'],1,['active'],1.0,0.0,GPT is mixing up the properties and definitions,"['stative', 'active']",,compound,"{""Answer"": ""no"", ""Explanation"": "" the Compound Predication voice is not used in the sentence. The sentence is in active voice, with the subject 'I' performing the action 'can tell'.""}",[]
83,[1],"A dark, impenetrable and “irreversible” winter of persecution of the faithful by their own shepherds will fall.",Predication,['active'],['active'],['active'],True,[],"{
  ""Properties"": [],
  ""Explanation"": ""The example text does not contain any active, stative, or compound predicates. Instead, it is a complex sentence expressing a prediction about a future event without specifying any particular action or state.""
}",[],"{
  ""Properties"": [""stative""],
  ""Explanation"": ""The sentence contains the stative verb 'irreversible' which describes a state rather than an action.""
}",['stative'],"{
  ""Properties"": [""stative"", ""compound""],
  ""Explanation"": ""The phrase 'will fall' contains a stative verb ('fall') indicating a state or condition. The sentence also contains a compound verb structure with 'will fall' and 'will fall', involving multiple verbs about one subject.""
}","['stative', 'compound']",False,"{
  ""Properties"": [""stative""],
  ""Explanation"": ""The sentence contains the stative verb 'will fall', indicating a state or condition that will occur in the future.""
}",['stative'],"{
  ""Properties"": [""stative""],
  ""Explanation"": ""The sentence contains a stative verb 'will fall' to describe a future state of being.""
}",['stative'],"{
  ""Properties"": [""stative""],
  ""Explanation"": ""The sentence contains a stative verb 'will fall' which describes a state of being rather than an action.""
}",['stative'],1,['stative'],1.0,0.0,GPT is mixing up the properties and definitions,['active'],will fail,active,"{""Answer"": ""yes"", ""Explanation"": ""yes""}",['active']
83,[1],"A dark, impenetrable and “irreversible” winter of persecution of the faithful by their own shepherds will fall.",Predication,['active'],['active'],['active'],True,[],"{
  ""Properties"": [],
  ""Explanation"": ""The example text does not contain any active, stative, or compound predicates. Instead, it is a complex sentence expressing a prediction about a future event without specifying any particular action or state.""
}",[],"{
  ""Properties"": [""stative""],
  ""Explanation"": ""The sentence contains the stative verb 'irreversible' which describes a state rather than an action.""
}",['stative'],"{
  ""Properties"": [""stative"", ""compound""],
  ""Explanation"": ""The phrase 'will fall' contains a stative verb ('fall') indicating a state or condition. The sentence also contains a compound verb structure with 'will fall' and 'will fall', involving multiple verbs about one subject.""
}","['stative', 'compound']",False,"{
  ""Properties"": [""stative""],
  ""Explanation"": ""The sentence contains the stative verb 'will fall', indicating a state or condition that will occur in the future.""
}",['stative'],"{
  ""Properties"": [""stative""],
  ""Explanation"": ""The sentence contains a stative verb 'will fall' to describe a future state of being.""
}",['stative'],"{
  ""Properties"": [""stative""],
  ""Explanation"": ""The sentence contains a stative verb 'will fall' which describes a state of being rather than an action.""
}",['stative'],1,['stative'],1.0,0.0,GPT is mixing up the properties and definitions,['active'],will fail,stative,"{""Answer"": ""yes"", ""Explanation"": ""yes""}",['stative']
83,[1],"A dark, impenetrable and “irreversible” winter of persecution of the faithful by their own shepherds will fall.",Predication,['active'],['active'],['active'],True,[],"{
  ""Properties"": [],
  ""Explanation"": ""The example text does not contain any active, stative, or compound predicates. Instead, it is a complex sentence expressing a prediction about a future event without specifying any particular action or state.""
}",[],"{
  ""Properties"": [""stative""],
  ""Explanation"": ""The sentence contains the stative verb 'irreversible' which describes a state rather than an action.""
}",['stative'],"{
  ""Properties"": [""stative"", ""compound""],
  ""Explanation"": ""The phrase 'will fall' contains a stative verb ('fall') indicating a state or condition. The sentence also contains a compound verb structure with 'will fall' and 'will fall', involving multiple verbs about one subject.""
}","['stative', 'compound']",False,"{
  ""Properties"": [""stative""],
  ""Explanation"": ""The sentence contains the stative verb 'will fall', indicating a state or condition that will occur in the future.""
}",['stative'],"{
  ""Properties"": [""stative""],
  ""Explanation"": ""The sentence contains a stative verb 'will fall' to describe a future state of being.""
}",['stative'],"{
  ""Properties"": [""stative""],
  ""Explanation"": ""The sentence contains a stative verb 'will fall' which describes a state of being rather than an action.""
}",['stative'],1,['stative'],1.0,0.0,GPT is mixing up the properties and definitions,['active'],will fail,compound,"{""Answer"": ""no"", ""Explanation"": "" the Compound Predication voice is not used in the sentence, the telegram was late but contained exciting news.""}",[]
118,[1],"In any case, note well: the letter to me from the UK Home Office said that I was banned for saying that “[Islam] is a religion and is a belief system that mandates warfare against unbelievers…”",Predication,"['stative', 'active']","['stative', 'active']","['stative', 'active']",True,[],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'said' in the clause 'the letter to me from the UK Home Office said'.""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The example text contains active verbs such as 'said' and 'saying', indicating the use of active voice.""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The example contains active verbs, such as 'said', which indicate the action being performed by the subject.""
}",['active'],True,"{
  ""Properties"": [""stative""],
  ""Explanation"": ""The sentence contains a stative verb 'is' in the phrase '[Islam] is a religion and is a belief system'. This indicates a state of being rather than an action.""
}",['stative'],"{
  ""Properties"": [""stative""],
  ""Explanation"": ""The sentence contains the stative verb 'is' in the phrase '[Islam] is a religion and is a belief system'. This indicates a state of being rather than an action, fulfilling the stative property.""
}",['stative'],"{
  ""Properties"": [""stative""],
  ""Explanation"": ""The sentence contains the stative verb 'is' in the phrase '[Islam] is a religion and is a belief system'. This indicates a state of being rather than an action.""
}",['stative'],1,['stative'],1.0,0.0,GPT is mixing up the properties and definitions,"['stative', 'active']",,active,"{""Answer"": ""yes"", ""Explanation"": "" the verb 'said' in the sentence 'the letter to me from the UK Home Office said that I was banned for saying that \\""  }",['active']
118,[1],"In any case, note well: the letter to me from the UK Home Office said that I was banned for saying that “[Islam] is a religion and is a belief system that mandates warfare against unbelievers…”",Predication,"['stative', 'active']","['stative', 'active']","['stative', 'active']",True,[],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'said' in the clause 'the letter to me from the UK Home Office said'.""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The example text contains active verbs such as 'said' and 'saying', indicating the use of active voice.""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The example contains active verbs, such as 'said', which indicate the action being performed by the subject.""
}",['active'],True,"{
  ""Properties"": [""stative""],
  ""Explanation"": ""The sentence contains a stative verb 'is' in the phrase '[Islam] is a religion and is a belief system'. This indicates a state of being rather than an action.""
}",['stative'],"{
  ""Properties"": [""stative""],
  ""Explanation"": ""The sentence contains the stative verb 'is' in the phrase '[Islam] is a religion and is a belief system'. This indicates a state of being rather than an action, fulfilling the stative property.""
}",['stative'],"{
  ""Properties"": [""stative""],
  ""Explanation"": ""The sentence contains the stative verb 'is' in the phrase '[Islam] is a religion and is a belief system'. This indicates a state of being rather than an action.""
}",['stative'],1,['stative'],1.0,0.0,GPT is mixing up the properties and definitions,"['stative', 'active']",,stative,"{""Answer"": ""yes"", ""Explanation"": ""yes""}",['stative']
118,[1],"In any case, note well: the letter to me from the UK Home Office said that I was banned for saying that “[Islam] is a religion and is a belief system that mandates warfare against unbelievers…”",Predication,"['stative', 'active']","['stative', 'active']","['stative', 'active']",True,[],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'said' in the clause 'the letter to me from the UK Home Office said'.""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The example text contains active verbs such as 'said' and 'saying', indicating the use of active voice.""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The example contains active verbs, such as 'said', which indicate the action being performed by the subject.""
}",['active'],True,"{
  ""Properties"": [""stative""],
  ""Explanation"": ""The sentence contains a stative verb 'is' in the phrase '[Islam] is a religion and is a belief system'. This indicates a state of being rather than an action.""
}",['stative'],"{
  ""Properties"": [""stative""],
  ""Explanation"": ""The sentence contains the stative verb 'is' in the phrase '[Islam] is a religion and is a belief system'. This indicates a state of being rather than an action, fulfilling the stative property.""
}",['stative'],"{
  ""Properties"": [""stative""],
  ""Explanation"": ""The sentence contains the stative verb 'is' in the phrase '[Islam] is a religion and is a belief system'. This indicates a state of being rather than an action.""
}",['stative'],1,['stative'],1.0,0.0,GPT is mixing up the properties and definitions,"['stative', 'active']",,compound,"{""Answer"": ""no"", ""Explanation"": "" the structure of the sentence does not indicate the use of compound voice. The verb 'was banned' is in the passive voice, but the rest of the sentence is in the active voice, so there is no compound voice construction.""}",[]
243,[2 6],Women everywhere should be furious.,Predication,['stative'],['stative'],['stative'],True,[],"{
  ""Properties"": [
    ""stative""
  ],
  ""Explanation"": ""The sentence uses the stative verb 'should be' to express a state of being, rather than an action.""
}",['stative'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'should be furious.'""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'should be furious.' It is directly calling on women to feel a certain way.""
}",['active'],False,"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'should be furious' which expresses an action.""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'should be furious.'""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'should be furious.'""
}",['active'],1,['active'],1.0,0.0,GPT is mixing up the properties and definitions,['stative'],,active,"{""Answer"": ""no"", ""Explanation"": "" the verb 'should be' is a passive construction indicating a state of being, rather than an action performed by the subject""}",[]
243,[2 6],Women everywhere should be furious.,Predication,['stative'],['stative'],['stative'],True,[],"{
  ""Properties"": [
    ""stative""
  ],
  ""Explanation"": ""The sentence uses the stative verb 'should be' to express a state of being, rather than an action.""
}",['stative'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'should be furious.'""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'should be furious.' It is directly calling on women to feel a certain way.""
}",['active'],False,"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'should be furious' which expresses an action.""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'should be furious.'""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'should be furious.'""
}",['active'],1,['active'],1.0,0.0,GPT is mixing up the properties and definitions,['stative'],,stative,"{""Answer"": ""yes"", ""Explanation"": "" the value of 'be' as a helping verb indicates stative voice, and the main verb 'furious' does not end in 'ing', confirming the presence of stative voice in the sentence.""}",['stative']
243,[2 6],Women everywhere should be furious.,Predication,['stative'],['stative'],['stative'],True,[],"{
  ""Properties"": [
    ""stative""
  ],
  ""Explanation"": ""The sentence uses the stative verb 'should be' to express a state of being, rather than an action.""
}",['stative'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'should be furious.'""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'should be furious.' It is directly calling on women to feel a certain way.""
}",['active'],False,"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'should be furious' which expresses an action.""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'should be furious.'""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'should be furious.'""
}",['active'],1,['active'],1.0,0.0,GPT is mixing up the properties and definitions,['stative'],,compound,"{""Answer"": ""no"", ""Explanation"": "" the term 'compound predication voice' does not apply to the sentence 'Women everywhere should be furious.'""}",[]
249,[2],"Although the claims are intriguing, it is important to remember that after virtually every terror attack and mass shooting, friends and neighbors express shock that the culprit would be capable of carrying out such horrors, with some outright denying it to be possible.",Predication,"['stative', 'active']","['stative', 'active']","['stative', 'active']",True,[],"{
  ""Properties"": [""active"", ""stative""],
  ""Explanation"": ""The text contains active verbs (express, carrying) and stative verbs (are, is, denying).""
}","['active', 'stative']","{
  ""Properties"": [""active"", ""compound""],
  ""Explanation"": ""The text contains active verbs such as 'are', 'is', 'remember', 'express', 'denying' which indicate active voice. Additionally, it also has compound verbs 'is important', 'would be capable', and 'carrying out', where multiple verbs are connected to one subject.""
}","['active', 'compound']","{
  ""Properties"": [""active"", ""stative"", ""compound""],
  ""Explanation"": ""The example contains active verbs ('are', 'is', 'remember', 'express', 'carrying', 'denying'), stative verb ('is'), and compound verbs ('is important', 'would be capable', 'carrying out').""
}","['active', 'stative', 'compound']",False,"{
  ""Properties"": [""active"", ""stative"", ""compound""],
  ""Explanation"": ""The text contains active verbs (are, express, denying), stative verbs (are), and compound verbs (would be, carrying out).""
}","['active', 'stative', 'compound']","{
  ""Properties"": [""active"", ""stative""],
  ""Explanation"": ""The text contains both active verbs (express, carrying out) and stative verbs (are, is, denying).""
}","['active', 'stative']","{
  ""Properties"": [""active"", ""compound""],
  ""Explanation"": ""The text contains active verbs such as 'are', 'is', 'remember', 'express', 'denying' and also has a compound structure with multiple verbs 'are', 'express', 'denying' about one subject.""
}","['active', 'compound']",0,"['active', 'stative', 'compound']",1.0,0.0,GPT is mixing up the properties and definitions,"['stative', 'active']",,active,"{""Answer"": ""yes"", ""Explanation"": ""yes""}",['active']
249,[2],"Although the claims are intriguing, it is important to remember that after virtually every terror attack and mass shooting, friends and neighbors express shock that the culprit would be capable of carrying out such horrors, with some outright denying it to be possible.",Predication,"['stative', 'active']","['stative', 'active']","['stative', 'active']",True,[],"{
  ""Properties"": [""active"", ""stative""],
  ""Explanation"": ""The text contains active verbs (express, carrying) and stative verbs (are, is, denying).""
}","['active', 'stative']","{
  ""Properties"": [""active"", ""compound""],
  ""Explanation"": ""The text contains active verbs such as 'are', 'is', 'remember', 'express', 'denying' which indicate active voice. Additionally, it also has compound verbs 'is important', 'would be capable', and 'carrying out', where multiple verbs are connected to one subject.""
}","['active', 'compound']","{
  ""Properties"": [""active"", ""stative"", ""compound""],
  ""Explanation"": ""The example contains active verbs ('are', 'is', 'remember', 'express', 'carrying', 'denying'), stative verb ('is'), and compound verbs ('is important', 'would be capable', 'carrying out').""
}","['active', 'stative', 'compound']",False,"{
  ""Properties"": [""active"", ""stative"", ""compound""],
  ""Explanation"": ""The text contains active verbs (are, express, denying), stative verbs (are), and compound verbs (would be, carrying out).""
}","['active', 'stative', 'compound']","{
  ""Properties"": [""active"", ""stative""],
  ""Explanation"": ""The text contains both active verbs (express, carrying out) and stative verbs (are, is, denying).""
}","['active', 'stative']","{
  ""Properties"": [""active"", ""compound""],
  ""Explanation"": ""The text contains active verbs such as 'are', 'is', 'remember', 'express', 'denying' and also has a compound structure with multiple verbs 'are', 'express', 'denying' about one subject.""
}","['active', 'compound']",0,"['active', 'stative', 'compound']",1.0,0.0,GPT is mixing up the properties and definitions,"['stative', 'active']",,stative,"{""Answer"": ""yes"", ""Explanation"": ""yes""}",['stative']
249,[2],"Although the claims are intriguing, it is important to remember that after virtually every terror attack and mass shooting, friends and neighbors express shock that the culprit would be capable of carrying out such horrors, with some outright denying it to be possible.",Predication,"['stative', 'active']","['stative', 'active']","['stative', 'active']",True,[],"{
  ""Properties"": [""active"", ""stative""],
  ""Explanation"": ""The text contains active verbs (express, carrying) and stative verbs (are, is, denying).""
}","['active', 'stative']","{
  ""Properties"": [""active"", ""compound""],
  ""Explanation"": ""The text contains active verbs such as 'are', 'is', 'remember', 'express', 'denying' which indicate active voice. Additionally, it also has compound verbs 'is important', 'would be capable', and 'carrying out', where multiple verbs are connected to one subject.""
}","['active', 'compound']","{
  ""Properties"": [""active"", ""stative"", ""compound""],
  ""Explanation"": ""The example contains active verbs ('are', 'is', 'remember', 'express', 'carrying', 'denying'), stative verb ('is'), and compound verbs ('is important', 'would be capable', 'carrying out').""
}","['active', 'stative', 'compound']",False,"{
  ""Properties"": [""active"", ""stative"", ""compound""],
  ""Explanation"": ""The text contains active verbs (are, express, denying), stative verbs (are), and compound verbs (would be, carrying out).""
}","['active', 'stative', 'compound']","{
  ""Properties"": [""active"", ""stative""],
  ""Explanation"": ""The text contains both active verbs (express, carrying out) and stative verbs (are, is, denying).""
}","['active', 'stative']","{
  ""Properties"": [""active"", ""compound""],
  ""Explanation"": ""The text contains active verbs such as 'are', 'is', 'remember', 'express', 'denying' and also has a compound structure with multiple verbs 'are', 'express', 'denying' about one subject.""
}","['active', 'compound']",0,"['active', 'stative', 'compound']",1.0,0.0,GPT is mixing up the properties and definitions,"['stative', 'active']",,compound,"{""Answer"": ""no"", ""Explanation"": "" the Compound Predication voice is not used in the sentence, the passive voice is used in the first part of the sentence and the active voice is used in the second part, but they are not combined in a single predication.""}",[]
