sentence_id,technique,text,feature_id,props_a20,props_a21,props_a22,annotator_consistency,res1_x,gpt_props1_x,res2_x,gpt_props2_x,res3_x,gpt_props3_x,,props_a_majority,props_gpt_majority,ann_gpt_agreemnt,props_gpt4_majority,res1_y,gpt_props1_y,res2_y,gpt_props2_y,res3_y,gpt_props3_y,gpt3.5_consistency_y,gpt3.5_majority
4,[0 8 9],"Muhammad advises the same thing, according to the tradition of the Muslim doctors: wherefore the great Temur always strove to exterminate the infidels, as much to acquire that glory, as to signalise himself by the greatness of his conquests.”",Aspect,['simple'],['simple'],['simple'],TRUE,"{
  ""Properties"": [""simple"", ""progressive""],
  ""Explanation"": ""The simple aspect is used to express a simple fact in the sentence 'Muhammad advises the same thing.' The progressive aspect is used to express an ongoing action in the sentence 'according to the tradition of the Muslim doctors.'""
}","['simple', 'progressive']","{
  ""Properties"": [""simple""],
  ""Explanation"": ""The example text expresses a simple fact about Muhammad advising the same thing according to the tradition of the Muslim doctors.""
}",['simple'],"{
  ""Properties"": [""simple"", ""progressive""],
  ""Explanation"": ""The text contains simple statements of fact (Muhammad advises the same thing) and also expresses ongoing or habitual actions (Temur always strove to exterminate the infidels).""
}","['simple', 'progressive']",,['simple'],"['simple', 'progressive']",0,[],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence expresses a simple fact about Muhammad advising the same thing according to the tradition of the Muslim doctors. It does not indicate a completed action, an ongoing action, or the end of an ongoing action.""
}",['simple'],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence expresses a simple fact without any indication of completion, ongoing action, or perfect aspect.""
}",['simple'],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence expresses a simple fact about Muhammad advising the same thing, without any indication of completion, ongoing, or habitual action.""
}",['simple'],TRUE,
11,[0 8],"We are simply asked to take the pope’s word for it, but given that it follows his astoundingly brazen lie that there was no evidence for Ricca’s homosexual activity in the first place, we can take the assurance for what it seems to be worth.",Aspect,['simple'],['perfect_progressive'],['simple'],FALSE,"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence 'We are simply asked to take the pope’s word for it' expresses a simple fact.""
}",['simple'],"{
  ""Properties"": [""progressive""],
  ""Explanation"": ""The text includes the progressive aspect in the phrase 'We are simply asked' to express an ongoing or incomplete action.""
}",['progressive'],"{
  ""Properties"": [""simple"", ""progressive""],
  ""Explanation"": ""The text contains a simple fact ('We are simply asked to take the pope’s word for it') and also expresses an ongoing or incomplete action ('given that it follows his astoundingly brazen lie').""
}","['simple', 'progressive']",,['simple'],['simple'],1,[],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The text is expressing a simple fact about being asked to take the pope's word for it.""
}",['simple'],"{
  ""Properties"": [
    ""simple""
  ],
  ""Explanation"": ""The sentence expresses a simple fact about being asked to take the Pope's word for it.""
}",['simple'],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The text expresses a simple fact about the current situation, presenting it as straightforward and undeniable.""
}",['simple'],TRUE,
14,[0],Conservative Ben Shapiro told Fox news the verdict was “horrifying.,Aspect,['simple'],['simple'],['simple'],TRUE,"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The example text is expressing a simple fact, with no indication of completion, ongoing action, or end of an ongoing action.""
}",['simple'],timeout,[],"{
    ""Properties"": [""simple""],
    ""Explanation"": ""The example text expresses a simple fact about what Ben Shapiro told Fox news.""
}",['simple'],,['simple'],['simple'],1,[],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence expresses a simple fact about Ben Shapiro's statement.""
}",['simple'],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence expresses a simple fact without any indication of completion, ongoingness, or habitual action.""
}",['simple'],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The statement expresses a simple fact without specifying completion, ongoingness, or habitualness. It simply states Ben Shapiro's opinion on the verdict.""
}",['simple'],TRUE,
16,[0],"According to Breitbart, “Sellner, who described the detention centre as looking akin to a typical American prison, said he was told by authorities that his speaking at Hyde Park could cause violence and disrupt community cohesion.”",Aspect,['simple'],['simple'],['simple'],TRUE,"{
  ""Properties"": [""progressive""],
  ""Explanation"": ""The use of 'was told' and 'could cause' indicates an ongoing or potential action.""
}",['progressive'],"{
  ""Properties"": [""simple"", ""progressive""],
  ""Explanation"": ""The example uses the simple aspect to express a simple fact (Sellner described the detention centre) and the progressive aspect to express an ongoing action (he was told by authorities).""
}","['simple', 'progressive']","{
  ""Properties"": [""simple"", ""progressive""],
  ""Explanation"": ""The sentence 'Sellner, who described the detention centre as looking akin to a typical American prison' is a simple statement, while 'said he was told by authorities that his speaking at Hyde Park could cause violence and disrupt community cohesion' expresses an ongoing or habitual action.""
}","['simple', 'progressive']",,['simple'],"['simple', 'progressive']",0,[],"{
  ""Properties"": [""simple"", ""progressive""],
  ""Explanation"": ""The sentence contains a simple statement about Sellner being told by authorities that his speaking at Hyde Park could cause violence and disrupt community cohesion.""
}","['simple', 'progressive']","{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence expresses a simple fact about Sellner being told that his speaking at Hyde Park could cause violence and disrupt community cohesion.""
}",['simple'],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence expresses a simple fact without any indication of completion, ongoingness, or duration.""
}",['simple'],FALSE,
23,[0],"“This is a clear violation of the Senate Ethics rules which safeguard against the appearance or actuality of elected officials ‘cashing in’ on their official position for political purposes,” said Kendra Arnold, executive director of FACT.",Aspect,['simple'],['simple'],['simple'],TRUE,"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The example text expresses a simple fact about the violation of Senate Ethics rules.""
}",['simple'],"{
    ""Properties"": [""simple""],
    ""Explanation"": ""The example text expresses a simple fact about a violation of Senate Ethics rules.""
}",['simple'],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence expresses a simple fact about a violation of Senate Ethics rules.""
}",['simple'],,['simple'],['simple'],1,[],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence expresses a simple fact, reporting a statement from Kendra Arnold without indicating any specific time frame or completion of an action.""
}",['simple'],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The statement expresses a simple fact about a violation of Senate Ethics rules without emphasizing the completion, progress, or ongoing nature of the action.""
}",['simple'],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence expresses a simple fact, stating that Kendra Arnold made a clear statement about a violation of Senate Ethics rules.""
}",['simple'],TRUE,
32,[0 6],Cardinal Raymond Burke’s statement declares: “The declarations made by a prelate of the authority of Archbishop Carlo Maria Viganò must be totally taken to heart by those responsible in the Church.”,Aspect,['simple'],['simple'],['simple'],TRUE,"{
  ""Properties"": [""simple"", ""perfect""],
  ""Explanation"": ""The example text uses the simple aspect to express a simple fact and the perfect aspect to indicate a completed action.""
}","['simple', 'perfect']","{
  ""Properties"": [""simple""],
  ""Explanation"": ""The example text expresses a simple fact, a declaration made by Cardinal Raymond Burke.""
}",['simple'],"{
  ""Properties"": [""simple"", ""perfect""],
  ""Explanation"": ""The example text contains a simple fact (Cardinal Raymond Burke’s statement declares) and expresses a completed action (must be totally taken to heart by those responsible in the Church).""
}","['simple', 'perfect']",,['simple'],"['simple', 'perfect']",0,[],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The statement by Cardinal Raymond Burke is a simple declaration of fact, without any indication of completed action, ongoing action, or the end of an ongoing action.""
}",['simple'],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The statement 'must be totally taken to heart' expresses a simple fact or assertion without any specific aspect of completion, ongoingness, or repetition.""
}",['simple'],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence expresses a simple fact without indicating completion, ongoing action, or past completion.""
}",['simple'],TRUE,
43,[0],"As a former trial lawyer, I can tell you that while neither notes nor memories are infallible, in a contest between contemporaneous notes and later verbal testimony about those notes, the content of the written notes usually prevails.",Aspect,['simple'],['simple'],['simple'],TRUE,"{
  ""Properties"": [""simple"", ""progressive""],
  ""Explanation"": ""The text uses the simple aspect to express simple facts (such as 'notes are infallible') and the progressive aspect to express ongoing or habitual actions (such as 'I can tell you').""
}","['simple', 'progressive']","{
  ""Properties"": [""simple"", ""progressive""],
  ""Explanation"": ""The text uses simple aspect to express simple facts and progressive aspect to describe an ongoing or habitual action.""
}","['simple', 'progressive']","{
  ""Properties"": [""simple""],
  ""Explanation"": ""The example uses the simple aspect to express a simple fact.""
}",['simple'],,['simple'],"['simple', 'progressive']",0,[],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The example uses the simple aspect to express a simple fact without emphasizing the ongoing or completed nature of the action.""
}",['simple'],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence expresses a simple fact about the superiority of written notes over later verbal testimony.""
}",['simple'],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence 'neither notes nor memories are infallible' expresses a simple fact.""
}",['simple'],TRUE,
47,[0],"“I don’t regard Louis Farrakhan as an aberration or anything, I regard him as an outstanding human being who commands a following of individuals who are learned and articulate and he plays a big role in the lives of thousands and thousands and thousands and thousands of people,” he emphasized later.",Aspect,['simple'],['simple'],['simple'],TRUE,"{
  ""Properties"": [""simple"", ""progressive""],
  ""Explanation"": ""The example contains simple aspect (e.g. 'I don’t regard Louis Farrakhan as an aberration') and progressive aspect (e.g. 'who commands a following').""
}","['simple', 'progressive']","{
  ""Properties"": [""simple"", ""progressive""],
  ""Explanation"": ""The text contains simple aspect in 'I regard him as an outstanding human being' and progressive aspect in 'who commands a following of individuals'.""
}","['simple', 'progressive']","{
  ""Properties"": [""simple"", ""progressive""],
  ""Explanation"": ""The text uses simple aspect to express simple facts, such as 'I don’t regard Louis Farrakhan as an aberration'. It also uses progressive aspect to express ongoing or incomplete actions, such as 'he plays a big role in the lives of thousands and thousands and thousands and thousands of people'.""
}","['simple', 'progressive']",,['simple'],"['simple', 'progressive']",0,[],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence expresses a simple fact about Louis Farrakhan, without indicating completion, ongoing action, or a combination of both.""
}",['simple'],"{
  ""Properties"": [""simple"", ""progressive""],
  ""Explanation"": ""The sentence 'I don’t regard Louis Farrakhan as an aberration' expresses a simple fact, while the rest of the statement 'he plays a big role in the lives of thousands and thousands and thousands and thousands of people' expresses an ongoing or habitual action.""
}","['simple', 'progressive']","{
  ""Properties"": [""simple"", ""progressive""],
  ""Explanation"": ""The statement uses the simple aspect to express a fact about Louis Farrakhan. It also uses the progressive aspect to emphasize the ongoing role he plays in the lives of people.""
}","['simple', 'progressive']",FALSE,
50,[0],"John Hancock, the first signer of the Declaration of Independence, said,",Aspect,['simple'],['simple'],['simple'],TRUE,"{
  ""Properties"": [],
  ""Explanation"": ""None of the aspects are present in the example text. The sentence simply states a fact without indicating completion, ongoingness, or habitual action.""
}",[],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence expresses a simple fact about John Hancock's statement.""
}",['simple'],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The example text expresses a simple fact about John Hancock, stating what he said without any indication of completion or ongoing action.""
}",['simple'],,['simple'],['simple'],1,[],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence expresses a simple fact about John Hancock without indicating the completion or ongoing nature of any action.""
}",['simple'],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence expresses a simple fact about a historical figure's statement without referencing the timing or completion of the action.""
}",['simple'],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence expresses a simple fact about the action of John Hancock. There are no indicators of completed or ongoing actions.""
}",['simple'],TRUE,
54,[0],"She said Thursday regarding Ms. Ford: ""I believe her because she is telling the truth and you know it by her story.""",Aspect,"['simple', 'progressive']",['simple'],['simple'],FALSE,"{
  ""Properties"": [""simple"", ""progressive""],
  ""Explanation"": ""The example text contains the simple aspect in 'She said Thursday regarding Ms. Ford' and the progressive aspect in 'she is telling the truth'.""
}","['simple', 'progressive']","{
  ""Properties"": [""simple""],
  ""Explanation"": ""The example text expresses a simple fact about the speaker's belief in Ms. Ford's truthfulness.""
}",['simple'],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The example text uses the simple aspect to express a simple fact: 'She said Thursday regarding Ms. Ford: 'I believe her because she is telling the truth and you know it by her story.'""""
}",['simple'],,['simple'],['simple'],1,[],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence expresses a simple fact without indicating any completion, ongoing, or habitual action.""
}",['simple'],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence is expressing a simple fact without any indication of completion, ongoingness, or duration.""
}",['simple'],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence expresses a simple fact without indicating completion, ongoingness, or habitual action.""
}",['simple'],TRUE,
