,sentence_id,technique,text,feature_id,props_a20,props_a21,props_a22,annotator_consitency,props_gpt4_majority,res_1.0_1,gpt_props_1.0_1,res_1.0_2,gpt_props_1.0_2,res_1.0_3,gpt_props_1.0_3,gpt3.5_1.0_consistency,res_0.2_1,gpt_props_0.2_1,res_0.2_2,gpt_props_0.2_2,res_0.2_3,gpt_props_0.2_3,gpt3.5_0.2_consistency
0,4,[0 8 9],"Muhammad advises the same thing, according to the tradition of the Muslim doctors: wherefore the great Temur always strove to exterminate the infidels, as much to acquire that glory, as to signalise himself by the greatness of his conquests.”",Modifying_clauses,['subordinate'],['subordinate'],['subordinate'],True,[],"{
  ""Properties"": [""comparitive""],
  ""Explanation"": ""The clause 'as much to acquire that glory as to signalise himself by the greatness of his conquests' is a comparative clause using the conjunction 'as'. It compares the reasons for Temur's actions.""
}",['comparitive'],"{
  ""Properties"": [""comparative""],
  ""Explanation"": ""The clause 'as much to acquire that glory, as to signalise himself by the greatness of his conquests' is a comparative clause using the conjunction 'as'.""
}",['comparative'],"{
  ""Properties"": [""subordinate""],
  ""Explanation"": ""The presence of the subordinating conjunction 'wherefore' suggests a causal connection, indicating a subordinate clause in the sentence.""
}",['subordinate'],False,"{
  ""Properties"": [""subordinate""],
  ""Explanation"": ""The clause 'according to the tradition of the Muslim doctors' suggests a causal connection and is introduced by the subordinating conjunction 'according to'.""
}",['subordinate'],"{
  ""Properties"": [""subordinate""],
  ""Explanation"": ""The sentence contains a subordinate clause with the subordinating conjunction 'wherefore' suggesting a causal connection between Muhammad advising the same thing and Temur's striving to exterminate the infidels.""
}",['subordinate'],"{
  ""Properties"": [""comparitive""],
  ""Explanation"": ""The sentence contains a comparative clause using the conjunction 'as' to compare the actions of Temur with the tradition of the Muslim doctors.""
}",['comparitive'],0
1,11,[0 8],"We are simply asked to take the pope’s word for it, but given that it follows his astoundingly brazen lie that there was no evidence for Ricca’s homosexual activity in the first place, we can take the assurance for what it seems to be worth.",Modifying_clauses,['noun'],['adjective'],['adjective'],False,[],"{
  ""Properties"": [""subordinate""],
  ""Explanation"": ""The sentence contains a subordinate clause ('given that it follows his astoundingly brazen lie') that suggests a causal connection between the pope's word and the previous lie.""
}",['subordinate'],"{
  ""Properties"": [""subordinate""],
  ""Explanation"": ""The sentence contains a subordinate clause ('given that it follows his astoundingly brazen lie that there was no evidence for Ricca’s homosexual activity in the first place') suggesting a causal connection.""
}",['subordinate'],"{
  ""Properties"": [""subordinate""],
  ""Explanation"": ""The sentence contains a subordinate clause 'given that it follows his astoundingly brazen lie' which suggests a causal connection between the two events.""
}",['subordinate'],True,"{
  ""Properties"": [""subordinate""],
  ""Explanation"": ""The sentence contains a subordinate clause ('given that it follows his astoundingly brazen lie') which suggests a causal connection between the pope's word and the lie about Ricca's homosexual activity.""
}",['subordinate'],"{
  ""Properties"": [""subordinate""],
  ""Explanation"": ""The sentence contains a subordinate clause ('given that it follows his astoundingly brazen lie that there was no evidence for Ricca’s homosexual activity in the first place') which suggests a causal connection between the pope's word and his previous lie.""
}",['subordinate'],"{
  ""Properties"": [""subordinate""],
  ""Explanation"": ""The sentence contains a subordinate clause ('given that it follows his astoundingly brazen lie') which suggests a causal connection between the pope's word and his previous lie.""
}",['subordinate'],1
2,14,[0],Conservative Ben Shapiro told Fox news the verdict was “horrifying.,Modifying_clauses,[],['noun'],[],False,[],"{
  ""Properties"": [""noun""],
  ""Explanation"": ""The presence of the noun modifying clause is indicated by the use of 'told' followed by the statement 'the verdict was “horrifying.'""
}",['noun'],"{
  ""Properties"": [""noun""],
  ""Explanation"": ""The sentence contains a noun clause used for indirect speech, paraphrasing Ben Shapiro's statement.""
}",['noun'],"{
  ""Properties"": [""noun""],
  ""Explanation"": ""The presence of the noun clause 'Conservative Ben Shapiro told Fox news the verdict was “horrifying' indicates the use of a modifying clause to incorporate detail and indirect speech.""
}",['noun'],True,"{
  ""Properties"": [""noun""],
  ""Explanation"": ""The sentence contains a noun clause 'the verdict was 'horrifying', which is used for indirect speech or paraphrasing.""
}",['noun'],"{
  ""Properties"": [""noun""],
  ""Explanation"": ""The clause 'Ben Shapiro told Fox news the verdict' is a noun clause used for indirect speech, paraphrasing or incorporating detail.""
}",['noun'],"{
  ""Properties"": [""noun""],
  ""Explanation"": ""The sentence contains a noun modifying clause 'Conservative Ben Shapiro told Fox news' which is used for indirect speech and incorporating detail.""
}",['noun'],1
3,16,[0],"According to Breitbart, “Sellner, who described the detention centre as looking akin to a typical American prison, said he was told by authorities that his speaking at Hyde Park could cause violence and disrupt community cohesion.”",Modifying_clauses,['noun'],['adjective'],['adjective'],False,[],"{
  ""Properties"": [""adjective""],
  ""Explanation"": ""The sentence contains a relative clause using 'who' to incorporate detail about Sellner, describing his previous statement about the detention centre.""
}",['adjective'],"{
  ""Properties"": [""adjective""],
  ""Explanation"": ""The sentence contains a relative clause 'who described the detention centre as looking akin to a typical American prison' which functions as an adjective to modify the noun 'Sellner'.""
}",['adjective'],"{
  ""Properties"": [""adjective"", ""subordinate""],
  ""Explanation"": ""The sentence contains an adjective clause 'who described the detention centre as looking akin to a typical American prison' and a subordinate clause 'that his speaking at Hyde Park could cause violence and disrupt community cohesion.'""
}","['adjective', 'subordinate']",False,"{
  ""Properties"": [""adjective""]
}",['adjective'],"{
  ""Properties"": [""adjective""],
  ""Explanation"": ""The sentence contains a relative clause using 'who' (described the detention centre as looking akin to a typical American prison) to provide additional detail about Sellner.""
}",['adjective'],"{
  ""Properties"": [""adjective""],
  ""Explanation"": ""The sentence contains a relative clause 'who described the detention centre as looking akin to a typical American prison' using the relative pronoun 'who'. This is an example of an adjective modifying clause.""
}",['adjective'],1
4,23,[0],"“This is a clear violation of the Senate Ethics rules which safeguard against the appearance or actuality of elected officials ‘cashing in’ on their official position for political purposes,” said Kendra Arnold, executive director of FACT.",Modifying_clauses,['adjective'],['adjective'],['adjective'],True,[],"{
  ""Properties"": [""adjective"", ""noun""],
  ""Explanation"": ""The sentence contains a relative clause 'which safeguard against the appearance or actuality of elected officials ‘cashing in’ on their official position for political purposes' (adjective clause) and indirect speech 'said Kendra Arnold, executive director of FACT' (noun clause).""
}","['adjective', 'noun']","{
  ""Properties"": [""adjective""],
  ""Explanation"": ""The example contains an adjective clause, 'which safeguard against the appearance or actuality of elected officials 'cashing in' on their official position for political purposes,' providing additional detail about the Senate Ethics rules.""
}",['adjective'],"{
  ""Properties"": [
    ""adjective"",
    ""noun""
  ],
  ""Explanation"": ""The sentence contains a relative clause 'which safeguard against the appearance or actuality of elected officials 'cashing in' on their official position for political purposes' (adjective) and a noun clause 'said Kendra Arnold, executive director of FACT' which functions as indirect speech.""
}","['adjective', 'noun']",False,"{
  ""Properties"": [""adjective""]
}

  ",['adjective'],"{
  ""Properties"": [""adjective""]
}

  ",['adjective'],"{
  ""Properties"": [""adjective""],
  ""Explanation"": ""The clause 'which safeguard against the appearance or actuality of elected officials ‘cashing in’ on their official position for political purposes' is a relative clause using the relative pronoun 'which'. It provides additional information about the Senate Ethics rules.""
}",['adjective'],1
5,32,[0 6],Cardinal Raymond Burke’s statement declares: “The declarations made by a prelate of the authority of Archbishop Carlo Maria Viganò must be totally taken to heart by those responsible in the Church.”,Modifying_clauses,['noun'],[],['noun'],False,[],"{
  ""Properties"": [""adjective""],
  ""Explanation"": ""The sentence includes a relative clause 'made by a prelate of the authority of Archbishop Carlo Maria Viganò' providing additional detail about the 'declarations'. This is an example of an adjective modifying clause.""
}",['adjective'],"{
  ""Properties"": [""conditional"", ""adjective""],
  ""Explanation"": ""The statement contains a conditional clause with 'must be' and an adjective relative clause with 'who' in 'a prelate who'.""
}","['conditional', 'adjective']","{
  ""Properties"": [""adjective""],
  ""Explanation"": ""The example contains an adjective clause using the relative pronoun 'who', modifying the noun 'prelate': 'The declarations made by a prelate who has the authority of Archbishop Carlo Maria Viganò must be totally taken to heart.'""
}",['adjective'],False,"{
  ""Properties"": [""adjective""],
  ""Explanation"": ""The sentence contains a relative clause using 'who' (Archbishop Carlo Maria Viganò) to provide additional detail about the prelate mentioned in the main clause.""
}",['adjective'],"{
  ""Properties"": [""adjective""]
  ,
  ""Explanation"": ""The sentence contains a relative clause using the adjective 'who' in the phrase 'made by a prelate of the authority of Archbishop Carlo Maria Viganò'. This clause provides additional detail about the declarations mentioned in the main sentence.""
}",['adjective'],"{
  ""Properties"": [""adjective""],
  ""Explanation"": ""The sentence contains a relative clause using 'who' (prelate who) to provide additional information about Archbishop Carlo Maria Viganò.""
}",['adjective'],1
6,43,[0],"As a former trial lawyer, I can tell you that while neither notes nor memories are infallible, in a contest between contemporaneous notes and later verbal testimony about those notes, the content of the written notes usually prevails.",Modifying_clauses,['subordinate'],['subordinate'],['subordinate'],True,[],"{
  ""Properties"": [
    ""comparitive"",
    ""subordinate""
  ],
  ""Explanation"": ""The sentence contains a comparative clause with 'as' ('while neither notes nor memories are infallible') and a subordinate clause with 'in a contest between' ('in a contest between contemporaneous notes and later verbal testimony about those notes, the content of the written notes usually prevails').""
}","['comparitive', 'subordinate']","{
  ""Properties"": [""subordinate""],
  ""Explanation"": ""The sentence contains a subordinate clause 'while neither notes nor memories are infallible' which suggests a contrast or condition in relation to the main clause.""
}",['subordinate'],"{
  ""Properties"": [""subordinate""],
  ""Explanation"": ""The sentence contains a subordinate clause beginning with 'while' which suggests a causal or contrasting relationship between contemporaneous notes and later verbal testimony.""
}",['subordinate'],False,"{
  ""Properties"": [""subordinate""],
  ""Explanation"": ""The sentence contains a subordinate clause 'while neither notes nor memories are infallible' which suggests a causal connection between the two ideas.""
}",['subordinate'],"{
  ""Properties"": [""subordinate""]
}",['subordinate'],"{
  ""Properties"": [
    ""subordinate""
  ],
  ""Explanation"": ""The sentence contains a subordinate clause ('while neither notes nor memories are infallible') which suggests a causal connection between the two ideas.""
}",['subordinate'],1
8,50,[0],"John Hancock, the first signer of the Declaration of Independence, said,",Modifying_clauses,['noun'],[],[],False,[],"{
  ""Properties"": [""adjective"", ""noun""],
  ""Explanation"": ""The sentence contains an adjective modifying clause 'the first signer of the Declaration of Independence' and a noun modifying clause 'that he said.'""
}","['adjective', 'noun']","{
  ""Properties"": [""adjective""],
  ""Explanation"": ""The clause 'the first signer of the Declaration of Independence' is a relative clause using the relative pronoun 'who.' It provides additional information about 'John Hancock.'""
}",['adjective'],"{
  ""Properties"": [""adjective"", ""subordinate""],
  ""Explanation"": ""The sentence contains an adjective modifying clause 'the first signer of the Declaration of Independence,' providing additional information about John Hancock. It also includes a subordinate clause 'said,' suggesting a causal connection between the actions in the main and subordinate clauses.""
}","['adjective', 'subordinate']",False,"{
  ""Properties"": [""adjective"", ""noun""],
  ""Explanation"": ""The sentence contains an adjective modifying clause 'the first signer of the Declaration of Independence' and a noun modifying clause 'John Hancock said'.""
}","['adjective', 'noun']","{
  ""Properties"": [""adjective"", ""noun""],
  ""Explanation"": ""The sentence contains an adjective modifying clause 'the first signer of the Declaration of Independence' and a noun modifying clause 'that he said'.""
}","['adjective', 'noun']","{
  ""Properties"": [""adjective"", ""noun""],
  ""Explanation"": ""The sentence contains an adjective modifying clause 'the first signer of the Declaration of Independence' and a noun modifying clause 'John Hancock said'.""
}","['adjective', 'noun']",1
9,54,[0],"She said Thursday regarding Ms. Ford: ""I believe her because she is telling the truth and you know it by her story.""",Modifying_clauses,[],[],['noun'],False,[],"{
  ""Properties"": [""adjective"", ""subordinate"", ""noun""],
  ""Explanation"": ""The sentence contains an adjective clause 'regarding Ms. Ford' that provides extra information about the verb 'said'. It also contains a subordinate clause 'because she is telling the truth' which suggests a causal connection. Additionally, there is a noun clause 'that she is telling the truth and you know it by her story', used for indirect speech.""
}","['adjective', 'subordinate', 'noun']","{
  ""Properties"": [
    ""adjective"",
    ""subordinate"",
    ""noun""
  ],
  ""Explanation"": ""The sentence contains an adjective clause 'regarding Ms. Ford', a subordinate clause 'because she is telling the truth', and a noun clause 'that she is telling the truth and you know it by her story.'""
}","['adjective', 'subordinate', 'noun']","{
  ""Properties"": [""noun""],
  ""Explanation"": ""The sentence includes a noun clause 'regarding Ms. Ford' used to incorporate the detail of what she said on Thursday.""
}",['noun'],False,"{
  ""Properties"": [""noun""],
  ""Explanation"": ""The sentence contains a noun clause 'she said Thursday' used for indirect speech, paraphrasing the speaker's words.""
}",['noun'],"{
  ""Properties"": [""noun""],
  ""Explanation"": ""The sentence contains a noun clause 'she said Thursday' used for indirect speech, paraphrasing the original statement.""
}",['noun'],"{
  ""Properties"": [""noun""],
  ""Explanation"": ""The sentence contains a noun clause 'I believe her because she is telling the truth and you know it by her story.' used for indirect speech, paraphrasing the speaker's statement.""
}",['noun'],1
11,73,[0],"Meanwhile, according to a Breitbart report by Allum Bokhari, “By inserting negative search suggestions under the name of a candidate, search engines like Google can shift the opinions of undecided voters by up to 43.4 percent, according to new research by a team at the American Institute for Behavioral Research and Technology and reported exclusively by Breitbart News.”",Modifying_clauses,['comparitive'],[],['noun'],False,[],"{
  ""Properties"": [""adjective""],
  ""Explanation"": ""The text contains an adjective clause using 'by Allum Bokhari' to give additional detail about the source of the Breitbart report.""
}",['adjective'],"{
  ""Properties"": [""adjective""],
  ""Explanation"": ""The text contains an adjective modifying clause in the form of a relative clause using 'who' in the phrase 'a Breitbart report by Allum Bokhari'. This modifies 'Breitbart report' and provides additional detail about its source.""
}",['adjective'],"{
  ""Properties"": [""subordinate""],
  ""Explanation"": ""The text contains a subordinate clause that suggests a causal connection between inserting negative search suggestions and shifting the opinions of undecided voters.""
}",['subordinate'],False,"{
  ""Properties"": [""subordinate""],
  ""Explanation"": ""The sentence contains a subordinate clause with the subordinating conjunction 'according to', which suggests a causal connection between the information presented in the Breitbart report and the potential impact on undecided voters.""
}",['subordinate'],"{
  ""Properties"": [""comparitive""],
  ""Explanation"": ""The sentence contains a comparative clause using the conjunction 'like' to compare the actions of search engines to the actions of Google.""
}",['comparitive'],"{
  ""Properties"": [""subordinate""],
  ""Explanation"": ""The text contains a subordinate clause with the subordinating conjunction 'according to', which suggests a causal connection between the information presented and the source of the report.""
}",['subordinate'],0
