sentence_id,technique,text,feature_id,props_a20,props_a21,props_a22,annotator_consistency,props_gpt4_majority,res_1.0_1,gpt_props_1.0_1,res_1.0_2,gpt_props_1.0_2,res_1.0_3,gpt_props_1.0_3,gpt3.5_1.0_consistency,res_0.2_1,gpt_props_0.2_1,res_0.2_2,gpt_props_0.2_2,res_0.2_3,gpt_props_0.2_3,gpt3.5_0.2_consistency,gpt3.5_0.2_majority,humans isCorrect,gpt isCorrect,comments,ground truth,Unnamed: 28,property_gpt3.5,res_gpt3.5_0.0_V3_2,property_gpt3.5_0.0_V3_2
83,[1],"A dark, impenetrable and “irreversible” winter of persecution of the faithful by their own shepherds will fall.",Mood,['indicative'],['exclamatory'],[],FALSE,[],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The sentence expresses a simple statement of a fact or opinion about a future event, indicating the use of indicative mood.""
}",['indicative'],"{
  ""Properties"": [""subjunctive""],
  ""Explanation"": ""The use of 'will fall' expresses what is imagined or hypothetical, indicating a mood of possibility, making it subjunctive.""
}",['subjunctive'],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The sentence expresses a statement of fact regarding the future persecution of the faithful, using the indicative mood.""
}",['indicative'],FALSE,"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The sentence expresses a simple statement of fact or opinion about a future event, indicating the likelihood of a dark and irreversible winter of persecution.""
}",['indicative'],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The sentence expresses a simple statement of a fact or opinion, indicating the prediction of a dark and irreversible winter of persecution.""
}",['indicative'],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The sentence expresses a simple statement of a fact or opinion about the future, indicating the likelihood of a dark and irreversible winter of persecution.""
}",['indicative'],1,['indicative'],0,1,,['indicative'],,indicative,"{
  ""Answer"": ""no"",
  ""Explanation"": ""The sentence does not utilize the indicative mood. It is in the future tense and expresses a prediction or a possibility rather than a simple statement of fact. The use of 'will fall' indicates a future event, which aligns more with the future tense or the subjunctive mood rather than the indicative mood.""
}",[]
83,[1],"A dark, impenetrable and “irreversible” winter of persecution of the faithful by their own shepherds will fall.",Mood,['indicative'],['exclamatory'],[],FALSE,[],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The sentence expresses a simple statement of a fact or opinion about a future event, indicating the use of indicative mood.""
}",['indicative'],"{
  ""Properties"": [""subjunctive""],
  ""Explanation"": ""The use of 'will fall' expresses what is imagined or hypothetical, indicating a mood of possibility, making it subjunctive.""
}",['subjunctive'],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The sentence expresses a statement of fact regarding the future persecution of the faithful, using the indicative mood.""
}",['indicative'],FALSE,"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The sentence expresses a simple statement of fact or opinion about a future event, indicating the likelihood of a dark and irreversible winter of persecution.""
}",['indicative'],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The sentence expresses a simple statement of a fact or opinion, indicating the prediction of a dark and irreversible winter of persecution.""
}",['indicative'],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The sentence expresses a simple statement of a fact or opinion about the future, indicating the likelihood of a dark and irreversible winter of persecution.""
}",['indicative'],1,['indicative'],0,1,,['indicative'],,subjunctive,"{
  ""Answer"": ""yes"",
  ""Explanation"": ""The sentence utilizes the subjunctive mood. The use of 'will fall' after the hypothetical condition 'A dark, impenetrable and “irreversible” winter of persecution of the faithful by their own shepherds' indicates a hypothetical or imagined situation, which is characteristic of the subjunctive mood.""
}",['subjunctive']
83,[1],"A dark, impenetrable and “irreversible” winter of persecution of the faithful by their own shepherds will fall.",Mood,['indicative'],['exclamatory'],[],FALSE,[],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The sentence expresses a simple statement of a fact or opinion about a future event, indicating the use of indicative mood.""
}",['indicative'],"{
  ""Properties"": [""subjunctive""],
  ""Explanation"": ""The use of 'will fall' expresses what is imagined or hypothetical, indicating a mood of possibility, making it subjunctive.""
}",['subjunctive'],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The sentence expresses a statement of fact regarding the future persecution of the faithful, using the indicative mood.""
}",['indicative'],FALSE,"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The sentence expresses a simple statement of fact or opinion about a future event, indicating the likelihood of a dark and irreversible winter of persecution.""
}",['indicative'],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The sentence expresses a simple statement of a fact or opinion, indicating the prediction of a dark and irreversible winter of persecution.""
}",['indicative'],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The sentence expresses a simple statement of a fact or opinion about the future, indicating the likelihood of a dark and irreversible winter of persecution.""
}",['indicative'],1,['indicative'],0,1,,['indicative'],,exclamatory,"{
  ""Answer"": ""yes"",
  ""Explanation"": ""The sentence utilizes the exclamatory mood as it expresses a strong emotion and a sense of foreboding. The use of the word 'irreversible' in quotes emphasizes the intensity of the emotion, indicating surprise and concern, which aligns with the characteristics of the exclamatory mood.""
}",['exclamatory']
83,[1],"A dark, impenetrable and “irreversible” winter of persecution of the faithful by their own shepherds will fall.",Mood,['indicative'],['exclamatory'],[],FALSE,[],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The sentence expresses a simple statement of a fact or opinion about a future event, indicating the use of indicative mood.""
}",['indicative'],"{
  ""Properties"": [""subjunctive""],
  ""Explanation"": ""The use of 'will fall' expresses what is imagined or hypothetical, indicating a mood of possibility, making it subjunctive.""
}",['subjunctive'],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The sentence expresses a statement of fact regarding the future persecution of the faithful, using the indicative mood.""
}",['indicative'],FALSE,"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The sentence expresses a simple statement of fact or opinion about a future event, indicating the likelihood of a dark and irreversible winter of persecution.""
}",['indicative'],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The sentence expresses a simple statement of a fact or opinion, indicating the prediction of a dark and irreversible winter of persecution.""
}",['indicative'],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The sentence expresses a simple statement of a fact or opinion about the future, indicating the likelihood of a dark and irreversible winter of persecution.""
}",['indicative'],1,['indicative'],0,1,,['indicative'],,interrogative,"{
  ""Answer"": ""no"",
  ""Explanation"": ""The given sentence does not utilize the interrogative mood. It is a declarative sentence that makes a statement rather than asking a question. The sentence does not express a question, so it does not fall under the category of the interrogative mood.""
}",[]
83,[1],"A dark, impenetrable and “irreversible” winter of persecution of the faithful by their own shepherds will fall.",Mood,['indicative'],['exclamatory'],[],FALSE,[],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The sentence expresses a simple statement of a fact or opinion about a future event, indicating the use of indicative mood.""
}",['indicative'],"{
  ""Properties"": [""subjunctive""],
  ""Explanation"": ""The use of 'will fall' expresses what is imagined or hypothetical, indicating a mood of possibility, making it subjunctive.""
}",['subjunctive'],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The sentence expresses a statement of fact regarding the future persecution of the faithful, using the indicative mood.""
}",['indicative'],FALSE,"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The sentence expresses a simple statement of fact or opinion about a future event, indicating the likelihood of a dark and irreversible winter of persecution.""
}",['indicative'],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The sentence expresses a simple statement of a fact or opinion, indicating the prediction of a dark and irreversible winter of persecution.""
}",['indicative'],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The sentence expresses a simple statement of a fact or opinion about the future, indicating the likelihood of a dark and irreversible winter of persecution.""
}",['indicative'],1,['indicative'],0,1,,['indicative'],,imperative,"{
  ""Answer"": ""no"",
  ""Explanation"": ""The given sentence does not utilize the imperative mood. The imperative mood is used for giving commands or directives, while the sentence provided does not express a direct command or directive. Instead, it describes a future event using the future tense and does not command or direct anyone to do something."" 
}",[]
83,[1],"A dark, impenetrable and “irreversible” winter of persecution of the faithful by their own shepherds will fall.",Mood,['indicative'],['exclamatory'],[],FALSE,[],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The sentence expresses a simple statement of a fact or opinion about a future event, indicating the use of indicative mood.""
}",['indicative'],"{
  ""Properties"": [""subjunctive""],
  ""Explanation"": ""The use of 'will fall' expresses what is imagined or hypothetical, indicating a mood of possibility, making it subjunctive.""
}",['subjunctive'],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The sentence expresses a statement of fact regarding the future persecution of the faithful, using the indicative mood.""
}",['indicative'],FALSE,"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The sentence expresses a simple statement of fact or opinion about a future event, indicating the likelihood of a dark and irreversible winter of persecution.""
}",['indicative'],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The sentence expresses a simple statement of a fact or opinion, indicating the prediction of a dark and irreversible winter of persecution.""
}",['indicative'],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The sentence expresses a simple statement of a fact or opinion about the future, indicating the likelihood of a dark and irreversible winter of persecution.""
}",['indicative'],1,['indicative'],0,1,,['indicative'],,optative,"{
  ""Answer"": ""no"",
  ""Explanation"": ""The sentence provided does not utilize the optative mood. The optative mood is used to express wishes or hopes. In the given sentence, there is no explicit expression of a wish or desire. Instead, the sentence describes a future event without expressing a wish or desire, so it does not fall under the optative mood.""
}",[]
127,[1],"I have seen a veritable chorus of Catholics on social media declaring that if Paul VI is canonised, their loss of faith in the Church as an institution will be complete.",Mood,['indicative'],['indicative'],[],FALSE,[],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The example uses the indicative mood to express a simple statement of fact or opinion.""
}",['indicative'],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The text is expressing a simple statement of fact or opinion about the beliefs of some Catholics on social media.""
}",['indicative'],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The example text uses the indicative mood to express a simple statement of fact or opinion.""
}",['indicative'],TRUE,"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The text uses the indicative mood to express a simple statement of fact or opinion about the beliefs of Catholics on social media.""
}",['indicative'],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The sentence expresses a simple statement of fact or opinion about the beliefs of a group of Catholics on social media.""
}",['indicative'],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The sentence expresses a simple statement of fact or opinion about the beliefs of some Catholics on social media.""
}",['indicative'],1,['indicative'],1,1,,['indicative'],,indicative,"{
  ""Answer"": ""no"",
  ""Explanation"": ""The sentence does not utilize the indicative mood. The use of 'declaring' in the sentence indicates that it is in the subjunctive mood, expressing a hypothetical or unreal situation, rather than a simple statement of fact.""
}",[]
127,[1],"I have seen a veritable chorus of Catholics on social media declaring that if Paul VI is canonised, their loss of faith in the Church as an institution will be complete.",Mood,['indicative'],['indicative'],[],FALSE,[],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The example uses the indicative mood to express a simple statement of fact or opinion.""
}",['indicative'],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The text is expressing a simple statement of fact or opinion about the beliefs of some Catholics on social media.""
}",['indicative'],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The example text uses the indicative mood to express a simple statement of fact or opinion.""
}",['indicative'],TRUE,"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The text uses the indicative mood to express a simple statement of fact or opinion about the beliefs of Catholics on social media.""
}",['indicative'],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The sentence expresses a simple statement of fact or opinion about the beliefs of a group of Catholics on social media.""
}",['indicative'],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The sentence expresses a simple statement of fact or opinion about the beliefs of some Catholics on social media.""
}",['indicative'],1,['indicative'],1,1,,['indicative'],,subjunctive,"{
  ""Answer"": ""no"",
  ""Explanation"": ""The given sentence does not utilize the subjunctive mood. The subjunctive mood typically involves a verb form that expresses a hypothetical or imagined situation. In the provided sentence, the verb 'will be' is in the future indicative tense, not the subjunctive mood. The sentence expresses a future possibility rather than a hypothetical or imagined scenario."" 
}",[]
127,[1],"I have seen a veritable chorus of Catholics on social media declaring that if Paul VI is canonised, their loss of faith in the Church as an institution will be complete.",Mood,['indicative'],['indicative'],[],FALSE,[],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The example uses the indicative mood to express a simple statement of fact or opinion.""
}",['indicative'],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The text is expressing a simple statement of fact or opinion about the beliefs of some Catholics on social media.""
}",['indicative'],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The example text uses the indicative mood to express a simple statement of fact or opinion.""
}",['indicative'],TRUE,"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The text uses the indicative mood to express a simple statement of fact or opinion about the beliefs of Catholics on social media.""
}",['indicative'],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The sentence expresses a simple statement of fact or opinion about the beliefs of a group of Catholics on social media.""
}",['indicative'],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The sentence expresses a simple statement of fact or opinion about the beliefs of some Catholics on social media.""
}",['indicative'],1,['indicative'],1,1,,['indicative'],,exclamatory,"{
  ""Answer"": ""no"",
  ""Explanation"": ""The given sentence does not utilize the exclamatory mood. The sentence is declarative, expressing a statement or fact, rather than conveying surprise, strong emotion, or pain. It does not exhibit the typical characteristics of the exclamatory mood, such as an exclamation mark or an expression of strong emotion or surprise."" 
}",[]
127,[1],"I have seen a veritable chorus of Catholics on social media declaring that if Paul VI is canonised, their loss of faith in the Church as an institution will be complete.",Mood,['indicative'],['indicative'],[],FALSE,[],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The example uses the indicative mood to express a simple statement of fact or opinion.""
}",['indicative'],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The text is expressing a simple statement of fact or opinion about the beliefs of some Catholics on social media.""
}",['indicative'],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The example text uses the indicative mood to express a simple statement of fact or opinion.""
}",['indicative'],TRUE,"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The text uses the indicative mood to express a simple statement of fact or opinion about the beliefs of Catholics on social media.""
}",['indicative'],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The sentence expresses a simple statement of fact or opinion about the beliefs of a group of Catholics on social media.""
}",['indicative'],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The sentence expresses a simple statement of fact or opinion about the beliefs of some Catholics on social media.""
}",['indicative'],1,['indicative'],1,1,,['indicative'],,interrogative,"{
  ""Answer"": ""no"",
  ""Explanation"": ""The given sentence is not in the interrogative mood. It is a declarative sentence expressing a statement rather than asking a question. The sentence does not utilize the interrogative mood as it does not express a question.""
}",[]
