sentence_id,technique,text,feature_id,props_a20,props_a21,props_a22,props_gpt
4,[0 8 9],"Muhammad advises the same thing, according to the tradition of the Muslim doctors: wherefore the great Temur always strove to exterminate the infidels, as much to acquire that glory, as to signalise himself by the greatness of his conquests.”",Aspect,['simple'],['simple'],['simple'],
11,[0 8],"We are simply asked to take the pope’s word for it, but given that it follows his astoundingly brazen lie that there was no evidence for Ricca’s homosexual activity in the first place, we can take the assurance for what it seems to be worth.",Aspect,['simple'],['perfect_progressive'],['simple'],
14,[0],Conservative Ben Shapiro told Fox news the verdict was “horrifying.,Aspect,['simple'],['simple'],['simple'],
16,[0],"According to Breitbart, “Sellner, who described the detention centre as looking akin to a typical American prison, said he was told by authorities that his speaking at Hyde Park could cause violence and disrupt community cohesion.”",Aspect,['simple'],['simple'],['simple'],
23,[0],"“This is a clear violation of the Senate Ethics rules which safeguard against the appearance or actuality of elected officials ‘cashing in’ on their official position for political purposes,” said Kendra Arnold, executive director of FACT.",Aspect,['simple'],['simple'],['simple'],
32,[0 6],Cardinal Raymond Burke’s statement declares: “The declarations made by a prelate of the authority of Archbishop Carlo Maria Viganò must be totally taken to heart by those responsible in the Church.”,Aspect,['simple'],['simple'],['simple'],
43,[0],"As a former trial lawyer, I can tell you that while neither notes nor memories are infallible, in a contest between contemporaneous notes and later verbal testimony about those notes, the content of the written notes usually prevails.",Aspect,['simple'],['simple'],['simple'],
47,[0],"“I don’t regard Louis Farrakhan as an aberration or anything, I regard him as an outstanding human being who commands a following of individuals who are learned and articulate and he plays a big role in the lives of thousands and thousands and thousands and thousands of people,” he emphasized later.",Aspect,['simple'],['simple'],['simple'],
50,[0],"John Hancock, the first signer of the Declaration of Independence, said,",Aspect,['simple'],['simple'],['simple'],
54,[0],"She said Thursday regarding Ms. Ford: ""I believe her because she is telling the truth and you know it by her story.""",Aspect,"['progressive', 'simple']",['simple'],['simple'],
68,[0],"I have read the Cardinal's exposition in both Italian and English, and I only find mention of the help of the sacraments in certain cases.",Aspect,"['simple', 'perfect']",['perfect'],"['simple', 'perfect']",
73,[0],"Meanwhile, according to a Breitbart report by Allum Bokhari, “By inserting negative search suggestions under the name of a candidate, search engines like Google can shift the opinions of undecided voters by up to 43.4 percent, according to new research by a team at the American Institute for Behavioral Research and Technology and reported exclusively by Breitbart News.”",Aspect,['simple'],['simple'],['simple'],
80,[1],"Also, as this is an unprecedented moment in papal history, perhaps the unprecedented step of recalling Benedict XVI to the Chair of St. Peter should also be considered sooner rather than later, before this crisis gets any more out-of-control than it already is.",Aspect,['simple'],['simple'],['simple'],
83,[1],"A dark, impenetrable and “irreversible” winter of persecution of the faithful by their own shepherds will fall.",Aspect,['simple'],['simple'],['simple'],
117,[ 1 12],"And so Chris Bryant, “a senior Labour backbencher, has written to May urging her to go further, and issue an official ban on Donald Trump from entering the UK on the grounds he is condoning fascism and his presence is ‘not conducive to the public good’, a senior Labour MP has said.”",Aspect,"['progressive', 'simple', 'perfect']",['perfect'],['perfect'],
118,[1],"In any case, note well: the letter to me from the UK Home Office said that I was banned for saying that “[Islam] is a religion and is a belief system that mandates warfare against unbelievers…”",Aspect,['simple'],['simple'],['simple'],
127,[1],"I have seen a veritable chorus of Catholics on social media declaring that if Paul VI is canonised, their loss of faith in the Church as an institution will be complete.",Aspect,['perfect'],['perfect'],,
143,[9 1 8],"Sagacious gun owners have always known that the ultimate goal of gun control extremists such as Chuck Schumer, Nancy Pelosi, Dianne Feinstein, et al., has always been gun confiscation.",Aspect,['perfect_progressive'],['perfect'],['perfect'],
159,[1],This is a very real threat – one that is largely immune to attack from the air.,Aspect,['simple'],['simple'],['simple'],
188,[1],They would be immediate targets should the US and South Korea attack the north.,Aspect,['simple'],['simple'],['simple'],
194,[9 1],"Think of this, the meekest man alive was sent to the face of the Pharaoh to tell him to obey or else.",Aspect,['simple'],['simple'],['simple'],
199,[1],"“When Kavanaugh is on the Supreme Court, undermining our #4thAmendment right against unreasonable searches and seizures, it will be too late for others to join me.”",Aspect,['simple'],"['progressive', 'simple']",['progressive'],
202,[1],"A gird failure would almost immediately fling the United States into a state of panic, and it’s always good to be prepared just in case.",Aspect,['simple'],['simple'],['simple'],
204,[1],"It has become a superdogma in the Catholic Church: if you don’t believe that Islam is a Religion of Peace, you will be ruthlessly harassed and silenced by the U.S. Conference of Catholic Bishops and the hierarchy elsewhere as well.",Aspect,"['simple', 'perfect']","['simple', 'perfect']",['perfect'],
214,[1],"""One woman (was) screaming through my door that I should be killed and I should die,"" he told reporters at Friday's news conference.",Aspect,['simple'],"['progressive', 'simple']","['progressive', 'simple']",
219,[1],"While Iran told the U.N. nuclear watchdog agency on Tuesday that it plans only to increase enrichment within limits set by 2015 deal, the announcement came with threats from a top Iranian official that the activities could be quickly expanded.",Aspect,['simple'],['simple'],['simple'],['simple']
241,[9 2],"After Farrakhan's speech Sunday, CNN anchor Jake Tapper, among a few others, began tweeting out a few quotes from it, and declared that Farrakhan was more dangerous than other ""alt-reich"" leaders because he “has a much larger following and elected officials meet with him openly.”",Aspect,['simple'],"['progressive', 'simple']",['simple'],
243,[2 6],Women everywhere should be furious.,Aspect,['simple'],['simple'],['simple'],
244,[2],"Why not, one could say, since the Church is ready to bless nearly everything on the earth?",Aspect,['simple'],['simple'],['simple'],
245,[2],"I am sure there are many many others, too, who think alike, but whom I do not know.",Aspect,['simple'],['simple'],['simple'],
247,[13  2],"“But it is extremely dangerous as the head of the Catholic Church — you know, the last appeal — that this is the kind of behavior that is going to be mimicked around the world by bishops, [who will say] ‘Well if the Pope is not going to intervene and impose zero tolerance, why should I?’”",Aspect,['simple'],"['progressive', 'simple']",['simple'],
249,[2],"Although the claims are intriguing, it is important to remember that after virtually every terror attack and mass shooting, friends and neighbors express shock that the culprit would be capable of carrying out such horrors, with some outright denying it to be possible.",Aspect,['simple'],"['progressive', 'simple']",['simple'],
253,[3 8],Either that or they can go whine to the New York Times some more because the Jewish community won't let them burn crosses on their lawn.,Aspect,['simple'],['simple'],['simple'],
258,[3 7],"The American Medical Association (AMA) should seriously consider changing their names since they are about as anti-American as it comes in their new demands for gun confiscation measures, which include guns and ammunition confiscation, as well as universal gun registration.",Aspect,['simple'],"['progressive', 'simple']",['simple'],
