sentence_id,technique,text,feature_id,props_a20,props_a21,props_a22,annotator_consistency,props_gpt4_majority,res_1.0_1,gpt_props_1.0_1,res_1.0_2,gpt_props_1.0_2,res_1.0_3,gpt_props_1.0_3,gpt3.5_1.0_consistency,res_0.2_1,gpt_props_0.2_1,res_0.2_2,gpt_props_0.2_2,res_0.2_3,gpt_props_0.2_3,gpt3.5_0.2_consistency,gpt3.5_0.2_majority,humans isCorrect,gpt isCorrect,comments,ground truth,property_FT_Maj_gpt-4o-mini,res_FT_Maj_gpt-4o-mini_0.0_V4,property_FT_Maj_gpt-4o-mini_0.0_V4
311,[3],"The Vatican presents a choice: the world, or Christ.",Sentence_architecture,['Periodic_sentences'],['Periodic_sentences'],['Periodic_sentences'],True,['Periodic_sentences'],"{
  ""Properties"": [""right branching"", ""periodic sentences""],
  ""Explanation"": ""The sentence is right-branching as it continues with the modifying clause 'the world, or Christ' after the grammatically complete main clause. It is also periodic as it delivers its meaning dramatically at the end with the contrasting choice between 'the world' and 'Christ'.""
}","['right_branching', 'periodic_sentences']","{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is grammatically complete but continues with modifying clauses ('the world, or Christ').""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with the modifying clause 'the world, or Christ.'""
}",['right_branching'],False,"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with the modifying clause 'the world, or Christ.'""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with the modifying clause 'the world, or Christ.'""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with the modifying clause 'the world, or Christ.'""
}",['right_branching'],1,['right_branching'],1.0,0.0,GPT defaults to right-branching. Explanation is incorrect.,['Periodic_sentences'],left branching,"{""Answer"": ""no""}",[]
311,[3],"The Vatican presents a choice: the world, or Christ.",Sentence_architecture,['Periodic_sentences'],['Periodic_sentences'],['Periodic_sentences'],True,['Periodic_sentences'],"{
  ""Properties"": [""right branching"", ""periodic sentences""],
  ""Explanation"": ""The sentence is right-branching as it continues with the modifying clause 'the world, or Christ' after the grammatically complete main clause. It is also periodic as it delivers its meaning dramatically at the end with the contrasting choice between 'the world' and 'Christ'.""
}","['right_branching', 'periodic_sentences']","{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is grammatically complete but continues with modifying clauses ('the world, or Christ').""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with the modifying clause 'the world, or Christ.'""
}",['right_branching'],False,"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with the modifying clause 'the world, or Christ.'""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with the modifying clause 'the world, or Christ.'""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with the modifying clause 'the world, or Christ.'""
}",['right_branching'],1,['right_branching'],1.0,0.0,GPT defaults to right-branching. Explanation is incorrect.,['Periodic_sentences'],middle branching,"{""Answer"": ""no""}",[]
311,[3],"The Vatican presents a choice: the world, or Christ.",Sentence_architecture,['Periodic_sentences'],['Periodic_sentences'],['Periodic_sentences'],True,['Periodic_sentences'],"{
  ""Properties"": [""right branching"", ""periodic sentences""],
  ""Explanation"": ""The sentence is right-branching as it continues with the modifying clause 'the world, or Christ' after the grammatically complete main clause. It is also periodic as it delivers its meaning dramatically at the end with the contrasting choice between 'the world' and 'Christ'.""
}","['right_branching', 'periodic_sentences']","{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is grammatically complete but continues with modifying clauses ('the world, or Christ').""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with the modifying clause 'the world, or Christ.'""
}",['right_branching'],False,"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with the modifying clause 'the world, or Christ.'""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with the modifying clause 'the world, or Christ.'""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with the modifying clause 'the world, or Christ.'""
}",['right_branching'],1,['right_branching'],1.0,0.0,GPT defaults to right-branching. Explanation is incorrect.,['Periodic_sentences'],right branching,"{"" vans"": ""no""}",['parse error']
311,[3],"The Vatican presents a choice: the world, or Christ.",Sentence_architecture,['Periodic_sentences'],['Periodic_sentences'],['Periodic_sentences'],True,['Periodic_sentences'],"{
  ""Properties"": [""right branching"", ""periodic sentences""],
  ""Explanation"": ""The sentence is right-branching as it continues with the modifying clause 'the world, or Christ' after the grammatically complete main clause. It is also periodic as it delivers its meaning dramatically at the end with the contrasting choice between 'the world' and 'Christ'.""
}","['right_branching', 'periodic_sentences']","{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is grammatically complete but continues with modifying clauses ('the world, or Christ').""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with the modifying clause 'the world, or Christ.'""
}",['right_branching'],False,"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with the modifying clause 'the world, or Christ.'""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with the modifying clause 'the world, or Christ.'""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with the modifying clause 'the world, or Christ.'""
}",['right_branching'],1,['right_branching'],1.0,0.0,GPT defaults to right-branching. Explanation is incorrect.,['Periodic_sentences'],Periodic sentences,"{""Answer"": ""no""}",[]
311,[3],"The Vatican presents a choice: the world, or Christ.",Sentence_architecture,['Periodic_sentences'],['Periodic_sentences'],['Periodic_sentences'],True,['Periodic_sentences'],"{
  ""Properties"": [""right branching"", ""periodic sentences""],
  ""Explanation"": ""The sentence is right-branching as it continues with the modifying clause 'the world, or Christ' after the grammatically complete main clause. It is also periodic as it delivers its meaning dramatically at the end with the contrasting choice between 'the world' and 'Christ'.""
}","['right_branching', 'periodic_sentences']","{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is grammatically complete but continues with modifying clauses ('the world, or Christ').""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with the modifying clause 'the world, or Christ.'""
}",['right_branching'],False,"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with the modifying clause 'the world, or Christ.'""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with the modifying clause 'the world, or Christ.'""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with the modifying clause 'the world, or Christ.'""
}",['right_branching'],1,['right_branching'],1.0,0.0,GPT defaults to right-branching. Explanation is incorrect.,['Periodic_sentences'],loose sentences,"{"" vans"": ""no""}",['parse error']
349,[4],"Recently, a video clip of anti-Semitic pastor Steve Anderson – making the claim that Jews have experienced such abuse because they have somehow been cursed – wound up on the personal Facebook page of South Florida Muslim leader Sofian Zakkout.",Sentence_architecture,['middle_branching'],['middle_branching'],['middle_branching'],True,"['left_branching', 'right_branching', 'middle_branching']","{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence continues with modifying clauses after the main clause is complete.""
}",['right_branching'],"{
  ""Properties"": [
    ""right branching""
  ],
  ""Explanation"": ""The sentence continues with modifying clauses after the initial complete grammatical structure.""
}",['right_branching'],"{
  ""Properties"": [
    ""right branching""
  ],
  ""Explanation"": ""The sentence is complete grammatically but continues with modifying clauses or phrases, such as 'making the claim that Jews have experienced such abuse because they have somehow been cursed.'""
}",['right_branching'],True,"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is right-branching as it continues with modifying clauses after the main clause 'a video clip of anti-Semitic pastor Steve Anderson wound up on the personal Facebook page of South Florida Muslim leader Sofian Zakkout.'""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is right-branching as it is complete grammatically but continues with modifying clauses or phrases, such as 'making the claim that Jews have experienced such abuse because they have somehow been cursed'.""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with modifying clauses or phrases, such as 'making the claim that Jews have experienced such abuse because they have somehow been cursed'.""
}",['right_branching'],1,['right_branching'],1.0,0.0,GPT defaults to right-branching. Explanation is incorrect.,['middle_branching'],left branching,"{""Answer"": ""no""}",[]
349,[4],"Recently, a video clip of anti-Semitic pastor Steve Anderson – making the claim that Jews have experienced such abuse because they have somehow been cursed – wound up on the personal Facebook page of South Florida Muslim leader Sofian Zakkout.",Sentence_architecture,['middle_branching'],['middle_branching'],['middle_branching'],True,"['left_branching', 'right_branching', 'middle_branching']","{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence continues with modifying clauses after the main clause is complete.""
}",['right_branching'],"{
  ""Properties"": [
    ""right branching""
  ],
  ""Explanation"": ""The sentence continues with modifying clauses after the initial complete grammatical structure.""
}",['right_branching'],"{
  ""Properties"": [
    ""right branching""
  ],
  ""Explanation"": ""The sentence is complete grammatically but continues with modifying clauses or phrases, such as 'making the claim that Jews have experienced such abuse because they have somehow been cursed.'""
}",['right_branching'],True,"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is right-branching as it continues with modifying clauses after the main clause 'a video clip of anti-Semitic pastor Steve Anderson wound up on the personal Facebook page of South Florida Muslim leader Sofian Zakkout.'""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is right-branching as it is complete grammatically but continues with modifying clauses or phrases, such as 'making the claim that Jews have experienced such abuse because they have somehow been cursed'.""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with modifying clauses or phrases, such as 'making the claim that Jews have experienced such abuse because they have somehow been cursed'.""
}",['right_branching'],1,['right_branching'],1.0,0.0,GPT defaults to right-branching. Explanation is incorrect.,['middle_branching'],middle branching,"{"" vans"": ""no""}",['parse error']
349,[4],"Recently, a video clip of anti-Semitic pastor Steve Anderson – making the claim that Jews have experienced such abuse because they have somehow been cursed – wound up on the personal Facebook page of South Florida Muslim leader Sofian Zakkout.",Sentence_architecture,['middle_branching'],['middle_branching'],['middle_branching'],True,"['left_branching', 'right_branching', 'middle_branching']","{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence continues with modifying clauses after the main clause is complete.""
}",['right_branching'],"{
  ""Properties"": [
    ""right branching""
  ],
  ""Explanation"": ""The sentence continues with modifying clauses after the initial complete grammatical structure.""
}",['right_branching'],"{
  ""Properties"": [
    ""right branching""
  ],
  ""Explanation"": ""The sentence is complete grammatically but continues with modifying clauses or phrases, such as 'making the claim that Jews have experienced such abuse because they have somehow been cursed.'""
}",['right_branching'],True,"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is right-branching as it continues with modifying clauses after the main clause 'a video clip of anti-Semitic pastor Steve Anderson wound up on the personal Facebook page of South Florida Muslim leader Sofian Zakkout.'""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is right-branching as it is complete grammatically but continues with modifying clauses or phrases, such as 'making the claim that Jews have experienced such abuse because they have somehow been cursed'.""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with modifying clauses or phrases, such as 'making the claim that Jews have experienced such abuse because they have somehow been cursed'.""
}",['right_branching'],1,['right_branching'],1.0,0.0,GPT defaults to right-branching. Explanation is incorrect.,['middle_branching'],right branching,"{"" vans"": ""no""}",['parse error']
349,[4],"Recently, a video clip of anti-Semitic pastor Steve Anderson – making the claim that Jews have experienced such abuse because they have somehow been cursed – wound up on the personal Facebook page of South Florida Muslim leader Sofian Zakkout.",Sentence_architecture,['middle_branching'],['middle_branching'],['middle_branching'],True,"['left_branching', 'right_branching', 'middle_branching']","{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence continues with modifying clauses after the main clause is complete.""
}",['right_branching'],"{
  ""Properties"": [
    ""right branching""
  ],
  ""Explanation"": ""The sentence continues with modifying clauses after the initial complete grammatical structure.""
}",['right_branching'],"{
  ""Properties"": [
    ""right branching""
  ],
  ""Explanation"": ""The sentence is complete grammatically but continues with modifying clauses or phrases, such as 'making the claim that Jews have experienced such abuse because they have somehow been cursed.'""
}",['right_branching'],True,"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is right-branching as it continues with modifying clauses after the main clause 'a video clip of anti-Semitic pastor Steve Anderson wound up on the personal Facebook page of South Florida Muslim leader Sofian Zakkout.'""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is right-branching as it is complete grammatically but continues with modifying clauses or phrases, such as 'making the claim that Jews have experienced such abuse because they have somehow been cursed'.""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with modifying clauses or phrases, such as 'making the claim that Jews have experienced such abuse because they have somehow been cursed'.""
}",['right_branching'],1,['right_branching'],1.0,0.0,GPT defaults to right-branching. Explanation is incorrect.,['middle_branching'],Periodic sentences,"{"" vans"": ""no""}",['parse error']
349,[4],"Recently, a video clip of anti-Semitic pastor Steve Anderson – making the claim that Jews have experienced such abuse because they have somehow been cursed – wound up on the personal Facebook page of South Florida Muslim leader Sofian Zakkout.",Sentence_architecture,['middle_branching'],['middle_branching'],['middle_branching'],True,"['left_branching', 'right_branching', 'middle_branching']","{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence continues with modifying clauses after the main clause is complete.""
}",['right_branching'],"{
  ""Properties"": [
    ""right branching""
  ],
  ""Explanation"": ""The sentence continues with modifying clauses after the initial complete grammatical structure.""
}",['right_branching'],"{
  ""Properties"": [
    ""right branching""
  ],
  ""Explanation"": ""The sentence is complete grammatically but continues with modifying clauses or phrases, such as 'making the claim that Jews have experienced such abuse because they have somehow been cursed.'""
}",['right_branching'],True,"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is right-branching as it continues with modifying clauses after the main clause 'a video clip of anti-Semitic pastor Steve Anderson wound up on the personal Facebook page of South Florida Muslim leader Sofian Zakkout.'""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is right-branching as it is complete grammatically but continues with modifying clauses or phrases, such as 'making the claim that Jews have experienced such abuse because they have somehow been cursed'.""
}",['right_branching'],"{
  ""Properties"": [""right branching""],
  ""Explanation"": ""The sentence is complete grammatically but continues with modifying clauses or phrases, such as 'making the claim that Jews have experienced such abuse because they have somehow been cursed'.""
}",['right_branching'],1,['right_branching'],1.0,0.0,GPT defaults to right-branching. Explanation is incorrect.,['middle_branching'],loose sentences,"{"" vans"": ""no""}",['parse error']
