sentence_id,technique,text,feature_id,props_a20,props_a21,props_a22,annotator_consistency,props_gpt4_majority,res_1.0_1,gpt_props_1.0_1,res_1.0_2,gpt_props_1.0_2,res_1.0_3,gpt_props_1.0_3,gpt3.5_1.0_consistency,res_0.2_1,gpt_props_0.2_1,res_0.2_2,gpt_props_0.2_2,res_0.2_3,gpt_props_0.2_3,gpt3.5_0.2_consistency,gpt3.5_0.2_majority,humans isCorrect,gpt isCorrect,comments,ground truth,res_FT_Maj_gpt3.5_0.0_V3_2,property_FT_Maj_gpt3.5_0.0_V3_2
4,[0 8 9],"Muhammad advises the same thing, according to the tradition of the Muslim doctors: wherefore the great Temur always strove to exterminate the infidels, as much to acquire that glory, as to signalise himself by the greatness of his conquests.”",Phrases_built_on_nouns,[],[],[],True,[],"{
  ""Properties"": [
    ""appositives"",
    ""summative modifier""
  ],
  ""Explanation"": ""The phrase 'according to the tradition of the Muslim doctors' acts as an appositive, renaming and providing additional information about 'the same thing.' Additionally, the phrase 'as much to acquire that glory, as to signalise himself by the greatness of his conquests' acts as a summative modifier, summarizing the reasons why Temur strove to exterminate the infidels.""
}","['appositives', 'summative_modifier']","{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'according to the tradition of the Muslim doctors' functions as an appositive, renaming and providing additional information about 'the same thing.'""
}",['appositives'],"{
  ""Properties"": [
    ""appositives"",
    ""summative modifier""
  ],
  ""Explanation"": ""The phrase 'according to the tradition of the Muslim doctors' is an appositive that renames and further describes the noun 'the same thing'. The phrase 'as much to acquire that glory, as to signalise himself by the greatness of his conquests' is a summative modifier that summarizes the preceding clause.""
}","['appositives', 'summative_modifier']",False,"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'according to the tradition of the Muslim doctors' is an appositive, as it renames and provides additional information about 'the same thing.'""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'according to the tradition of the Muslim doctors' is an appositive, as it renames and further describes the noun 'the same thing.'""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'according to the tradition of the Muslim doctors' is an appositive built on the noun 'thing', renaming and providing additional information about it.""
}",['appositives'],1,['appositives'],1.0,0.0,,[],"[{'Answer': 'no', 'Explanation': 'no', 'Property': 'appositives'}, {'Answer': 'no', 'Explanation': 'no', 'Property': 'absolute construction'}, {'Answer': 'no', 'Explanation': 'no', 'Property': 'resumptive modifier'}, {'Answer': 'no', 'Explanation': 'no', 'Property': 'summative modifier'}]",[]
11,[0 8],"We are simply asked to take the pope’s word for it, but given that it follows his astoundingly brazen lie that there was no evidence for Ricca’s homosexual activity in the first place, we can take the assurance for what it seems to be worth.",Phrases_built_on_nouns,[],[],[],True,[],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'his astoundingly brazen lie' is an appositive, renaming the noun 'word'.""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'his astoundingly brazen lie' renames the noun 'word' and modifies it with additional information.""
}",['appositives'],"{
  ""Properties"": [""resumptive modifier"", ""summative modifier""],
  ""Explanation"": ""The phrase 'his astoundingly brazen lie' is a resumptive modifier, as it repeats and modifies the noun 'lie'. The phrase 'what it seems to be worth' is a summative modifier, summarizing the preceding clause.""
}","['resumptive_modifier', 'summative_modifier']",False,"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'his astoundingly brazen lie' is an appositive, renaming the noun 'word'.""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'his astoundingly brazen lie' is an appositive, renaming the noun 'word'.""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'his astoundingly brazen lie' is an appositive that renames the noun 'word'.""
}",['appositives'],1,['appositives'],1.0,0.0,,[],"[{'Answer': 'no', 'Explanation': 'no', 'Property': 'appositives'}, {'Answer': 'no', 'Explanation': 'no', 'Property': 'absolute construction'}, {'Answer': 'no', 'Explanation': 'no', 'Property': 'resumptive modifier'}, {'Answer': 'no', 'Explanation': 'no', 'Property': 'summative modifier'}]",[]
14,[0],Conservative Ben Shapiro told Fox news the verdict was “horrifying.,Phrases_built_on_nouns,[],[],[],True,[],"{
  ""Properties"": [""resumptive modifier""],
  ""Explanation"": ""The phrase 'Conservative Ben Shapiro' is a resumptive modifier, as it repeats and refers back to the noun it modifies, 'Ben Shapiro'.""
}",['resumptive_modifier'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'Conservative Ben Shapiro' is an appositive as it renames the noun 'Ben Shapiro'.""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'Conservative Ben Shapiro' is an appositive modifying the noun 'Shapiro.'""
}",['appositives'],False,"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'Conservative Ben Shapiro' is an appositive, renaming the noun 'Ben Shapiro'.""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'Conservative Ben Shapiro' is an appositive, renaming the noun 'Ben Shapiro'.""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'Conservative Ben Shapiro' is an appositive, renaming the noun 'Ben Shapiro' with additional information.""
}",['appositives'],1,['appositives'],1.0,0.0,,[],"[{'Answer': 'no', 'Explanation': 'no', 'Property': 'appositives'}, {'Answer': 'no', 'Explanation': 'no', 'Property': 'absolute construction'}, {'Answer': 'no', 'Explanation': 'no', 'Property': 'resumptive modifier'}, {'Answer': 'no', 'Explanation': 'no', 'Property': 'summative modifier'}]",[]
16,[0],"According to Breitbart, “Sellner, who described the detention centre as looking akin to a typical American prison, said he was told by authorities that his speaking at Hyde Park could cause violence and disrupt community cohesion.”",Phrases_built_on_nouns,[],[],[],True,[],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'Sellner, who described the detention centre as looking akin to a typical American prison' is an appositive because it renames the noun 'Sellner'.""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'who described the detention centre as looking akin to a typical American prison' is an appositive because it renames 'Sellner'.""
}",['appositives'],"{
  ""Properties"": [
    ""appositives""
  ],
  ""Explanation"": ""The phrase 'who described the detention centre as looking akin to a typical American prison' is an appositive as it renames 'Sellner' by providing additional information about him.""
}",['appositives'],True,"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'Sellner, who described the detention centre as looking akin to a typical American prison' is an appositive, as it renames 'Sellner' and provides additional information about him.""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'who described the detention centre as looking akin to a typical American prison' is an appositive, as it renames the noun 'Sellner' by providing additional information about him.""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'Sellner, who described the detention centre as looking akin to a typical American prison' is an appositive, as it renames 'Sellner' and provides additional information about him.""
}",['appositives'],1,['appositives'],1.0,0.0,,[],"[{'Answer': 'no', 'Explanation': 'no', 'Property': 'appositives'}, {'Answer': 'no', 'Explanation': 'no', 'Property': 'absolute construction'}, {'Answer': 'no', 'Explanation': 'no', 'Property': 'resumptive modifier'}, {'Answer': 'no', 'Explanation': 'no', 'Property': 'summative modifier'}]",[]
47,[0],"“I don’t regard Louis Farrakhan as an aberration or anything, I regard him as an outstanding human being who commands a following of individuals who are learned and articulate and he plays a big role in the lives of thousands and thousands and thousands and thousands of people,” he emphasized later.",Phrases_built_on_nouns,[],[],[],True,[],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'an outstanding human being' renames and further describes 'Louis Farrakhan', making it an appositive construction.""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'Louis Farrakhan, an outstanding human being...' is an appositive that renames or describes Louis Farrakhan.""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'Louis Farrakhan' renames 'an outstanding human being,' thereby functioning as an appositive.""
}",['appositives'],True,"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'Louis Farrakhan, an outstanding human being' is an appositive, renaming the noun 'Louis Farrakhan' with additional information.""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'an outstanding human being' renames and further describes Louis Farrakhan, making it an appositive.""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'an outstanding human being who commands a following of individuals who are learned and articulate' is an appositive, as it renames 'Louis Farrakhan' and provides additional information about him.""
}",['appositives'],1,['appositives'],1.0,0.0,,[],"[{'Answer': 'no', 'Explanation': 'no', 'Property': 'appositives'}, {'Answer': 'no', 'Explanation': 'no', 'Property': 'absolute construction'}, {'Answer': 'no', 'Explanation': 'no', 'Property': 'resumptive modifier'}, {'Answer': 'no', 'Explanation': 'no', 'Property': 'summative modifier'}]",[]
54,[0],"She said Thursday regarding Ms. Ford: ""I believe her because she is telling the truth and you know it by her story.""",Phrases_built_on_nouns,[],[],[],True,[],"{
  ""Properties"": [""summative modifier""],
  ""Explanation"": ""The phrase 'Ms. Ford: \""I believe her because she is telling the truth and you know it by her story\""' summarizes or generalizes the preceding clause.""
}",['summative_modifier'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'Ms. Ford' is an appositive that renames the noun 'Thursday', providing additional information about the topic of the sentence.""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'Ms. Ford' acts as an appositive, renaming the noun 'Thursday'.""
}",['appositives'],False,"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'Ms. Ford' renames the noun 'Thursday', serving as an appositive.""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'Ms. Ford' is an appositive, renaming the noun 'Thursday'.""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'Ms. Ford' is an appositive, renaming the noun 'Thursday'.""
}",['appositives'],1,['appositives'],1.0,0.0,,[],"[{'Answer': 'no', 'Explanation': 'no', 'Property': 'appositives'}, {'Answer': 'no', 'Explanation': 'no', 'Property': 'absolute construction'}, {'Answer': 'no', 'Explanation': 'no', 'Property': 'resumptive modifier'}, {'Answer': 'no', 'Explanation': 'no', 'Property': 'summative modifier'}]",[]
68,[0],"I have read the Cardinal's exposition in both Italian and English, and I only find mention of the help of the sacraments in certain cases.",Phrases_built_on_nouns,[],[],[],True,[],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'the help of the sacraments' renames and explains the earlier mention of 'the Cardinal's exposition.'""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'the help of the sacraments' is a noun phrase that renames or further describes the Cardinal's exposition.""
}",['appositives'],"{
  ""Properties"": [""resumptive modifier""],
  ""Explanation"": ""The phrase 'the help of the sacraments' repeats the noun 'mention' it modifies, making it a resumptive modifier.""
}",['resumptive_modifier'],False,"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'the help of the sacraments' is an appositive, renaming the noun 'mention'.""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'the help of the sacraments' is an appositive, as it renames or further describes 'mention'.""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'the help of the sacraments' is an appositive, renaming the noun 'mention'.""
}",['appositives'],1,['appositives'],1.0,0.0,GPT explanation males no sense,[],"[{'Answer': 'no', 'Explanation': 'no', 'Property': 'appositives'}, {'Answer': 'no', 'Explanation': 'no', 'Property': 'absolute construction'}, {'Answer': 'no', 'Explanation': 'no', 'Property': 'resumptive modifier'}, {'Answer': 'no', 'Explanation': 'no', 'Property': 'summative modifier'}]",[]
73,[0],"Meanwhile, according to a Breitbart report by Allum Bokhari, “By inserting negative search suggestions under the name of a candidate, search engines like Google can shift the opinions of undecided voters by up to 43.4 percent, according to new research by a team at the American Institute for Behavioral Research and Technology and reported exclusively by Breitbart News.”",Phrases_built_on_nouns,[],[],['appositives'],False,[],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'a Breitbart report by Allum Bokhari' is an appositive, as it renames the noun 'Breitbart report' by providing additional information about it.""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'a Breitbart report by Allum Bokhari' is an appositive, it renames the noun 'Breitbart report' with additional information about the source and author.""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'a Breitbart report by Allum Bokhari' is an appositive that renames the noun 'Breitbart report'.""
}",['appositives'],True,"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'a Breitbart report by Allum Bokhari' is an appositive, renaming the noun 'report'.""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'a Breitbart report by Allum Bokhari' is an appositive, as it renames the noun 'report' and provides additional information about it.""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'a Breitbart report by Allum Bokhari' is an appositive, renaming the noun 'Breitbart report'.""
}",['appositives'],1,['appositives'],0.0,0.0,,[],"[{'Answer': 'no', 'Explanation': 'no', 'Property': 'appositives'}, {'Answer': 'no', 'Explanation': 'no', 'Property': 'absolute construction'}, {'Answer': 'no', 'Explanation': 'no', 'Property': 'resumptive modifier'}, {'Answer': 'no', 'Explanation': 'no', 'Property': 'summative modifier'}]",[]
80,[1],"Also, as this is an unprecedented moment in papal history, perhaps the unprecedented step of recalling Benedict XVI to the Chair of St. Peter should also be considered sooner rather than later, before this crisis gets any more out-of-control than it already is.",Phrases_built_on_nouns,[],[],[],True,[],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'an unprecedented moment in papal history' renames and further describes the noun 'this' in the sentence.""
}",['appositives'],"{
  ""Properties"": [""summative modifier""],
  ""Explanation"": ""The phrase 'an unprecedented moment in papal history' summarizes or generalizes the preceding clause about the current situation, making use of a summative modifier.""
}",['summative_modifier'],"{
  ""Properties"": [
    ""appositives""
  ],
  ""Explanation"": ""The phrase 'an unprecedented moment in papal history' is an appositive, renaming and further explaining the noun 'this' in the sentence.""
}",['appositives'],False,"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'an unprecedented moment in papal history' is an appositive, as it renames the noun 'moment' and provides additional information about it.""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'an unprecedented moment in papal history' is an appositive, renaming the noun 'moment'.""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'an unprecedented moment in papal history' is an appositive, renaming the noun 'moment'.""
}",['appositives'],1,['appositives'],1.0,0.0,,[],"[{'Answer': 'no', 'Explanation': 'no', 'Property': 'appositives'}, {'Answer': 'no', 'Explanation': 'no', 'Property': 'absolute construction'}, {'Answer': 'no', 'Explanation': 'no', 'Property': 'resumptive modifier'}, {'Answer': 'no', 'Explanation': 'no', 'Property': 'summative modifier'}]",[]
83,[1],"A dark, impenetrable and “irreversible” winter of persecution of the faithful by their own shepherds will fall.",Phrases_built_on_nouns,[],[],[],True,[],"{
  ""Properties"": [""summative modifier""],
  ""Explanation"": ""The phrase 'a dark, impenetrable and “irreversible” winter of persecution' summarizes or generalizes the preceding clause 'persecution of the faithful by their own shepherds'.""
}",['summative_modifier'],"{
  ""Properties"": [""summative modifier""],
  ""Explanation"": ""The phrase 'a dark, impenetrable and “irreversible” winter of persecution' summarizes or generalizes the preceding clause 'persecution of the faithful by their own shepherds.'""
}",['summative_modifier'],"{
  ""Properties"": [""summative modifier""],
  ""Explanation"": ""The phrase 'A dark, impenetrable and 'irreversible' winter of persecution of the faithful by their own shepherds' summarizes or generalizes the preceding clause 'will fall.'""
}",['summative_modifier'],True,"{
  ""Properties"": [""summative modifier""],
  ""Explanation"": ""The phrase 'a dark, impenetrable and “irreversible” winter of persecution' summarizes or generalizes the preceding clause 'persecution of the faithful by their own shepherds'.""
}",['summative_modifier'],"{
  ""Properties"": [""summative modifier""],
  ""Explanation"": ""The phrase 'a dark, impenetrable and “irreversible” winter of persecution' summarizes or generalizes the preceding clause 'persecution of the faithful by their own shepherds.'""
}",['summative_modifier'],"{
  ""Properties"": [""summative modifier""],
  ""Explanation"": ""The phrase 'a dark, impenetrable and “irreversible” winter of persecution' summarizes or generalizes the preceding clause, making it a summative modifier.""
}",['summative_modifier'],1,['summative_modifier'],1.0,0.0,,[],"[{'Answer': 'no', 'Explanation': 'no', 'Property': 'appositives'}, {'Answer': 'no', 'Explanation': 'no', 'Property': 'absolute construction'}, {'Answer': 'no', 'Explanation': 'no', 'Property': 'resumptive modifier'}, {'Answer': 'no', 'Explanation': 'no', 'Property': 'summative modifier'}]",[]
118,[1],"In any case, note well: the letter to me from the UK Home Office said that I was banned for saying that “[Islam] is a religion and is a belief system that mandates warfare against unbelievers…”",Phrases_built_on_nouns,[],[],[],True,[],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'Islam, a religion and a belief system that mandates warfare against unbelievers' is an appositive that renames and provides additional information about 'Islam'.""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'a religion and is a belief system that mandates warfare against unbelievers' renames and further describes the noun 'Islam'.""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'the letter to me from the UK Home Office' renames the noun 'letter' and provides additional information about it.""
}",['appositives'],True,"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'a religion and is a belief system that mandates warfare against unbelievers' renames the noun 'Islam', making it an appositive construction.""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'a religion and is a belief system that mandates warfare against unbelievers' renames and further describes the noun 'Islam'.""
}",['appositives'],"{
  ""Properties"": [""appositives""],
  ""Explanation"": ""The phrase 'the letter to me from the UK Home Office' is an appositive, renaming the noun 'letter'.""
}",['appositives'],1,['appositives'],1.0,0.0,,[],"[{'Answer': 'no', 'Explanation': 'no', 'Property': 'appositives'}, {'Answer': 'no', 'Explanation': 'no', 'Property': 'absolute construction'}, {'Answer': 'no', 'Explanation': 'no', 'Property': 'resumptive modifier'}, {'Answer': 'no', 'Explanation': 'no', 'Property': 'summative modifier'}]",[]
