sentence_id,technique,text,feature_id,props_a20,props_a21,props_a22,props_gpt,res_1.0_1,gpt_props_1.0_1,res_1.0_2,gpt_props_1.0_2,res_1.0_3,gpt_props_1.0_3,gpt3.5_1.0_consistency
4,[0 8 9],"Muhammad advises the same thing, according to the tradition of the Muslim doctors: wherefore the great Temur always strove to exterminate the infidels, as much to acquire that glory, as to signalise himself by the greatness of his conquests.”",Aspect,['simple'],['simple'],['simple'],,"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence 'Muhammad advises the same thing' expresses a simple fact without indicating completion, ongoing action, or duration.""
}",['simple'],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The text is expressing a simple fact about the actions and beliefs of Muhammad and Temur without indicating completion, ongoing nature, or duration.""
}",['simple'],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The text expresses a simple fact about Muhammad and Temur's actions without indicating completion, ongoing nature, or duration.""
}",['simple'],1
11,[0 8],"We are simply asked to take the pope’s word for it, but given that it follows his astoundingly brazen lie that there was no evidence for Ricca’s homosexual activity in the first place, we can take the assurance for what it seems to be worth.",Aspect,['simple'],['perfect_progressive'],['simple'],,"{
  ""Properties"": [""simple"", ""progressive""],
  ""Explanation"": ""The sentence 'we are simply asked to take the pope’s word for it' expresses a simple fact, while 'given that it follows his astoundingly brazen lie' expresses a ongoing or incomplete action.""
}","['simple', 'progressive']","{
  ""Properties"": [
    ""simple""
  ],
  ""Explanation"": ""The sentence expresses a simple fact about being asked to take the pope's word for it.""
}",['simple'],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence expresses a simple fact without indicating completion or ongoing action.""
}",['simple'],0
14,[0],Conservative Ben Shapiro told Fox news the verdict was “horrifying.,Aspect,['simple'],['simple'],['simple'],,"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence 'Ben Shapiro told Fox news the verdict was 'horrifying' expresses a simple fact without any time-related nuances.""
}",['simple'],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence expresses a simple fact without indicating completion, ongoing action, or habitual action.""
}",['simple'],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence expresses a simple fact without indicating completion, ongoingness, or a specific timeframe.""
}",['simple'],1
16,[0],"According to Breitbart, “Sellner, who described the detention centre as looking akin to a typical American prison, said he was told by authorities that his speaking at Hyde Park could cause violence and disrupt community cohesion.”",Aspect,['simple'],['simple'],['simple'],,"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence expresses a simple fact about Sellner being told that his speaking at Hyde Park could cause violence and disrupt community cohesion.""
}",['simple'],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence expresses a simple fact about Sellner being told by authorities about the potential impact of his speaking at Hyde Park. There is no indication of completion, ongoingness, or a combination of both in this context.""
}",['simple'],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence expresses a simple fact without emphasizing completion, ongoingness, or duration.""
}",['simple'],1
23,[0],"“This is a clear violation of the Senate Ethics rules which safeguard against the appearance or actuality of elected officials ‘cashing in’ on their official position for political purposes,” said Kendra Arnold, executive director of FACT.",Aspect,['simple'],['simple'],['simple'],,"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence expresses a simple fact without indicating completion, ongoingness, or progression.""
}",['simple'],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The statement 'This is a clear violation' expresses a simple fact about the violation of Senate Ethics rules.""
}",['simple'],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence expresses a simple fact or statement about a clear violation of the Senate Ethics rules.""
}",['simple'],1
32,[0 6],Cardinal Raymond Burke’s statement declares: “The declarations made by a prelate of the authority of Archbishop Carlo Maria Viganò must be totally taken to heart by those responsible in the Church.”,Aspect,['simple'],['simple'],['simple'],,"{
    ""Properties"": [""simple""],
    ""Explanation"": ""The sentence expresses a simple fact without indicating completion, ongoingness, or habitual action.""
}",['simple'],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The statement is expressing a simple fact without any indication of completion, ongoing action, or progressiveness.""
}",['simple'],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence expresses a simple fact or declaration stating Cardinal Raymond Burke's opinion, without indicating any ongoing or completed action.""
}",['simple'],1
43,[0],"As a former trial lawyer, I can tell you that while neither notes nor memories are infallible, in a contest between contemporaneous notes and later verbal testimony about those notes, the content of the written notes usually prevails.",Aspect,['simple'],['simple'],['simple'],,"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The example uses the simple aspect, expressing a simple fact or general truth about the contest between contemporaneous notes and later verbal testimony.""
}",['simple'],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence expresses a simple fact about the general preference for contemporaneous notes over later verbal testimony in a legal context.""
}",['simple'],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The text expresses a simple fact about the superiority of written notes over verbal testimony.""
}",['simple'],1
47,[0],"“I don’t regard Louis Farrakhan as an aberration or anything, I regard him as an outstanding human being who commands a following of individuals who are learned and articulate and he plays a big role in the lives of thousands and thousands and thousands and thousands of people,” he emphasized later.",Aspect,['simple'],['simple'],['simple'],,"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence expresses a simple fact about how the speaker regards Louis Farrakhan, without indicating completion, ongoing nature, or perfect completion of an action.""
}",['simple'],"{
  ""Properties"": [""simple"", ""progressive""],
  ""Explanation"": ""The statement expresses a simple fact about Louis Farrakhan, and the use of 'commands' indicates a progressive action, suggesting an ongoing influence.""
}","['simple', 'progressive']","{
  ""Properties"": [""simple"", ""progressive""],
  ""Explanation"": ""The sentence expresses a simple fact about how the speaker regards Louis Farrakhan, and the use of 'commands', 'are', and 'plays' indicates ongoing or habitual actions.""
}","['simple', 'progressive']",0
50,[0],"John Hancock, the first signer of the Declaration of Independence, said,",Aspect,['simple'],['simple'],['simple'],,"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence expresses a simple fact about a past event with no indication of completion, ongoingness, or repetition.""
}",['simple'],"{
    ""Properties"": [
        ""simple""
    ],
    ""Explanation"": ""The statement 'John Hancock, the first signer of the Declaration of Independence, said' expresses a simple fact.""
}",['simple'],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence 'John Hancock, the first signer of the Declaration of Independence, said,' expresses a simple fact about the action of saying, without indicating any completion, ongoing nature, or duration of the action.""
}",['simple'],1
54,[0],"She said Thursday regarding Ms. Ford: ""I believe her because she is telling the truth and you know it by her story.""",Aspect,"['progressive', 'simple']",['simple'],['simple'],,"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence expresses a simple fact or belief without indicating completion, ongoing action, or perfect completion.""
}",['simple'],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence expresses a simple fact or statement of belief: 'She said Thursday regarding Ms. Ford: 'I believe her because she is telling the truth and you know it by her story.'""
}",['simple'],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The example uses the simple aspect to express a simple fact: the speaker's belief in Ms. Ford's truthfulness.""
}",['simple'],1
