sentence_id,technique,text,feature_id,props_a20,props_a21,props_a22,res1,gpt_props1,res2,gpt_props2,res3,gpt_props3,props_a_majority,props_gpt_majority,ann_gpt_agreemnt,props_gpt4_majority
4,[0 8 9],"Muhammad advises the same thing, according to the tradition of the Muslim doctors: wherefore the great Temur always strove to exterminate the infidels, as much to acquire that glory, as to signalise himself by the greatness of his conquests.”",Mood,['indicative'],['indicative'],['indicative'],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The example text expresses a simple statement of fact or opinion, as there is no expression of doubt, wish, command, or hypothetical scenario.""
}",['indicative'],"{
  ""Properties"": [
    ""indicative""
  ],
  ""Explanation"": ""The example text expresses a simple statement of fact or opinion, as Muhammad is advising something according to the tradition of the Muslim doctors.""
}",['indicative'],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The example text uses the indicative mood to express a simple statement of fact or opinion, as it describes the advice of Muhammad and the actions of Temur.""
}",['indicative'],['indicative'],['indicative'],1,[]
11,[0 8],"We are simply asked to take the pope’s word for it, but given that it follows his astoundingly brazen lie that there was no evidence for Ricca’s homosexual activity in the first place, we can take the assurance for what it seems to be worth.",Mood,['indicative'],['exclamatory'],['indicative'],"{
  ""Properties"": [""indicative"", ""subjunctive""],
  ""Explanation"": ""The text contains statements of fact ('we are asked to take the pope’s word for it') as well as expressions of possibility and doubt ('we can take the assurance for what it seems to be worth').""
}","['indicative', 'subjunctive']","{
  ""Properties"": [""indicative"", ""subjunctive""],
  ""Explanation"": ""The example text contains indicative mood in the statement 'we can take the assurance for what it seems to be worth' and subjunctive mood in the phrase 'but given that it follows his astoundingly brazen lie that there was no evidence'.""
}","['indicative', 'subjunctive']","{
  ""Properties"": [""indicative"", ""subjunctive""],
  ""Explanation"": ""The text contains both indicative mood to express a simple statement of fact or opinion ('we are simply asked to take the pope’s word for it') and subjunctive mood to express a hypothetical situation ('we can take the assurance for what it seems to be worth').""
}","['indicative', 'subjunctive']",['indicative'],"['indicative', 'subjunctive']",0,[]
14,[0],Conservative Ben Shapiro told Fox news the verdict was “horrifying.,Mood,['indicative'],['indicative'],['indicative'],"{
  ""Properties"": [""indicative"", ""exclamatory""],
  ""Explanation"": ""The text expresses a simple statement of fact (indicative) and also conveys strong emotion (exclamatory) about the verdict being 'horrifying.'""
}","['indicative', 'exclamatory']","{
  ""Properties"": [""indicative"", ""exclamatory""],
  ""Explanation"": ""The text expresses a simple statement of fact ('verdict was 'horrifying') and also expresses strong emotion or surprise ('horrifying').""
}","['indicative', 'exclamatory']","{
  ""Properties"": [""indicative"", ""exclamatory""],
  ""Explanation"": ""The text expresses a simple statement of fact (indicative) and conveys strong emotion (exclamatory) with the use of 'horrifying'.""
}","['indicative', 'exclamatory']",['indicative'],"['indicative', 'exclamatory']",0,[]
16,[0],"According to Breitbart, “Sellner, who described the detention centre as looking akin to a typical American prison, said he was told by authorities that his speaking at Hyde Park could cause violence and disrupt community cohesion.”",Mood,['indicative'],['indicative'],['indicative'],timeout,[],"``` 
{
  ""Properties"": [""subjunctive"", ""imperative""],
  ""Explanation"": ""The use of 'could' expresses a hypothetical situation, indicating the use of subjunctive mood. Additionally, the directive 'could cause violence' represents the imperative mood.""
}
```","['subjunctive', 'imperative']","{
    ""Properties"": [""indicative""],
    ""Explanation"": ""The example text expresses a simple statement of fact as reported by Breitbart.""
}",['indicative'],['indicative'],"['subjunctive', 'imperative']",-1,[]
23,[0],"“This is a clear violation of the Senate Ethics rules which safeguard against the appearance or actuality of elected officials ‘cashing in’ on their official position for political purposes,” said Kendra Arnold, executive director of FACT.",Mood,"['indicative', 'exclamatory']",['indicative'],['indicative'],timeout,[],"```{
  ""Properties"": [
    ""indicative"",
    ""interrogative""
  ],
  ""Explanation"": ""The example text contains a statement of fact ('This is a clear violation...') using the indicative mood, as well as a question ('Whom do you consider to be the most corrupt Democrat Politician?') using the interrogative mood.""
}```","['indicative', 'interrogative']","{
  ""Properties"": [""indicative"", ""subjunctive"", ""exclamatory""],
  ""Explanation"": ""The example text contains indicative mood as it expresses a simple statement of a fact. It also contains subjunctive mood as it expresses a hypothetical situation. Additionally, the text is exclamatory, expressing strong emotion.""
}","['indicative', 'subjunctive', 'exclamatory']",['indicative'],"['indicative', 'interrogative']",0,[]
32,[0 6],Cardinal Raymond Burke’s statement declares: “The declarations made by a prelate of the authority of Archbishop Carlo Maria Viganò must be totally taken to heart by those responsible in the Church.”,Mood,['indicative'],['indicative'],['indicative'],"{
  ""Properties"": [""indicative"", ""imperative""],
  ""Explanation"": ""The text contains a statement of fact ('Cardinal Raymond Burke’s statement declares') and a command ('must be totally taken to heart by those responsible in the Church.').""
}","['indicative', 'imperative']","{
  ""Properties"": [""indicative"", ""imperative""],
  ""Explanation"": ""The text includes a simple statement of fact (indicative) and a directive or command (imperative) to take the declarations to heart.""
}","['indicative', 'imperative']","{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The example text uses the indicative mood as it expresses a simple statement of fact or opinion.""
}",['indicative'],['indicative'],"['indicative', 'imperative']",0,[]
43,[0],"As a former trial lawyer, I can tell you that while neither notes nor memories are infallible, in a contest between contemporaneous notes and later verbal testimony about those notes, the content of the written notes usually prevails.",Mood,['indicative'],['indicative'],['indicative'],"{
  ""Properties"": [""indicative"", ""imperative""],
  ""Explanation"": ""The text contains indicative mood as it expresses a simple statement of fact or opinion, and imperative mood as it includes a command or directive.""
}","['indicative', 'imperative']","{
  ""Properties"": [""indicative"", ""subjunctive""],
  ""Explanation"": ""The text contains indicative mood in the form of a simple statement of fact. It also contains subjunctive mood in the form of expressing what is imagined or hypothetical.""
}","['indicative', 'subjunctive']","{
  ""Properties"": [""indicative"", ""imperative""],
  ""Explanation"": ""The example text uses both indicative mood to express a simple statement of fact and imperative mood to give a directive.""
}","['indicative', 'imperative']",['indicative'],"['indicative', 'imperative']",0,[]
47,[0],"“I don’t regard Louis Farrakhan as an aberration or anything, I regard him as an outstanding human being who commands a following of individuals who are learned and articulate and he plays a big role in the lives of thousands and thousands and thousands and thousands of people,” he emphasized later.",Mood,['indicative'],['indicative'],['indicative'],"{
  ""Properties"": [""indicative"", ""exclamatory"", ""imperative""],
  ""Explanation"": ""The example text contains a statement of fact ('he emphasized later'), expresses strong emotion ('I don’t regard Louis Farrakhan as an aberration'), and includes a directive ('I don’t regard Louis Farrakhan as an aberration')."" 
}","['indicative', 'exclamatory', 'imperative']","{
  ""Properties"": [""indicative"", ""imperative""],
  ""Explanation"": ""The example text uses the indicative mood to express a simple statement of fact or opinion, and the imperative mood to give a command or directive.""
}","['indicative', 'imperative']","{
  ""Properties"": [""indicative"", ""imperative""],
  ""Explanation"": ""The text contains both a statement of fact ('I don't regard Louis Farrakhan as an aberration') and a directive ('I regard him as an outstanding human being').""
}","['indicative', 'imperative']",['indicative'],"['indicative', 'imperative']",0,[]
50,[0],"John Hancock, the first signer of the Declaration of Independence, said,",Mood,['indicative'],['indicative'],['indicative'],"{
  ""Properties"": [
    ""indicative""
  ],
  ""Explanation"": ""The example text uses the indicative mood to express a simple statement of fact or opinion.""
}",['indicative'],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The example text expresses a simple statement of fact, using the indicative mood of the verb 'said'.""
}",['indicative'],"{
  ""Properties"": [
    ""indicative""
  ],
  ""Explanation"": ""The example text uses indicative mood to express a simple statement of fact.""
}",['indicative'],['indicative'],['indicative'],1,[]
54,[0],"She said Thursday regarding Ms. Ford: ""I believe her because she is telling the truth and you know it by her story.""",Mood,['indicative'],['indicative'],['indicative'],timeout,[],"{
  ""Properties"": [""indicative"", ""subjunctive"", ""exclamatory""],
  ""Explanation"": ""The text contains indicative mood to express a simple statement of fact or opinion, subjunctive mood to express what is imagined or hypothetical, and exclamatory mood to express strong emotion.""
}","['indicative', 'subjunctive', 'exclamatory']","{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The example text is expressing a simple statement of belief, so it is using the indicative mood.""
}",['indicative'],['indicative'],"['indicative', 'subjunctive', 'exclamatory']",0,[]
