sentence_id,technique,text,feature_id,props_a20,props_a21,props_a22,res1,gpt_props1,res2,gpt_props2,res3,gpt_props3,props_a_majority,props_gpt_majority,ann_gpt_agreemnt,props_gpt4_majority
4,[0 8 9],"Muhammad advises the same thing, according to the tradition of the Muslim doctors: wherefore the great Temur always strove to exterminate the infidels, as much to acquire that glory, as to signalise himself by the greatness of his conquests.”",Tense,"['progression', 'past', 'present']",['progression'],"['past', 'present']","{
  ""Properties"": [""present"", ""progression""],
  ""Explanation"": ""The use of 'advises' and 'stroves' indicate present tense, and the change from 'stroves' to 'acquire' and 'signalise' creates a progression of tenses for effect.""
}","['present', 'progression']","{
  ""Properties"": [""present"", ""progression""],
  ""Explanation"": ""The use of 'advises' and 'strove' indicates present and past tense, and the changing tense in the middle of the sentence for effect demonstrates progression.""
}","['present', 'progression']","{
  ""Properties"": [""present"", ""progression""],
  ""Explanation"": ""The use of 'advises' and 'strove' indicate present and past tenses, and the change in tenses within the sentence creates a progression effect.""
}","['present', 'progression']","['progression', 'past', 'present']","['present', 'progression']",0,[]
11,[0 8],"We are simply asked to take the pope’s word for it, but given that it follows his astoundingly brazen lie that there was no evidence for Ricca’s homosexual activity in the first place, we can take the assurance for what it seems to be worth.",Tense,"['past', 'present']",['progression'],['progression'],"{
  ""Properties"": [""present"", ""progression""],
  ""Explanation"": ""The present tense is used for immediacy effect, and the progression of changing tense in the middle of a sentence is used for emphasis.""
}","['present', 'progression']","{
  ""Properties"": [""present"", ""progression""],
  ""Explanation"": ""The text uses present tense for immediacy effect and also changes tense in the middle of a sentence for effect.""
}","['present', 'progression']","{
  ""Properties"": [""present"", ""progression""],
  ""Explanation"": ""The text uses the present tense to emphasize the immediacy of the situation and to draw attention to the action, and it also changes tense in the middle of the sentence for effect.""
}","['present', 'progression']",['progression'],"['present', 'progression']",0,[]
14,[0],Conservative Ben Shapiro told Fox news the verdict was “horrifying.,Tense,['past'],['past'],['past'],"{
  ""Properties"": [""past""],
  ""Explanation"": ""The sentence 'told' indicates that the action has already happened, placing it in the past tense.""
}",['past'],"{
  ""Properties"": [""past""],
  ""Explanation"": ""The verb 'told' indicates that the action has already happened, placing it in the past tense.""
}",['past'],"{
  ""Properties"": [""past""],
  ""Explanation"": ""The verb 'told' indicates that the action has already happened, placing the statement in the past tense.""
}",['past'],['past'],['past'],1,[]
16,[0],"According to Breitbart, “Sellner, who described the detention centre as looking akin to a typical American prison, said he was told by authorities that his speaking at Hyde Park could cause violence and disrupt community cohesion.”",Tense,['past'],['past'],['past'],"{
  ""Properties"": [""present"", ""past""],
  ""Explanation"": ""The use of 'according', 'described', and 'said' indicate present and past tense in the text.""
}","['present', 'past']","```json
        {
            ""Properties"": [""present"", ""past""],
            ""Explanation"": ""The text contains present tense ('described', 'said') for immediacy and past tense ('was told') to indicate something that has already happened.""
        }
```","['present', 'past']","{
  ""Properties"": [""present"", ""past""],
  ""Explanation"": ""The example text contains the use of present tense ('described', 'could cause') and past tense ('was told').""
}","['present', 'past']",['past'],"['present', 'past']",0,[]
23,[0],"“This is a clear violation of the Senate Ethics rules which safeguard against the appearance or actuality of elected officials ‘cashing in’ on their official position for political purposes,” said Kendra Arnold, executive director of FACT.",Tense,"['past', 'present']",['progression'],"['past', 'present']","{
  ""Properties"": [""present""],
  ""Explanation"": ""The example text uses the present tense to emphasize the immediate impact and relevance of the statement.""
}",['present'],"```json
{
  ""Properties"": [""present""],
  ""Explanation"": ""The text uses the present tense to emphasize the current relevance of the violation of Senate Ethics rules.""
}
```",['present'],"{
  ""Properties"": [""present""],
  ""Explanation"": ""The use of 'is' in 'This is a clear violation' indicates present tense, emphasizing the current situation.""
}",['present'],"['past', 'present']",['present'],0,[]
32,[0 6],Cardinal Raymond Burke’s statement declares: “The declarations made by a prelate of the authority of Archbishop Carlo Maria Viganò must be totally taken to heart by those responsible in the Church.”,Tense,"['past', 'present']",['present'],"['past', 'present']","{
  ""Properties"": [""present""],
  ""Explanation"": ""The use of present tense in the headline suggests immediacy and emphasizes the action declared by Cardinal Raymond Burke.""
}",['present'],"{
  ""Properties"": [""present""],
  ""Explanation"": ""The use of 'declares' emphasizes the immediacy and importance of Cardinal Burke's statement.""
}",['present'],"{
  ""Properties"": [""present""],
  ""Explanation"": ""The verb 'declares' is in the present tense, emphasizing the immediacy of the statement being made.""
}",['present'],"['past', 'present']",['present'],0,[]
43,[0],"As a former trial lawyer, I can tell you that while neither notes nor memories are infallible, in a contest between contemporaneous notes and later verbal testimony about those notes, the content of the written notes usually prevails.",Tense,['present'],['present'],"['progression', 'past']","{
  ""Properties"": [""present"", ""progression""],
  ""Explanation"": ""The use of 'can tell' and 'prevails' indicates the use of present tense for immediacy effect. The shift from 'are' to 'prevails' in the middle of the sentence creates a progression to emphasize the contrast.""
}","['present', 'progression']","{
    ""Properties"": [""past"", ""progression""],
    ""Explanation"": ""The example text uses the past tense to express something that already happened. It also changes tense in the middle of a sentence for effect, switching from past to present tense ('I can tell you')""
}","['past', 'progression']","{
  ""Properties"": [""past""],
  ""Explanation"": ""The example text uses the past tense to express something that has already happened.""
}",['past'],['present'],"['present', 'progression']",0,[]
47,[0],"“I don’t regard Louis Farrakhan as an aberration or anything, I regard him as an outstanding human being who commands a following of individuals who are learned and articulate and he plays a big role in the lives of thousands and thousands and thousands and thousands of people,” he emphasized later.",Tense,"['past', 'present']",['progression'],"['past', 'present']","{
  ""Properties"": [""present"", ""progression""],
  ""Explanation"": ""The use of present tense in 'I don’t regard' and 'he emphasizes later', and the change from past tense to present tense in 'I regard him as an outstanding human being...'""
}","['present', 'progression']","{
  ""Properties"": [""present"", ""progression""],
  ""Explanation"": ""The text uses present tense for immediacy effect and progression to change tense in the middle of a sentence for effect.""
}","['present', 'progression']","{
  ""Properties"": [""present"", ""progression""],
  ""Explanation"": ""The use of 'I don't regard' and 'he emphasizes later' indicate the present tense. The changing tense in the middle of the sentence 'I don’t regard Louis Farrakhan as an aberration...he emphasized later' is used for effect, demonstrating the progression of the speaker's thoughts.""
}","['present', 'progression']","['past', 'present']","['present', 'progression']",0,[]
50,[0],"John Hancock, the first signer of the Declaration of Independence, said,",Tense,['past'],['past'],['past'],timeout,[],"{
  ""Properties"": [""past""],
  ""Explanation"": ""The use of 'said' indicates past tense, expressing something that already happened.""
}",['past'],"{
    ""Properties"": [""past""],
    ""Explanation"": ""The use of 'said' indicates that the action of speaking already happened in the past.""
}",['past'],['past'],['past'],1,[]
54,[0],"She said Thursday regarding Ms. Ford: ""I believe her because she is telling the truth and you know it by her story.""",Tense,"['past', 'present']",['past'],"['progression', 'past', 'present']","{
  ""Properties"": [""present"", ""progression""],
  ""Explanation"": ""The use of 'said' and 'believe' indicate present tense, while the change from 'is telling' to 'you know' indicates a change in tense for effect.""
}","['present', 'progression']","{
  ""Properties"": [""past""],
  ""Explanation"": ""The example text uses the past tense to indicate that the statement was made on a specific day in the past.""
}",['past'],"{
  ""Properties"": [""past""],
  ""Explanation"": ""The example text uses the past tense to express something that has already happened.""
}",['past'],"['past', 'present']",['past'],0,[]
68,[0],"I have read the Cardinal's exposition in both Italian and English, and I only find mention of the help of the sacraments in certain cases.",Tense,['present'],['present'],['present'],"{
  ""Properties"": [""past""],
  ""Explanation"": ""The example text uses the past tense to express something that already happened ('I have read', 'find mention').
}",['past'],"{
  ""Properties"": [""past"", ""progression""],
  ""Explanation"": ""The text uses the past tense to express something that already happened ('I have read...'). It also changes tense in the middle of a sentence for effect ('...and I only find mention...').""
}","['past', 'progression']","{
  ""Properties"": [""past""],
  ""Explanation"": ""The use of 'have read' and 'find mention' indicate past tense.""
}",['past'],['present'],['past'],-1,[]
73,[0],"Meanwhile, according to a Breitbart report by Allum Bokhari, “By inserting negative search suggestions under the name of a candidate, search engines like Google can shift the opinions of undecided voters by up to 43.4 percent, according to new research by a team at the American Institute for Behavioral Research and Technology and reported exclusively by Breitbart News.”",Tense,"['past', 'present']",['present'],['past'],"{
  ""Properties"": [""present"", ""progression""],
  ""Explanation"": ""The use of 'meanwhile' at the beginning of the sentence indicates present tense to create an immediacy effect. Also, the changing tense in the middle of the sentence, from 'according to' to 'can', is used for effect.""
}","['present', 'progression']","{
  ""Properties"": [""present""],
  ""Explanation"": ""The use of 'can shift' and 'according to new research' indicate the present tense.""
}",['present'],"{
  ""Properties"": [""past""],
  ""Explanation"": ""The use of 'reported' and 'inserting' indicates the past tense in the example text.""
}",['past'],"['past', 'present']","['present', 'progression']",0,[]
80,[1],"Also, as this is an unprecedented moment in papal history, perhaps the unprecedented step of recalling Benedict XVI to the Chair of St. Peter should also be considered sooner rather than later, before this crisis gets any more out-of-control than it already is.",Tense,['present'],['present'],['present'],"{
  ""Properties"": [""present"", ""future""],
  ""Explanation"": ""The use of 'is' in 'this is an unprecedented moment', and 'should be considered sooner' indicate the use of present and future tense.""
}","['present', 'future']","{
  ""Properties"": [""present"", ""progression""],
  ""Explanation"": ""The use of 'is' in 'this crisis gets' and 'already is' indicates present tense and the change from 'is' to 'was' in 's this crisis gets any more out-of-control than it already is' indicates progression of tense for effect.""
}","['present', 'progression']","{
  ""Properties"": [""present"", ""progression""],
  ""Explanation"": ""The use of 'is' in 'this is an unprecedented moment' and 'gets' in 'before this crisis gets' indicates the present tense. The change from 'is' to 'gets' in the middle of the sentence creates a progression."" 
}","['present', 'progression']",['present'],"['present', 'progression']",0,[]
83,[1],"A dark, impenetrable and “irreversible” winter of persecution of the faithful by their own shepherds will fall.",Tense,['future'],['future'],[],"{
  ""Properties"": [""present""],
  ""Explanation"": ""The use of 'will fall' indicates a future action, emphasizing the immediacy and certainty of the event.""
}",['present'],"{
    ""Properties"": [""future""],
    ""Explanation"": ""The use of the word 'will' indicates a future tense, expressing something that has yet to happen.""
}",['future'],"{
  ""Properties"": [""present""],
  ""Explanation"": ""The use of 'will fall' indicates a future action, and the immediacy effect of the present tense is used to emphasize the gravity of the situation.""
}",['present'],['future'],['present'],-1,[]
117,[ 1 12],"And so Chris Bryant, “a senior Labour backbencher, has written to May urging her to go further, and issue an official ban on Donald Trump from entering the UK on the grounds he is condoning fascism and his presence is ‘not conducive to the public good’, a senior Labour MP has said.”",Tense,['present'],['present'],['present'],"{
  ""Properties"": [""present"", ""progression""],
  ""Explanation"": ""The use of present tense in 'has written' and 'urging' emphasizes the immediacy of the action, while the change from past tense in 'has written' to present tense in 'has said' creates a sense of progression.""
}","['present', 'progression']","{
  ""Properties"": [""present"", ""past"", ""progression""],
  ""Explanation"": ""The text uses present tense for immediacy effect and to emphasize an action in the headline 'has written to May urging her to go further', past tense for actions that have already happened in 'a senior Labour MP has said', and progression by changing tense in the middle of a sentence for effect in 'and issue an official ban on Donald Trump from entering the UK on the grounds he is condoning fascism and his presence is ‘not conducive to the public good’'.""
}","['present', 'past', 'progression']","{
  ""Properties"": [""present"", ""progression""],
  ""Explanation"": ""The use of 'has written' and 'urging' in the same sentence indicates the use of both present and progression tenses for emphasis and effect.""
}","['present', 'progression']",['present'],"['present', 'progression']",0,[]
