sentence_id,technique,text,feature_id,props_a20,props_a21,props_a22,res1,gpt_props1,res2,gpt_props2,res3,gpt_props3,props_a_majority,props_gpt_majority,ann_gpt_agreemnt,props_gpt4_majority
4,[0 8 9],"Muhammad advises the same thing, according to the tradition of the Muslim doctors: wherefore the great Temur always strove to exterminate the infidels, as much to acquire that glory, as to signalise himself by the greatness of his conquests.”",Tropes,['simile'],[],"['hyperbole', 'metaphor']","{
  ""Properties"": [""metaphor"", ""euphemism""],
  ""Explanation"": ""The text contains a metaphor comparing the act of exterminating infidels to acquiring glory and signaling oneself through conquests. It also includes the euphemism 'exterminate' instead of a more direct and offensive term.""
}","['metaphor', 'euphemism']","{
  ""Properties"": [""metonymy""],
  ""Explanation"": ""The use of 'great Temur' to refer to Temur the Great using a term associated with his greatness and power.""
}",['metonymy'],"{
  ""Properties"": [""metonymy""],
  ""Explanation"": ""The use of 'Temur' as a substitution for 'Timur the Great' based on his reputation and accomplishment.""
}",['metonymy'],['simile'],['metonymy'],-1,[]
11,[0 8],"We are simply asked to take the pope’s word for it, but given that it follows his astoundingly brazen lie that there was no evidence for Ricca’s homosexual activity in the first place, we can take the assurance for what it seems to be worth.",Tropes,"['irony', 'hyperbole', 'paradox']",['irony'],"['hyperbole', 'metaphor']","{
  ""Properties"": [""metaphor"", ""irony"", ""hyperbole"", ""euphemism""],
  ""Explanation"": ""The use of 'brazen lie' as a metaphor, the ironic use of 'simply asked' and 'assurance for what it seems to be worth', hyperbolic 'astoundingly brazen lie', and the euphemistic 'homosexual activity' instead of a more blunt phrase.""
}","['metaphor', 'irony', 'hyperbole', 'euphemism']","{
  ""Properties"": [""metaphor"", ""irony"", ""hyperbole"", ""euphemism""],
  ""Explanation"": ""The text uses metaphor to compare the pope's word to an assurance, irony in the statement about taking the pope's word for it, hyperbole with the description of the pope's lie as 'astoundingly brazen', and euphemism with the phrase 'homosexual activity' instead of a more graphic description.""
}","['metaphor', 'irony', 'hyperbole', 'euphemism']","{
  ""Properties"": [""metaphor"", ""irony"", ""euphemism""],
  ""Explanation"": ""The text contains metaphors such as 'pope’s word', use of irony in 'astoundingly brazen lie', and euphemism in 'homosexual activity'.""
}","['metaphor', 'irony', 'euphemism']","['irony', 'hyperbole', 'paradox']","['metaphor', 'irony', 'hyperbole', 'euphemism']",0,[]
14,[0],Conservative Ben Shapiro told Fox news the verdict was “horrifying.,Tropes,['metonymy'],[],['metaphor'],"``` 
{
  ""Properties"": [""metonymy""],
  ""Explanation"": ""The use of 'Fox news' to represent the organization as a whole.""
}
```",['metonymy'],"{
  ""Properties"": [""irony""],
  ""Explanation"": ""The word 'horrifying' is being used in an ironic manner, as conservative Ben Shapiro is likely expressing satisfaction with the verdict.""
}",['irony'],"{
  ""Properties"": [""metaphor"", ""irony""],
  ""Explanation"": ""The use of the metaphor 'horrifying' to describe the verdict, and the irony of a conservative being horrified by the verdict""
}","['metaphor', 'irony']",['metonymy'],['metonymy'],1,[]
16,[0],"According to Breitbart, “Sellner, who described the detention centre as looking akin to a typical American prison, said he was told by authorities that his speaking at Hyde Park could cause violence and disrupt community cohesion.”",Tropes,"['simile', 'euphemism']",['simile'],['simile'],"{
  ""Properties"": [
    ""metonymy""
  ],
  ""Explanation"": ""The use of 'authorities' as a substitution for the specific people in charge demonstrates the property of metonymy.""
}",['metonymy'],"{
  ""Properties"": [""metonymy""],
  ""Explanation"": ""The use of 'authorities' as a substitute for the specific group or individuals who told Sellner that his speaking at Hyde Park could cause violence and disrupt community cohesion.""
}",['metonymy'],"{
  ""Properties"": [""metonymy"", ""euphemism""],
  ""Explanation"": ""The use of 'detention centre' instead of 'prison' is a metonymy, and 'could cause violence and disrupt community cohesion' is a euphemism for potential unrest and conflict.""
}","['metonymy', 'euphemism']",['simile'],['metonymy'],-1,[]
23,[0],"“This is a clear violation of the Senate Ethics rules which safeguard against the appearance or actuality of elected officials ‘cashing in’ on their official position for political purposes,” said Kendra Arnold, executive director of FACT.",Tropes,"['allegory', 'euphemism']",['antonomasia'],['metaphor'],"{
  ""Properties"": [
    ""antonomasia"",
    ""euphemism""
  ],
  ""Explanation"": ""The phrase 'elected officials' is a descriptive label characterizing while renaming. The use of 'safeguard against the appearance or actuality' is a euphemism to minimize the gravity of the situation.""
}","['antonomasia', 'euphemism']","{
  ""Properties"": [""metonymy"", ""euphemism""],
  ""Explanation"": ""The use of 'cashing in' as a metonymy for 'exploiting their official position for personal gain' and the euphemistic phrase 'safeguard against the appearance or actuality' both appear in the text.""
}","['metonymy', 'euphemism']","{
  ""Properties"": [
    ""euphemism""
  ],
  ""Explanation"": ""The phrase 'cashing in' is a euphemism for profiting or exploiting their official position.""
}",['euphemism'],"['allegory', 'euphemism']","['antonomasia', 'euphemism']",0,[]
32,[0 6],Cardinal Raymond Burke’s statement declares: “The declarations made by a prelate of the authority of Archbishop Carlo Maria Viganò must be totally taken to heart by those responsible in the Church.”,Tropes,"['metonymy', 'synecdoche', 'metaphor']",[],"['metonymy', 'metaphor']","{
  ""Properties"": [""metonymy"", ""euphemism""],
  ""Explanation"": ""The use of 'a prelate of the authority of Archbishop Carlo Maria Viganò' is a metonymy, as it substitutes a specific person for the broader category of prelate with authority. The term 'taken to heart' is a euphemism for 'seriously considered'.""
}","['metonymy', 'euphemism']","{
  ""Properties"": [""metonymy"", ""euphemism""],
  ""Explanation"": ""The term 'prelate' is used as a metonymy for Cardinal Raymond Burke, and the phrase 'taken to heart' is a euphemism for 'seriously considered'.""
}","['metonymy', 'euphemism']","```json
{
  ""Properties"": [""metonymy""],
  ""Explanation"": ""The use of 'prelate' as a substitution for Archbishop Carlo Maria Viganò according to their association with the Church""
}
```",['metonymy'],"['metonymy', 'synecdoche', 'metaphor']","['metonymy', 'euphemism']",0,[]
43,[0],"As a former trial lawyer, I can tell you that while neither notes nor memories are infallible, in a contest between contemporaneous notes and later verbal testimony about those notes, the content of the written notes usually prevails.",Tropes,[],[],['litotes'],"{
  ""Properties"": [""metonymy""],
  ""Explanation"": ""The use of 'contemporaneous notes' as a substitution for 'written notes' based on their temporal association.""
}",['metonymy'],"{
  ""Properties"": [""metonymy"", ""euphemism""],
  ""Explanation"": ""The use of 'notes' as a substitution for written records is an example of metonymy. The phrase 'let go' instead of 'fired' is an example of euphemism.""
}","['metonymy', 'euphemism']","{
  ""Properties"": [""metonymy""],
  ""Explanation"": ""The use of 'notes' to stand for the actual written records in the example text is an example of metonymy.""
}",['metonymy'],[],['metonymy'],-1,[]
47,[0],"“I don’t regard Louis Farrakhan as an aberration or anything, I regard him as an outstanding human being who commands a following of individuals who are learned and articulate and he plays a big role in the lives of thousands and thousands and thousands and thousands of people,” he emphasized later.",Tropes,"['hyperbole', 'metaphor']",['hyperbole'],['hyperbole'],"{
  ""Properties"": [""metonymy"", ""hyperbole"", ""euphemism""],
  ""Explanation"": ""The use of 'individuals' as a substitute for 'followers', the exaggerated repetition of 'thousands', and the euphemistic phrase 'plays a big role' instead of 'exerts a significant influence'."" 
}","['metonymy', 'hyperbole', 'euphemism']","```json
{
  ""Properties"": [""euphemism""],
  ""Explanation"": ""The speaker uses euphemistic language to describe Louis Farrakhan, minimizing any negative connotations by emphasizing his positive qualities.""
}
```",['euphemism'],"{
  ""Properties"": [""euphemism""],
  ""Explanation"": ""The speaker uses euphemism by referring to Louis Farrakhan as an 'outstanding human being' instead of using a more neutral or negative term.""
}",['euphemism'],['hyperbole'],['euphemism'],-1,[]
50,[0],"John Hancock, the first signer of the Declaration of Independence, said,",Tropes,['antonomasia'],[],[],"{
  ""Properties"": [""metonymy""],
  ""Explanation"": ""The use of 'John Hancock' as a substitution for the person himself, based on his association with his famous signature.""
}",['metonymy'],"{
  ""Properties"": [""metonymy""],
  ""Explanation"": ""The term 'John Hancock' is used as a metonymy to refer to a signature, based on the association with his large, prominent signature on the Declaration of Independence.""
}",['metonymy'],"{
  ""Properties"": [""antonomasia""],
  ""Explanation"": ""The use of 'John Hancock' to refer to the first signer of the Declaration of Independence is an example of antonomasia.""
}",['antonomasia'],[],['metonymy'],-1,[]
54,[0],"She said Thursday regarding Ms. Ford: ""I believe her because she is telling the truth and you know it by her story.""",Tropes,[],[],[],"```{
  ""Properties"": [""metonymy"", ""euphemism""],
  ""Explanation"": ""The use of 'Ms. Ford' instead of her full name is a metonymy, and the use of 'telling the truth' instead of stating the alleged event directly is a euphemism.""
}```","['metonymy', 'euphemism']","{
  ""Properties"": [""antonomasia"", ""metaphor""],
  ""Explanation"": ""The use of 'Ms. Ford' as a descriptive label instead of the proper name is an example of antonomasia. The phrase 'her story' is a metaphor for Ms. Ford's account of what happened."" 
}","['antonomasia', 'metaphor']","{
  ""Properties"": [
    ""antonomasia""
  ],
  ""Explanation"": ""The use of 'Ms. Ford' as a descriptive label characterizes and renames the person being referred to.""
}",['antonomasia'],[],"['metonymy', 'euphemism']",-1,[]
68,[0],"I have read the Cardinal's exposition in both Italian and English, and I only find mention of the help of the sacraments in certain cases.",Tropes,[],[],[],"``` 
{
  ""Properties"": [""metonymy""],
  ""Explanation"": ""The use of 'the Cardinal' as a substitution for 'the Cardinal's exposition' is an example of metonymy.""
}
```",['metonymy'],"{
  ""Properties"": [""synecdoche""],
  ""Explanation"": ""The use of 'the Cardinal's exposition' refers to the Cardinal's entire body of work or teachings, not just a specific exposition.""
}",['synecdoche'],"{
  ""Properties"": [""metonymy""],
  ""Explanation"": ""The term 'the Cardinal' is used as a substitution for the specific individual's name, representing a group of people associated with the Cardinal.""
}",['metonymy'],[],['metonymy'],-1,[]
73,[0],"Meanwhile, according to a Breitbart report by Allum Bokhari, “By inserting negative search suggestions under the name of a candidate, search engines like Google can shift the opinions of undecided voters by up to 43.4 percent, according to new research by a team at the American Institute for Behavioral Research and Technology and reported exclusively by Breitbart News.”",Tropes,['synecdoche'],[],[],"{
  ""Properties"": [""metonymy"", ""euphemism""],
  ""Explanation"": ""The use of 'search engines like Google' is a metonymy for the company Google. Additionally, the mention of 'inserting negative search suggestions' is a euphemism for manipulating search results.""
}","['metonymy', 'euphemism']","{
  ""Properties"": [
    ""metonymy"",
    ""hyperbole""
  ],
  ""Explanation"": ""The term 'Breitbart report' is used as a substitution for the actual author's name, and the statement about search engines shifting opinions by up to 43.4 percent is an exaggerated claim, constituting hyperbole.""
}","['metonymy', 'hyperbole']","{
  ""Properties"": [""metonymy"", ""euphemism""],
  ""Explanation"": ""The substitution of 'Breitbart report' for 'report by Allum Bokhari' is an example of metonymy. The phrase 'shift the opinions of undecided voters' is a euphemism for manipulate or influence the opinions of undecided voters.""
}","['metonymy', 'euphemism']",[],"['metonymy', 'euphemism']",-1,[]
80,[1],"Also, as this is an unprecedented moment in papal history, perhaps the unprecedented step of recalling Benedict XVI to the Chair of St. Peter should also be considered sooner rather than later, before this crisis gets any more out-of-control than it already is.",Tropes,['hyperbole'],[],"['hyperbole', 'metaphor']","{
  ""Properties"": [""metonymy"", ""hyperbole""],
  ""Explanation"": ""The use of 'the Chair of St. Peter' as a substitute for the papacy is an example of metonymy. The phrase 'before this crisis gets any more out-of-control than it already is' contains hyperbolic language, exaggerating the severity of the crisis.""
}","['metonymy', 'hyperbole']","{
  ""Properties"": [""hyperbole"", ""irony""],
  ""Explanation"": ""The use of 'unprecedented' to describe both the papal situation and the potential step of recalling Benedict XVI is hyperbolic, and the suggestion to consider this action 'sooner rather than later' is ironic given the gravity of the situation.""
}","['hyperbole', 'irony']","{
  ""Properties"": [""synecdoche"", ""metonymy"", ""hyperbole"", ""euphemism""],
  ""Explanation"": ""The use of 'Chair of St. Peter' as a metonymy for the papacy, 'this crisis gets any more out-of-control than it already is' as hyperbole, and 'before this crisis gets any more out-of-control than it already is' as a euphemism to soften the gravity of the situation.""
}","['synecdoche', 'metonymy', 'hyperbole', 'euphemism']",['hyperbole'],"['metonymy', 'hyperbole']",0,[]
83,[1],"A dark, impenetrable and “irreversible” winter of persecution of the faithful by their own shepherds will fall.",Tropes,['metaphor'],['metaphor'],['metaphor'],"{
  ""Properties"": [""metaphor"", ""hyperbole""],
  ""Explanation"": ""The example text contains the metaphor 'dark, impenetrable and irreversible winter' to convey the severity of the persecution. It also uses hyperbole to exaggerate the extent of the persecution.""
}","['metaphor', 'hyperbole']","```json
{
  ""Properties"": [""metaphor"", ""euphemism""],
  ""Explanation"": ""The text uses metaphor by comparing the persecution of the faithful to a dark and impenetrable winter. It also uses euphemism by describing the persecution as 'irreversible', a milder phrase than the actual severity of the situation.""
}
```","['metaphor', 'euphemism']","{
  ""Properties"": [""metaphor"", ""hyperbole"", ""euphemism""],
  ""Explanation"": ""The text uses metaphor to compare persecution to a dark and impenetrable winter. It also uses hyperbole to exaggerate the severity of the persecution. Additionally, the phrase 'irreversible' is a euphemism for permanent or unchangeable.""
}","['metaphor', 'hyperbole', 'euphemism']",['metaphor'],"['metaphor', 'hyperbole']",0,[]
