sentence_id,technique,text,feature_id,props_a20,props_a21,props_a22,annotator_consistency,props_gpt4_majority,res_1.0_1,gpt_props_1.0_1,res_1.0_2,gpt_props_1.0_2,res_1.0_3,gpt_props_1.0_3,gpt3.5_1.0_consistency,res_0.2_1,gpt_props_0.2_1,res_0.2_2,gpt_props_0.2_2,res_0.2_3,gpt_props_0.2_3,gpt3.5_0.2_consistency,gpt3.5_0.2_majority,humans isCorrect,gpt isCorrect,comments,ground truth,propertygpt-4o-mini,resgpt-4o-mini_0.0_V4,propertygpt-4o-mini_0.0_V4
320,[ 3 16],There will be no turning back.,Aspect,['simple'],['simple'],['simple'],True,['simple'],"{
    ""Properties"": [""future""],
    ""Explanation"": ""The use of 'will' indicates a future action, so the aspect property 'future' is present.""
}",[''],"{
  ""Properties"": [""future""]
  ,""Explanation"": ""The use of 'will' indicates a future action, indicating the usage of the future aspect.""
}",[''],"{
  ""Properties"": [""future""],
  ""Explanation"": ""The phrase 'will be' indicates a future action, suggesting a prediction or a promise. This usage does not fall into any of the specified aspect properties.""
}",[''],1,"{
  ""Properties"": [""future""],
  ""Explanation"": ""The use of 'will be' indicates a future action, suggesting that the turning back has not yet occurred.""
}",[''],"{
  ""Properties"": [""future""]
}",[''],"{
  ""Properties"": [""future""],
  ""Explanation"": ""The use of 'will be' indicates a future action, suggesting that the action of 'turning back' has not yet occurred.""
}",[''],1,[''],1,0,gpt inserted its own property,['simple'],simple,"{
  ""Answer"": ""no"",
  ""Explanation"": ""The sentence 'There will be no turning back' does not utilize the simple aspect. Instead, it employs the future tense with a modal verb 'will' to indicate a future action or state. The simple aspect is characterized by the use of the base form of the verb (present simple) or the past form (past simple), neither of which is present in this sentence.""
}",[]
320,[ 3 16],There will be no turning back.,Aspect,['simple'],['simple'],['simple'],True,['simple'],"{
    ""Properties"": [""future""],
    ""Explanation"": ""The use of 'will' indicates a future action, so the aspect property 'future' is present.""
}",[''],"{
  ""Properties"": [""future""]
  ,""Explanation"": ""The use of 'will' indicates a future action, indicating the usage of the future aspect.""
}",[''],"{
  ""Properties"": [""future""],
  ""Explanation"": ""The phrase 'will be' indicates a future action, suggesting a prediction or a promise. This usage does not fall into any of the specified aspect properties.""
}",[''],1,"{
  ""Properties"": [""future""],
  ""Explanation"": ""The use of 'will be' indicates a future action, suggesting that the turning back has not yet occurred.""
}",[''],"{
  ""Properties"": [""future""]
}",[''],"{
  ""Properties"": [""future""],
  ""Explanation"": ""The use of 'will be' indicates a future action, suggesting that the action of 'turning back' has not yet occurred.""
}",[''],1,[''],1,0,gpt inserted its own property,['simple'],perfect,"{
  ""Answer"": ""no"",
  ""Explanation"": ""The sentence 'There will be no turning back' does not utilize the perfect aspect. Instead, it uses the future tense with 'will' to indicate a future action or state. The perfect aspect typically involves a form of 'have' followed by a past participle, which is not present in this sentence.""
}",[]
320,[ 3 16],There will be no turning back.,Aspect,['simple'],['simple'],['simple'],True,['simple'],"{
    ""Properties"": [""future""],
    ""Explanation"": ""The use of 'will' indicates a future action, so the aspect property 'future' is present.""
}",[''],"{
  ""Properties"": [""future""]
  ,""Explanation"": ""The use of 'will' indicates a future action, indicating the usage of the future aspect.""
}",[''],"{
  ""Properties"": [""future""],
  ""Explanation"": ""The phrase 'will be' indicates a future action, suggesting a prediction or a promise. This usage does not fall into any of the specified aspect properties.""
}",[''],1,"{
  ""Properties"": [""future""],
  ""Explanation"": ""The use of 'will be' indicates a future action, suggesting that the turning back has not yet occurred.""
}",[''],"{
  ""Properties"": [""future""]
}",[''],"{
  ""Properties"": [""future""],
  ""Explanation"": ""The use of 'will be' indicates a future action, suggesting that the action of 'turning back' has not yet occurred.""
}",[''],1,[''],1,0,gpt inserted its own property,['simple'],progressive,"{
  ""Answer"": ""no"",
  ""Explanation"": ""The sentence 'There will be no turning back' does not utilize the progressive aspect. Instead, it uses the future simple tense ('will be') to indicate a future state or condition. The progressive aspect would require a form of 'to be' followed by a present participle (e.g., 'is turning'), which is not present in this sentence.""
}",[]
320,[ 3 16],There will be no turning back.,Aspect,['simple'],['simple'],['simple'],True,['simple'],"{
    ""Properties"": [""future""],
    ""Explanation"": ""The use of 'will' indicates a future action, so the aspect property 'future' is present.""
}",[''],"{
  ""Properties"": [""future""]
  ,""Explanation"": ""The use of 'will' indicates a future action, indicating the usage of the future aspect.""
}",[''],"{
  ""Properties"": [""future""],
  ""Explanation"": ""The phrase 'will be' indicates a future action, suggesting a prediction or a promise. This usage does not fall into any of the specified aspect properties.""
}",[''],1,"{
  ""Properties"": [""future""],
  ""Explanation"": ""The use of 'will be' indicates a future action, suggesting that the turning back has not yet occurred.""
}",[''],"{
  ""Properties"": [""future""]
}",[''],"{
  ""Properties"": [""future""],
  ""Explanation"": ""The use of 'will be' indicates a future action, suggesting that the action of 'turning back' has not yet occurred.""
}",[''],1,[''],1,0,gpt inserted its own property,['simple'],perfect progressive,"{
  ""Answer"": ""no"",
  ""Explanation"": ""The sentence 'There will be no turning back' does not utilize the perfect progressive aspect. The perfect progressive aspect is formed using 'has/have been' followed by a present participle (verb ending in -ing) to indicate an ongoing action that started in the past and continues into the present. In this case, the sentence is in the future tense and does not express an ongoing action; instead, it indicates a definitive state or condition regarding the future.""
}",[]
375,[4],"Despite the fact that it was instituted by God Himself, growing numbers of Catholics actually consider it immoral.",Aspect,['simple'],['simple'],['simple'],True,['simple'],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence expresses a simple fact about growing numbers of Catholics considering something immoral.""
}",['simple'],"{
  ""Properties"": [""simple""]
}",['simple'],"{
  ""Properties"": [""progressive""],
  ""Explanation"": ""The use of 'growing' indicates an ongoing or increasing action, suggesting a progressive aspect.""
}",['progressive'],0,"{
  ""Properties"": [""progressive""],
  ""Explanation"": ""The use of 'growing' indicates an ongoing or increasing action, suggesting a progressive aspect.""
}",['progressive'],"{
  ""Properties"": [""progressive""],
  ""Explanation"": ""The use of 'growing' indicates an ongoing or increasing action, suggesting the progressive aspect.""
}",['progressive'],"{
  ""Properties"": [""progressive""],
  ""Explanation"": ""The use of 'growing' indicates an ongoing or increasing action, suggesting the progressive aspect.""
}",['progressive'],1,['progressive'],1,0,gtp mistook adjective for verb (growing),['simple'],simple,"{
  ""Answer"": ""no"",
  ""Explanation"": ""The sentence does not utilize the simple aspect because it contains a verb in the past tense ('was instituted') and a present continuous form ('growing'). The simple aspect is characterized by verbs that express a straightforward action or state without additional complexity, such as 'eats' or 'ate'. In this case, the sentence conveys a more complex idea involving both past and present actions, which moves beyond the simple aspect.""
}",[]
375,[4],"Despite the fact that it was instituted by God Himself, growing numbers of Catholics actually consider it immoral.",Aspect,['simple'],['simple'],['simple'],True,['simple'],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence expresses a simple fact about growing numbers of Catholics considering something immoral.""
}",['simple'],"{
  ""Properties"": [""simple""]
}",['simple'],"{
  ""Properties"": [""progressive""],
  ""Explanation"": ""The use of 'growing' indicates an ongoing or increasing action, suggesting a progressive aspect.""
}",['progressive'],0,"{
  ""Properties"": [""progressive""],
  ""Explanation"": ""The use of 'growing' indicates an ongoing or increasing action, suggesting a progressive aspect.""
}",['progressive'],"{
  ""Properties"": [""progressive""],
  ""Explanation"": ""The use of 'growing' indicates an ongoing or increasing action, suggesting the progressive aspect.""
}",['progressive'],"{
  ""Properties"": [""progressive""],
  ""Explanation"": ""The use of 'growing' indicates an ongoing or increasing action, suggesting the progressive aspect.""
}",['progressive'],1,['progressive'],1,0,gtp mistook adjective for verb (growing),['simple'],perfect,"{
  ""Answer"": ""no"",
  ""Explanation"": ""The sentence provided does not utilize the perfect aspect. The perfect aspect is characterized by the use of auxiliary verbs like 'has' or 'have' followed by the past participle of a verb, indicating a completed action. In the given sentence, there are no such constructions present; it describes a current belief of Catholics without indicating any completed action.""
}",[]
375,[4],"Despite the fact that it was instituted by God Himself, growing numbers of Catholics actually consider it immoral.",Aspect,['simple'],['simple'],['simple'],True,['simple'],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence expresses a simple fact about growing numbers of Catholics considering something immoral.""
}",['simple'],"{
  ""Properties"": [""simple""]
}",['simple'],"{
  ""Properties"": [""progressive""],
  ""Explanation"": ""The use of 'growing' indicates an ongoing or increasing action, suggesting a progressive aspect.""
}",['progressive'],0,"{
  ""Properties"": [""progressive""],
  ""Explanation"": ""The use of 'growing' indicates an ongoing or increasing action, suggesting a progressive aspect.""
}",['progressive'],"{
  ""Properties"": [""progressive""],
  ""Explanation"": ""The use of 'growing' indicates an ongoing or increasing action, suggesting the progressive aspect.""
}",['progressive'],"{
  ""Properties"": [""progressive""],
  ""Explanation"": ""The use of 'growing' indicates an ongoing or increasing action, suggesting the progressive aspect.""
}",['progressive'],1,['progressive'],1,0,gtp mistook adjective for verb (growing),['simple'],progressive,"{
  ""Answer"": ""no"",
  ""Explanation"": ""The sentence does not utilize the progressive aspect. The verb 'consider' is in the simple present tense, indicating a general truth or habitual action, rather than an ongoing or incomplete action. The progressive aspect would require a form of 'to be' followed by a verb ending in -ing, such as 'is considering.'""
}",[]
375,[4],"Despite the fact that it was instituted by God Himself, growing numbers of Catholics actually consider it immoral.",Aspect,['simple'],['simple'],['simple'],True,['simple'],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence expresses a simple fact about growing numbers of Catholics considering something immoral.""
}",['simple'],"{
  ""Properties"": [""simple""]
}",['simple'],"{
  ""Properties"": [""progressive""],
  ""Explanation"": ""The use of 'growing' indicates an ongoing or increasing action, suggesting a progressive aspect.""
}",['progressive'],0,"{
  ""Properties"": [""progressive""],
  ""Explanation"": ""The use of 'growing' indicates an ongoing or increasing action, suggesting a progressive aspect.""
}",['progressive'],"{
  ""Properties"": [""progressive""],
  ""Explanation"": ""The use of 'growing' indicates an ongoing or increasing action, suggesting the progressive aspect.""
}",['progressive'],"{
  ""Properties"": [""progressive""],
  ""Explanation"": ""The use of 'growing' indicates an ongoing or increasing action, suggesting the progressive aspect.""
}",['progressive'],1,['progressive'],1,0,gtp mistook adjective for verb (growing),['simple'],perfect progressive,"{
  ""Answer"": ""no"",
  ""Explanation"": ""The sentence provided does not utilize the perfect progressive aspect. The perfect progressive aspect is formed using 'has/have been' followed by a present participle (verb ending in -ing) to indicate an ongoing action that started in the past and continues into the present. In the given sentence, there is no use of 'has been' or 'have been' followed by a verb in the -ing form. Instead, the sentence discusses a general statement about Catholics' beliefs without indicating an ongoing action in the perfect progressive form.""
}",[]
595,[9 5],The four page email begins with Murillo claiming she and others at Google were engaged in non-partisan activities not designed to help any one candidate or another—only to undercut her own commentary in later passages in the emails by openly admitting the entire effort to boost Latino turnout using Google products with official company resources was to elect Clinton over Trump.,Aspect,['simple'],['simple'],['simple'],True,['simple'],"{
  ""Properties"": [""simple"", ""perfect"", ""progressive""],
  ""Explanation"": ""The sentence includes the use of 'were engaged' (progressive) and 'was to elect' (simple) indicating ongoing and completed actions.""
}","['simple', 'perfect', 'progressive']","{
  ""Properties"": [""simple"", ""perfect""],
  ""Explanation"": ""The sentence 'Murillo claiming she and others at Google were engaged' uses the simple aspect to express a simple fact. The phrase 'had been engaged' uses the perfect aspect to express a completed action.""
}","['simple', 'perfect']","{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence expresses a simple fact about the past events recounted in the email.""
}",['simple'],0,"{
  ""Properties"": [""simple"", ""perfect"", ""progressive""],
  ""Explanation"": ""The sentence contains a simple fact ('Murillo claiming'), a completed action ('admitting'), and an ongoing action ('were engaged').""
}","['simple', 'perfect', 'progressive']","{
  ""Properties"": [""simple"", ""perfect"", ""progressive""],
  ""Explanation"": ""The sentence contains simple aspect to express a simple fact ('Murillo claiming...') and perfect aspect to express a completed action ('was engaged'). It also contains progressive aspect to express an ongoing action ('using Google products').""
}","['simple', 'perfect', 'progressive']","{
  ""Properties"": [""simple"", ""progressive""],
  ""Explanation"": ""The sentence 'Murillo claiming she and others at Google were engaged' uses the simple aspect to express a simple fact. The phrase 'using Google products with official company resources was to elect Clinton over Trump' uses the progressive aspect to express an ongoing action.""
}","['simple', 'progressive']",0,"['simple', 'perfect', 'progressive']",0,0,the correct answer is simple  (email begins with) and progressinve (admitting),"['simple', 'progressive']",simple,"{
  ""Answer"": ""no"",
  ""Explanation"": ""The sentence provided does not utilize the simple aspect. Instead, it contains a complex structure with multiple clauses and actions that describe ongoing or past activities rather than stating a simple fact. The use of phrases like 'begins with' and 'was to elect' indicates a more complex aspect of the actions being described, rather than a straightforward simple aspect.""
}",[]
595,[9 5],The four page email begins with Murillo claiming she and others at Google were engaged in non-partisan activities not designed to help any one candidate or another—only to undercut her own commentary in later passages in the emails by openly admitting the entire effort to boost Latino turnout using Google products with official company resources was to elect Clinton over Trump.,Aspect,['simple'],['simple'],['simple'],True,['simple'],"{
  ""Properties"": [""simple"", ""perfect"", ""progressive""],
  ""Explanation"": ""The sentence includes the use of 'were engaged' (progressive) and 'was to elect' (simple) indicating ongoing and completed actions.""
}","['simple', 'perfect', 'progressive']","{
  ""Properties"": [""simple"", ""perfect""],
  ""Explanation"": ""The sentence 'Murillo claiming she and others at Google were engaged' uses the simple aspect to express a simple fact. The phrase 'had been engaged' uses the perfect aspect to express a completed action.""
}","['simple', 'perfect']","{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence expresses a simple fact about the past events recounted in the email.""
}",['simple'],0,"{
  ""Properties"": [""simple"", ""perfect"", ""progressive""],
  ""Explanation"": ""The sentence contains a simple fact ('Murillo claiming'), a completed action ('admitting'), and an ongoing action ('were engaged').""
}","['simple', 'perfect', 'progressive']","{
  ""Properties"": [""simple"", ""perfect"", ""progressive""],
  ""Explanation"": ""The sentence contains simple aspect to express a simple fact ('Murillo claiming...') and perfect aspect to express a completed action ('was engaged'). It also contains progressive aspect to express an ongoing action ('using Google products').""
}","['simple', 'perfect', 'progressive']","{
  ""Properties"": [""simple"", ""progressive""],
  ""Explanation"": ""The sentence 'Murillo claiming she and others at Google were engaged' uses the simple aspect to express a simple fact. The phrase 'using Google products with official company resources was to elect Clinton over Trump' uses the progressive aspect to express an ongoing action.""
}","['simple', 'progressive']",0,"['simple', 'perfect', 'progressive']",0,0,the correct answer is simple  (email begins with) and progressinve (admitting),"['simple', 'progressive']",perfect,"{
  ""Answer"": ""no"",
  ""Explanation"": ""The sentence provided does not utilize the perfect aspect. The perfect aspect is characterized by the use of 'has' or 'have' followed by a past participle to indicate a completed action. In the example sentence, there is no such construction present; instead, it describes ongoing actions and statements without indicating completion.""
}",[]
