sentence_id,technique,text,feature_id,props_a20,props_a21,props_a22,res1_x,gpt_props1_x,res2_x,gpt_props2_x,res3_x,gpt_props3_x,props_a_majority,props_gpt_majority,ann_gpt_agreemnt,props_gpt4_majority,res1_y,gpt_props1_y,res2_y,gpt_props2_y,res3_y,gpt_props3_y
4,[0 8 9],"Muhammad advises the same thing, according to the tradition of the Muslim doctors: wherefore the great Temur always strove to exterminate the infidels, as much to acquire that glory, as to signalise himself by the greatness of his conquests.”",Series,[],[],[],"{
  ""Properties"": [""asyndenton""],
  ""Explanation"": ""The list of reasons for exterminating infidels is presented without using any conjunctions between them, creating a sense of urgency and directness.""
}",['asyndenton'],"{
  ""Properties"": [""gradatio""],
  ""Explanation"": ""The example text uses gradatio as it lists a chain of causality, specifically in the phrase 'as much to acquire that glory, as to signalise himself by the greatness of his conquests.'""
}",['gradatio'],"{
  ""Properties"": [""gradatio""],
  ""Explanation"": ""The text contains a list of items with overlapping, suggesting a chain of causality, as Temur strove to exterminate the infidels as much to acquire glory as to signalise himself by the greatness of his conquests.""
}",['gradatio'],[],['gradatio'],-1,[],"{
  ""Properties"": [""polysyndeton""],
  ""Explanation"": ""The use of the conjunction 'as much' in the sentence indicates the presence of polysyndeton, where conjunctions are used between every item.""
}",['polysyndenton'],"{
  ""Properties"": [""polysyndeton""],
  ""Explanation"": ""The use of the conjunction 'as' between 'the glory,' and 'the greatness of his conquests' creates a polysyndeton.""
}",['polysyndenton'],"{
  ""Properties"": [""polysyndenton""],
  ""Explanation"": ""The use of the conjunction 'as' to connect the different motivations ('to acquire that glory' and 'to signalise himself') indicates the presence of polysyndeton in the text.""
}",['polysyndenton']
11,[0 8],"We are simply asked to take the pope’s word for it, but given that it follows his astoundingly brazen lie that there was no evidence for Ricca’s homosexual activity in the first place, we can take the assurance for what it seems to be worth.",Series,[],[],[],"{
  ""Properties"": [""gradatio""],
  ""Explanation"": ""The text uses a gradatio by listing items (pope's astoundingly brazen lie, no evidence for Ricca's homosexual activity, assurance) with overlapping, suggesting a chain of causality.""
}",['gradatio'],"{
  ""Properties"": [""gradatio"", ""asyndenton""],
  ""Explanation"": ""The list of lies suggests a chain of causality, and it is presented without any conjunctions.""
}","['gradatio', 'asyndenton']","{
  ""Properties"": [""polysyndenton""],
  ""Explanation"": ""The text uses conjunctions between every item: 'that there was no evidence for Ricca’s homosexual activity in the first place, we can take the assurance for what it seems to be worth.'""
}",['polysyndenton'],[],['gradatio'],-1,[],"{
  ""Properties"": [""polysyndenton""],
  ""Explanation"": ""The sentence uses the conjunction 'but' to join clauses and lists the pope’s lie, homosexual activity, and assurance with conjunctions.""
}",['polysyndenton'],"{
  ""Properties"": [""gradatio""],
  ""Explanation"": ""The use of 'first place' suggests a gradatio, listing items in a series with an overlapping relationship, implying a chain of causality.""
}",['gradatio'],"{
  ""Properties"": [""polysyndenton""],
  ""Explanation"": ""The sentence contains the use of the polysyndenton, with 'but' and 'that' functioning as conjunctions between the listed clauses, indicating the presence of this specific rhetorical device.""
}",['polysyndenton']
14,[0],Conservative Ben Shapiro told Fox news the verdict was “horrifying.,Series,[],[],[],"{
  ""Properties"": [""asyndenton""],
  ""Explanation"": ""The example text 'Conservative Ben Shapiro told Fox news' uses asyndenton, listing the actions without any conjunctions.""
}",['asyndenton'],"{
  ""Properties"": [""asyndeton""],
  ""Explanation"": ""The example text uses asyndeton by not using any conjunctions when listing items.""
}",['asyndenton'],"{
  ""Properties"": [""asyndeton""],
  ""Explanation"": ""The example text uses asyndeton by listing items without using any conjunctions.""
}",['asyndenton'],[],['asyndenton'],-1,[],"{
  ""Properties"": [""asyndeton""],
  ""Explanation"": ""The use of 'and' before 'horrifying' is absent so it falls under the category of asyndeton.""
}",['asyndenton'],"{
  ""Properties"": [""asyndeton""],
  ""Explanation"": ""The use of 'and' is omitted when listing the adjectives 'horrifying.'""
}",['asyndenton'],"{
  ""Properties"": [""asyndeton""],
  ""Explanation"": ""The use of 'and' is omitted when listing the adjectives 'horrifying'.""
}",['asyndenton']
16,[0],"According to Breitbart, “Sellner, who described the detention centre as looking akin to a typical American prison, said he was told by authorities that his speaking at Hyde Park could cause violence and disrupt community cohesion.”",Series,[],[],[],"{
  ""Properties"": [""asyndenton""],
  ""Explanation"": ""The use of 'and' to list items is not present in the example text, indicating the use of asyndenton.""
}",['asyndenton'],"{
  ""Properties"": [""asyndeton""],
  ""Explanation"": ""The text uses a series of actions without any conjunctions, creating a sense of urgency and directness.""
}",['asyndenton'],"{
    ""Properties"": [""asyndenton""],
    ""Explanation"": ""The example text uses asyndenton by not using any conjunctions when listing items.""
}",['asyndenton'],[],['asyndenton'],-1,[],"{
  ""Properties"": [""asyndenton""],
  ""Explanation"": ""The text uses the 'asyndenton' property, as it lists actions ('cause violence' and 'disrupt community cohesion') without using conjunctions.""
}",['asyndenton'],"{
  ""Properties"": [""polysyndenton""],
  ""Explanation"": ""The use of 'and' between 'violence' and 'disrupt' suggests polysyndenton, a listing technique where conjunctions are used between every item.""
}",['polysyndenton'],"{
  ""Properties"": [""asyndenton""],
  ""Explanation"": ""The sentence uses the asyndenton property by listing 'cause violence' and 'disrupt community cohesion' without using any conjunctions.""
}",['asyndenton']
23,[0],"“This is a clear violation of the Senate Ethics rules which safeguard against the appearance or actuality of elected officials ‘cashing in’ on their official position for political purposes,” said Kendra Arnold, executive director of FACT.",Series,[],[],[],"``` 
{
  ""Properties"": [""polysyndenton"", ""bracketing""],
  ""Explanation"": ""The use of the conjunction 'or' in the phrase 'the appearance or actuality' and the lumping together of 'elected officials' and 'their official position' indicate the use of polysyndenton and bracketing.""
}
```","['polysyndenton', 'bracketing']","{
  ""Properties"": [""asyndenton""],
  ""Explanation"": ""The example text uses asyndenton by listing items without using any conjunctions.""
}",['asyndenton'],"{
  ""Properties"": [""polysyndenton""],
  ""Explanation"": ""The use of 'and' between 'appearance,' 'actuality,' and 'elected officials' shows polysyndenton.""
}",['polysyndenton'],[],"['polysyndenton', 'bracketing']",-1,[],"{
  ""Properties"": [""polysyndenton""],
  ""Explanation"": ""The sentence uses the polysyndenton property by using the conjunction 'and' between the items 'appearance,' 'actuality,' and 'elected officials.'""
}",['polysyndenton'],"{
  ""Properties"": [""asyndenton""],
  ""Explanation"": ""The text uses asyndenton by listing the items 'violation of the Senate Ethics rules' and 'the appearance or actuality of elected officials ‘cashing in’ on their official position for political purposes' without using any conjunctions.""
}",['asyndenton'],"{
    ""Properties"": [""polysyndenton""],
    ""Explanation"": ""The use of the conjunction 'which' to connect the phrases 'appearance' and 'actuality' indicates polysyndeton, using conjunctions between every item.""
}",['polysyndenton']
32,[0 6],Cardinal Raymond Burke’s statement declares: “The declarations made by a prelate of the authority of Archbishop Carlo Maria Viganò must be totally taken to heart by those responsible in the Church.”,Series,[],[],[],"{
  ""Properties"": [""asyndenton""],
  ""Explanation"": ""The example text uses asyndenton in the listing of the declarations made by a prelate and the authority of Archbishop Carlo Maria Viganò.""
}",['asyndenton'],"{
  ""Properties"": [""polysyndenton""],
  ""Explanation"": ""The use of the conjunction 'and' between 'truth,' 'love,' 'courage,' and 'honesty' shows the polysyndenton property.""
}",['polysyndenton'],"{
  ""Properties"": [""asyndenton""],
  ""Explanation"": ""The example text uses asyndenton with the listing of declarations."" 
}",['asyndenton'],[],['asyndenton'],-1,[],"{
  ""Properties"": [
    ""polysyndenton""
  ],
  ""Explanation"": ""The use of the conjunction 'and' in the phrase 'those responsible in the Church' suggests the presence of polysyndenton.""
}",['polysyndenton'],"{
  ""Properties"": [""bracketing""],
  ""Explanation"": ""The statement implicitly lumps together 'those responsible in the Church' as a single category without explicitly listing them.""
}",['bracketing'],"{
  ""Properties"": [""bracketing""],
  ""Explanation"": ""The use of 'prelate of the authority of Archbishop Carlo Maria Viganò' implicitly lumps together Archbishop Viganò and other prelates, indicating they should be taken seriously by those responsible in the Church.""
}",['bracketing']
43,[0],"As a former trial lawyer, I can tell you that while neither notes nor memories are infallible, in a contest between contemporaneous notes and later verbal testimony about those notes, the content of the written notes usually prevails.",Series,[],[],[],"{
  ""Properties"": [""asyndenton""],
  ""Explanation"": ""The example text uses asyndenton by listing items 'neither notes nor memories' and 'contemporaneous notes and later verbal testimony' without any conjunctions.""
}",['asyndenton'],timeout,[],"{
  ""Properties"": [""asyndeton""],
  ""Explanation"": ""The example text uses asyndeton by listing items without any conjunctions, creating a quick and impactful effect.""
}",['asyndenton'],[],['asyndenton'],-1,[],"{
  ""Properties"": [""asyndeton""],
  ""Explanation"": ""The sentence 'neither notes nor memories' uses asyndeton by omitting conjunctions between the listed items.""
}",['asyndenton'],"{
  ""Properties"": [""asyndenton""],
  ""Explanation"": ""The sentence uses asyndenton by listing 'neither notes nor memories' and 'contemporaneous notes and later verbal testimony' without any conjunctions.""
}",['asyndenton'],"{
  ""Properties"": [""asyndenton""],
  ""Explanation"": ""The text uses asyndeton to list the contrasting elements of 'neither notes nor memories', reinforcing the idea of their fallibility.""
}",['asyndenton']
47,[0],"“I don’t regard Louis Farrakhan as an aberration or anything, I regard him as an outstanding human being who commands a following of individuals who are learned and articulate and he plays a big role in the lives of thousands and thousands and thousands and thousands of people,” he emphasized later.",Series,['polysyndenton'],['polysyndenton'],['polysyndenton'],"{
  ""Properties"": [""asyndenton""],
  ""Explanation"": ""The text uses asyndenton by listing 'thousands and thousands and thousands and thousands of people' without any conjunctions.""
}",['asyndenton'],"{
  ""Properties"": [""polysyndenton""],
  ""Explanation"": ""The use of 'and' between every item in the list of individuals who follow Louis Farrakhan indicates the presence of polysyndenton.""
}",['polysyndenton'],"{
  ""Properties"": [""asyndenton""],
  ""Explanation"": ""The example text uses asyndenton by listing items without any conjunctions.""
}",['asyndenton'],['polysyndenton'],['asyndenton'],-1,[],"{
  ""Properties"": [""gradatio""],
  ""Explanation"": ""The use of repetition of 'thousands' suggests a gradatio as it lists items with overlapping, suggesting a chain of causality.""
}",['gradatio'],"{
  ""Properties"": [
    ""polysyndenton""
  ],
  ""Explanation"": ""The use of 'and' between each description ('thousands and thousands and thousands and thousands') qualifies the text as an example of polysyndenton.""
}",['polysyndenton'],"{
  ""Properties"": [""gradatio""],
  ""Explanation"": ""The use of 'thousands and thousands and thousands and thousands' suggests gradatio, a list of items with overlapping, implying a chain of causality.""
}",['gradatio']
50,[0],"John Hancock, the first signer of the Declaration of Independence, said,",Series,[],[],['asyndenton'],"{
    ""Properties"": [""bracketing""],
    ""Explanation"": ""The items 'John Hancock', 'the first signer of the Declaration of Independence' are listed together, implicitly lumped into the same category.""
}",['bracketing'],"{
  ""Properties"": [""bracketing""],
  ""Explanation"": ""The items 'John Hancock' and 'the first signer of the Declaration of Independence' are listed together, implicitly lumped into the same category.""
}",['bracketing'],"{
  ""Properties"": [""bracketing""],
  ""Explanation"": ""The listed items (John Hancock, the first signer of the Declaration of Independence) are implicitly lumped into the same category.""
}",['bracketing'],[],['bracketing'],-1,[],"{
  ""Properties"": [""asyndeton""],
  ""Explanation"": ""The text uses asyndeton, as it lists items without using any conjunctions.""
}",['asyndenton'],"{
  ""Properties"": [
    ""asyndenton""
  ],
  ""Explanation"": ""The use of the statement 'John Hancock, the first signer of the Declaration of Independence, said,' without any conjunctions when listing the roles of John Hancock demonstrates the use of asyndenton.""
}",['asyndenton'],"{
  ""Properties"": [""bracketing""],
  ""Explanation"": ""The use of 'the first signer of the Declaration of Independence' implicitly brackets John Hancock with other signers of the Declaration of Independence.""
}",['bracketing']
54,[0],"She said Thursday regarding Ms. Ford: ""I believe her because she is telling the truth and you know it by her story.""",Series,[],[],[],"{
  ""Properties"": [""asyndenton"", ""polysyndenton""],
  ""Explanation"": ""The example text uses asyndenton in 'I believe her because she is telling the truth and you know it by her story.' and polysyndenton in 'truth and love and courage and honesty.'""
}","['asyndenton', 'polysyndenton']","{
  ""Properties"": [""asyndenton""],
  ""Explanation"": ""The example text uses a series of actions without any conjunctions, creating a sense of urgency and succinctness.""
}",['asyndenton'],"{
  ""Properties"": [""polysyndenton""],
  ""Explanation"": ""The use of 'and' between every item in the list: 'truth and love and courage and honesty.'""
}",['polysyndenton'],[],"['asyndenton', 'polysyndenton']",-1,[],"{
  ""Properties"": [""polysyndenton""],
  ""Explanation"": ""The use of 'and' between 'truth' and 'you know it' creates a polysyndeton, indicating a strong connection between the two ideas.""
}",['polysyndenton'],"{
  ""Properties"": [""polysyndenton""],
  ""Explanation"": ""The use of the conjunction 'and' between 'the truth' and 'you know it' qualifies as polysyndenton.""
}",['polysyndenton'],"{
  ""Properties"": [""polysyndenton""],
  ""Explanation"": ""The use of the conjunction 'and' between 'the truth' and 'you know it by her story' qualifies this as polysyndenton.""
}",['polysyndenton']
