sentence_id,technique,text,feature_id,props_a20,props_a21,props_a22,annotator_consistency,props_gpt4_majority,res_1.0_1,gpt_props_1.0_1,res_1.0_2,gpt_props_1.0_2,res_1.0_3,gpt_props_1.0_3,gpt3.5_1.0_consistency,res_0.2_1,gpt_props_0.2_1,res_0.2_2,gpt_props_0.2_2,res_0.2_3,gpt_props_0.2_3,gpt3.5_0.2_consistency,gpt3.5_0.2_majority,humans isCorrect,gpt isCorrect,comments,ground truth,property_FT_Maj_gpt3.5,res_FT_Maj_gpt3.5_0.0_V3_2,property_FT_Maj_gpt3.5_0.0_V3_2
14,[0],Conservative Ben Shapiro told Fox news the verdict was “horrifying.,Tense,['past'],['past'],['past'],True,[],"{
  ""Properties"": [""present""],
  ""Explanation"": ""The use of 'told' indicates the past tense, but the verb 'was' is in the present tense, emphasizing the immediacy of the verdict as well as its impact on the speaker."" 
}",['present'],"{
  ""Properties"": [""past""],
  ""Explanation"": ""The sentence uses the past tense 'was' to express something that already happened.""
}",['past'],"{
  ""Properties"": [""past""],
  ""Explanation"": ""The use of the past tense 'was' indicates that the action of 'told' already happened.""
}",['past'],0,"{
  ""Properties"": [""present""],
  ""Explanation"": ""The use of 'told' indicates the present tense, which is often used in news headlines for immediacy effect.""
}",['present'],"{
  ""Properties"": [""past""],
  ""Explanation"": ""The use of 'was' indicates that the action has already happened, placing it in the past tense.""
}",['past'],"{
  ""Properties"": [""present""],
  ""Explanation"": ""The use of the present tense in the quote 'the verdict was “horrifying' emphasizes the immediacy and impact of the statement.""
}",['present'],0,['present'],1.0,0.0,,['past'],present,"{""Answer"": ""no"", ""Explanation"": ""Past tense verb 'told' is used, indicating that the action occurred in the past, not the present.""}",[]
14,[0],Conservative Ben Shapiro told Fox news the verdict was “horrifying.,Tense,['past'],['past'],['past'],True,[],"{
  ""Properties"": [""present""],
  ""Explanation"": ""The use of 'told' indicates the past tense, but the verb 'was' is in the present tense, emphasizing the immediacy of the verdict as well as its impact on the speaker."" 
}",['present'],"{
  ""Properties"": [""past""],
  ""Explanation"": ""The sentence uses the past tense 'was' to express something that already happened.""
}",['past'],"{
  ""Properties"": [""past""],
  ""Explanation"": ""The use of the past tense 'was' indicates that the action of 'told' already happened.""
}",['past'],0,"{
  ""Properties"": [""present""],
  ""Explanation"": ""The use of 'told' indicates the present tense, which is often used in news headlines for immediacy effect.""
}",['present'],"{
  ""Properties"": [""past""],
  ""Explanation"": ""The use of 'was' indicates that the action has already happened, placing it in the past tense.""
}",['past'],"{
  ""Properties"": [""present""],
  ""Explanation"": ""The use of the present tense in the quote 'the verdict was “horrifying' emphasizes the immediacy and impact of the statement.""
}",['present'],0,['present'],1.0,0.0,,['past'],past,"{""Answer"": ""yes"", ""Explanation"": ""Past tense is used in the sentence 'told' and 'was', indicating that the action happened in the past.""}",['past']
14,[0],Conservative Ben Shapiro told Fox news the verdict was “horrifying.,Tense,['past'],['past'],['past'],True,[],"{
  ""Properties"": [""present""],
  ""Explanation"": ""The use of 'told' indicates the past tense, but the verb 'was' is in the present tense, emphasizing the immediacy of the verdict as well as its impact on the speaker."" 
}",['present'],"{
  ""Properties"": [""past""],
  ""Explanation"": ""The sentence uses the past tense 'was' to express something that already happened.""
}",['past'],"{
  ""Properties"": [""past""],
  ""Explanation"": ""The use of the past tense 'was' indicates that the action of 'told' already happened.""
}",['past'],0,"{
  ""Properties"": [""present""],
  ""Explanation"": ""The use of 'told' indicates the present tense, which is often used in news headlines for immediacy effect.""
}",['present'],"{
  ""Properties"": [""past""],
  ""Explanation"": ""The use of 'was' indicates that the action has already happened, placing it in the past tense.""
}",['past'],"{
  ""Properties"": [""present""],
  ""Explanation"": ""The use of the present tense in the quote 'the verdict was “horrifying' emphasizes the immediacy and impact of the statement.""
}",['present'],0,['present'],1.0,0.0,,['past'],future,"{""Answer"": ""no"", ""Explanation"": ""Past tense verb 'told' is used, indicating that the action has already happened, not in the future tense.""}",[]
14,[0],Conservative Ben Shapiro told Fox news the verdict was “horrifying.,Tense,['past'],['past'],['past'],True,[],"{
  ""Properties"": [""present""],
  ""Explanation"": ""The use of 'told' indicates the past tense, but the verb 'was' is in the present tense, emphasizing the immediacy of the verdict as well as its impact on the speaker."" 
}",['present'],"{
  ""Properties"": [""past""],
  ""Explanation"": ""The sentence uses the past tense 'was' to express something that already happened.""
}",['past'],"{
  ""Properties"": [""past""],
  ""Explanation"": ""The use of the past tense 'was' indicates that the action of 'told' already happened.""
}",['past'],0,"{
  ""Properties"": [""present""],
  ""Explanation"": ""The use of 'told' indicates the present tense, which is often used in news headlines for immediacy effect.""
}",['present'],"{
  ""Properties"": [""past""],
  ""Explanation"": ""The use of 'was' indicates that the action has already happened, placing it in the past tense.""
}",['past'],"{
  ""Properties"": [""present""],
  ""Explanation"": ""The use of the present tense in the quote 'the verdict was “horrifying' emphasizes the immediacy and impact of the statement.""
}",['present'],0,['present'],1.0,0.0,,['past'],progression,"{""Answer"": ""no"", ""Explanation"": ""Progression tense involves changing tense within a single sentence, which the given sentence does not do. Therefore, the answer is 'no'.""  }",[]
16,[0],"According to Breitbart, “Sellner, who described the detention centre as looking akin to a typical American prison, said he was told by authorities that his speaking at Hyde Park could cause violence and disrupt community cohesion.”",Tense,['past'],['past'],['past'],True,[],"{
  ""Properties"": [""present"", ""past""],
  ""Explanation"": ""The text uses the past tense 'described' and 'was told' to express actions that have already happened. It also uses the present tense 'could cause' to emphasize a potential action in the future.""
}","['present', 'past']","{
  ""Properties"": [""past""],
  ""Explanation"": ""The text uses the past tense to describe actions that have already taken place, such as 'he was told' and 'could cause.'""
}",['past'],"{
  ""Properties"": [""present"", ""past""],
  ""Explanation"": ""The sentence contains the use of the past tense ('was told') to indicate that the action of being told by the authorities occurred in the past. It also includes the present tense ('could cause') to emphasize the potential immediate impact of his speaking at Hyde Park.""
}","['present', 'past']",0,"{
  ""Properties"": [""present"", ""past""],
  ""Explanation"": ""The text uses the present tense in 'described' and 'said' to emphasize the immediacy of the actions, and the past tense in 'was told' to indicate that the action already happened.""
}","['present', 'past']","{
  ""Properties"": [""present"", ""past""],
  ""Explanation"": ""The text uses the present tense 'described' for immediacy effect and the past tense 'was told' to express something that already happened.""
}","['present', 'past']","{
  ""Properties"": [""present"", ""past""],
  ""Explanation"": ""The text uses the present tense in 'described' and 'said' to emphasize the immediacy of Sellner's actions, and the past tense in 'was told' to indicate that this action already happened.""
}","['present', 'past']",1,"['present', 'past']",1.0,0.0,GPT misinterprets the definition,['past'],present,"{""Answer"": ""yes"", ""Explanation"": ""The sentence contains the present tense 'could cause'.""}",['present']
16,[0],"According to Breitbart, “Sellner, who described the detention centre as looking akin to a typical American prison, said he was told by authorities that his speaking at Hyde Park could cause violence and disrupt community cohesion.”",Tense,['past'],['past'],['past'],True,[],"{
  ""Properties"": [""present"", ""past""],
  ""Explanation"": ""The text uses the past tense 'described' and 'was told' to express actions that have already happened. It also uses the present tense 'could cause' to emphasize a potential action in the future.""
}","['present', 'past']","{
  ""Properties"": [""past""],
  ""Explanation"": ""The text uses the past tense to describe actions that have already taken place, such as 'he was told' and 'could cause.'""
}",['past'],"{
  ""Properties"": [""present"", ""past""],
  ""Explanation"": ""The sentence contains the use of the past tense ('was told') to indicate that the action of being told by the authorities occurred in the past. It also includes the present tense ('could cause') to emphasize the potential immediate impact of his speaking at Hyde Park.""
}","['present', 'past']",0,"{
  ""Properties"": [""present"", ""past""],
  ""Explanation"": ""The text uses the present tense in 'described' and 'said' to emphasize the immediacy of the actions, and the past tense in 'was told' to indicate that the action already happened.""
}","['present', 'past']","{
  ""Properties"": [""present"", ""past""],
  ""Explanation"": ""The text uses the present tense 'described' for immediacy effect and the past tense 'was told' to express something that already happened.""
}","['present', 'past']","{
  ""Properties"": [""present"", ""past""],
  ""Explanation"": ""The text uses the present tense in 'described' and 'said' to emphasize the immediacy of Sellner's actions, and the past tense in 'was told' to indicate that this action already happened.""
}","['present', 'past']",1,"['present', 'past']",1.0,0.0,GPT misinterprets the definition,['past'],past,"{""Answer"": ""yes"", ""Explanation"": ""The sentence contains multiple instances of past tense verbs, such as 'described,' 'was told,' and 'could cause.' This demonstrates the use of the past tense in the sentence.""}",['past']
16,[0],"According to Breitbart, “Sellner, who described the detention centre as looking akin to a typical American prison, said he was told by authorities that his speaking at Hyde Park could cause violence and disrupt community cohesion.”",Tense,['past'],['past'],['past'],True,[],"{
  ""Properties"": [""present"", ""past""],
  ""Explanation"": ""The text uses the past tense 'described' and 'was told' to express actions that have already happened. It also uses the present tense 'could cause' to emphasize a potential action in the future.""
}","['present', 'past']","{
  ""Properties"": [""past""],
  ""Explanation"": ""The text uses the past tense to describe actions that have already taken place, such as 'he was told' and 'could cause.'""
}",['past'],"{
  ""Properties"": [""present"", ""past""],
  ""Explanation"": ""The sentence contains the use of the past tense ('was told') to indicate that the action of being told by the authorities occurred in the past. It also includes the present tense ('could cause') to emphasize the potential immediate impact of his speaking at Hyde Park.""
}","['present', 'past']",0,"{
  ""Properties"": [""present"", ""past""],
  ""Explanation"": ""The text uses the present tense in 'described' and 'said' to emphasize the immediacy of the actions, and the past tense in 'was told' to indicate that the action already happened.""
}","['present', 'past']","{
  ""Properties"": [""present"", ""past""],
  ""Explanation"": ""The text uses the present tense 'described' for immediacy effect and the past tense 'was told' to express something that already happened.""
}","['present', 'past']","{
  ""Properties"": [""present"", ""past""],
  ""Explanation"": ""The text uses the present tense in 'described' and 'said' to emphasize the immediacy of Sellner's actions, and the past tense in 'was told' to indicate that this action already happened.""
}","['present', 'past']",1,"['present', 'past']",1.0,0.0,GPT misinterprets the definition,['past'],future,"{""Answer"": ""no"", ""Explanation"": ""The sentence does not contain future tense. Future tense is indicated by words like 'will' or 'shall', which are not present in the given sentence.""  }",[]
16,[0],"According to Breitbart, “Sellner, who described the detention centre as looking akin to a typical American prison, said he was told by authorities that his speaking at Hyde Park could cause violence and disrupt community cohesion.”",Tense,['past'],['past'],['past'],True,[],"{
  ""Properties"": [""present"", ""past""],
  ""Explanation"": ""The text uses the past tense 'described' and 'was told' to express actions that have already happened. It also uses the present tense 'could cause' to emphasize a potential action in the future.""
}","['present', 'past']","{
  ""Properties"": [""past""],
  ""Explanation"": ""The text uses the past tense to describe actions that have already taken place, such as 'he was told' and 'could cause.'""
}",['past'],"{
  ""Properties"": [""present"", ""past""],
  ""Explanation"": ""The sentence contains the use of the past tense ('was told') to indicate that the action of being told by the authorities occurred in the past. It also includes the present tense ('could cause') to emphasize the potential immediate impact of his speaking at Hyde Park.""
}","['present', 'past']",0,"{
  ""Properties"": [""present"", ""past""],
  ""Explanation"": ""The text uses the present tense in 'described' and 'said' to emphasize the immediacy of the actions, and the past tense in 'was told' to indicate that the action already happened.""
}","['present', 'past']","{
  ""Properties"": [""present"", ""past""],
  ""Explanation"": ""The text uses the present tense 'described' for immediacy effect and the past tense 'was told' to express something that already happened.""
}","['present', 'past']","{
  ""Properties"": [""present"", ""past""],
  ""Explanation"": ""The text uses the present tense in 'described' and 'said' to emphasize the immediacy of Sellner's actions, and the past tense in 'was told' to indicate that this action already happened.""
}","['present', 'past']",1,"['present', 'past']",1.0,0.0,GPT misinterprets the definition,['past'],progression,"{""Answer"": ""no"", ""Explanation"": ""Progression tense, also known as changing tense within a sentence, is not present in the given sentence. The verb tenses remain consistent throughout the sentence.""}",[]
68,[0],"I have read the Cardinal's exposition in both Italian and English, and I only find mention of the help of the sacraments in certain cases.",Tense,['present'],['present'],['present'],True,[],"{
  ""Properties"": [""past""],
  ""Explanation"": ""The text uses the past tense ('have read', 'find mention', 'exposition', 'find mention') to indicate that these actions have already occurred.""
}",['past'],"{
  ""Properties"": [""present"", ""past""],
  ""Explanation"": ""The use of 'have read', 'find mention', and 'only find' indicate the presence of both present and past tense in the text.""
}","['present', 'past']","{
  ""Properties"": [""past""],
  ""Explanation"": ""The use of past tense 'have read' and 'find mention' indicates that the actions have already happened.""
}",['past'],0,"{
  ""Properties"": [""past""],
  ""Explanation"": ""The use of 'find' and 'mention' indicates that the text is discussing something that has already happened, so the past tense is used.""
}",['past'],"{
  ""Properties"": [""past""],
  ""Explanation"": ""The use of 'find' and 'mention' indicate that the text is discussing something that has already happened, hence the use of the past tense.""
}",['past'],"{
  ""Properties"": [""past""],
  ""Explanation"": ""The use of 'find' and 'mention' indicates that the text is discussing something that has already happened, hence the use of the past tense.""
}",['past'],1,['past'],0.0,0.0,GPT misinterprets the definition,"['present', 'past']",present,"{""Answer"": ""yes"", ""Explanation"": ""The sentence contains the present tense verb 'find', indicating that something is happening right now.""}",['present']
68,[0],"I have read the Cardinal's exposition in both Italian and English, and I only find mention of the help of the sacraments in certain cases.",Tense,['present'],['present'],['present'],True,[],"{
  ""Properties"": [""past""],
  ""Explanation"": ""The text uses the past tense ('have read', 'find mention', 'exposition', 'find mention') to indicate that these actions have already occurred.""
}",['past'],"{
  ""Properties"": [""present"", ""past""],
  ""Explanation"": ""The use of 'have read', 'find mention', and 'only find' indicate the presence of both present and past tense in the text.""
}","['present', 'past']","{
  ""Properties"": [""past""],
  ""Explanation"": ""The use of past tense 'have read' and 'find mention' indicates that the actions have already happened.""
}",['past'],0,"{
  ""Properties"": [""past""],
  ""Explanation"": ""The use of 'find' and 'mention' indicates that the text is discussing something that has already happened, so the past tense is used.""
}",['past'],"{
  ""Properties"": [""past""],
  ""Explanation"": ""The use of 'find' and 'mention' indicate that the text is discussing something that has already happened, hence the use of the past tense.""
}",['past'],"{
  ""Properties"": [""past""],
  ""Explanation"": ""The use of 'find' and 'mention' indicates that the text is discussing something that has already happened, hence the use of the past tense.""
}",['past'],1,['past'],0.0,0.0,GPT misinterprets the definition,"['present', 'past']",past,"{""Answer"": ""yes"", ""Explanation"": ""The sentence contains the past tense verbs 'have read' and 'find', indicating actions that have already happened.""}",['past']
