,sentence_id,technique,text,feature_id,props_a20,props_a21,props_a22,annotator_consitency,props_gpt4_majority,res_1.0_1,gpt_props_1.0_1,res_1.0_2,gpt_props_1.0_2,res_1.0_3,gpt_props_1.0_3,gpt3.5_1.0_consistency,res_0.2_1,gpt_props_0.2_1,res_0.2_2,gpt_props_0.2_2,res_0.2_3,gpt_props_0.2_3,gpt3.5_0.2_consistency
0,4,[0 8 9],"Muhammad advises the same thing, according to the tradition of the Muslim doctors: wherefore the great Temur always strove to exterminate the infidels, as much to acquire that glory, as to signalise himself by the greatness of his conquests.”",Predication,['active'],['active'],"['compound', 'active']",False,[],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'advises' which denotes an action performed by the subject 'Muhammad'.""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The text contains active verbs such as 'advises,' 'strode,' and 'acquire,' which demonstrate actions being performed by the subjects.""
}",['active'],"{
  ""Properties"": [
    ""active""
  ],
  ""Explanation"": ""The text contains an active verb 'strode' which directly attributes the action to the subject 'the great Temur'.""
}",['active'],True,"{
  ""Properties"": [""active"", ""compound""],
  ""Explanation"": ""The sentence contains active verbs ('advises', 'strove') and a compound structure with multiple verbs ('strove', 'to acquire', 'signalise').""
}","['active', 'compound']","{
  ""Properties"": [""active""],
  ""Explanation"": ""The text contains active verbs such as 'advises,' 'strove,' 'exterminate,' 'acquire,' and 'signalise.' These active verbs indicate actions performed by the subjects in the sentence.""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The text contains active verbs such as 'advises', 'strove', 'exterminate', 'acquire', and 'signalise'. These active verbs indicate actions performed by the subjects in the sentence.""
}",['active'],0
1,11,[0 8],"We are simply asked to take the pope’s word for it, but given that it follows his astoundingly brazen lie that there was no evidence for Ricca’s homosexual activity in the first place, we can take the assurance for what it seems to be worth.",Predication,"['stative', 'active']",['stative'],['compound'],False,[],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The example text contains active verbs such as 'asked' and 'follows'. These active verbs indicate the use of active predication.""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The text contains active verbs like 'take', 'follows', and 'seems'. These active verbs indicate actions being performed by the subjects in the sentence.""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'asked' which indicates an action performed by the subject.""
}",['active'],True,"{
  ""Properties"": [""active""],
  ""Explanation"": ""The text contains active verbs such as 'asked', 'follows', and 'take'. These verbs indicate actions performed by the subjects in the sentence.""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The text contains active verbs such as 'asked' and 'follows', indicating actions performed by the subjects.""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The text contains active verbs such as 'asked', 'follows', and 'take', indicating actions performed by the subject.""
}",['active'],1
2,14,[0],Conservative Ben Shapiro told Fox news the verdict was “horrifying.,Predication,"['stative', 'active']",['active'],"['stative', 'active']",False,[],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The example contains an active verb 'told.' This is an example of an active predication, where the subject 'Ben Shapiro' is doing the action as expressed by the verb 'told.'""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'told,' describing the action of Ben Shapiro.""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The text contains an active verb 'told' indicating an action performed by the subject 'Ben Shapiro.'""
}",['active'],True,"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'told' with a clear subject 'Ben Shapiro' performing the action.""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'told' which indicates an action performed by the subject 'Ben Shapiro'.""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'told', which indicates an action performed by the subject 'Ben Shapiro'.""
}",['active'],1
3,16,[0],"According to Breitbart, “Sellner, who described the detention centre as looking akin to a typical American prison, said he was told by authorities that his speaking at Hyde Park could cause violence and disrupt community cohesion.”",Predication,"['stative', 'compound']","['stative', 'active']",['active'],False,[],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains active verbs such as 'described', 'said', 'told', indicating actions performed by the subject.""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'said' ('he was told by authorities'). This indicates the use of the active property of predication.""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The example text contains active verbs, such as 'described', 'said', 'told', which indicate actions being performed.""
}",['active'],True,"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains active verbs such as 'described', 'said', 'told', indicating the use of active predication.""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'said' which indicates an action performed by the subject 'authorities'.""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains active verbs such as 'described', 'said', and 'could cause'. These verbs indicate actions performed by the subject.""
}",['active'],1
4,23,[0],"“This is a clear violation of the Senate Ethics rules which safeguard against the appearance or actuality of elected officials ‘cashing in’ on their official position for political purposes,” said Kendra Arnold, executive director of FACT.",Predication,"['stative', 'active']",['stative'],"['stative', 'active']",False,[],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'said', which indicates the use of active predication.""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'said' with a clear subject performing the action.""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'said', which demonstrates action being performed by the subject.""
}",['active'],True,"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'said' which indicates an action performed by the subject 'Kendra Arnold'.""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'said' which is a clear indication of the active voice.""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'said' which is a clear example of active predication.""
}",['active'],1
5,32,[0 6],Cardinal Raymond Burke’s statement declares: “The declarations made by a prelate of the authority of Archbishop Carlo Maria Viganò must be totally taken to heart by those responsible in the Church.”,Predication,"['compound', 'active']","['stative', 'active']","['stative', 'active']",False,[],"{
  ""Properties"": [
    ""active""
  ],
  ""Explanation"": ""The sentence contains an active verb 'declares'.""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'must be taken' which denotes a specific action being performed by the subject 'those responsible in the Church'.""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'declares', indicating an action performed by Cardinal Raymond Burke.""
}",['active'],True,"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'declares' which indicates an action performed by the subject 'Cardinal Raymond Burke'.""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'declares' which indicates an action performed by the subject 'Cardinal Raymond Burke'.""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'declares' which indicates an action performed by the subject 'Cardinal Raymond Burke'.""
}",['active'],1
7,47,[0],"“I don’t regard Louis Farrakhan as an aberration or anything, I regard him as an outstanding human being who commands a following of individuals who are learned and articulate and he plays a big role in the lives of thousands and thousands and thousands and thousands of people,” he emphasized later.",Predication,['active'],"['stative', 'active']",['active'],False,"['stative', 'active']","{
  ""Properties"": [""active""],
  ""Explanation"": ""The use of active verbs such as 'commands', 'plays' and 'emphasized' indicates the presence of active predication in the text.""
}",['active'],"{
  ""Properties"": [""active"", ""stative""],
  ""Explanation"": ""The text contains active verbs ('commands', 'plays') and a stative verb ('are learned and articulate').""
}","['active', 'stative']","{
  ""Properties"": [""active"", ""compound""],
  ""Explanation"": ""The text contains active verbs such as 'regard', 'commands', and 'plays', and also features a compound structure with multiple verbs ('are learned and articulate' and 'thousands and thousands and thousands and thousands of people').""
}","['active', 'compound']",False,"{
  ""Properties"": [""active""],
  ""Explanation"": ""The text contains active verbs such as 'regard', 'commands', and 'plays', indicating actions performed by the subject.""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The text contains active verbs such as 'regard', 'commands', 'plays'. These verbs show actions being performed by the subject.""
}",['active'],"{
  ""Properties"": [""active"", ""compound""],
  ""Explanation"": ""The text contains active verbs ('regard', 'commands', 'plays') and also features a compound structure with multiple verbs ('commands', 'are', 'plays') about one subject.""
}","['active', 'compound']",0
8,50,[0],"John Hancock, the first signer of the Declaration of Independence, said,",Predication,['active'],['active'],['active'],True,[],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb ('said') which denotes an action performed by the subject ('John Hancock').""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The example contains active verbs, as 'said' is an active verb describing the action of John Hancock.""
}",['active'],"{
  ""Properties"": [
    ""active""
  ],
  ""Explanation"": ""The example contains an active verb 'said' which attributes an action to the subject, John Hancock.""
}",['active'],True,"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'said', indicating an action performed by the subject 'John Hancock'.""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'said' indicating an action performed by the subject 'John Hancock'.""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The text contains an active verb 'said', indicating an action performed by the subject 'John Hancock'.""
}",['active'],1
9,54,[0],"She said Thursday regarding Ms. Ford: ""I believe her because she is telling the truth and you know it by her story.""",Predication,"['stative', 'active']",['active'],['active'],False,[],"{
  ""Properties"": [""stative""],
  ""Explanation"": ""The sentence contains the stative verb 'is telling' to describe a state of being for Ms. Ford.""
}",['stative'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'said' and focuses on the action performed by the subject.""
}",['active'],"{
  ""Properties"": [""active"", ""stative""],
  ""Explanation"": ""The sentence contains an active verb 'said' and a stative verb 'is'. The active verb 'said' is used to convey an action performed by the subject. The stative verb 'is' is used to describe a state or condition of the subject.""
}","['active', 'stative']",False,"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'said' and is in the active voice.""
}",['active'],"{
  ""Properties"": [""active"", ""stative""],
  ""Explanation"": ""The sentence contains an active verb 'said' and a stative verb 'is' in the form of 'she is telling the truth'.""
}","['active', 'stative']","{
  ""Properties"": [""active"", ""stative""],
  ""Explanation"": ""The sentence contains an active verb 'said' and a stative verb 'is telling' which indicates a state of being.""
}","['active', 'stative']",0
10,68,[0],"I have read the Cardinal's exposition in both Italian and English, and I only find mention of the help of the sacraments in certain cases.",Predication,"['stative', 'active']",['active'],['active'],False,[],"{
  ""Properties"": [""active"", ""compound""],
  ""Explanation"": ""The text contains active verbs (find, mention) and a compound verb structure ('find mention').""
}","['active', 'compound']","{
  ""Properties"": [""active"", ""compound""],
  ""Explanation"": ""The sentence contains active verbs ('read', 'find') and compound verbs ('I have read', 'find')."" 
}","['active', 'compound']","{
  ""Properties"": [""active""],
  ""Explanation"": ""The example contains an active verb 'find'. This indicates the use of active predication as the sentence is structured around an active verb.""
}",['active'],False,"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'find' (find mention) which indicates an action performed by the subject.""
}",['active'],"{
  ""Properties"": [""active"", ""compound""],
  ""Explanation"": ""The sentence contains an active verb 'find' and a compound verb 'find mention' which includes multiple verbs about one subject.""
}","['active', 'compound']","{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'find' (find mention) which indicates the subject performing the action.""
}",['active'],0
